Orthogroup	DSUZ.longest_only	CCAP.longest_only
OG0000000	LOC108012249|XP_016933037.1|DSUZ, LOC108012248|XP_016933036.1|DSUZ	CCAP1982_LOCUS14600|CAD7006277.1|CCAP, CCAP1982_LOCUS14781|CAD7006463.1|CCAP, CCAP1982_LOCUS14780|CAD7006462.1|CCAP
OG0000000	LOC108019552|XP_036669814.1|DSUZ, LOC108013696|XP_016935107.1|DSUZ, LOC108013925|XP_016935418.2|DSUZ, LOC108011771|XP_036670496.1|DSUZ, LOC118877506|XP_036672430.1|DSUZ, LOC108019563|XP_016942889.1|DSUZ	CCAP1982_LOCUS14598|CAD7006275.1|CCAP, CCAP1982_LOCUS14597|CAD7006274.1|CCAP, CCAP1982_LOCUS14599|CAD7006276.1|CCAP, CCAP1982_LOCUS14601|CAD7006278.1|CCAP
OG0000000	LOC118877230|XP_036670644.1|DSUZ, LOC108007474|XP_036670349.1|DSUZ, LOC108018332|XP_016941362.2|DSUZ, LOC108007476|XP_036670350.1|DSUZ, LOC108007475|XP_016926645.1|DSUZ, LOC108008220|XP_016927499.2|DSUZ, LOC108021133|XP_036668720.1|DSUZ, LOC108014040|XP_016935546.2|DSUZ, LOC108014081|XP_036675273.1|DSUZ, LOC118878117|XP_036675454.1|DSUZ, LOC118878125|XP_036675508.1|DSUZ, LOC108012145|XP_036675462.1|DSUZ, LOC108017281|XP_036674029.1|DSUZ, LOC108011502|XP_036674012.1|DSUZ, LOC108016521|XP_036671132.1|DSUZ, LOC108017700|XP_016940298.1|DSUZ, LOC108016425|XP_016938565.2|DSUZ, LOC108020024|XP_036672415.1|DSUZ, LOC108011960|XP_036678587.1|DSUZ, LOC108012138|XP_036675463.1|DSUZ, LOC108012139|XP_036675579.1|DSUZ, LOC108012154|XP_036675464.1|DSUZ, LOC108011715|XP_016932464.1|DSUZ, LOC108011630|XP_016932347.1|DSUZ, LOC108013366|XP_036668607.1|DSUZ, LOC108011579|XP_036673946.1|DSUZ, LOC108013429|XP_016934786.2|DSUZ	CCAP1982_LOCUS23082|CAD7015132.1|CCAP, CCAP1982_LOCUS6846|CAD6998236.1|CCAP, CCAP1982_LOCUS22420|CAD7014424.1|CCAP
OG0000000	LOC118877061|XP_036669823.1|DSUZ, LOC108017737|XP_016940334.1|DSUZ, LOC108008212|XP_016927490.1|DSUZ, LOC108005325|XP_016924081.1|DSUZ, LOC108008213|XP_016927491.1|DSUZ, LOC108020157|XP_036673587.1|DSUZ, LOC118878061|XP_036675143.1|DSUZ, LOC108007479|XP_036670397.1|DSUZ, LOC118877197|XP_036670391.1|DSUZ, LOC108007478|XP_016926649.1|DSUZ, LOC108007497|XP_016926669.2|DSUZ, LOC108007477|XP_016926648.2|DSUZ, LOC108007738|XP_016926982.2|DSUZ, LOC108021799|XP_036676928.1|DSUZ, LOC108012280|XP_036672320.1|DSUZ	CCAP1982_LOCUS11001|CAD7002512.1|CCAP
OG0000001	LOC118879535|XP_036678284.1|DSUZ, LOC118879596|XP_036678401.1|DSUZ	CCAP1982_LOCUS10232|CAD7001742.1|CCAP, CCAP1982_LOCUS9443|CAD7000970.1|CCAP
OG0000001	LOC118879529|XP_036678279.1|DSUZ	CCAP1982_LOCUS9894|CAD7001397.1|CCAP
OG0000001	LOC118878459|XP_036677349.1|DSUZ	CCAP1982_LOCUS9398|CAD7000923.1|CCAP, CCAP1982_LOCUS9782|CAD7001285.1|CCAP, CCAP1982_LOCUS9733|CAD7001235.1|CCAP, CCAP1982_LOCUS5945|CAD6997312.1|CCAP, CCAP1982_LOCUS9129|CAD7000655.1|CCAP, CCAP1982_LOCUS10167|CAD7001676.1|CCAP, CCAP1982_LOCUS14199|CAD7005857.1|CCAP, CCAP1982_LOCUS3923|CAD6995204.1|CCAP, CCAP1982_LOCUS6598|CAD6997982.1|CCAP, CCAP1982_LOCUS2222|CAD6993407.1|CCAP, CCAP1982_LOCUS7260|CAD6998703.1|CCAP
OG0000002	LOC108005613|XP_016924412.2|DSUZ, LOC108007472|XP_016926646.1|DSUZ, LOC108006207|XP_036671750.1|DSUZ, LOC108005528|XP_016924310.2|DSUZ, LOC108006739|XP_016925771.1|DSUZ, LOC108005537|XP_016924320.2|DSUZ	CCAP1982_LOCUS4991|CAD6996312.1|CCAP
OG0000002	LOC108009013|XP_016928477.1|DSUZ, LOC108009683|XP_016929720.1|DSUZ, LOC108009469|XP_016929341.1|DSUZ, LOC118876801|XP_036668620.1|DSUZ, LOC108021294|XP_016945474.2|DSUZ	CCAP1982_LOCUS7391|CAD6998842.1|CCAP, CCAP1982_LOCUS7392|CAD6998843.1|CCAP, CCAP1982_LOCUS427|CAD6991503.1|CCAP
OG0000003	LOC108008945|XP_016928345.1|DSUZ, LOC108008944|XP_016928343.1|DSUZ	CCAP1982_LOCUS20936|CAD7012836.1|CCAP, CCAP1982_LOCUS20929|CAD7012829.1|CCAP
OG0000003	LOC118877697|XP_036673424.1|DSUZ, LOC108008943|XP_016928342.1|DSUZ, LOC108018006|XP_016940848.1|DSUZ	CCAP1982_LOCUS20935|CAD7012835.1|CCAP, CCAP1982_LOCUS20928|CAD7012828.1|CCAP, CCAP1982_LOCUS20931|CAD7012831.1|CCAP
OG0000003	LOC108008950|XP_016928350.1|DSUZ	CCAP1982_LOCUS20942|CAD7012842.1|CCAP, CCAP1982_LOCUS20940|CAD7012840.1|CCAP
OG0000003	LOC108019592|XP_016942921.1|DSUZ, LOC108019594|XP_016942924.1|DSUZ	CCAP1982_LOCUS20941|CAD7012841.1|CCAP
OG0000003	LOC108007096|XP_016926191.1|DSUZ	CCAP1982_LOCUS7775|CAD6999243.1|CCAP
OG0000004	LOC118879510|XP_036678268.1|DSUZ, LOC108016323|XP_016938449.2|DSUZ, LOC118877303|XP_036671346.1|DSUZ, LOC118879250|XP_036678028.1|DSUZ, LOC118879509|XP_036678267.1|DSUZ, LOC118879267|XP_036678044.1|DSUZ, LOC118879249|XP_036678027.1|DSUZ, LOC118879639|XP_036678427.1|DSUZ, LOC118877305|XP_036671351.1|DSUZ, LOC118879640|XP_036678428.1|DSUZ	CCAP1982_LOCUS6238|CAD6997602.1|CCAP, CCAP1982_LOCUS6250|CAD6997614.1|CCAP, CCAP1982_LOCUS6245|CAD6997609.1|CCAP
OG0000006	LOC118879646|XP_036678433.1|DSUZ	CCAP1982_LOCUS6254|CAD6997618.1|CCAP, CCAP1982_LOCUS9540|CAD7001068.1|CCAP
OG0000006	LOC108016327|XP_016938453.2|DSUZ	CCAP1982_LOCUS9859|CAD7001361.1|CCAP, CCAP1982_LOCUS9861|CAD7001363.1|CCAP
OG0000006	LOC118879645|XP_036678432.1|DSUZ, LOC118877312|XP_036671383.1|DSUZ	CCAP1982_LOCUS6252|CAD6997616.1|CCAP
OG0000007	LOC108004804|XP_016923359.1|DSUZ	CCAP1982_LOCUS12646|CAD7004227.1|CCAP
OG0000007	LOC118877416|XP_036672028.1|DSUZ	CCAP1982_LOCUS12642|CAD7004223.1|CCAP, CCAP1982_LOCUS12643|CAD7004224.1|CCAP, CCAP1982_LOCUS12640|CAD7004221.1|CCAP, CCAP1982_LOCUS12641|CAD7004222.1|CCAP
OG0000007	LOC118879795|XP_036678702.1|DSUZ, LOC108019834|XP_016943342.1|DSUZ, LOC108017241|XP_036675632.1|DSUZ, LOC108015466|XP_016937387.2|DSUZ, LOC118876800|XP_036668611.1|DSUZ, LOC108012353|XP_016933194.1|DSUZ, LOC108012354|XP_016933195.2|DSUZ, LOC108009076|XP_016928638.2|DSUZ, LOC108021082|XP_016945089.1|DSUZ, LOC108006463|XP_036673918.1|DSUZ, LOC108013030|XP_016934110.1|DSUZ	CCAP1982_LOCUS12636|CAD7004217.1|CCAP, CCAP1982_LOCUS12632|CAD7004213.1|CCAP, CCAP1982_LOCUS12633|CAD7004214.1|CCAP, CCAP1982_LOCUS12635|CAD7004216.1|CCAP, CCAP1982_LOCUS12634|CAD7004215.1|CCAP
OG0000008	LOC108014183|XP_016935707.1|DSUZ	CCAP1982_LOCUS4930|CAD6996247.1|CCAP
OG0000008	LOC108020044|XP_016943629.1|DSUZ	CCAP1982_LOCUS12720|CAD7004300.1|CCAP
OG0000008	LOC118877368|XP_036671791.1|DSUZ	CCAP1982_LOCUS12715|CAD7004295.1|CCAP
OG0000008	LOC108020009|XP_016943583.1|DSUZ	CCAP1982_LOCUS12718|CAD7004298.1|CCAP
OG0000008	LOC108014243|XP_036675108.1|DSUZ, LOC108014242|XP_016935768.1|DSUZ	CCAP1982_LOCUS3589|CAD6994854.1|CCAP, CCAP1982_LOCUS3594|CAD6994859.1|CCAP, CCAP1982_LOCUS3591|CAD6994856.1|CCAP, CCAP1982_LOCUS3592|CAD6994857.1|CCAP, CCAP1982_LOCUS3593|CAD6994858.1|CCAP, CCAP1982_LOCUS3590|CAD6994855.1|CCAP
OG0000008	LOC108014245|XP_016935771.2|DSUZ	CCAP1982_LOCUS3596|CAD6994861.1|CCAP
OG0000008	LOC108006378|XP_036675047.1|DSUZ	CCAP1982_LOCUS3598|CAD6994863.1|CCAP
OG0000008	LOC108014235|XP_016935760.2|DSUZ	CCAP1982_LOCUS3595|CAD6994860.1|CCAP
OG0000008	LOC108014237|XP_016935761.1|DSUZ	CCAP1982_LOCUS3597|CAD6994862.1|CCAP
OG0000008	LOC118878011|XP_036674950.1|DSUZ	CCAP1982_LOCUS3600|CAD6994865.1|CCAP, CCAP1982_LOCUS3599|CAD6994864.1|CCAP
OG0000009	LOC108014185|XP_016935709.1|DSUZ	CCAP1982_LOCUS973|CAD6992095.1|CCAP
OG0000009	LOC108008708|XP_016928093.1|DSUZ, LOC108019245|XP_036673765.1|DSUZ, LOC108008467|XP_016927811.1|DSUZ, LOC108008503|XP_016927857.1|DSUZ	CCAP1982_LOCUS21178|CAD7013105.1|CCAP, CCAP1982_LOCUS21180|CAD7013107.1|CCAP, CCAP1982_LOCUS21184|CAD7013111.1|CCAP
OG0000010	LOC118879264|XP_036678040.1|DSUZ	CCAP1982_LOCUS6246|CAD6997610.1|CCAP
OG0000010	LOC108014626|XP_016936278.1|DSUZ	CCAP1982_LOCUS6235|CAD6997599.1|CCAP
OG0000010	LOC118878854|XP_036677774.1|DSUZ, LOC118877836|XP_036673914.1|DSUZ	CCAP1982_LOCUS6248|CAD6997612.1|CCAP
OG0000010	LOC118877317|XP_036671430.1|DSUZ	CCAP1982_LOCUS2041|CAD6993222.1|CCAP
OG0000012	LOC108010292|XP_016930652.1|DSUZ	CCAP1982_LOCUS22583|CAD7014589.1|CCAP
OG0000012	LOC108009919|XP_016930137.1|DSUZ	CCAP1982_LOCUS22582|CAD7014587.1|CCAP
OG0000012	LOC108009918|XP_016930133.2|DSUZ	CCAP1982_LOCUS22581|CAD7014586.1|CCAP
OG0000012	LOC108010305|XP_016930677.1|DSUZ	CCAP1982_LOCUS22585|CAD7014591.1|CCAP, CCAP1982_LOCUS22590|CAD7014596.1|CCAP, CCAP1982_LOCUS22584|CAD7014590.1|CCAP
OG0000012	LOC108008915|XP_016928309.1|DSUZ, LOC108008111|XP_016927389.1|DSUZ, LOC108008112|XP_016927391.1|DSUZ, LOC108008405|XP_016927739.1|DSUZ, LOC108008893|XP_036669248.1|DSUZ, LOC108008513|XP_016927870.1|DSUZ, LOC108008168|XP_036669662.1|DSUZ, LOC108009570|XP_016929524.1|DSUZ, LOC108009572|XP_016929528.1|DSUZ, LOC108009569|XP_016929521.1|DSUZ, LOC108009571|XP_016929527.1|DSUZ	CCAP1982_LOCUS22586|CAD7014592.1|CCAP, CCAP1982_LOCUS22591|CAD7014597.1|CCAP
OG0000013	LOC108009479|XP_016929350.1|DSUZ	CCAP1982_LOCUS7142|CAD6998559.1|CCAP
OG0000013	LOC108004911|XP_016923486.2|DSUZ	CCAP1982_LOCUS4900|CAD6996212.1|CCAP
OG0000013	LOC108012921|XP_016933934.1|DSUZ	CCAP1982_LOCUS14162|CAD7005816.1|CCAP
OG0000013	LOC108018484|XP_016941530.2|DSUZ	CCAP1982_LOCUS3120|CAD6994367.1|CCAP
OG0000013	LOC108015759|XP_036673283.1|DSUZ	CCAP1982_LOCUS2756|CAD6993971.1|CCAP
OG0000013	LOC108007391|XP_016926534.2|DSUZ	CCAP1982_LOCUS8036|CAD6999511.1|CCAP, CCAP1982_LOCUS8037|CAD6999512.1|CCAP, CCAP1982_LOCUS8038|CAD6999513.1|CCAP, CCAP1982_LOCUS8039|CAD6999514.1|CCAP
OG0000014	LOC118878921|XP_036677800.1|DSUZ, LOC118879013|XP_036677866.1|DSUZ, LOC118879735|XP_036678526.1|DSUZ, LOC118879094|XP_036677971.1|DSUZ, LOC118879246|XP_036678025.1|DSUZ, LOC118878839|XP_036677760.1|DSUZ, LOC118878508|XP_036677404.1|DSUZ, LOC118878474|XP_036677365.1|DSUZ, LOC118878368|XP_036677001.1|DSUZ, LOC118878106|XP_036675365.1|DSUZ, LOC118879593|XP_036678396.1|DSUZ, LOC118878521|XP_036677419.1|DSUZ, LOC118877177|XP_036670313.1|DSUZ, LOC118879093|XP_036677970.1|DSUZ, LOC118878475|XP_036677366.1|DSUZ, LOC118879451|XP_036678220.1|DSUZ, LOC108005664|XP_016924475.1|DSUZ	CCAP1982_LOCUS11944|CAD7003494.1|CCAP
OG0000014	LOC118878840|XP_036677761.1|DSUZ, LOC118878431|XP_036677301.1|DSUZ	CCAP1982_LOCUS11701|CAD7003239.1|CCAP
OG0000014	LOC118879539|XP_036678287.1|DSUZ	CCAP1982_LOCUS10103|CAD7001609.1|CCAP, CCAP1982_LOCUS9877|CAD7001380.1|CCAP, CCAP1982_LOCUS9942|CAD7001445.1|CCAP, CCAP1982_LOCUS4171|CAD6995456.1|CCAP, CCAP1982_LOCUS10567|CAD7002079.1|CCAP, CCAP1982_LOCUS10503|CAD7002015.1|CCAP, CCAP1982_LOCUS6284|CAD6997653.1|CCAP, CCAP1982_LOCUS10032|CAD7001536.1|CCAP, CCAP1982_LOCUS8024|CAD6999500.1|CCAP, CCAP1982_LOCUS9769|CAD7001271.1|CCAP, CCAP1982_LOCUS9400|CAD7000925.1|CCAP, CCAP1982_LOCUS10108|CAD7001614.1|CCAP
OG0000016	LOC118877550|XP_036672553.1|DSUZ, LOC108019413|XP_016942724.1|DSUZ, LOC108009286|XP_016929004.1|DSUZ	CCAP1982_LOCUS2337|CAD6993525.1|CCAP
OG0000016	LOC108008079|XP_016927358.2|DSUZ	CCAP1982_LOCUS4238|CAD6995526.1|CCAP
OG0000016	LOC108009982|XP_016930246.1|DSUZ	CCAP1982_LOCUS8417|CAD6999907.1|CCAP
OG0000016	LOC108006430|XP_016925443.1|DSUZ	CCAP1982_LOCUS4923|CAD6996239.1|CCAP
OG0000016	LOC108007764|XP_016927008.1|DSUZ	CCAP1982_LOCUS22100|CAD7014094.1|CCAP
OG0000017	LOC108009448|XP_016929291.1|DSUZ, LOC108016443|XP_036678346.1|DSUZ, LOC108016442|XP_036678332.1|DSUZ, LOC108016444|XP_016938585.2|DSUZ, LOC108015556|XP_016937525.2|DSUZ	CCAP1982_LOCUS887|CAD6992001.1|CCAP, CCAP1982_LOCUS5151|CAD6996482.1|CCAP, CCAP1982_LOCUS5152|CAD6996483.1|CCAP, CCAP1982_LOCUS1600|CAD6992760.1|CCAP, CCAP1982_LOCUS1623|CAD6992784.1|CCAP, CCAP1982_LOCUS2262|CAD6993449.1|CCAP
OG0000018	LOC108012738|XP_016933660.1|DSUZ	CCAP1982_LOCUS12552|CAD7004131.1|CCAP
OG0000018	LOC108012644|XP_016933559.1|DSUZ	CCAP1982_LOCUS12546|CAD7004125.1|CCAP
OG0000018	LOC108012663|XP_016933579.1|DSUZ	CCAP1982_LOCUS12550|CAD7004129.1|CCAP
OG0000018	LOC108013582|XP_016934999.1|DSUZ	CCAP1982_LOCUS12549|CAD7004128.1|CCAP, CCAP1982_LOCUS12547|CAD7004126.1|CCAP, CCAP1982_LOCUS12548|CAD7004127.1|CCAP
OG0000019	LOC108016142|XP_016938246.1|DSUZ, LOC108016122|XP_036675619.1|DSUZ, LOC118878133|XP_036675618.1|DSUZ, LOC108016148|XP_016938252.2|DSUZ, LOC108016158|XP_036675606.1|DSUZ, LOC108016141|XP_016938245.1|DSUZ, LOC108016139|XP_016938240.1|DSUZ, LOC108016146|XP_016938250.2|DSUZ	CCAP1982_LOCUS3032|CAD6994271.1|CCAP, CCAP1982_LOCUS3435|CAD6994700.1|CCAP, CCAP1982_LOCUS3434|CAD6994699.1|CCAP
OG0000020	LOC108007025|XP_016926120.1|DSUZ, LOC108007202|XP_036674589.1|DSUZ	CCAP1982_LOCUS1146|CAD6992278.1|CCAP
OG0000020	LOC108013616|XP_036668598.1|DSUZ, LOC118877588|XP_036672754.1|DSUZ, LOC108016353|XP_036675239.1|DSUZ, LOC108010328|XP_016930743.1|DSUZ, LOC108021143|XP_036673557.1|DSUZ	CCAP1982_LOCUS1002|CAD6992120.1|CCAP
OG0000020	LOC108015714|XP_036672549.1|DSUZ	CCAP1982_LOCUS998|CAD6992114.1|CCAP, CCAP1982_LOCUS1001|CAD6992117.1|CCAP
OG0000020	LOC108021708|XP_016946031.1|DSUZ, LOC108021147|XP_016945207.1|DSUZ	CCAP1982_LOCUS999|CAD6992115.1|CCAP
OG0000021	LOC108018719|XP_036672548.1|DSUZ	CCAP1982_LOCUS162|CAD6991224.1|CCAP
OG0000022	LOC108008926|XP_016928324.1|DSUZ	CCAP1982_LOCUS19689|CAD7011600.1|CCAP
OG0000022	LOC108013020|XP_016934100.1|DSUZ, LOC108013019|XP_016934099.1|DSUZ, LOC118877165|XP_036670261.1|DSUZ	CCAP1982_LOCUS20712|CAD7012626.1|CCAP, CCAP1982_LOCUS20711|CAD7012625.1|CCAP, CCAP1982_LOCUS20713|CAD7012627.1|CCAP, CCAP1982_LOCUS20710|CAD7012624.1|CCAP, CCAP1982_LOCUS20709|CAD7012623.1|CCAP
OG0000023	LOC108019337|XP_016942646.2|DSUZ, LOC108009166|XP_016928770.1|DSUZ, LOC108018731|XP_036675082.1|DSUZ	CCAP1982_LOCUS4737|CAD6996031.1|CCAP
OG0000023	LOC108013954|XP_016935453.2|DSUZ	CCAP1982_LOCUS4757|CAD6996050.1|CCAP, CCAP1982_LOCUS4749|CAD6996043.1|CCAP
OG0000023	LOC108013962|XP_016935466.1|DSUZ	CCAP1982_LOCUS4752|CAD6996046.1|CCAP
OG0000023	LOC108013947|XP_036675218.1|DSUZ	CCAP1982_LOCUS4751|CAD6996045.1|CCAP
OG0000023	LOC108013965|XP_016935470.1|DSUZ	CCAP1982_LOCUS4754|CAD6996047.1|CCAP
OG0000024	LOC108021416|XP_016945617.2|DSUZ, LOC108021417|XP_016945618.1|DSUZ, LOC108021415|XP_016945616.1|DSUZ	CCAP1982_LOCUS20674|CAD7012589.1|CCAP, CCAP1982_LOCUS20677|CAD7012592.1|CCAP, CCAP1982_LOCUS20675|CAD7012590.1|CCAP
OG0000025	LOC118878857|XP_036677777.1|DSUZ, LOC108016325|XP_016938451.2|DSUZ, LOC108016331|XP_036678431.1|DSUZ	CCAP1982_LOCUS6236|CAD6997600.1|CCAP
OG0000026	LOC108005489|XP_016924284.1|DSUZ, LOC108014363|XP_016935943.1|DSUZ, LOC108013851|XP_016935328.2|DSUZ	CCAP1982_LOCUS20099|CAD7011988.1|CCAP, CCAP1982_LOCUS19694|CAD7011605.1|CCAP, CCAP1982_LOCUS19695|CAD7011606.1|CCAP, CCAP1982_LOCUS20098|CAD7011987.1|CCAP, CCAP1982_LOCUS19700|CAD7011611.1|CCAP, CCAP1982_LOCUS20101|CAD7011990.1|CCAP, CCAP1982_LOCUS20096|CAD7011985.1|CCAP
OG0000027	LOC118879783|XP_036678676.1|DSUZ	CCAP1982_LOCUS8299|CAD6999776.1|CCAP
OG0000027	LOC108021423|XP_016945624.1|DSUZ	CCAP1982_LOCUS8293|CAD6999770.1|CCAP
OG0000027	LOC108015770|XP_036678674.1|DSUZ	CCAP1982_LOCUS8298|CAD6999775.1|CCAP, CCAP1982_LOCUS8294|CAD6999771.1|CCAP, CCAP1982_LOCUS8297|CAD6999774.1|CCAP, CCAP1982_LOCUS8296|CAD6999773.1|CCAP
OG0000028	LOC108017017|XP_036670659.1|DSUZ, LOC108017016|XP_036672473.1|DSUZ	CCAP1982_LOCUS11984|CAD7003534.1|CCAP
