Orthogroup	DSUZ.longest_only	DMEL.longest_only
OG0000000	LOC108012249|XP_016933037.1|DSUZ, LOC108012248|XP_016933036.1|DSUZ	CG33700|NP_001027121.3|DMEL
OG0000000	LOC108013696|XP_016935107.1|DSUZ	CG33679|NP_001027273.1|DMEL
OG0000000	LOC108013925|XP_016935418.2|DSUZ	CG33783|NP_001027168.1|DMEL
OG0000000	LOC108019563|XP_016942889.1|DSUZ	CG33775|NP_001027410.1|DMEL
OG0000000	LOC118877230|XP_036670644.1|DSUZ	CG33687|NP_001027130.2|DMEL
OG0000000	LOC108007474|XP_036670349.1|DSUZ	CG33690|NP_001368948.1|DMEL
OG0000000	LOC108018332|XP_016941362.2|DSUZ, LOC108007476|XP_036670350.1|DSUZ	CG33688|NP_001027131.1|DMEL
OG0000000	LOC108007475|XP_016926645.1|DSUZ	CG33689|NP_001027132.2|DMEL
OG0000000	LOC108008220|XP_016927499.2|DSUZ	CG12849|NP_611969.2|DMEL
OG0000000	LOC108021133|XP_036668720.1|DSUZ	CG33654|NP_001027165.1|DMEL
OG0000000	LOC108012145|XP_036675462.1|DSUZ	CG33773|NP_001027213.1|DMEL
OG0000000	LOC108016521|XP_036671132.1|DSUZ	CG33723|NP_001027235.1|DMEL
OG0000000	LOC108017700|XP_016940298.1|DSUZ	CG33463|NP_995846.2|DMEL
OG0000000	LOC108020024|XP_036672415.1|DSUZ	CG33764|NP_001027107.1|DMEL, CG33912|NP_001027139.1|DMEL, CG33632|NP_001036537.1|DMEL
OG0000000	LOC108011960|XP_036678587.1|DSUZ	CG33923|NP_001027216.2|DMEL, CG33922|NP_001027217.1|DMEL
OG0000000	LOC108012154|XP_036675464.1|DSUZ	CG33483|NP_001189327.1|DMEL
OG0000000	LOC108011715|XP_016932464.1|DSUZ, LOC108011630|XP_016932347.1|DSUZ, LOC108013366|XP_036668607.1|DSUZ	CG33648|NP_001027265.2|DMEL
OG0000000	LOC108013429|XP_016934786.2|DSUZ	CG33928|NP_001027276.1|DMEL
OG0000000	LOC108017737|XP_016940334.1|DSUZ	CG33453|NP_995888.1|DMEL
OG0000000	LOC108008212|XP_016927490.1|DSUZ, LOC108005325|XP_016924081.1|DSUZ, LOC108008213|XP_016927491.1|DSUZ	CG13590|NP_611919.1|DMEL, CG13589|NP_611918.2|DMEL
OG0000000	LOC108020157|XP_036673587.1|DSUZ	CG14518|NP_651653.2|DMEL
OG0000000	LOC118878061|XP_036675143.1|DSUZ	CG33927|NP_001027147.1|DMEL
OG0000000	LOC108007479|XP_036670397.1|DSUZ	CG33796|NP_001027128.1|DMEL
OG0000000	LOC108007497|XP_016926669.2|DSUZ	CG33795|NP_001027129.2|DMEL
OG0000000	LOC108021799|XP_036676928.1|DSUZ	CG33725|NP_001027125.1|DMEL
OG0000002	LOC108008721|XP_016928110.1|DSUZ	CG5550|NP_001246376.1|DMEL
OG0000002	LOC108009088|XP_016928634.1|DSUZ	CG30281|NP_726164.1|DMEL
OG0000002	LOC108009087|XP_016928633.1|DSUZ	CG30280|NP_611641.6|DMEL
OG0000002	LOC108011106|XP_016931667.2|DSUZ	CG31832|NP_723894.2|DMEL
OG0000002	LOC108005613|XP_016924412.2|DSUZ, LOC108007472|XP_016926646.1|DSUZ, LOC108006207|XP_036671750.1|DSUZ, LOC108005528|XP_016924310.2|DSUZ, LOC108006739|XP_016925771.1|DSUZ, LOC108005537|XP_016924320.2|DSUZ	CG7668|NP_649170.1|DMEL
OG0000003	LOC108008945|XP_016928345.1|DSUZ	Cyp6a9|NP_523748.2|DMEL
OG0000003	LOC108008944|XP_016928343.1|DSUZ	Cyp6a21|NP_611003.2|DMEL
OG0000003	LOC118877697|XP_036673424.1|DSUZ	Cyp6a18|NP_651563.1|DMEL
OG0000003	LOC108008943|XP_016928342.1|DSUZ	Cyp6a8|NP_523749.2|DMEL
OG0000003	LOC108018006|XP_016940848.1|DSUZ	Cyp6a2|NP_523628.1|DMEL
OG0000003	LOC108008949|XP_016928349.1|DSUZ	Cyp6a23|NP_611000.2|DMEL
OG0000003	LOC108008948|XP_016928348.1|DSUZ	Cyp6a17|NP_652018.1|DMEL
OG0000003	LOC108008950|XP_016928350.1|DSUZ	Cyp6a22|NP_652075.1|DMEL
OG0000003	LOC108019593|XP_016942923.1|DSUZ	Cyp6a13|NP_610390.1|DMEL
OG0000003	LOC108007096|XP_016926191.1|DSUZ	Cyp6a16|NP_001285631.1|DMEL
OG0000005	LOC118879641|XP_036678429.1|DSUZ	His2B_CG33910|NP_001027283.1|DMEL
OG0000005	LOC118877314|XP_036671399.1|DSUZ, LOC118879261|XP_036678037.1|DSUZ, LOC118879270|XP_036678047.1|DSUZ	His2B_CG33900|NP_001027305.1|DMEL, His2B_CG33892|NP_001027325.1|DMEL
OG0000005	LOC118879258|XP_036678034.1|DSUZ	His2B_CG33884|NP_001027345.1|DMEL
OG0000005	LOC118879259|XP_036678035.1|DSUZ	His2B_CG33898|NP_001027310.1|DMEL
OG0000005	LOC118877313|XP_036671386.1|DSUZ	His2B_CG33896|NP_001027315.1|DMEL
OG0000006	LOC118879269|XP_036678046.1|DSUZ, LOC118879646|XP_036678433.1|DSUZ	His2A_CG33850|NP_001027361.1|DMEL
OG0000006	LOC118879645|XP_036678432.1|DSUZ	His2A_CG33853|NP_001027366.1|DMEL, His2A_CG33856|NP_001027371.1|DMEL, His2A_CG33859|NP_001027376.1|DMEL
OG0000007	LOC118877416|XP_036672028.1|DSUZ	Jon65Aiv|NP_648012.1|DMEL
OG0000007	LOC108013025|XP_016934104.1|DSUZ	Jon65Aiii|NP_648013.1|DMEL
