Orthogroup	DSUZ.longest_only	DPSE.longest_only
OG0000000	LOC108019552|XP_036669814.1|DSUZ	LOC6898781|XP_002138758.2|DPSE, LOC6898696|XP_002138701.1|DPSE, LOC6898697|XP_033233391.1|DPSE
OG0000000	LOC108013696|XP_016935107.1|DSUZ	LOC6898698|XP_015040315.2|DPSE
OG0000000	LOC108013925|XP_016935418.2|DSUZ	LOC117183397|XP_033233111.1|DPSE, LOC6896911|XP_033233104.1|DPSE, LOC6903758|XP_033233103.1|DPSE, LOC6896909|XP_033233091.1|DPSE, LOC117183375|XP_033233001.1|DPSE, LOC6896910|XP_033232943.1|DPSE, LOC117183356|XP_033232942.1|DPSE
OG0000000	LOC108011771|XP_036670496.1|DSUZ, LOC118877506|XP_036672430.1|DSUZ	LOC6896908|XP_033233090.1|DPSE
OG0000000	LOC108019563|XP_016942889.1|DSUZ	LOC6898695|XP_002138700.2|DPSE
OG0000000	LOC118877230|XP_036670644.1|DSUZ	LOC117184977|XP_033240205.1|DPSE
OG0000000	LOC108007474|XP_036670349.1|DSUZ	LOC6900000|XP_002135366.3|DPSE
OG0000000	LOC108018332|XP_016941362.2|DSUZ, LOC108007476|XP_036670350.1|DSUZ, LOC108007475|XP_016926645.1|DSUZ	LOC6899999|XP_033240207.1|DPSE
OG0000000	LOC108008220|XP_016927499.2|DSUZ	LOC4804691|XP_001361210.2|DPSE
OG0000000	LOC108021133|XP_036668720.1|DSUZ, LOC108014040|XP_016935546.2|DSUZ	LOC6896672|XP_033232290.1|DPSE
OG0000000	LOC118878117|XP_036675454.1|DSUZ	LOC26532949|XP_015039423.1|DPSE
OG0000000	LOC118878125|XP_036675508.1|DSUZ	LOC6896676|XP_033241757.1|DPSE
OG0000000	LOC108012145|XP_036675462.1|DSUZ	LOC6896675|XP_033232980.1|DPSE, LOC13036386|XP_033232979.1|DPSE
OG0000000	LOC108017281|XP_036674029.1|DSUZ, LOC108011502|XP_036674012.1|DSUZ	LOC6898794|XP_033234286.1|DPSE, LOC117183537|XP_033233520.1|DPSE, LOC117183751|XP_033234658.1|DPSE, LOC6898801|XP_033234867.1|DPSE
OG0000000	LOC108011715|XP_016932464.1|DSUZ, LOC108011630|XP_016932347.1|DSUZ, LOC108013366|XP_036668607.1|DSUZ	LOC6896684|XP_002136899.2|DPSE, LOC13036467|XP_033232978.1|DPSE, LOC6896683|XP_002136898.3|DPSE
OG0000000	LOC108013429|XP_016934786.2|DSUZ	LOC6902907|XP_033236216.1|DPSE
OG0000000	LOC108008212|XP_016927490.1|DSUZ, LOC108005325|XP_016924081.1|DSUZ, LOC108008213|XP_016927491.1|DSUZ	LOC117183739|XP_033234612.1|DPSE, LOC117183539|XP_033233554.1|DPSE, LOC4805597|XP_033233553.1|DPSE
OG0000000	LOC108020157|XP_036673587.1|DSUZ	LOC4801605|XP_001358672.2|DPSE
OG0000000	LOC108012280|XP_036672320.1|DSUZ	LOC6897749|XP_033232309.1|DPSE
OG0000001	LOC118879535|XP_036678284.1|DSUZ, LOC118879596|XP_036678401.1|DSUZ	LOC117185672|XP_033241852.1|DPSE, LOC117184861|XP_033239816.1|DPSE
OG0000001	LOC108020087|XP_016943677.1|DSUZ	LOC117183652|XP_033234147.1|DPSE, LOC117183653|XP_033234148.1|DPSE, LOC117184892|XP_033239892.1|DPSE, LOC117183651|XP_033234146.1|DPSE, LOC117183772|XP_033234922.1|DPSE, LOC117184855|XP_033239804.1|DPSE
OG0000001	LOC118878276|XP_036676059.1|DSUZ, LOC118878557|XP_036677467.1|DSUZ, LOC118879675|XP_036678469.1|DSUZ, LOC118879224|XP_036678009.1|DSUZ, LOC118879307|XP_036678060.1|DSUZ, LOC118878659|XP_036677594.1|DSUZ, LOC118878942|XP_036677819.1|DSUZ, LOC118879471|XP_036678240.1|DSUZ, LOC118878546|XP_036677455.1|DSUZ, LOC118878858|XP_036677778.1|DSUZ, LOC118877840|XP_036673943.1|DSUZ	LOC117183762|XP_033234766.1|DPSE, LOC117184464|XP_033238070.1|DPSE, LOC117184939|XP_033240070.1|DPSE, LOC117183710|XP_033234454.1|DPSE
OG0000001	LOC118879778|XP_036678653.1|DSUZ, LOC118878795|XP_036677709.1|DSUZ, LOC118879348|XP_036678093.1|DSUZ	LOC117184985|XP_033240229.1|DPSE
OG0000001	LOC118878459|XP_036677349.1|DSUZ	LOC6899689|XP_015044449.2|DPSE, LOC117184831|XP_033239700.1|DPSE, LOC117185157|XP_033241160.1|DPSE, LOC117183639|XP_033234125.1|DPSE, LOC117184075|XP_033236063.1|DPSE, LOC6899580|XP_033235226.1|DPSE, LOC117184644|XP_033239077.1|DPSE
OG0000002	LOC108009088|XP_016928634.1|DSUZ	LOC6899110|XP_033234698.1|DPSE
OG0000002	LOC108009087|XP_016928633.1|DSUZ	LOC6899111|XP_002139028.1|DPSE
OG0000002	LOC108011106|XP_016931667.2|DSUZ	LOC6903424|XP_002132303.3|DPSE, LOC6903440|XP_033236733.1|DPSE, LOC6903450|XP_002132329.2|DPSE, LOC6902906|XP_002132639.3|DPSE
OG0000002	LOC108005613|XP_016924412.2|DSUZ, LOC108007472|XP_016926646.1|DSUZ, LOC108006207|XP_036671750.1|DSUZ, LOC108005528|XP_016924310.2|DSUZ, LOC108006739|XP_016925771.1|DSUZ, LOC108005537|XP_016924320.2|DSUZ	LOC6900542|XP_033238667.1|DPSE
