Orthogroup	DSUZ.longest_only	DELE.longest_only
OG0000000	LOC108012249|XP_016933037.1|DSUZ, LOC108012248|XP_016933036.1|DSUZ	LOC108150093|XP_017133546.1|DELE
OG0000000	LOC108019552|XP_036669814.1|DSUZ	LOC108148460|XP_017130981.1|DELE
OG0000000	LOC108013696|XP_016935107.1|DSUZ	LOC108139044|XP_017117150.1|DELE
OG0000000	LOC108013925|XP_016935418.2|DSUZ	LOC108135022|XP_017111043.1|DELE
OG0000000	LOC118877230|XP_036670644.1|DSUZ	LOC108145339|XP_017126217.1|DELE, LOC108145638|XP_017126662.1|DELE
OG0000000	LOC108018332|XP_016941362.2|DSUZ, LOC108007476|XP_036670350.1|DSUZ	LOC108145787|XP_017126846.1|DELE
OG0000000	LOC108007475|XP_016926645.1|DSUZ	LOC108145637|XP_017126661.1|DELE
OG0000000	LOC108008220|XP_016927499.2|DSUZ	LOC108144294|XP_017124470.1|DELE
OG0000000	LOC108021133|XP_036668720.1|DSUZ	LOC108134556|XP_017110398.1|DELE
OG0000000	LOC108014081|XP_036675273.1|DSUZ, LOC118878117|XP_036675454.1|DSUZ	LOC108150089|XP_017133542.1|DELE
OG0000000	LOC108012145|XP_036675462.1|DSUZ	LOC108143736|XP_017123759.1|DELE
OG0000000	LOC108017281|XP_036674029.1|DSUZ, LOC108011502|XP_036674012.1|DSUZ	LOC108142886|XP_017122451.1|DELE
OG0000000	LOC108016521|XP_036671132.1|DSUZ	LOC108141650|XP_017120608.1|DELE
OG0000000	LOC108017700|XP_016940298.1|DSUZ	LOC108141344|XP_017120143.1|DELE
OG0000000	LOC108008212|XP_016927490.1|DSUZ, LOC108005325|XP_016924081.1|DSUZ, LOC108008213|XP_016927491.1|DSUZ	LOC108144147|XP_017124279.1|DELE
OG0000000	LOC108020157|XP_036673587.1|DSUZ	LOC108147230|XP_017129111.1|DELE
OG0000000	LOC108007497|XP_016926669.2|DSUZ	LOC108145639|XP_017126664.1|DELE
OG0000000	LOC108007477|XP_016926648.2|DSUZ	LOC108145640|XP_017126665.1|DELE
OG0000000	LOC108007738|XP_016926982.2|DSUZ, LOC108021799|XP_036676928.1|DSUZ	LOC108141030|XP_017119608.1|DELE
OG0000002	LOC108008721|XP_016928110.1|DSUZ	LOC108144341|XP_017124554.1|DELE
OG0000002	LOC108009088|XP_016928634.1|DSUZ	LOC108143685|XP_017123691.1|DELE
OG0000002	LOC108009087|XP_016928633.1|DSUZ	LOC108143683|XP_017123690.1|DELE
OG0000002	LOC108007472|XP_016926646.1|DSUZ, LOC108006207|XP_036671750.1|DSUZ	LOC108147339|XP_017129256.1|DELE
OG0000002	LOC108009013|XP_016928477.1|DSUZ	LOC108147831|XP_017130074.1|DELE
OG0000002	LOC108021294|XP_016945474.2|DSUZ	LOC108134735|XP_017110639.1|DELE
OG0000003	LOC108008945|XP_016928345.1|DSUZ	LOC108144467|XP_017124860.1|DELE
OG0000003	LOC108008944|XP_016928343.1|DSUZ	LOC108144671|XP_017125217.1|DELE
OG0000003	LOC108008943|XP_016928342.1|DSUZ	LOC108144670|XP_017125215.1|DELE
OG0000003	LOC108018006|XP_016940848.1|DSUZ	LOC108145092|XP_017125773.1|DELE
OG0000003	LOC108008949|XP_016928349.1|DSUZ, LOC108008948|XP_016928348.1|DSUZ	LOC108144466|XP_017124858.1|DELE
OG0000003	LOC108008946|XP_016928346.1|DSUZ, LOC108008150|XP_016927428.2|DSUZ	LOC108144801|XP_017125415.1|DELE
OG0000003	LOC108008950|XP_016928350.1|DSUZ	LOC108144820|XP_017125440.1|DELE
OG0000003	LOC108019593|XP_016942923.1|DSUZ	LOC108145352|XP_017126230.1|DELE
OG0000003	LOC108019592|XP_016942921.1|DSUZ	LOC108145367|XP_017126250.1|DELE
OG0000007	LOC108004804|XP_016923359.1|DSUZ	LOC108135575|XP_017111853.1|DELE
OG0000007	LOC118877416|XP_036672028.1|DSUZ	LOC108142600|XP_017122060.1|DELE
OG0000007	LOC108013025|XP_016934104.1|DSUZ	LOC108142393|XP_017121722.1|DELE
OG0000007	LOC108013029|XP_016934109.1|DSUZ	LOC108142601|XP_017122061.1|DELE
OG0000007	LOC108013028|XP_016934108.1|DSUZ, LOC108013026|XP_016934106.1|DSUZ	LOC108142394|XP_017121723.1|DELE
OG0000007	LOC118879795|XP_036678702.1|DSUZ	LOC108138840|XP_017116840.1|DELE, LOC108138841|XP_017116841.1|DELE
OG0000007	LOC108017241|XP_036675632.1|DSUZ	LOC108148444|XP_017130968.1|DELE
OG0000007	LOC118876800|XP_036668611.1|DSUZ	LOC108138842|XP_017116842.1|DELE
OG0000007	LOC108009076|XP_016928638.2|DSUZ, LOC108021082|XP_016945089.1|DSUZ, LOC108006463|XP_036673918.1|DSUZ	LOC108138843|XP_017116844.1|DELE, LOC108138844|XP_017116845.1|DELE
OG0000007	LOC108013030|XP_016934110.1|DSUZ	LOC108142396|XP_017121725.1|DELE
OG0000008	LOC108014183|XP_016935707.1|DSUZ	LOC108149642|XP_017132905.1|DELE
OG0000008	LOC108020044|XP_016943629.1|DSUZ	LOC108145869|XP_017126996.1|DELE
OG0000008	LOC118877368|XP_036671791.1|DSUZ	LOC108145867|XP_017126995.1|DELE
OG0000008	LOC108007042|XP_016926141.1|DSUZ	LOC108138029|XP_017115491.1|DELE
OG0000008	LOC108020009|XP_016943583.1|DSUZ	LOC108145871|XP_017126998.1|DELE
OG0000008	LOC108011129|XP_016931690.1|DSUZ	LOC108149861|XP_017133230.1|DELE
OG0000008	LOC108014242|XP_016935768.1|DSUZ	LOC108148320|XP_017130800.1|DELE, LOC108148319|XP_017130799.1|DELE
OG0000008	LOC108014245|XP_016935771.2|DSUZ	LOC108148323|XP_017130803.1|DELE
OG0000008	LOC108006378|XP_036675047.1|DSUZ	LOC108148325|XP_017130805.1|DELE
OG0000008	LOC108014235|XP_016935760.2|DSUZ	LOC108148321|XP_017130801.1|DELE
OG0000008	LOC108014237|XP_016935761.1|DSUZ	LOC108148322|XP_017130802.1|DELE
OG0000008	LOC118878011|XP_036674950.1|DSUZ	LOC108148324|XP_017130804.1|DELE
OG0000009	LOC108014185|XP_016935709.1|DSUZ	LOC108137036|XP_017114024.1|DELE
OG0000009	LOC108014181|XP_016935705.2|DSUZ	LOC108136709|XP_017113523.1|DELE
OG0000009	LOC108011538|XP_036673111.1|DSUZ	LOC108144089|XP_017124230.1|DELE
OG0000009	LOC108015574|XP_036672879.1|DSUZ	LOC108136793|XP_017113657.1|DELE
OG0000009	LOC108014176|XP_016935699.1|DSUZ	LOC108137037|XP_017114025.1|DELE
OG0000009	LOC108011415|XP_036670407.1|DSUZ	LOC108147392|XP_017129317.1|DELE
OG0000009	LOC108008708|XP_016928093.1|DSUZ	LOC108144916|XP_017125568.1|DELE
OG0000009	LOC108019245|XP_036673765.1|DSUZ	LOC108135151|XP_017111261.1|DELE
OG0000009	LOC108008467|XP_016927811.1|DSUZ	LOC108137992|XP_017115455.1|DELE
OG0000009	LOC108008503|XP_016927857.1|DSUZ	LOC108137889|XP_017115317.1|DELE
OG0000010	LOC108014626|XP_016936278.1|DSUZ	LOC108139189|XP_017117303.1|DELE
OG0000011	LOC108005601|XP_016924394.1|DSUZ	LOC108139056|XP_017117164.1|DELE
OG0000011	LOC108018989|XP_016942085.1|DSUZ	LOC108136397|XP_017112996.1|DELE
OG0000011	LOC108021665|XP_016945968.1|DSUZ, LOC108006696|XP_016925727.1|DSUZ, LOC108021664|XP_016945967.1|DSUZ, LOC108009075|XP_016928585.1|DSUZ, LOC108010267|XP_016930620.1|DSUZ	LOC108146665|XP_017128206.1|DELE
OG0000011	LOC108007943|XP_016927205.1|DSUZ	LOC108138672|XP_017116504.1|DELE
OG0000011	LOC108011057|XP_016931608.2|DSUZ	LOC108146131|XP_017127468.1|DELE, LOC108146591|XP_017128102.1|DELE
OG0000011	LOC108017249|XP_016939743.2|DSUZ, LOC108005644|XP_016924447.2|DSUZ, LOC108006711|XP_036671367.1|DSUZ, LOC108020533|XP_016944364.2|DSUZ	LOC108143859|XP_017123910.1|DELE, LOC108137357|XP_017114480.1|DELE
OG0000011	LOC108009845|XP_016930030.1|DSUZ, LOC108007942|XP_016927238.1|DSUZ, LOC108007310|XP_016926446.1|DSUZ	LOC108138785|XP_017116749.1|DELE
OG0000011	LOC108020156|XP_036668757.1|DSUZ, LOC108014609|XP_016936264.1|DSUZ	LOC108150498|XP_017134198.1|DELE
OG0000011	LOC108014635|XP_016936289.1|DSUZ	LOC108150409|XP_017134056.1|DELE
OG0000011	LOC108005222|XP_016923902.1|DSUZ	LOC108138422|XP_017116107.1|DELE
OG0000011	LOC108012408|XP_016933257.1|DSUZ	LOC108146667|XP_017128209.1|DELE
OG0000011	LOC108012407|XP_016933256.1|DSUZ	LOC108146666|XP_017128208.1|DELE
OG0000011	LOC118877899|XP_036674305.1|DSUZ	LOC108139281|XP_017117466.1|DELE
