Orthogroup	DSUZ.longest_only	DPER.longest_only
OG0000000	LOC108019552|XP_036669814.1|DSUZ	LOC6592191|XP_002017761.2|DPER, LOC6603460|XP_002028440.1|DPER, LOC6603459|XP_026842774.1|DPER
OG0000000	LOC108013696|XP_016935107.1|DSUZ	LOC6603458|XP_002028438.2|DPER
OG0000000	LOC108013925|XP_016935418.2|DSUZ	LOC113564914|XP_026840098.1|DPER, LOC6598749|XP_026840097.1|DPER, LOC6598747|XP_026840096.1|DPER, LOC113567337|XP_026850608.1|DPER, LOC6598748|XP_002023814.2|DPER
OG0000000	LOC108011771|XP_036670496.1|DSUZ, LOC118877506|XP_036672430.1|DSUZ	LOC6598745|XP_026840088.1|DPER
OG0000000	LOC108019563|XP_016942889.1|DSUZ	LOC6603462|XP_002028442.1|DPER
OG0000000	LOC118877230|XP_036670644.1|DSUZ	LOC6599796|XP_002024966.2|DPER
OG0000000	LOC108008220|XP_016927499.2|DSUZ	LOC6592293|XP_002018412.1|DPER
OG0000000	LOC108021133|XP_036668720.1|DSUZ, LOC108014040|XP_016935546.2|DSUZ	LOC6594745|XP_002020397.2|DPER
OG0000000	LOC118878125|XP_036675508.1|DSUZ	LOC6594749|XP_026851250.1|DPER
OG0000000	LOC108012145|XP_036675462.1|DSUZ	LOC113567467|XP_026851261.1|DPER, LOC6594748|XP_026851256.1|DPER
OG0000000	LOC108017281|XP_036674029.1|DSUZ, LOC108011502|XP_036674012.1|DSUZ	LOC6593032|XP_002017709.2|DPER, LOC6593087|XP_026841436.1|DPER, LOC6593031|XP_026841437.1|DPER
OG0000000	LOC108012139|XP_036675579.1|DSUZ	LOC113564899|XP_026839990.1|DPER
OG0000000	LOC108011715|XP_016932464.1|DSUZ, LOC108011630|XP_016932347.1|DSUZ, LOC108013366|XP_036668607.1|DSUZ	LOC6595061|XP_026851238.1|DPER, LOC6595060|XP_002020414.2|DPER
OG0000000	LOC108013429|XP_016934786.2|DSUZ	LOC113565649|XP_026844091.1|DPER
OG0000000	LOC108008212|XP_016927490.1|DSUZ, LOC108005325|XP_016924081.1|DSUZ, LOC108008213|XP_016927491.1|DSUZ	LOC113565213|XP_026842527.1|DPER, LOC6601308|XP_026842517.1|DPER, LOC6601309|XP_002026347.2|DPER
OG0000000	LOC108020157|XP_036673587.1|DSUZ	LOC6587480|XP_002013644.2|DPER
OG0000001	LOC118878276|XP_036676059.1|DSUZ, LOC118878557|XP_036677467.1|DSUZ, LOC118879675|XP_036678469.1|DSUZ, LOC118879224|XP_036678009.1|DSUZ, LOC118879307|XP_036678060.1|DSUZ, LOC118878659|XP_036677594.1|DSUZ, LOC118878942|XP_036677819.1|DSUZ, LOC118879471|XP_036678240.1|DSUZ, LOC118878546|XP_036677455.1|DSUZ, LOC118878858|XP_036677778.1|DSUZ, LOC118877840|XP_036673943.1|DSUZ	LOC113566438|XP_026847737.1|DPER
OG0000002	LOC108009088|XP_016928634.1|DSUZ	LOC6601614|XP_002026650.2|DPER
OG0000002	LOC108009087|XP_016928633.1|DSUZ	LOC6601615|XP_026841465.1|DPER
OG0000002	LOC108005613|XP_016924412.2|DSUZ, LOC108007472|XP_016926646.1|DSUZ, LOC108006207|XP_036671750.1|DSUZ, LOC108005528|XP_016924310.2|DSUZ, LOC108006739|XP_016925771.1|DSUZ, LOC108005537|XP_016924320.2|DSUZ	LOC6595741|XP_026845259.1|DPER
OG0000002	LOC108009013|XP_016928477.1|DSUZ	LOC6596381|XP_002021534.2|DPER
OG0000003	LOC108008945|XP_016928345.1|DSUZ, LOC108008944|XP_016928343.1|DSUZ	LOC6591231|XP_002016677.1|DPER
OG0000003	LOC118877697|XP_036673424.1|DSUZ, LOC108008943|XP_016928342.1|DSUZ	LOC6590819|XP_026841177.1|DPER
OG0000003	LOC108018006|XP_016940848.1|DSUZ	LOC6590049|XP_002015522.1|DPER
OG0000003	LOC108008949|XP_016928349.1|DSUZ, LOC108008948|XP_016928348.1|DSUZ	LOC6591234|XP_002016680.1|DPER, LOC6591233|XP_002016679.1|DPER
OG0000003	LOC108008946|XP_016928346.1|DSUZ, LOC108008150|XP_016927428.2|DSUZ	LOC6591232|XP_002016678.1|DPER
OG0000003	LOC108008950|XP_016928350.1|DSUZ	LOC6591235|XP_002016681.1|DPER
OG0000003	LOC108019593|XP_016942923.1|DSUZ	LOC6591236|XP_002016682.2|DPER
OG0000003	LOC108019592|XP_016942921.1|DSUZ, LOC108019594|XP_016942924.1|DSUZ	LOC6591237|XP_026840952.1|DPER, LOC6591238|XP_002016684.1|DPER
OG0000003	LOC108007096|XP_016926191.1|DSUZ	LOC6596552|XP_002021689.1|DPER
