Orthogroup	DSUZ.longest_only	DSUP.longest_only
OG0000000	LOC108012249|XP_016933037.1|DSUZ	LOC119555218|XP_037722409.1|DSUP
OG0000000	LOC108012248|XP_016933036.1|DSUZ	LOC119555236|XP_037722444.1|DSUP
OG0000000	LOC108019552|XP_036669814.1|DSUZ	LOC119551980|XP_037717623.1|DSUP
OG0000000	LOC108013696|XP_016935107.1|DSUZ	LOC119548573|XP_037711818.1|DSUP
OG0000000	LOC108013925|XP_016935418.2|DSUZ	LOC119560985|XP_037730690.1|DSUP
OG0000000	LOC108019563|XP_016942889.1|DSUZ	LOC119551998|XP_037717650.1|DSUP
OG0000000	LOC118877230|XP_036670644.1|DSUZ	LOC119555358|XP_037722624.1|DSUP
OG0000000	LOC108007474|XP_036670349.1|DSUZ	LOC119555354|XP_037722619.1|DSUP
OG0000000	LOC108018332|XP_016941362.2|DSUZ	LOC119555355|XP_037722621.1|DSUP
OG0000000	LOC108007476|XP_036670350.1|DSUZ	LOC119555357|XP_037722623.1|DSUP
OG0000000	LOC108007475|XP_016926645.1|DSUZ	LOC119552809|XP_037718575.1|DSUP
OG0000000	LOC108008220|XP_016927499.2|DSUZ	LOC119549854|XP_037714077.1|DSUP
OG0000000	LOC108014040|XP_016935546.2|DSUZ	LOC119563094|XP_037732252.1|DSUP
OG0000000	LOC108014081|XP_036675273.1|DSUZ	LOC119551506|XP_037716808.1|DSUP
OG0000000	LOC118878125|XP_036675508.1|DSUZ	LOC119562944|XP_037732029.1|DSUP
OG0000000	LOC108012145|XP_036675462.1|DSUZ	LOC119554400|XP_037721217.1|DSUP
OG0000000	LOC108017281|XP_036674029.1|DSUZ, LOC108011502|XP_036674012.1|DSUZ	LOC119553046|XP_037719085.1|DSUP
OG0000000	LOC108016521|XP_036671132.1|DSUZ	LOC119546175|XP_037708225.1|DSUP
OG0000000	LOC108017700|XP_016940298.1|DSUZ	LOC119549570|XP_037713651.1|DSUP
OG0000000	LOC108016425|XP_016938565.2|DSUZ	LOC119549516|XP_037713556.1|DSUP
OG0000000	LOC108020024|XP_036672415.1|DSUZ	LOC119555097|XP_037722243.1|DSUP
OG0000000	LOC108011960|XP_036678587.1|DSUZ	LOC119548144|XP_037711170.1|DSUP
OG0000000	LOC108012138|XP_036675463.1|DSUZ	LOC119562016|XP_037731317.1|DSUP
OG0000000	LOC108012139|XP_036675579.1|DSUZ	LOC119554309|XP_037721101.1|DSUP
OG0000000	LOC108012154|XP_036675464.1|DSUZ	LOC119563229|XP_037732462.1|DSUP
OG0000000	LOC108011630|XP_016932347.1|DSUZ, LOC108013366|XP_036668607.1|DSUZ	LOC119547184|XP_037709847.1|DSUP
OG0000000	LOC108011579|XP_036673946.1|DSUZ	LOC119552082|XP_037717789.1|DSUP
OG0000000	LOC108013429|XP_016934786.2|DSUZ	LOC119546339|XP_037708468.1|DSUP
OG0000000	LOC118877061|XP_036669823.1|DSUZ	LOC119549506|XP_037713545.1|DSUP
OG0000000	LOC108017737|XP_016940334.1|DSUZ	LOC119549505|XP_037713544.1|DSUP
OG0000000	LOC108008212|XP_016927490.1|DSUZ	LOC119549843|XP_037714063.1|DSUP
