Orthogroup	AEAL.longest_only	AAEG.longest_only
OG0000002	LOC115267447|XP_029730304.1|AEAL	LOC5568253|XP_001657952.2|AAEG
OG0000002	LOC109408162|XP_019536944.2|AEAL, LOC109411104|XP_019540095.2|AEAL	LOC5570871|XP_001659383.2|AAEG
OG0000002	LOC115260605|XP_029717480.1|AEAL, LOC109423035|XP_029717489.1|AEAL, LOC109400931|XP_019528968.1|AEAL, LOC109400921|XP_019553236.2|AEAL, LOC115260619|XP_029717519.1|AEAL, LOC115260618|XP_029717518.1|AEAL, LOC109400889|XP_029717517.1|AEAL, LOC115260641|XP_029717583.1|AEAL, LOC109400932|XP_019528970.2|AEAL, LOC115260609|XP_029717488.1|AEAL, LOC109422815|XP_019553244.2|AEAL, LOC109413005|XP_019542224.2|AEAL, LOC109430155|XP_019561733.2|AEAL, LOC109413124|XP_019542389.2|AEAL	LOC5575089|XP_001661797.2|AAEG, LOC5575073|XP_001661796.2|AAEG
OG0000002	LOC109424669|XP_019555383.2|AEAL	LOC5572884|XP_021705045.1|AAEG
OG0000002	LOC115262564|XP_029720824.1|AEAL, LOC109424713|XP_029721106.1|AEAL	LOC110678182|XP_021706497.1|AAEG, LOC110680512|XP_021712002.1|AAEG
OG0000002	LOC109421668|XP_029732765.1|AEAL, LOC109427771|XP_019558940.2|AEAL, LOC109421763|XP_019551842.2|AEAL, LOC109425501|XP_019556332.2|AEAL, LOC109421764|XP_019551843.2|AEAL	LOC5570143|XP_001653125.1|AAEG
OG0000002	LOC109415861|XP_029719818.1|AEAL, LOC109402720|XP_029717961.1|AEAL	LOC5572055|XP_001653820.1|AAEG, LOC110681444|XP_021712898.1|AAEG
OG0000002	LOC115263125|XP_029721902.1|AEAL, LOC109430246|XP_019561842.2|AEAL, LOC109416944|XP_019546605.2|AEAL	LOC5574240|XP_001661293.1|AAEG
OG0000002	LOC115265443|XP_029726462.1|AEAL, LOC109426996|XP_019558100.2|AEAL, LOC109411377|XP_019540446.2|AEAL, LOC115266493|XP_029728592.1|AEAL	LOC5569832|XP_001658732.2|AAEG
OG0000002	LOC109403760|XP_019532176.2|AEAL, LOC109416948|XP_019546608.2|AEAL	LOC5574239|XP_001661294.1|AAEG
OG0000002	LOC109400072|XP_019528089.2|AEAL, LOC109621611|XP_019931245.2|AEAL	LOC5577410|XP_021711700.1|AAEG
OG0000003	LOC109409211|XP_019538182.2|AEAL	LOC5571532|XP_001653677.1|AAEG
OG0000003	LOC109421551|XP_019551616.2|AEAL	LOC5571524|XP_001653676.1|AAEG
OG0000003	LOC109409210|XP_019538181.2|AEAL	LOC5571533|XP_001653678.1|AAEG
OG0000003	LOC115255001|XP_029708566.1|AEAL, LOC109398259|XP_019526126.2|AEAL	LOC5572939|XP_021702543.1|AAEG, LOC5572936|XP_021702544.1|AAEG
OG0000003	LOC109421477|XP_019551518.2|AEAL	LOC5571526|XP_001653672.1|AAEG
OG0000003	LOC109421555|XP_019551619.2|AEAL	LOC23687976|XP_021703143.1|AAEG
OG0000003	LOC109409164|XP_019538127.2|AEAL	LOC5571529|XP_001653674.1|AAEG
OG0000003	LOC109421553|XP_019551618.2|AEAL	LOC5571528|XP_001653673.1|AAEG
OG0000003	LOC109421549|XP_019551614.2|AEAL, LOC109409160|XP_019538123.2|AEAL	LOC5571549|XP_001653671.1|AAEG
OG0000003	LOC109421556|XP_019551620.2|AEAL	LOC5571536|XP_021703140.1|AAEG
OG0000003	LOC109425972|XP_029731864.1|AEAL	LOC23687959|XP_011493176.1|AAEG
OG0000003	LOC109421559|XP_019551624.2|AEAL	LOC5571540|XP_001653687.3|AAEG
OG0000003	LOC109409168|XP_029727109.1|AEAL	LOC5571537|XP_001653682.1|AAEG
