Orthogroup	AEAL.longest_only	DBIA.longest_only
OG0000001	LOC115258904|XP_029715227.1|AEAL, LOC115265164|XP_029725288.1|AEAL, LOC115268831|XP_029732866.1|AEAL	LOC108030270|XP_016958969.1|DBIA
OG0000004	LOC115255472|XP_029709456.1|AEAL	LOC108021905|XP_016946216.1|DBIA
OG0000006	LOC109621653|XP_019931303.1|AEAL	LOC108021907|XP_016946218.1|DBIA
OG0000006	LOC115270069|XP_029734901.1|AEAL	LOC108027689|XP_016954729.1|DBIA
OG0000007	LOC109417624|XP_019547214.2|AEAL, LOC109417822|XP_019547546.2|AEAL, LOC109417827|XP_019547550.2|AEAL	LOC108028761|XP_016956223.1|DBIA, LOC108028706|XP_016956144.1|DBIA, LOC108028547|XP_016955936.1|DBIA, LOC108028548|XP_016955937.1|DBIA, LOC108028068|XP_016955198.1|DBIA, LOC108028546|XP_016955935.1|DBIA, LOC108027995|XP_016955111.1|DBIA, LOC108027672|XP_016954706.1|DBIA, LOC108029358|XP_016957069.1|DBIA, LOC108025402|XP_016951367.1|DBIA, LOC108025489|XP_016951493.1|DBIA, LOC108025042|XP_016950787.1|DBIA, LOC108025513|XP_016951523.1|DBIA, LOC108027695|XP_016954733.1|DBIA, LOC108027675|XP_016954708.1|DBIA, LOC108034652|XP_016965080.1|DBIA, LOC108034514|XP_016964927.1|DBIA, LOC108034518|XP_016964930.1|DBIA, LOC108027854|XP_016954941.1|DBIA, LOC108028309|XP_016955521.1|DBIA, LOC108028310|XP_016955522.1|DBIA
OG0000008	LOC109400278|XP_019528306.2|AEAL, LOC115264163|XP_029723411.1|AEAL, LOC109411044|XP_019540029.2|AEAL, LOC109400276|XP_029732649.1|AEAL, LOC109411042|XP_029723844.1|AEAL, LOC115269452|XP_029734079.1|AEAL, LOC109398594|XP_019526527.2|AEAL, LOC109411038|XP_019540020.2|AEAL, LOC115268685|XP_029732650.1|AEAL, LOC109398586|XP_029723414.1|AEAL, LOC109398584|XP_029723843.1|AEAL, LOC109411041|XP_019540026.2|AEAL, LOC109411040|XP_029732651.1|AEAL, LOC109411057|XP_019540042.2|AEAL, LOC109411039|XP_019540021.2|AEAL, LOC109398568|XP_019526496.2|AEAL, LOC115264164|XP_029723413.1|AEAL	LOC108032174|XP_016961516.1|DBIA
OG0000008	LOC109409017|XP_019537970.1|AEAL, LOC115261399|XP_029718872.1|AEAL, LOC109429131|XP_029730081.1|AEAL, LOC109429134|XP_019560529.1|AEAL, LOC115261395|XP_029718863.1|AEAL, LOC115261400|XP_029718873.1|AEAL, LOC109409015|XP_029718862.1|AEAL	LOC108034858|XP_016965498.1|DBIA
OG0000008	LOC109409014|XP_019537968.1|AEAL	LOC108034855|XP_016965493.1|DBIA
OG0000008	LOC115258666|XP_029714842.1|AEAL, LOC109418542|XP_029714903.1|AEAL, LOC115258618|XP_029714768.1|AEAL	LOC108033465|XP_016963291.1|DBIA
OG0000009	LOC109421248|XP_029710358.1|AEAL, LOC109410814|XP_019539891.2|AEAL, LOC109421247|XP_019551278.2|AEAL, LOC109421196|XP_019551233.2|AEAL, LOC115256237|XP_029710360.1|AEAL, LOC109421246|XP_029710374.1|AEAL, LOC109410815|XP_029710361.1|AEAL, LOC109410828|XP_029725091.1|AEAL, LOC115268621|XP_029732616.1|AEAL, LOC109621352|XP_019930946.2|AEAL, LOC109410832|XP_019539911.2|AEAL, LOC115265026|XP_029725093.1|AEAL, LOC115266859|XP_029729327.1|AEAL, LOC109621393|XP_029732578.1|AEAL, LOC109427506|XP_019558604.2|AEAL, LOC109432620|XP_019564525.2|AEAL, LOC109405071|XP_019533608.2|AEAL, LOC109405076|XP_019533612.2|AEAL, LOC109397914|XP_019525799.2|AEAL, LOC109406992|XP_019535559.2|AEAL, LOC109406984|XP_029711464.1|AEAL, LOC109406989|XP_019535556.2|AEAL, LOC109397917|XP_019525802.2|AEAL	LOC108031158|XP_016959863.1|DBIA, LOC108032245|XP_016961597.1|DBIA, LOC108031027|XP_016959717.1|DBIA, LOC108031475|XP_016960425.1|DBIA, LOC108032170|XP_016961513.1|DBIA, LOC108028108|XP_016955244.1|DBIA, LOC108022184|XP_016946525.1|DBIA, LOC108032134|XP_016961458.1|DBIA, LOC108023117|XP_016947872.1|DBIA, LOC108023077|XP_016947817.1|DBIA, LOC108023079|XP_016947818.1|DBIA, LOC108022200|XP_016946542.1|DBIA
OG0000010	LOC115261272|XP_029718507.1|AEAL	LOC108024778|XP_016950383.1|DBIA
OG0000010	LOC115261275|XP_029718510.1|AEAL	LOC108035868|XP_016967106.1|DBIA, LOC108021910|XP_016946220.1|DBIA
OG0000012	LOC109423253|XP_029726458.1|AEAL, LOC109423301|XP_019553773.2|AEAL	LOC108026825|XP_016953482.1|DBIA, LOC108026824|XP_016953480.1|DBIA, LOC108026519|XP_016952952.1|DBIA, LOC108026518|XP_016952951.1|DBIA, LOC108026906|XP_016953604.1|DBIA, LOC108026521|XP_016952956.1|DBIA, LOC108026886|XP_016953577.1|DBIA, LOC108026520|XP_016952955.1|DBIA, LOC108026941|XP_016953643.1|DBIA, LOC108022093|XP_016946425.1|DBIA, LOC108022195|XP_016946536.1|DBIA, LOC108023104|XP_016947858.1|DBIA, LOC108022092|XP_016946424.1|DBIA, LOC108022979|XP_016947693.1|DBIA, LOC108022976|XP_016947689.1|DBIA
OG0000013	LOC109401240|XP_019529248.2|AEAL	LOC108036445|XP_016968074.1|DBIA
OG0000013	LOC109413675|XP_019542933.1|AEAL, LOC109413676|XP_029727534.1|AEAL	LOC108030851|XP_016959521.1|DBIA
OG0000013	LOC109429441|XP_029729534.1|AEAL, LOC109425568|XP_029729465.1|AEAL	LOC108031414|XP_016960303.1|DBIA
OG0000013	LOC109430791|XP_019562417.1|AEAL	LOC108034990|XP_016965812.1|DBIA
OG0000013	LOC109427543|XP_019558656.2|AEAL, LOC115256412|XP_029710769.1|AEAL, LOC115269375|XP_029733907.1|AEAL	LOC108024443|XP_016949852.1|DBIA
OG0000013	LOC109400253|XP_029725161.1|AEAL, LOC115264117|XP_029723308.1|AEAL, LOC109423611|XP_019554131.2|AEAL, LOC115268774|XP_029732800.1|AEAL, LOC109423617|XP_019554136.2|AEAL, LOC115266508|XP_029728614.1|AEAL, LOC115265081|XP_029725162.1|AEAL, LOC115264108|XP_029723289.1|AEAL, LOC115264115|XP_029723306.1|AEAL, LOC109423616|XP_029728615.1|AEAL, LOC109400264|XP_019528292.2|AEAL, LOC115264109|XP_029723290.1|AEAL, LOC109423619|XP_019554137.2|AEAL, LOC109400270|XP_019528297.2|AEAL, LOC115264105|XP_029723288.1|AEAL, LOC109400252|XP_019528281.2|AEAL, LOC115266509|XP_029728616.1|AEAL, LOC109423613|XP_019554133.2|AEAL, LOC109423612|XP_029728617.1|AEAL, LOC109400251|XP_019528280.2|AEAL, LOC115265080|XP_029725160.1|AEAL	LOC108026153|XP_016952377.1|DBIA, LOC108031653|XP_016960776.1|DBIA, LOC108022928|XP_016947668.1|DBIA, LOC108024680|XP_016950243.1|DBIA, LOC108024686|XP_016950255.1|DBIA, LOC108031441|XP_016960362.1|DBIA
OG0000014	LOC115264834|XP_029724698.1|AEAL	LOC108021915|XP_016946228.1|DBIA, LOC108031505|XP_016960503.1|DBIA
OG0000014	LOC115258617|XP_029714765.1|AEAL, LOC115254741|XP_029708279.1|AEAL, LOC115261576|XP_029719333.1|AEAL, LOC115255704|XP_029709664.1|AEAL, LOC115255748|XP_029709726.1|AEAL, LOC115260149|XP_029716918.1|AEAL, LOC115264822|XP_029724696.1|AEAL, LOC115265232|XP_029725374.1|AEAL	LOC108027391|XP_016954320.1|DBIA
OG0000014	LOC115260572|XP_029717367.1|AEAL	LOC108022036|XP_016946371.1|DBIA
OG0000016	LOC109404004|XP_019532410.1|AEAL, LOC109432056|XP_019563901.1|AEAL	LOC108031488|XP_016960465.1|DBIA, LOC108022510|XP_016946968.1|DBIA
OG0000016	LOC109397804|XP_029709571.1|AEAL, LOC115253654|XP_029709604.1|AEAL	LOC108031387|XP_016960277.1|DBIA
OG0000016	LOC115264649|XP_029724444.1|AEAL, LOC115264653|XP_029724447.1|AEAL, LOC109412623|XP_029734089.1|AEAL, LOC109401543|XP_019529658.1|AEAL, LOC115264650|XP_029724445.1|AEAL, LOC109401546|XP_019529660.1|AEAL, LOC109412626|XP_019541796.1|AEAL, LOC115269457|XP_029734090.1|AEAL	LOC108030823|XP_016959429.1|DBIA
OG0000018	LOC109414002|XP_019543272.1|AEAL	LOC108028400|XP_016955704.1|DBIA
OG0000019	LOC109623324|XP_029721557.1|AEAL, LOC109623384|XP_019933486.2|AEAL, LOC109426884|XP_029721552.1|AEAL, LOC109426908|XP_029721551.1|AEAL, LOC109623325|XP_019933423.1|AEAL, LOC109623386|XP_019933488.2|AEAL, LOC109426910|XP_019558013.2|AEAL, LOC109623385|XP_019933487.2|AEAL, LOC109426909|XP_019558012.2|AEAL, LOC109623326|XP_019933424.2|AEAL, LOC109426911|XP_019558015.2|AEAL, LOC109426885|XP_019557991.2|AEAL, LOC109623383|XP_029721553.1|AEAL, LOC109426882|XP_019557987.2|AEAL, LOC109415812|XP_019545289.2|AEAL, LOC115267448|XP_029730327.1|AEAL, LOC115266114|XP_029727935.1|AEAL, LOC109422539|XP_019552886.2|AEAL, LOC115266151|XP_029727975.1|AEAL, LOC109401099|XP_019529127.2|AEAL	LOC108025227|XP_016951062.1|DBIA, LOC108025229|XP_016951064.1|DBIA, LOC108025230|XP_016951066.1|DBIA, LOC108025224|XP_016951060.1|DBIA, LOC108025228|XP_016951063.1|DBIA, LOC108025225|XP_016951061.1|DBIA, LOC108025231|XP_016951067.1|DBIA
OG0000020	LOC115253451|XP_029718002.1|AEAL, LOC109402396|XP_019530601.2|AEAL	LOC108026305|XP_016952678.1|DBIA, LOC108026784|XP_016953432.1|DBIA
OG0000020	LOC109417980|XP_029713947.1|AEAL, LOC109426856|XP_029732521.1|AEAL	LOC108033312|XP_016963077.1|DBIA, LOC108032062|XP_016961369.1|DBIA, LOC108034320|XP_016964679.1|DBIA, LOC108036239|XP_016967737.1|DBIA, LOC108036110|XP_016967573.1|DBIA, LOC108031537|XP_016960562.1|DBIA, LOC108024628|XP_016950157.1|DBIA, LOC108034268|XP_016964616.1|DBIA, LOC108033875|XP_016964007.1|DBIA
OG0000021	LOC109418363|XP_029721863.1|AEAL, LOC109418407|XP_029721534.1|AEAL, LOC109426122|XP_029723111.1|AEAL	LOC108025789|XP_016951907.1|DBIA
OG0000021	LOC109412802|XP_029732887.1|AEAL	LOC108026319|XP_016952697.1|DBIA, LOC108027350|XP_016954258.1|DBIA, LOC108026442|XP_016952872.1|DBIA
OG0000022	LOC115269749|XP_029734419.1|AEAL, LOC109430577|XP_019562191.1|AEAL, LOC109428697|XP_019560054.2|AEAL	LOC108022346|XP_016946698.1|DBIA, LOC108030636|XP_016959139.1|DBIA, LOC108029210|XP_016956886.1|DBIA, LOC108029216|XP_016956899.1|DBIA, LOC108027792|XP_016954853.1|DBIA, LOC108029236|XP_016956922.1|DBIA, LOC108029246|XP_016956933.1|DBIA, LOC108029225|XP_016956911.1|DBIA, LOC108029203|XP_016956872.1|DBIA
OG0000023	LOC109403033|XP_019531286.2|AEAL, LOC109403032|XP_019531283.2|AEAL	LOC108027148|XP_016953858.1|DBIA, LOC108027146|XP_016953855.1|DBIA, LOC108027143|XP_016953853.1|DBIA, LOC108026627|XP_016953132.1|DBIA, LOC108027145|XP_016953854.1|DBIA, LOC108027009|XP_016953696.1|DBIA, LOC108027245|XP_016954086.1|DBIA, LOC108027357|XP_016954268.1|DBIA, LOC108027244|XP_016954083.1|DBIA
OG0000024	LOC109412054|XP_019541244.2|AEAL	LOC108022668|XP_016947226.1|DBIA, LOC108023057|XP_016947794.1|DBIA, LOC108022950|XP_016947655.1|DBIA, LOC108022666|XP_016947224.1|DBIA, LOC108022667|XP_016947225.1|DBIA, LOC108034270|XP_016964618.1|DBIA, LOC108022158|XP_016946489.1|DBIA, LOC108029512|XP_016957298.1|DBIA
OG0000025	LOC109413799|XP_019543073.1|AEAL	LOC108023228|XP_016947991.1|DBIA
OG0000026	LOC109399647|XP_019527683.2|AEAL, LOC115267833|XP_029731177.1|AEAL, LOC115267832|XP_029731174.1|AEAL, LOC109400782|XP_019528828.2|AEAL, LOC109399572|XP_019527592.2|AEAL, LOC109400780|XP_019528826.2|AEAL, LOC115265241|XP_029725389.1|AEAL, LOC109399573|XP_029731179.1|AEAL, LOC109400781|XP_019528827.2|AEAL, LOC115260441|XP_029717255.1|AEAL, LOC115264893|XP_029724783.1|AEAL, LOC109403546|XP_019531912.2|AEAL, LOC109399576|XP_019527597.2|AEAL, LOC115267834|XP_029731178.1|AEAL, LOC115260095|XP_029716826.1|AEAL, LOC109401312|XP_029721744.1|AEAL, LOC109428786|XP_019560176.1|AEAL, LOC109405070|XP_019533611.1|AEAL, LOC115260980|XP_029718210.1|AEAL	LOC108036455|XP_016968112.1|DBIA, LOC108027284|XP_016954161.1|DBIA, LOC108027046|XP_016953736.1|DBIA
OG0000027	LOC109421336|XP_019551391.1|AEAL, LOC115265525|XP_029726926.1|AEAL, LOC115265811|XP_029727614.1|AEAL, LOC109432444|XP_019564322.2|AEAL, LOC109421229|XP_019551259.2|AEAL, LOC109432443|XP_019564321.2|AEAL, LOC109421228|XP_019551258.2|AEAL, LOC109421231|XP_019564335.2|AEAL	LOC108033374|XP_016963181.1|DBIA, LOC108033303|XP_016963062.1|DBIA, LOC108033359|XP_016963159.1|DBIA
