Orthogroup	AEAL.longest_only	BTRY.longest_only
OG0000001	LOC115258813|XP_029715105.1|AEAL	LOC120779349|XP_039967479.1|BTRY, LOC120768684|XP_039951395.1|BTRY, LOC120769217|XP_039952045.1|BTRY, LOC120780712|XP_039968906.1|BTRY
OG0000001	LOC115268193|XP_029732105.1|AEAL	LOC120781540|XP_039969706.1|BTRY, LOC120780083|XP_039968286.1|BTRY
OG0000001	LOC115258904|XP_029715227.1|AEAL, LOC115265164|XP_029725288.1|AEAL, LOC115268831|XP_029732866.1|AEAL	LOC120779693|XP_039967987.1|BTRY
OG0000001	LOC115256725|XP_029711525.1|AEAL, LOC115268205|XP_029732120.1|AEAL, LOC115262799|XP_029721549.1|AEAL, LOC115263370|XP_029722527.1|AEAL, LOC115254876|XP_029708423.1|AEAL, LOC115257801|XP_029713614.1|AEAL, LOC115268197|XP_029732110.1|AEAL, LOC115261516|XP_029719137.1|AEAL, LOC115271064|XP_029736362.1|AEAL	LOC120781507|XP_039969664.1|BTRY, LOC120781523|XP_039969677.1|BTRY, LOC120768683|XP_039951393.1|BTRY, LOC120768702|XP_039951408.1|BTRY, LOC120768701|XP_039951407.1|BTRY, LOC120780857|XP_039969026.1|BTRY, LOC120781828|XP_039969983.1|BTRY, LOC120781123|XP_039969191.1|BTRY, LOC120779390|XP_039967521.1|BTRY, LOC120768688|XP_039951398.1|BTRY, LOC120768687|XP_039951397.1|BTRY, LOC120767769|XP_039949942.1|BTRY
OG0000001	LOC109398597|XP_029729814.1|AEAL, LOC115262790|XP_029721536.1|AEAL, LOC115263536|XP_029722631.1|AEAL, LOC115260919|XP_029718140.1|AEAL, LOC115268204|XP_029732116.1|AEAL, LOC115270912|XP_029736109.1|AEAL, LOC115255462|XP_029709446.1|AEAL, LOC115261307|XP_029718578.1|AEAL, LOC115259747|XP_029716391.1|AEAL, LOC115260526|XP_029717300.1|AEAL, LOC115269607|XP_029734288.1|AEAL	LOC120779562|XP_039967839.1|BTRY, LOC120777820|XP_039965292.1|BTRY
OG0000002	LOC115267447|XP_029730304.1|AEAL	LOC120776532|XP_039963199.1|BTRY
OG0000005	LOC115255470|XP_029709453.1|AEAL, LOC115262910|XP_029721668.1|AEAL, LOC109621766|XP_019931446.2|AEAL, LOC115265236|XP_029725377.1|AEAL, LOC115263152|XP_029721939.1|AEAL, LOC115261259|XP_029718493.1|AEAL, LOC115261266|XP_029718501.1|AEAL, LOC115261255|XP_029718489.1|AEAL, LOC115261257|XP_029718491.1|AEAL, LOC115261289|XP_029718530.1|AEAL, LOC115261597|XP_029719357.1|AEAL, LOC115261594|XP_029719355.1|AEAL, LOC115261223|XP_029718457.1|AEAL, LOC115261254|XP_029718488.1|AEAL, LOC115261256|XP_029718490.1|AEAL, LOC115261258|XP_029718492.1|AEAL, LOC115261260|XP_029718495.1|AEAL, LOC109398605|XP_019526537.1|AEAL, LOC109398661|XP_029714684.1|AEAL	LOC120767523|XP_039949552.1|BTRY
OG0000006	LOC109431221|XP_019562978.1|AEAL, LOC109621653|XP_019931303.1|AEAL	LOC120767509|XP_039949536.1|BTRY
OG0000006	LOC115261264|XP_029718499.1|AEAL, LOC115261271|XP_029718506.1|AEAL, LOC115261261|XP_029718496.1|AEAL, LOC115261224|XP_029718458.1|AEAL, LOC115261225|XP_029718459.1|AEAL, LOC115261263|XP_029718498.1|AEAL, LOC115261262|XP_029718497.1|AEAL, LOC115261290|XP_029718531.1|AEAL, LOC115263330|XP_029722488.1|AEAL, LOC109418596|XP_019548347.2|AEAL, LOC115261265|XP_029718500.1|AEAL, LOC115261270|XP_029718504.1|AEAL	LOC120781340|XP_039969478.1|BTRY
OG0000007	LOC109417624|XP_019547214.2|AEAL, LOC109417822|XP_019547546.2|AEAL, LOC109417827|XP_019547550.2|AEAL	LOC120778908|XP_039966889.1|BTRY, LOC120778909|XP_039966890.1|BTRY, LOC120778027|XP_039965634.1|BTRY, LOC120777830|XP_039965302.1|BTRY, LOC120778913|XP_039966894.1|BTRY, LOC120777887|XP_039965383.1|BTRY, LOC120777888|XP_039965385.1|BTRY, LOC120778697|XP_039966585.1|BTRY, LOC120778684|XP_039966554.1|BTRY, LOC120778912|XP_039966893.1|BTRY, LOC120778911|XP_039966892.1|BTRY, LOC120778916|XP_039966896.1|BTRY, LOC120778915|XP_039966895.1|BTRY, LOC120776968|XP_039963994.1|BTRY, LOC120778917|XP_039966897.1|BTRY
