Orthogroup	AEAL.longest_only	DMEL.longest_only
OG0000002	LOC115263125|XP_029721902.1|AEAL, LOC109430246|XP_019561842.2|AEAL, LOC109416944|XP_019546605.2|AEAL, LOC115265443|XP_029726462.1|AEAL, LOC109426996|XP_019558100.2|AEAL, LOC109411377|XP_019540446.2|AEAL, LOC115266493|XP_029728592.1|AEAL, LOC109403760|XP_019532176.2|AEAL, LOC109416948|XP_019546608.2|AEAL, LOC109400072|XP_019528089.2|AEAL, LOC109621611|XP_019931245.2|AEAL	CG9500|NP_609018.3|DMEL
OG0000006	LOC109431199|XP_019562958.1|AEAL	His2A_CG33826|NP_001027321.1|DMEL
OG0000006	LOC109621663|XP_019931313.1|AEAL, LOC109431221|XP_019562978.1|AEAL, LOC109621653|XP_019931303.1|AEAL	His2A_CG33850|NP_001027361.1|DMEL
OG0000006	LOC109404547|XP_019532989.1|AEAL	His2A_CG33817|NP_001027306.1|DMEL
OG0000006	LOC115261264|XP_029718499.1|AEAL, LOC115261271|XP_029718506.1|AEAL, LOC115261261|XP_029718496.1|AEAL, LOC115261224|XP_029718458.1|AEAL, LOC115261225|XP_029718459.1|AEAL, LOC115261263|XP_029718498.1|AEAL, LOC115261262|XP_029718497.1|AEAL, LOC115261290|XP_029718531.1|AEAL, LOC115263330|XP_029722488.1|AEAL, LOC109418596|XP_019548347.2|AEAL, LOC115261265|XP_029718500.1|AEAL, LOC115261270|XP_029718504.1|AEAL	His2A_CG33853|NP_001027366.1|DMEL, His2A_CG33856|NP_001027371.1|DMEL, His2A_CG33859|NP_001027376.1|DMEL
OG0000007	LOC109417624|XP_019547214.2|AEAL, LOC109417822|XP_019547546.2|AEAL, LOC109417827|XP_019547550.2|AEAL	Jon65Aiv|NP_648012.1|DMEL, Jon65Aiii|NP_648013.1|DMEL, yip7|NP_523944.1|DMEL, CG10477|NP_648010.1|DMEL, Jon25Bii|NP_608882.1|DMEL, Jon44E|NP_724699.1|DMEL, Jon99Fi|NP_651800.2|DMEL, Jon99Fii|NP_651799.1|DMEL, Jon99Cii|NP_524554.1|DMEL, Jon99Ciii|NP_733330.1|DMEL, Jon25Bi|NP_001033873.1|DMEL, Jon66Cii|NP_648217.1|DMEL, Jon66Ci|NP_729372.1|DMEL, Jon25Biii|NP_608881.1|DMEL, Jon65Aii|NP_648014.1|DMEL, Jon65Ai|NP_648015.1|DMEL
OG0000008	LOC109400278|XP_019528306.2|AEAL, LOC115264163|XP_029723411.1|AEAL, LOC109411044|XP_019540029.2|AEAL, LOC109400276|XP_029732649.1|AEAL, LOC109411042|XP_029723844.1|AEAL, LOC115269452|XP_029734079.1|AEAL, LOC109398594|XP_019526527.2|AEAL, LOC109411038|XP_019540020.2|AEAL, LOC115268685|XP_029732650.1|AEAL, LOC109398586|XP_029723414.1|AEAL, LOC109398584|XP_029723843.1|AEAL, LOC109411041|XP_019540026.2|AEAL, LOC109411040|XP_029732651.1|AEAL, LOC109411057|XP_019540042.2|AEAL, LOC109411039|XP_019540021.2|AEAL, LOC109398568|XP_019526496.2|AEAL, LOC115264164|XP_029723413.1|AEAL	Cpr92A|NP_650813.2|DMEL
OG0000008	LOC109409017|XP_019537970.1|AEAL, LOC115261399|XP_029718872.1|AEAL, LOC109429131|XP_029730081.1|AEAL, LOC109429134|XP_019560529.1|AEAL, LOC115261395|XP_029718863.1|AEAL, LOC115261400|XP_029718873.1|AEAL, LOC109409015|XP_029718862.1|AEAL	Cpr64Aa|NP_647872.1|DMEL
OG0000008	LOC109409014|XP_019537968.1|AEAL	Cpr64Ad|NP_647875.1|DMEL
OG0000008	LOC115258666|XP_029714842.1|AEAL, LOC109418542|XP_029714903.1|AEAL, LOC115258618|XP_029714768.1|AEAL	Crys|NP_476906.1|DMEL
