Orthogroup	AEAL.longest_only	DFIC.longest_only
OG0000001	LOC115257059|XP_029712178.1|AEAL, LOC115266193|XP_029728020.1|AEAL, LOC115267598|XP_029730563.1|AEAL, LOC109398597|XP_029729814.1|AEAL, LOC115262790|XP_029721536.1|AEAL, LOC115263536|XP_029722631.1|AEAL, LOC115260919|XP_029718140.1|AEAL, LOC115268204|XP_029732116.1|AEAL, LOC115270912|XP_029736109.1|AEAL, LOC115255462|XP_029709446.1|AEAL, LOC115261307|XP_029718578.1|AEAL, LOC115259747|XP_029716391.1|AEAL, LOC115260526|XP_029717300.1|AEAL, LOC115269607|XP_029734288.1|AEAL	LOC108094352|XP_017050381.1|DFIC
OG0000005	LOC115255470|XP_029709453.1|AEAL, LOC115262910|XP_029721668.1|AEAL, LOC109621766|XP_019931446.2|AEAL, LOC115265236|XP_029725377.1|AEAL, LOC115263152|XP_029721939.1|AEAL, LOC115261259|XP_029718493.1|AEAL, LOC115261266|XP_029718501.1|AEAL, LOC115261255|XP_029718489.1|AEAL, LOC115261257|XP_029718491.1|AEAL, LOC115261289|XP_029718530.1|AEAL, LOC115261597|XP_029719357.1|AEAL, LOC115261594|XP_029719355.1|AEAL, LOC115261223|XP_029718457.1|AEAL, LOC115261254|XP_029718488.1|AEAL, LOC115261256|XP_029718490.1|AEAL, LOC115261258|XP_029718492.1|AEAL, LOC115261260|XP_029718495.1|AEAL, LOC109398605|XP_019526537.1|AEAL, LOC109398661|XP_029714684.1|AEAL	LOC108094052|XP_017049981.1|DFIC
OG0000006	LOC115261264|XP_029718499.1|AEAL, LOC115261271|XP_029718506.1|AEAL, LOC115261261|XP_029718496.1|AEAL, LOC115261224|XP_029718458.1|AEAL, LOC115261225|XP_029718459.1|AEAL, LOC115261263|XP_029718498.1|AEAL, LOC115261262|XP_029718497.1|AEAL, LOC115261290|XP_029718531.1|AEAL, LOC115263330|XP_029722488.1|AEAL, LOC109418596|XP_019548347.2|AEAL, LOC115261265|XP_029718500.1|AEAL, LOC115261270|XP_029718504.1|AEAL	LOC108102292|XP_017062541.1|DFIC, LOC108102287|XP_017062528.1|DFIC
OG0000007	LOC109417624|XP_019547214.2|AEAL, LOC109417822|XP_019547546.2|AEAL, LOC109417827|XP_019547550.2|AEAL	LOC108099856|XP_017058991.1|DFIC, LOC108093252|XP_017048717.1|DFIC, LOC108093253|XP_017048718.1|DFIC, LOC108093241|XP_017048705.1|DFIC, LOC108093034|XP_017048427.1|DFIC, LOC108093033|XP_017048426.1|DFIC, LOC108093169|XP_017048611.1|DFIC, LOC108093170|XP_017048612.1|DFIC, LOC108093261|XP_017048727.1|DFIC, LOC108093260|XP_017048726.1|DFIC, LOC108089978|XP_017043968.1|DFIC, LOC108090582|XP_017044820.1|DFIC, LOC108099497|XP_017058547.1|DFIC, LOC108099495|XP_017058545.1|DFIC, LOC108099496|XP_017058546.1|DFIC, LOC108088540|XP_017041874.1|DFIC, LOC108089778|XP_017043661.1|DFIC, LOC108088955|XP_017042464.1|DFIC, LOC108088950|XP_017042460.1|DFIC, LOC108089918|XP_017043889.1|DFIC, LOC108089772|XP_017043652.1|DFIC, LOC108093152|XP_017048588.1|DFIC, LOC108093153|XP_017048589.1|DFIC
OG0000008	LOC109400278|XP_019528306.2|AEAL, LOC115264163|XP_029723411.1|AEAL, LOC109411044|XP_019540029.2|AEAL, LOC109400276|XP_029732649.1|AEAL, LOC109411042|XP_029723844.1|AEAL, LOC115269452|XP_029734079.1|AEAL, LOC109398594|XP_019526527.2|AEAL, LOC109411038|XP_019540020.2|AEAL, LOC115268685|XP_029732650.1|AEAL, LOC109398586|XP_029723414.1|AEAL, LOC109398584|XP_029723843.1|AEAL, LOC109411041|XP_019540026.2|AEAL, LOC109411040|XP_029732651.1|AEAL, LOC109411057|XP_019540042.2|AEAL, LOC109411039|XP_019540021.2|AEAL, LOC109398568|XP_019526496.2|AEAL, LOC115264164|XP_029723413.1|AEAL	LOC108101034|XP_017060691.1|DFIC
OG0000008	LOC109409014|XP_019537968.1|AEAL	LOC108100331|XP_017059630.1|DFIC
OG0000008	LOC115258666|XP_029714842.1|AEAL, LOC109418542|XP_029714903.1|AEAL, LOC115258618|XP_029714768.1|AEAL	LOC108093477|XP_017049051.1|DFIC
OG0000009	LOC109421248|XP_029710358.1|AEAL, LOC109410814|XP_019539891.2|AEAL, LOC109421247|XP_019551278.2|AEAL, LOC109421196|XP_019551233.2|AEAL, LOC115256237|XP_029710360.1|AEAL, LOC109421246|XP_029710374.1|AEAL, LOC109410815|XP_029710361.1|AEAL, LOC109410828|XP_029725091.1|AEAL, LOC115268621|XP_029732616.1|AEAL, LOC109621352|XP_019930946.2|AEAL, LOC109410832|XP_019539911.2|AEAL, LOC115265026|XP_029725093.1|AEAL, LOC115266859|XP_029729327.1|AEAL, LOC109621393|XP_029732578.1|AEAL, LOC109427506|XP_019558604.2|AEAL, LOC109432620|XP_019564525.2|AEAL, LOC109405071|XP_019533608.2|AEAL, LOC109405076|XP_019533612.2|AEAL, LOC109397914|XP_019525799.2|AEAL, LOC109406992|XP_019535559.2|AEAL, LOC109406984|XP_029711464.1|AEAL, LOC109406989|XP_019535556.2|AEAL, LOC109397917|XP_019525802.2|AEAL	LOC108101115|XP_017060823.1|DFIC, LOC108101125|XP_017060838.1|DFIC, LOC108093288|XP_017048753.1|DFIC, LOC108101126|XP_017060839.1|DFIC, LOC108101038|XP_017060695.1|DFIC, LOC108101022|XP_017060677.1|DFIC, LOC108101074|XP_017060756.1|DFIC, LOC108101116|XP_017060824.1|DFIC, LOC108101809|XP_017061774.1|DFIC, LOC108088079|XP_017041220.1|DFIC, LOC108086769|XP_017039304.1|DFIC, LOC108094178|XP_017050126.1|DFIC, LOC108086653|XP_017039126.1|DFIC, LOC108086655|XP_017039128.1|DFIC, LOC108086610|XP_017039074.1|DFIC
OG0000010	LOC115261281|XP_029718517.1|AEAL, LOC115261274|XP_029718509.1|AEAL, LOC109401799|XP_029718532.1|AEAL	LOC108098255|XP_017056544.1|DFIC
OG0000010	LOC115261275|XP_029718510.1|AEAL	LOC108086289|XP_017038672.1|DFIC
OG0000012	LOC109423253|XP_029726458.1|AEAL, LOC109423301|XP_019553773.2|AEAL	LOC108096904|XP_017054341.1|DFIC, LOC108096903|XP_017054340.1|DFIC, LOC108096929|XP_017054370.1|DFIC, LOC108096943|XP_017054393.1|DFIC, LOC108096563|XP_017053746.1|DFIC, LOC108096571|XP_017053756.1|DFIC, LOC108086628|XP_017039092.1|DFIC, LOC108086618|XP_017039083.1|DFIC, LOC108086755|XP_017039283.1|DFIC, LOC108086630|XP_017039094.1|DFIC, LOC108086627|XP_017039091.1|DFIC, LOC108086756|XP_017039284.1|DFIC
OG0000013	LOC109401240|XP_019529248.2|AEAL	LOC108101557|XP_017061445.1|DFIC
OG0000013	LOC109413675|XP_019542933.1|AEAL, LOC109413676|XP_029727534.1|AEAL	LOC108101682|XP_017061593.1|DFIC
OG0000013	LOC109429441|XP_029729534.1|AEAL, LOC109425568|XP_029729465.1|AEAL	LOC108098830|XP_017057474.1|DFIC
OG0000013	LOC109430791|XP_019562417.1|AEAL	LOC108086910|XP_017039470.1|DFIC
OG0000013	LOC109427543|XP_019558656.2|AEAL, LOC115256412|XP_029710769.1|AEAL, LOC115269375|XP_029733907.1|AEAL	LOC108087118|XP_017039788.1|DFIC
OG0000013	LOC109400253|XP_029725161.1|AEAL, LOC115264117|XP_029723308.1|AEAL, LOC109423611|XP_019554131.2|AEAL, LOC115268774|XP_029732800.1|AEAL, LOC109423617|XP_019554136.2|AEAL, LOC115266508|XP_029728614.1|AEAL, LOC115265081|XP_029725162.1|AEAL, LOC115264108|XP_029723289.1|AEAL, LOC115264115|XP_029723306.1|AEAL, LOC109423616|XP_029728615.1|AEAL, LOC109400264|XP_019528292.2|AEAL, LOC115264109|XP_029723290.1|AEAL, LOC109423619|XP_019554137.2|AEAL, LOC109400270|XP_019528297.2|AEAL, LOC115264105|XP_029723288.1|AEAL, LOC109400252|XP_019528281.2|AEAL, LOC115266509|XP_029728616.1|AEAL, LOC109423613|XP_019554133.2|AEAL, LOC109423612|XP_029728617.1|AEAL, LOC109400251|XP_019528280.2|AEAL, LOC115265080|XP_029725160.1|AEAL	LOC108091996|XP_017046910.1|DFIC, LOC108102250|XP_017062487.1|DFIC, LOC108087940|XP_017041016.1|DFIC
OG0000016	LOC109404004|XP_019532410.1|AEAL, LOC109432056|XP_019563901.1|AEAL	LOC108091644|XP_017046435.1|DFIC, LOC108095161|XP_017051608.1|DFIC
OG0000016	LOC115253654|XP_029709604.1|AEAL	LOC108092889|XP_017048224.1|DFIC
