Orthogroup	ASTE.longest_only	DFIC.longest_only
OG0000001	LOC118508413|XP_035904112.1|ASTE	LOC108094352|XP_017050381.1|DFIC
OG0000001	LOC118510932|XP_035909246.1|ASTE	LOC108098394|XP_017056755.1|DFIC
OG0000006	LOC118508036|XP_035903331.1|ASTE	LOC108102292|XP_017062541.1|DFIC, LOC108102287|XP_017062528.1|DFIC
OG0000008	LOC118505246|XP_035896690.1|ASTE, LOC118505247|XP_035896691.1|ASTE	LOC108101034|XP_017060691.1|DFIC
OG0000008	LOC118509007|XP_035904915.1|ASTE	LOC108093477|XP_017049051.1|DFIC
OG0000008	LOC118506772|XP_035900260.1|ASTE	LOC108100333|XP_017059632.1|DFIC
OG0000009	LOC118514549|XP_035917433.1|ASTE, LOC118512522|XP_035912957.1|ASTE, LOC118512523|XP_035912958.1|ASTE, LOC118513525|XP_035915292.1|ASTE, LOC118510358|XP_035907960.1|ASTE, LOC118503659|XP_035893081.1|ASTE	LOC108101115|XP_017060823.1|DFIC, LOC108101125|XP_017060838.1|DFIC, LOC108093288|XP_017048753.1|DFIC, LOC108101126|XP_017060839.1|DFIC, LOC108101038|XP_017060695.1|DFIC, LOC108101022|XP_017060677.1|DFIC, LOC108101074|XP_017060756.1|DFIC, LOC108101116|XP_017060824.1|DFIC, LOC108101809|XP_017061774.1|DFIC, LOC108088079|XP_017041220.1|DFIC, LOC108086769|XP_017039304.1|DFIC, LOC108094178|XP_017050126.1|DFIC, LOC108086653|XP_017039126.1|DFIC, LOC108086655|XP_017039128.1|DFIC, LOC108086610|XP_017039074.1|DFIC
OG0000012	LOC118508901|XP_035904653.1|ASTE, LOC118508903|XP_035904655.1|ASTE	LOC108096904|XP_017054341.1|DFIC, LOC108096903|XP_017054340.1|DFIC, LOC108096929|XP_017054370.1|DFIC, LOC108096943|XP_017054393.1|DFIC, LOC108096563|XP_017053746.1|DFIC, LOC108096571|XP_017053756.1|DFIC, LOC108086628|XP_017039092.1|DFIC, LOC108086618|XP_017039083.1|DFIC, LOC108086755|XP_017039283.1|DFIC, LOC108086630|XP_017039094.1|DFIC, LOC108086627|XP_017039091.1|DFIC, LOC108086756|XP_017039284.1|DFIC
OG0000013	LOC118507210|XP_035901192.1|ASTE	LOC108101557|XP_017061445.1|DFIC
OG0000013	LOC118503015|XP_035891731.1|ASTE	LOC108101682|XP_017061593.1|DFIC
OG0000013	LOC118505715|XP_035897785.1|ASTE, LOC118505701|XP_035897742.1|ASTE	LOC108098830|XP_017057474.1|DFIC
OG0000013	LOC118502371|XP_035890483.1|ASTE, LOC118507499|XP_035901922.1|ASTE, LOC118507498|XP_035901921.1|ASTE, LOC118507500|XP_035901923.1|ASTE, LOC118507496|XP_035901918.1|ASTE, LOC118507497|XP_035901920.1|ASTE	LOC108091996|XP_017046910.1|DFIC, LOC108102250|XP_017062487.1|DFIC, LOC108087940|XP_017041016.1|DFIC
OG0000016	LOC118502962|XP_035891619.1|ASTE	LOC108091644|XP_017046435.1|DFIC, LOC108095161|XP_017051608.1|DFIC
OG0000016	LOC118503654|XP_035893068.1|ASTE	LOC108088049|XP_017041175.1|DFIC
OG0000016	LOC118505170|XP_035896494.1|ASTE	LOC108092889|XP_017048224.1|DFIC
OG0000016	LOC118503558|XP_035892859.1|ASTE, LOC118503560|XP_035892862.1|ASTE	LOC108093583|XP_017049197.1|DFIC
OG0000018	LOC118513024|XP_035914194.1|ASTE	LOC108093126|XP_017048560.1|DFIC
OG0000019	LOC118505910|XP_035898262.1|ASTE, LOC118504464|XP_035894858.1|ASTE, LOC118505911|XP_035898263.1|ASTE, LOC118507102|XP_035900997.1|ASTE, LOC118505907|XP_035898258.1|ASTE, LOC118506335|XP_035899208.1|ASTE, LOC118506986|XP_035900751.1|ASTE	LOC108086541|XP_017038967.1|DFIC, LOC108086542|XP_017038968.1|DFIC, LOC108086544|XP_017038971.1|DFIC, LOC108086535|XP_017038961.1|DFIC, LOC108086543|XP_017038970.1|DFIC, LOC108086538|XP_017038965.1|DFIC, LOC108086540|XP_017038966.1|DFIC
OG0000020	LOC118507513|XP_035901949.1|ASTE	LOC108086571|XP_017039016.1|DFIC, LOC108087826|XP_017040886.1|DFIC
