Orthogroup	ASTE.longest_only	DNOV.longest_only
OG0000001	LOC118510932|XP_035909246.1|ASTE	LOC115768652|XP_030569188.1|DNOV
OG0000002	LOC118516451|XP_035918240.1|ASTE, LOC118511890|XP_035911410.1|ASTE, LOC118511889|XP_035911409.1|ASTE, LOC118516454|XP_035918243.1|ASTE, LOC118511888|XP_035911408.1|ASTE, LOC118516449|XP_035918238.1|ASTE, LOC118514626|XP_035917517.1|ASTE, LOC118511460|XP_035910455.1|ASTE, LOC118509013|XP_035904926.1|ASTE, LOC118509867|XP_035906983.1|ASTE	LOC115759342|XP_030556121.1|DNOV
OG0000006	LOC118517636|XP_035919841.1|ASTE	LOC115761966|XP_030559868.1|DNOV, LOC115768961|XP_030569544.1|DNOV
OG0000006	LOC118508036|XP_035903331.1|ASTE	LOC115770611|XP_030571807.1|DNOV
OG0000008	LOC118505246|XP_035896690.1|ASTE, LOC118505247|XP_035896691.1|ASTE	LOC115759663|XP_030556519.1|DNOV
OG0000008	LOC118506768|XP_035900257.1|ASTE, LOC118506767|XP_035900256.1|ASTE, LOC118506770|XP_035900259.1|ASTE, LOC118506769|XP_035900258.1|ASTE, LOC118506766|XP_035900255.1|ASTE	LOC115762862|XP_030561098.1|DNOV
OG0000008	LOC118509007|XP_035904915.1|ASTE	LOC115759949|XP_030556951.1|DNOV
OG0000008	LOC118506772|XP_035900260.1|ASTE	LOC115762865|XP_030561099.1|DNOV
OG0000009	LOC118514549|XP_035917433.1|ASTE, LOC118512522|XP_035912957.1|ASTE, LOC118512523|XP_035912958.1|ASTE, LOC118513525|XP_035915292.1|ASTE, LOC118510358|XP_035907960.1|ASTE, LOC118503659|XP_035893081.1|ASTE	LOC115763759|XP_030562333.1|DNOV, LOC115763738|XP_030562299.1|DNOV, LOC115763735|XP_030562294.1|DNOV, LOC115763896|XP_030562534.1|DNOV, LOC115765543|XP_030565028.1|DNOV, LOC115760864|XP_030558278.1|DNOV, LOC115758060|XP_030554434.1|DNOV, LOC115762417|XP_030560473.1|DNOV, LOC115760674|XP_030558001.1|DNOV, LOC115760799|XP_030558155.1|DNOV, LOC115760927|XP_030558362.1|DNOV, LOC115760928|XP_030558363.1|DNOV, LOC115759272|XP_030556034.1|DNOV
OG0000010	LOC118503730|XP_035893236.1|ASTE	LOC115759841|XP_030556795.1|DNOV, LOC115770598|XP_030571795.1|DNOV, LOC115770894|XP_030572189.1|DNOV, LOC115761849|XP_030559691.1|DNOV
OG0000010	LOC118509785|XP_035906820.1|ASTE	LOC115770584|XP_030571769.1|DNOV
OG0000012	LOC118508901|XP_035904653.1|ASTE, LOC118508903|XP_035904655.1|ASTE	LOC115760603|XP_030557904.1|DNOV, LOC115760694|XP_030558018.1|DNOV, LOC115760695|XP_030558019.1|DNOV, LOC115760604|XP_030557906.1|DNOV, LOC115758175|XP_030554576.1|DNOV, LOC115758176|XP_030554577.1|DNOV, LOC115760687|XP_030558014.1|DNOV, LOC115760690|XP_030558016.1|DNOV, LOC115760693|XP_030558017.1|DNOV, LOC115760901|XP_030558328.1|DNOV, LOC115761042|XP_030558517.1|DNOV, LOC115760685|XP_030558012.1|DNOV, LOC115761057|XP_030558532.1|DNOV
OG0000013	LOC118507210|XP_035901192.1|ASTE	LOC115761021|XP_030558495.1|DNOV
OG0000013	LOC118503015|XP_035891731.1|ASTE	LOC115766810|XP_030566705.1|DNOV
OG0000013	LOC118505715|XP_035897785.1|ASTE, LOC118505701|XP_035897742.1|ASTE	LOC115766254|XP_030565974.1|DNOV, LOC115766196|XP_030565905.1|DNOV
OG0000013	LOC118502371|XP_035890483.1|ASTE, LOC118507499|XP_035901922.1|ASTE, LOC118507498|XP_035901921.1|ASTE, LOC118507500|XP_035901923.1|ASTE, LOC118507496|XP_035901918.1|ASTE, LOC118507497|XP_035901920.1|ASTE	LOC115764083|XP_030562793.1|DNOV, LOC115764084|XP_030562794.1|DNOV, LOC115763707|XP_030562258.1|DNOV, LOC115763850|XP_030562479.1|DNOV, LOC115763708|XP_030562260.1|DNOV, LOC115763909|XP_030562575.1|DNOV, LOC115763733|XP_030562292.1|DNOV
OG0000016	LOC118502962|XP_035891619.1|ASTE	LOC115761678|XP_030559394.1|DNOV, LOC115762276|XP_030560298.1|DNOV
OG0000016	LOC118503654|XP_035893068.1|ASTE	LOC115761707|XP_030559439.1|DNOV
OG0000016	LOC118505170|XP_035896494.1|ASTE	LOC115768679|XP_030569221.1|DNOV
OG0000016	LOC118503558|XP_035892859.1|ASTE, LOC118503560|XP_035892862.1|ASTE	LOC115770022|XP_030570941.1|DNOV
OG0000018	LOC118513024|XP_035914194.1|ASTE	LOC115762746|XP_030560944.1|DNOV
OG0000019	LOC118505910|XP_035898262.1|ASTE, LOC118504464|XP_035894858.1|ASTE, LOC118505911|XP_035898263.1|ASTE, LOC118507102|XP_035900997.1|ASTE, LOC118505907|XP_035898258.1|ASTE, LOC118506335|XP_035899208.1|ASTE, LOC118506986|XP_035900751.1|ASTE	LOC115771723|XP_030573407.1|DNOV, LOC115771721|XP_030573404.1|DNOV, LOC115771722|XP_030573406.1|DNOV, LOC115771978|XP_030573757.1|DNOV, LOC115771639|XP_030573299.1|DNOV, LOC115771840|XP_030573582.1|DNOV, LOC115771914|XP_030573663.1|DNOV
OG0000020	LOC118507513|XP_035901949.1|ASTE	LOC115764021|XP_030562712.1|DNOV, LOC115762420|XP_030560475.1|DNOV
OG0000020	LOC118509588|XP_035906253.1|ASTE	LOC115758764|XP_030555385.1|DNOV, LOC115763800|XP_030562404.1|DNOV, LOC115763804|XP_030562407.1|DNOV, LOC115763801|XP_030562405.1|DNOV, LOC115767924|XP_030568152.1|DNOV, LOC115767925|XP_030568154.1|DNOV, LOC115758337|XP_030554771.1|DNOV
OG0000021	LOC118505404|XP_035897036.1|ASTE, LOC118516590|XP_035918445.1|ASTE	LOC115768613|XP_030569130.1|DNOV
OG0000021	LOC118505796|XP_035898023.1|ASTE	LOC115770843|XP_030572140.1|DNOV, LOC115771758|XP_030573467.1|DNOV, LOC115766401|XP_030566179.1|DNOV
OG0000022	LOC118510588|XP_035908481.1|ASTE	LOC115757997|XP_030554350.1|DNOV, LOC115762571|XP_030560717.1|DNOV, LOC115762572|XP_030560718.1|DNOV, LOC115762577|XP_030560723.1|DNOV, LOC115762574|XP_030560719.1|DNOV, LOC115762578|XP_030560724.1|DNOV, LOC115762576|XP_030560721.1|DNOV, LOC115762575|XP_030560720.1|DNOV
OG0000023	LOC118511284|XP_035910083.1|ASTE, LOC118511293|XP_035910094.1|ASTE	LOC115761260|XP_030558833.1|DNOV, LOC115761261|XP_030558835.1|DNOV, LOC115761508|XP_030559136.1|DNOV, LOC115761509|XP_030559137.1|DNOV, LOC115761267|XP_030558841.1|DNOV, LOC115761263|XP_030558837.1|DNOV, LOC115761778|XP_030559575.1|DNOV, LOC115761266|XP_030558840.1|DNOV, LOC115761265|XP_030558839.1|DNOV, LOC115761264|XP_030558838.1|DNOV, LOC115761262|XP_030558836.1|DNOV, LOC115761326|XP_030558919.1|DNOV, LOC115761659|XP_030559359.1|DNOV, LOC115761434|XP_030559060.1|DNOV
OG0000024	LOC118507315|XP_035901591.1|ASTE	LOC115758279|XP_030554701.1|DNOV, LOC115758277|XP_030554700.1|DNOV, LOC115758204|XP_030554612.1|DNOV, LOC115758193|XP_030554595.1|DNOV, LOC115758184|XP_030554584.1|DNOV, LOC115763072|XP_030561360.1|DNOV, LOC115758183|XP_030554583.1|DNOV, LOC115764549|XP_030563528.1|DNOV, LOC115758109|XP_030554493.1|DNOV, LOC115758108|XP_030554492.1|DNOV, LOC115758107|XP_030554491.1|DNOV, LOC115759954|XP_030556957.1|DNOV
OG0000025	LOC118503683|XP_035893118.1|ASTE, LOC118514136|XP_035916629.1|ASTE	LOC115758436|XP_030554952.1|DNOV
OG0000025	LOC118509777|XP_035906810.1|ASTE	LOC115770696|XP_030571951.1|DNOV
OG0000026	LOC118512926|XP_035913977.1|ASTE, LOC118512927|XP_035913978.1|ASTE, LOC118512928|XP_035913979.1|ASTE, LOC118512925|XP_035913975.1|ASTE, LOC118516362|XP_035918091.1|ASTE, LOC118512777|XP_035913579.1|ASTE, LOC118512778|XP_035913580.1|ASTE, LOC118516363|XP_035918092.1|ASTE	LOC115770692|XP_030571944.1|DNOV, LOC115768849|XP_030569408.1|DNOV, LOC115768848|XP_030569407.1|DNOV, LOC115764140|XP_030562874.1|DNOV
OG0000027	LOC118509266|XP_035905509.1|ASTE, LOC118512970|XP_035914090.1|ASTE, LOC118509804|XP_035906835.1|ASTE, LOC118509855|XP_035906957.1|ASTE	LOC115765969|XP_030565582.1|DNOV, LOC115765940|XP_030565545.1|DNOV, LOC115768547|XP_030569016.1|DNOV
OG0000028	LOC118513512|XP_035915261.1|ASTE	LOC115769431|XP_030570099.1|DNOV, LOC115769429|XP_030570097.1|DNOV, LOC115769430|XP_030570098.1|DNOV, LOC115769432|XP_030570100.1|DNOV, LOC115769342|XP_030569963.1|DNOV
