Orthogroup	ASTE.longest_only	DERE.longest_only
OG0000002	LOC118516451|XP_035918240.1|ASTE, LOC118511890|XP_035911410.1|ASTE, LOC118511889|XP_035911409.1|ASTE, LOC118516454|XP_035918243.1|ASTE, LOC118511888|XP_035911408.1|ASTE, LOC118516449|XP_035918238.1|ASTE, LOC118514626|XP_035917517.1|ASTE, LOC118511460|XP_035910455.1|ASTE, LOC118509013|XP_035904926.1|ASTE, LOC118509867|XP_035906983.1|ASTE	LOC6543212|XP_026834323.1|DERE
OG0000006	LOC118517636|XP_035919841.1|ASTE	LOC6548706|XP_026839400.1|DERE, LOC113564766|XP_026839401.1|DERE, LOC6548669|XP_001974020.1|DERE
OG0000006	LOC118508036|XP_035903331.1|ASTE	LOC6548691|XP_001974010.1|DERE
OG0000008	LOC118505246|XP_035896690.1|ASTE, LOC118505247|XP_035896691.1|ASTE	LOC6553905|XP_001979522.1|DERE
OG0000008	LOC118506768|XP_035900257.1|ASTE, LOC118506767|XP_035900256.1|ASTE, LOC118506770|XP_035900259.1|ASTE, LOC118506769|XP_035900258.1|ASTE, LOC118506766|XP_035900255.1|ASTE	LOC6543716|XP_001971859.1|DERE
OG0000008	LOC118509007|XP_035904915.1|ASTE	LOC6541660|XP_001969797.3|DERE
OG0000008	LOC118506772|XP_035900260.1|ASTE	LOC6543717|XP_001971860.3|DERE
OG0000009	LOC118514549|XP_035917433.1|ASTE, LOC118512522|XP_035912957.1|ASTE, LOC118512523|XP_035912958.1|ASTE, LOC118513525|XP_035915292.1|ASTE, LOC118510358|XP_035907960.1|ASTE, LOC118503659|XP_035893081.1|ASTE	LOC6554105|XP_001979501.1|DERE, LOC6554107|XP_001979503.1|DERE, LOC6554108|XP_001979504.1|DERE, LOC6554106|XP_001979502.1|DERE, LOC6548094|XP_001976600.1|DERE, LOC6553884|XP_001980458.1|DERE, LOC6546804|XP_001975914.1|DERE, LOC6546805|XP_001975915.1|DERE
OG0000010	LOC118503730|XP_035893236.1|ASTE	LOC6556039|XP_015008608.2|DERE
OG0000010	LOC118509785|XP_035906820.1|ASTE	LOC6548710|XP_026839403.1|DERE, LOC6556033|XP_026839405.1|DERE, LOC6549045|XP_026839450.1|DERE
