Orthogroup	ASTE.longest_only	AEAL.longest_only
OG0000001	LOC118517068|XP_035918818.1|ASTE, LOC118515168|XP_035917767.1|ASTE, LOC118516690|XP_035918528.1|ASTE	LOC115255933|XP_029710011.1|AEAL
OG0000001	LOC118515210|XP_035917798.1|ASTE	LOC115265134|XP_029725237.1|AEAL, LOC115259347|XP_029715740.1|AEAL, LOC115259595|XP_029716176.1|AEAL
OG0000001	LOC118502349|XP_035890818.1|ASTE	LOC115266839|XP_029729303.1|AEAL, LOC109406607|XP_019535244.2|AEAL, LOC109400564|XP_019528597.2|AEAL, LOC109404313|XP_029722627.1|AEAL
OG0000001	LOC118502364|XP_035890475.1|ASTE, LOC118515186|XP_035917778.1|ASTE	LOC109398938|XP_029729633.1|AEAL
OG0000001	LOC118511401|XP_035910333.1|ASTE, LOC118508414|XP_035904078.1|ASTE, LOC118513244|XP_035914695.1|ASTE, LOC118507667|XP_035902343.1|ASTE, LOC118507990|XP_035903252.1|ASTE, LOC118513120|XP_035914412.1|ASTE	LOC115265076|XP_029725147.1|AEAL, LOC115270984|XP_029736215.1|AEAL
OG0000001	LOC118508413|XP_035904112.1|ASTE	LOC109398597|XP_029729814.1|AEAL, LOC115262790|XP_029721536.1|AEAL, LOC115263536|XP_029722631.1|AEAL, LOC115260919|XP_029718140.1|AEAL, LOC115268204|XP_029732116.1|AEAL, LOC115270912|XP_029736109.1|AEAL, LOC115255462|XP_029709446.1|AEAL, LOC115261307|XP_029718578.1|AEAL, LOC115259747|XP_029716391.1|AEAL, LOC115260526|XP_029717300.1|AEAL, LOC115269607|XP_029734288.1|AEAL
OG0000002	LOC118508220|XP_035903701.1|ASTE	LOC109408162|XP_019536944.2|AEAL, LOC109411104|XP_019540095.2|AEAL
OG0000002	LOC118508185|XP_035903637.1|ASTE	LOC115260605|XP_029717480.1|AEAL, LOC109423035|XP_029717489.1|AEAL, LOC109400931|XP_019528968.1|AEAL, LOC109400921|XP_019553236.2|AEAL, LOC115260619|XP_029717519.1|AEAL, LOC115260618|XP_029717518.1|AEAL, LOC109400889|XP_029717517.1|AEAL, LOC115260641|XP_029717583.1|AEAL, LOC109400932|XP_019528970.2|AEAL, LOC115260609|XP_029717488.1|AEAL, LOC109422815|XP_019553244.2|AEAL, LOC109413005|XP_019542224.2|AEAL, LOC109430155|XP_019561733.2|AEAL, LOC109413124|XP_019542389.2|AEAL
OG0000002	LOC118516451|XP_035918240.1|ASTE, LOC118511890|XP_035911410.1|ASTE, LOC118511889|XP_035911409.1|ASTE, LOC118516454|XP_035918243.1|ASTE, LOC118511888|XP_035911408.1|ASTE, LOC118516449|XP_035918238.1|ASTE, LOC118514626|XP_035917517.1|ASTE	LOC115263125|XP_029721902.1|AEAL, LOC109430246|XP_019561842.2|AEAL, LOC109416944|XP_019546605.2|AEAL
OG0000002	LOC118511460|XP_035910455.1|ASTE	LOC115265443|XP_029726462.1|AEAL, LOC109426996|XP_019558100.2|AEAL, LOC109411377|XP_019540446.2|AEAL, LOC115266493|XP_029728592.1|AEAL, LOC109403760|XP_019532176.2|AEAL, LOC109416948|XP_019546608.2|AEAL, LOC109400072|XP_019528089.2|AEAL, LOC109621611|XP_019931245.2|AEAL
OG0000003	LOC118510054|XP_035907336.1|ASTE, LOC118517143|XP_035918894.1|ASTE	LOC109409211|XP_019538182.2|AEAL, LOC109421551|XP_019551616.2|AEAL, LOC109409210|XP_019538181.2|AEAL, LOC115255001|XP_029708566.1|AEAL, LOC109398259|XP_019526126.2|AEAL
OG0000003	LOC118513635|XP_035915594.1|ASTE, LOC118517142|XP_035918893.1|ASTE	LOC109421477|XP_019551518.2|AEAL, LOC109421555|XP_019551619.2|AEAL, LOC109409164|XP_019538127.2|AEAL, LOC109421553|XP_019551618.2|AEAL, LOC109421549|XP_019551614.2|AEAL, LOC109409160|XP_019538123.2|AEAL
OG0000003	LOC118513634|XP_035915592.1|ASTE	LOC109421556|XP_019551620.2|AEAL
OG0000003	LOC118503800|XP_035893388.1|ASTE	LOC109425972|XP_029731864.1|AEAL
OG0000003	LOC118513637|XP_035915596.1|ASTE, LOC118517132|XP_035918884.1|ASTE, LOC118513636|XP_035915595.1|ASTE, LOC118517131|XP_035918883.1|ASTE	LOC109421559|XP_019551624.2|AEAL
OG0000003	LOC118513639|XP_035915598.1|ASTE, LOC118517134|XP_035918886.1|ASTE	LOC109409168|XP_029727109.1|AEAL
OG0000003	LOC118517145|XP_035918898.1|ASTE, LOC118513633|XP_035915591.1|ASTE, LOC118513638|XP_035915597.1|ASTE, LOC118517133|XP_035918885.1|ASTE	LOC109421550|XP_019551615.2|AEAL
OG0000003	LOC118504412|XP_035894738.1|ASTE	LOC109623204|XP_019933243.2|AEAL, LOC109415289|XP_019544713.2|AEAL, LOC109623205|XP_019933244.2|AEAL
OG0000004	LOC118508090|XP_035903462.1|ASTE, LOC118508092|XP_035903464.1|ASTE, LOC118508091|XP_035903463.1|ASTE	LOC109413299|XP_019542561.2|AEAL, LOC115270066|XP_029734897.1|AEAL, LOC109407180|XP_019535709.1|AEAL, LOC109397477|XP_029709004.1|AEAL, LOC115255221|XP_029709025.1|AEAL, LOC115270070|XP_029734902.1|AEAL, LOC109397473|XP_029708972.1|AEAL, LOC115255201|XP_029709003.1|AEAL, LOC109397491|XP_029709023.1|AEAL, LOC109397475|XP_019525313.1|AEAL, LOC115255206|XP_029709009.1|AEAL, LOC115266976|XP_029729559.1|AEAL, LOC115270056|XP_029734885.1|AEAL, LOC115270082|XP_029734908.1|AEAL, LOC109407175|XP_019535705.2|AEAL, LOC109413175|XP_029734887.1|AEAL, LOC115270083|XP_029734909.1|AEAL, LOC109404569|XP_019533012.1|AEAL, LOC109404523|XP_019532967.1|AEAL, LOC115270053|XP_029734878.1|AEAL, LOC115270063|XP_029734895.1|AEAL, LOC109404546|XP_019931555.2|AEAL, LOC115266975|XP_029729558.1|AEAL, LOC109413197|XP_019542447.1|AEAL, LOC115270059|XP_029734890.1|AEAL
