Orthogroup	ASTE.longest_only	DBUS.longest_only
OG0000002	LOC118516451|XP_035918240.1|ASTE, LOC118511890|XP_035911410.1|ASTE, LOC118511889|XP_035911409.1|ASTE, LOC118516454|XP_035918243.1|ASTE, LOC118511888|XP_035911408.1|ASTE, LOC118516449|XP_035918238.1|ASTE, LOC118514626|XP_035917517.1|ASTE, LOC118511460|XP_035910455.1|ASTE, LOC118509013|XP_035904926.1|ASTE, LOC118509867|XP_035906983.1|ASTE	LOC108596077|XP_017836984.1|DBUS, LOC108594890|XP_017835517.1|DBUS, LOC108601590|XP_017844978.1|DBUS, LOC108608150|XP_017854886.2|DBUS, LOC108605447|XP_017850658.1|DBUS, LOC108606977|XP_017853039.2|DBUS, LOC108608497|XP_017855382.1|DBUS, LOC108604221|XP_017849078.1|DBUS, LOC108596085|XP_017836995.1|DBUS
OG0000008	LOC118505246|XP_035896690.1|ASTE, LOC118505247|XP_035896691.1|ASTE	LOC108602201|XP_017845739.1|DBUS
OG0000008	LOC118509007|XP_035904915.1|ASTE	LOC108597994|XP_017840102.1|DBUS
OG0000009	LOC118514549|XP_035917433.1|ASTE, LOC118512522|XP_035912957.1|ASTE, LOC118512523|XP_035912958.1|ASTE, LOC118513525|XP_035915292.1|ASTE, LOC118510358|XP_035907960.1|ASTE, LOC118503659|XP_035893081.1|ASTE	LOC108604020|XP_017848755.1|DBUS, LOC108601959|XP_017845435.1|DBUS, LOC108601305|XP_017844694.1|DBUS, LOC108599992|XP_033150731.1|DBUS, LOC108601444|XP_017844830.1|DBUS, LOC117134845|XP_033149872.1|DBUS, LOC108601840|XP_017845277.2|DBUS, LOC108600305|XP_017843283.1|DBUS, LOC108595303|XP_033149763.1|DBUS, LOC108595272|XP_017835977.1|DBUS, LOC108595263|XP_033149771.1|DBUS, LOC108595579|XP_017836330.1|DBUS, LOC108595290|XP_017835992.1|DBUS, LOC108595467|XP_017836201.1|DBUS, LOC108605315|XP_017850474.2|DBUS, LOC108605314|XP_017850472.1|DBUS, LOC108595103|XP_017835752.1|DBUS
OG0000010	LOC118503730|XP_035893236.1|ASTE	LOC108603408|XP_017847686.1|DBUS
OG0000012	LOC118508901|XP_035904653.1|ASTE, LOC118508903|XP_035904655.1|ASTE	LOC108595899|XP_017836677.1|DBUS, LOC108594927|XP_017835552.1|DBUS, LOC108594926|XP_017835551.1|DBUS, LOC108595898|XP_017836676.1|DBUS, LOC108595900|XP_017836679.1|DBUS, LOC108594923|XP_033149125.1|DBUS, LOC108594922|XP_033149124.1|DBUS, LOC108594925|XP_033149126.1|DBUS, LOC108594924|XP_017835549.1|DBUS, LOC108595907|XP_033149147.1|DBUS, LOC108597255|XP_017839199.1|DBUS, LOC108595402|XP_017836117.1|DBUS, LOC108597254|XP_017839197.1|DBUS
OG0000013	LOC118507210|XP_035901192.1|ASTE	LOC108596692|XP_017838201.1|DBUS
OG0000013	LOC118503015|XP_035891731.1|ASTE	LOC108606235|XP_017851657.1|DBUS
OG0000013	LOC118505715|XP_035897785.1|ASTE, LOC118505701|XP_035897742.1|ASTE	LOC108603181|XP_017847228.1|DBUS
OG0000013	LOC118502371|XP_035890483.1|ASTE, LOC118507499|XP_035901922.1|ASTE, LOC118507498|XP_035901921.1|ASTE, LOC118507500|XP_035901923.1|ASTE, LOC118507496|XP_035901918.1|ASTE, LOC118507497|XP_035901920.1|ASTE	LOC108602825|XP_017846548.1|DBUS, LOC108603356|XP_033149948.1|DBUS, LOC108602826|XP_017846549.2|DBUS
