Orthogroup	ASTE.longest_only	CPIP.longest_only
OG0000001	LOC118517068|XP_035918818.1|ASTE	LOC120417801|XP_039435934.1|CPIP
OG0000001	LOC118515168|XP_035917767.1|ASTE	LOC120413964|XP_039430904.1|CPIP
OG0000001	LOC118516690|XP_035918528.1|ASTE	LOC120419883|XP_039438681.1|CPIP, LOC120424000|XP_039443942.1|CPIP
OG0000001	LOC118504405|XP_035894731.1|ASTE, LOC118503875|XP_035893512.1|ASTE, LOC118507768|XP_035902679.1|ASTE, LOC118510037|XP_035907317.1|ASTE, LOC118507447|XP_035901824.1|ASTE, LOC118510506|XP_035908305.1|ASTE, LOC118516280|XP_035918010.1|ASTE, LOC118509201|XP_035905364.1|ASTE, LOC118508058|XP_035903402.1|ASTE, LOC118507156|XP_035901093.1|ASTE, LOC118515238|XP_035917815.1|ASTE, LOC118506429|XP_035899473.1|ASTE, LOC118515156|XP_035917754.1|ASTE, LOC118516913|XP_035918643.1|ASTE, LOC118504590|XP_035895140.1|ASTE, LOC118513004|XP_035914158.1|ASTE, LOC118504456|XP_035894844.1|ASTE, LOC118510509|XP_035908311.1|ASTE, LOC118510510|XP_035908312.1|ASTE, LOC118517310|XP_035919189.1|ASTE, LOC118510508|XP_035908310.1|ASTE, LOC118510511|XP_035908314.1|ASTE, LOC118516612|XP_035918479.1|ASTE, LOC118503311|XP_035892328.1|ASTE, LOC118517032|XP_035918786.1|ASTE, LOC118508012|XP_035903290.1|ASTE, LOC118516961|XP_035918682.1|ASTE, LOC118514435|XP_035917228.1|ASTE	LOC120414226|XP_039431271.1|CPIP, LOC120428107|XP_039449023.1|CPIP, LOC120428034|XP_039448936.1|CPIP, LOC120426776|XP_039447483.1|CPIP, LOC120419550|XP_039438196.1|CPIP
OG0000001	LOC118516686|XP_035918524.1|ASTE	LOC120423510|XP_039443285.1|CPIP, LOC120418646|XP_039437025.1|CPIP, LOC120418570|XP_039436949.1|CPIP, LOC120429758|XP_039450744.1|CPIP, LOC120423721|XP_039443558.1|CPIP, LOC120415747|XP_039433287.1|CPIP, LOC120424822|XP_039444975.1|CPIP, LOC120422127|XP_039441435.1|CPIP, LOC120424002|XP_039443945.1|CPIP, LOC120431502|XP_039452539.1|CPIP
OG0000001	LOC118502364|XP_035890475.1|ASTE, LOC118515186|XP_035917778.1|ASTE	LOC120423264|XP_039442932.1|CPIP
OG0000001	LOC118511405|XP_035910349.1|ASTE, LOC118515143|XP_035917737.1|ASTE	LOC120426540|XP_039447241.1|CPIP, LOC120417042|XP_039434925.1|CPIP, LOC120421883|XP_039441113.1|CPIP, LOC120429302|XP_039450463.1|CPIP, LOC120416037|XP_039433627.1|CPIP, LOC120431449|XP_039452501.1|CPIP, LOC120426986|XP_039447735.1|CPIP, LOC120428426|XP_039449370.1|CPIP, LOC120416036|XP_039433626.1|CPIP, LOC120429296|XP_039450458.1|CPIP
OG0000001	LOC118511401|XP_035910333.1|ASTE, LOC118508414|XP_035904078.1|ASTE, LOC118513244|XP_035914695.1|ASTE, LOC118507667|XP_035902343.1|ASTE, LOC118507990|XP_035903252.1|ASTE, LOC118513120|XP_035914412.1|ASTE	LOC120415069|XP_039432397.1|CPIP, LOC120412724|XP_039429244.1|CPIP, LOC120414879|XP_039432135.1|CPIP, LOC120425723|XP_039446262.1|CPIP, LOC120417659|XP_039435715.1|CPIP, LOC120427386|XP_039448170.1|CPIP, LOC120415834|XP_039433407.1|CPIP
OG0000002	LOC118508220|XP_035903701.1|ASTE	LOC120424644|XP_039444747.1|CPIP
OG0000002	LOC118516451|XP_035918240.1|ASTE, LOC118511890|XP_035911410.1|ASTE, LOC118511889|XP_035911409.1|ASTE, LOC118516454|XP_035918243.1|ASTE, LOC118511888|XP_035911408.1|ASTE, LOC118516449|XP_035918238.1|ASTE, LOC118514626|XP_035917517.1|ASTE	LOC120419546|XP_039438193.1|CPIP
