Orthogroup	ASTE.longest_only	CCAP.longest_only
OG0000001	LOC118508413|XP_035904112.1|ASTE	CCAP1982_LOCUS9894|CAD7001397.1|CCAP
OG0000001	LOC118510932|XP_035909246.1|ASTE	CCAP1982_LOCUS9398|CAD7000923.1|CCAP, CCAP1982_LOCUS9782|CAD7001285.1|CCAP, CCAP1982_LOCUS9733|CAD7001235.1|CCAP, CCAP1982_LOCUS5945|CAD6997312.1|CCAP, CCAP1982_LOCUS9129|CAD7000655.1|CCAP, CCAP1982_LOCUS10167|CAD7001676.1|CCAP, CCAP1982_LOCUS14199|CAD7005857.1|CCAP, CCAP1982_LOCUS3923|CAD6995204.1|CCAP, CCAP1982_LOCUS6598|CAD6997982.1|CCAP, CCAP1982_LOCUS2222|CAD6993407.1|CCAP, CCAP1982_LOCUS7260|CAD6998703.1|CCAP
OG0000002	LOC118516451|XP_035918240.1|ASTE, LOC118511890|XP_035911410.1|ASTE, LOC118511889|XP_035911409.1|ASTE, LOC118516454|XP_035918243.1|ASTE, LOC118511888|XP_035911408.1|ASTE, LOC118516449|XP_035918238.1|ASTE, LOC118514626|XP_035917517.1|ASTE, LOC118511460|XP_035910455.1|ASTE, LOC118509013|XP_035904926.1|ASTE, LOC118509867|XP_035906983.1|ASTE	CCAP1982_LOCUS1975|CAD6993149.1|CCAP
OG0000006	LOC118517636|XP_035919841.1|ASTE	CCAP1982_LOCUS6254|CAD6997618.1|CCAP, CCAP1982_LOCUS9540|CAD7001068.1|CCAP
OG0000006	LOC118508036|XP_035903331.1|ASTE	CCAP1982_LOCUS6252|CAD6997616.1|CCAP
OG0000008	LOC118505246|XP_035896690.1|ASTE, LOC118505247|XP_035896691.1|ASTE	CCAP1982_LOCUS4930|CAD6996247.1|CCAP
OG0000008	LOC118506768|XP_035900257.1|ASTE, LOC118506767|XP_035900256.1|ASTE, LOC118506770|XP_035900259.1|ASTE, LOC118506769|XP_035900258.1|ASTE, LOC118506766|XP_035900255.1|ASTE	CCAP1982_LOCUS12720|CAD7004300.1|CCAP
OG0000008	LOC118506772|XP_035900260.1|ASTE	CCAP1982_LOCUS12718|CAD7004298.1|CCAP
OG0000009	LOC118514549|XP_035917433.1|ASTE, LOC118512522|XP_035912957.1|ASTE, LOC118512523|XP_035912958.1|ASTE, LOC118513525|XP_035915292.1|ASTE, LOC118510358|XP_035907960.1|ASTE, LOC118503659|XP_035893081.1|ASTE	CCAP1982_LOCUS973|CAD6992095.1|CCAP, CCAP1982_LOCUS21179|CAD7013106.1|CCAP, CCAP1982_LOCUS21178|CAD7013105.1|CCAP, CCAP1982_LOCUS21180|CAD7013107.1|CCAP, CCAP1982_LOCUS21184|CAD7013111.1|CCAP
OG0000010	LOC118503730|XP_035893236.1|ASTE	CCAP1982_LOCUS6246|CAD6997610.1|CCAP
OG0000010	LOC118509785|XP_035906820.1|ASTE	CCAP1982_LOCUS2041|CAD6993222.1|CCAP
OG0000012	LOC118508901|XP_035904653.1|ASTE, LOC118508903|XP_035904655.1|ASTE	CCAP1982_LOCUS22583|CAD7014589.1|CCAP, CCAP1982_LOCUS22582|CAD7014587.1|CCAP, CCAP1982_LOCUS22581|CAD7014586.1|CCAP, CCAP1982_LOCUS22585|CAD7014591.1|CCAP, CCAP1982_LOCUS22590|CAD7014596.1|CCAP, CCAP1982_LOCUS22584|CAD7014590.1|CCAP, CCAP1982_LOCUS22586|CAD7014592.1|CCAP, CCAP1982_LOCUS22591|CAD7014597.1|CCAP
OG0000013	LOC118507210|XP_035901192.1|ASTE	CCAP1982_LOCUS7142|CAD6998559.1|CCAP
OG0000013	LOC118505715|XP_035897785.1|ASTE, LOC118505701|XP_035897742.1|ASTE	CCAP1982_LOCUS4900|CAD6996212.1|CCAP
OG0000013	LOC118502371|XP_035890483.1|ASTE, LOC118507499|XP_035901922.1|ASTE, LOC118507498|XP_035901921.1|ASTE, LOC118507500|XP_035901923.1|ASTE, LOC118507496|XP_035901918.1|ASTE, LOC118507497|XP_035901920.1|ASTE	CCAP1982_LOCUS2756|CAD6993971.1|CCAP, CCAP1982_LOCUS8036|CAD6999511.1|CCAP, CCAP1982_LOCUS8037|CAD6999512.1|CCAP, CCAP1982_LOCUS8038|CAD6999513.1|CCAP, CCAP1982_LOCUS8039|CAD6999514.1|CCAP
OG0000016	LOC118502962|XP_035891619.1|ASTE	CCAP1982_LOCUS2337|CAD6993525.1|CCAP
OG0000016	LOC118503654|XP_035893068.1|ASTE	CCAP1982_LOCUS4238|CAD6995526.1|CCAP
OG0000016	LOC118503558|XP_035892859.1|ASTE	CCAP1982_LOCUS22100|CAD7014094.1|CCAP
OG0000018	LOC118513024|XP_035914194.1|ASTE	CCAP1982_LOCUS12552|CAD7004131.1|CCAP
OG0000019	LOC118505910|XP_035898262.1|ASTE, LOC118504464|XP_035894858.1|ASTE, LOC118505911|XP_035898263.1|ASTE, LOC118507102|XP_035900997.1|ASTE, LOC118505907|XP_035898258.1|ASTE, LOC118506335|XP_035899208.1|ASTE, LOC118506986|XP_035900751.1|ASTE	CCAP1982_LOCUS3032|CAD6994271.1|CCAP, CCAP1982_LOCUS3435|CAD6994700.1|CCAP, CCAP1982_LOCUS3434|CAD6994699.1|CCAP, CCAP1982_LOCUS6466|CAD6997842.1|CCAP, CCAP1982_LOCUS6464|CAD6997840.1|CCAP, CCAP1982_LOCUS6465|CAD6997841.1|CCAP
OG0000020	LOC118507513|XP_035901949.1|ASTE	CCAP1982_LOCUS1146|CAD6992278.1|CCAP
OG0000020	LOC118509588|XP_035906253.1|ASTE	CCAP1982_LOCUS1002|CAD6992120.1|CCAP, CCAP1982_LOCUS998|CAD6992114.1|CCAP, CCAP1982_LOCUS1001|CAD6992117.1|CCAP, CCAP1982_LOCUS999|CAD6992115.1|CCAP
OG0000021	LOC118505796|XP_035898023.1|ASTE	CCAP1982_LOCUS162|CAD6991224.1|CCAP, CCAP1982_LOCUS4579|CAD6995878.1|CCAP
OG0000022	LOC118510588|XP_035908481.1|ASTE	CCAP1982_LOCUS19689|CAD7011600.1|CCAP, CCAP1982_LOCUS20712|CAD7012626.1|CCAP, CCAP1982_LOCUS20711|CAD7012625.1|CCAP, CCAP1982_LOCUS20713|CAD7012627.1|CCAP, CCAP1982_LOCUS20710|CAD7012624.1|CCAP, CCAP1982_LOCUS20709|CAD7012623.1|CCAP, CCAP1982_LOCUS19687|CAD7011598.1|CCAP, CCAP1982_LOCUS19688|CAD7011599.1|CCAP
OG0000023	LOC118511284|XP_035910083.1|ASTE, LOC118511293|XP_035910094.1|ASTE	CCAP1982_LOCUS4748|CAD6996042.1|CCAP, CCAP1982_LOCUS4747|CAD6996041.1|CCAP, CCAP1982_LOCUS4746|CAD6996040.1|CCAP, CCAP1982_LOCUS4737|CAD6996031.1|CCAP, CCAP1982_LOCUS4757|CAD6996050.1|CCAP, CCAP1982_LOCUS4749|CAD6996043.1|CCAP, CCAP1982_LOCUS4752|CAD6996046.1|CCAP, CCAP1982_LOCUS4751|CAD6996045.1|CCAP, CCAP1982_LOCUS4754|CAD6996047.1|CCAP
OG0000024	LOC118507315|XP_035901591.1|ASTE	CCAP1982_LOCUS20679|CAD7012594.1|CCAP, CCAP1982_LOCUS20680|CAD7012595.1|CCAP, CCAP1982_LOCUS20678|CAD7012593.1|CCAP, CCAP1982_LOCUS20681|CAD7012596.1|CCAP, CCAP1982_LOCUS20674|CAD7012589.1|CCAP, CCAP1982_LOCUS20677|CAD7012592.1|CCAP, CCAP1982_LOCUS20675|CAD7012590.1|CCAP
OG0000025	LOC118509777|XP_035906810.1|ASTE	CCAP1982_LOCUS6236|CAD6997600.1|CCAP
