Orthogroup	ASTE.longest_only	CQUI.longest_only
OG0000001	LOC118517068|XP_035918818.1|ASTE	LOC119766275|XP_038106648.1|CQUI
OG0000001	LOC118515168|XP_035917767.1|ASTE	LOC119766040|XP_038106322.1|CQUI, LOC119766283|XP_038106661.1|CQUI, LOC119770479|XP_038121387.1|CQUI
OG0000001	LOC118516690|XP_035918528.1|ASTE	LOC119769226|XP_038117080.1|CQUI
OG0000001	LOC118502349|XP_035890818.1|ASTE	LOC119769071|XP_038116897.1|CQUI, LOC119766280|XP_038106655.1|CQUI
OG0000001	LOC118504405|XP_035894731.1|ASTE, LOC118503875|XP_035893512.1|ASTE, LOC118507768|XP_035902679.1|ASTE, LOC118510037|XP_035907317.1|ASTE, LOC118507447|XP_035901824.1|ASTE, LOC118510506|XP_035908305.1|ASTE, LOC118516280|XP_035918010.1|ASTE, LOC118509201|XP_035905364.1|ASTE, LOC118508058|XP_035903402.1|ASTE, LOC118507156|XP_035901093.1|ASTE, LOC118515238|XP_035917815.1|ASTE, LOC118506429|XP_035899473.1|ASTE, LOC118515156|XP_035917754.1|ASTE, LOC118516913|XP_035918643.1|ASTE, LOC118504590|XP_035895140.1|ASTE, LOC118513004|XP_035914158.1|ASTE, LOC118504456|XP_035894844.1|ASTE, LOC118510509|XP_035908311.1|ASTE, LOC118510510|XP_035908312.1|ASTE, LOC118517310|XP_035919189.1|ASTE, LOC118510508|XP_035908310.1|ASTE, LOC118510511|XP_035908314.1|ASTE, LOC118516612|XP_035918479.1|ASTE, LOC118503311|XP_035892328.1|ASTE, LOC118517032|XP_035918786.1|ASTE, LOC118508012|XP_035903290.1|ASTE, LOC118516961|XP_035918682.1|ASTE, LOC118514435|XP_035917228.1|ASTE	LOC119769590|XP_038118548.1|CQUI, LOC119766486|XP_038106987.1|CQUI, LOC119766442|XP_038106923.1|CQUI, LOC119769517|XP_038118237.1|CQUI, LOC119769314|XP_038117230.1|CQUI, LOC119769852|XP_038119509.1|CQUI, LOC119769040|XP_038116852.1|CQUI, LOC119769470|XP_038117961.1|CQUI
OG0000001	LOC118516686|XP_035918524.1|ASTE	LOC119769325|XP_038117259.1|CQUI, LOC119766508|XP_038107025.1|CQUI, LOC119769297|XP_038117200.1|CQUI, LOC119770379|XP_038121043.1|CQUI, LOC119766157|XP_038106485.1|CQUI, LOC119769097|XP_038116927.1|CQUI, LOC119766449|XP_038106933.1|CQUI, LOC119767864|XP_038113516.1|CQUI
OG0000001	LOC118502364|XP_035890475.1|ASTE, LOC118515186|XP_035917778.1|ASTE	LOC119769172|XP_038117006.1|CQUI, LOC119770284|XP_038120806.1|CQUI, LOC119767772|XP_038113157.1|CQUI
OG0000001	LOC118511405|XP_035910349.1|ASTE, LOC118515143|XP_035917737.1|ASTE	LOC119766223|XP_038106590.1|CQUI, LOC119769035|XP_038116846.1|CQUI, LOC119768980|XP_038116774.1|CQUI, LOC119766470|XP_038106956.1|CQUI
OG0000001	LOC118511401|XP_035910333.1|ASTE, LOC118508414|XP_035904078.1|ASTE, LOC118513244|XP_035914695.1|ASTE, LOC118507667|XP_035902343.1|ASTE, LOC118507990|XP_035903252.1|ASTE, LOC118513120|XP_035914412.1|ASTE	LOC119766322|XP_038106731.1|CQUI, LOC119766311|XP_038106708.1|CQUI, LOC119766331|XP_038106740.1|CQUI, LOC119769278|XP_038117171.1|CQUI, LOC119769111|XP_038116940.1|CQUI, LOC119769290|XP_038117195.1|CQUI, LOC119769016|XP_038116822.1|CQUI
OG0000001	LOC118510932|XP_035909246.1|ASTE	LOC119770249|XP_038120685.1|CQUI
