Orthogroup	ASTE.longest_only	DBIA.longest_only
OG0000006	LOC118517636|XP_035919841.1|ASTE	LOC108021907|XP_016946218.1|DBIA
OG0000008	LOC118505246|XP_035896690.1|ASTE, LOC118505247|XP_035896691.1|ASTE	LOC108032174|XP_016961516.1|DBIA
OG0000008	LOC118506768|XP_035900257.1|ASTE, LOC118506767|XP_035900256.1|ASTE, LOC118506770|XP_035900259.1|ASTE, LOC118506769|XP_035900258.1|ASTE, LOC118506766|XP_035900255.1|ASTE	LOC108034858|XP_016965498.1|DBIA
OG0000008	LOC118509007|XP_035904915.1|ASTE	LOC108033465|XP_016963291.1|DBIA
OG0000008	LOC118506772|XP_035900260.1|ASTE	LOC108034860|XP_016965500.1|DBIA
OG0000009	LOC118514549|XP_035917433.1|ASTE, LOC118512522|XP_035912957.1|ASTE, LOC118512523|XP_035912958.1|ASTE, LOC118513525|XP_035915292.1|ASTE, LOC118510358|XP_035907960.1|ASTE, LOC118503659|XP_035893081.1|ASTE	LOC108031158|XP_016959863.1|DBIA, LOC108032245|XP_016961597.1|DBIA, LOC108031027|XP_016959717.1|DBIA, LOC108031475|XP_016960425.1|DBIA, LOC108032170|XP_016961513.1|DBIA, LOC108028108|XP_016955244.1|DBIA, LOC108022184|XP_016946525.1|DBIA, LOC108032134|XP_016961458.1|DBIA, LOC108023117|XP_016947872.1|DBIA, LOC108023077|XP_016947817.1|DBIA, LOC108023079|XP_016947818.1|DBIA, LOC108022200|XP_016946542.1|DBIA
OG0000010	LOC118503730|XP_035893236.1|ASTE	LOC108024778|XP_016950383.1|DBIA
OG0000012	LOC118508901|XP_035904653.1|ASTE, LOC118508903|XP_035904655.1|ASTE	LOC108026825|XP_016953482.1|DBIA, LOC108026824|XP_016953480.1|DBIA, LOC108026519|XP_016952952.1|DBIA, LOC108026518|XP_016952951.1|DBIA, LOC108026906|XP_016953604.1|DBIA, LOC108026521|XP_016952956.1|DBIA, LOC108026886|XP_016953577.1|DBIA, LOC108026520|XP_016952955.1|DBIA, LOC108026941|XP_016953643.1|DBIA, LOC108022093|XP_016946425.1|DBIA, LOC108022195|XP_016946536.1|DBIA, LOC108023104|XP_016947858.1|DBIA, LOC108022092|XP_016946424.1|DBIA, LOC108022979|XP_016947693.1|DBIA, LOC108022976|XP_016947689.1|DBIA
OG0000013	LOC118507210|XP_035901192.1|ASTE	LOC108036445|XP_016968074.1|DBIA
OG0000013	LOC118503015|XP_035891731.1|ASTE	LOC108030851|XP_016959521.1|DBIA
OG0000013	LOC118505715|XP_035897785.1|ASTE, LOC118505701|XP_035897742.1|ASTE	LOC108031414|XP_016960303.1|DBIA
OG0000013	LOC118502371|XP_035890483.1|ASTE, LOC118507499|XP_035901922.1|ASTE, LOC118507498|XP_035901921.1|ASTE, LOC118507500|XP_035901923.1|ASTE, LOC118507496|XP_035901918.1|ASTE, LOC118507497|XP_035901920.1|ASTE	LOC108026153|XP_016952377.1|DBIA, LOC108031653|XP_016960776.1|DBIA, LOC108022928|XP_016947668.1|DBIA, LOC108024680|XP_016950243.1|DBIA, LOC108024686|XP_016950255.1|DBIA, LOC108031441|XP_016960362.1|DBIA
OG0000014	LOC118515162|XP_035917761.1|ASTE	LOC108022036|XP_016946371.1|DBIA
OG0000016	LOC118502962|XP_035891619.1|ASTE	LOC108031488|XP_016960465.1|DBIA, LOC108022510|XP_016946968.1|DBIA
OG0000016	LOC118503654|XP_035893068.1|ASTE	LOC108032049|XP_016961350.1|DBIA
OG0000016	LOC118505170|XP_035896494.1|ASTE	LOC108031387|XP_016960277.1|DBIA
OG0000016	LOC118503558|XP_035892859.1|ASTE, LOC118503560|XP_035892862.1|ASTE	LOC108030823|XP_016959429.1|DBIA
OG0000018	LOC118513024|XP_035914194.1|ASTE	LOC108028400|XP_016955704.1|DBIA
OG0000019	LOC118505910|XP_035898262.1|ASTE, LOC118504464|XP_035894858.1|ASTE, LOC118505911|XP_035898263.1|ASTE, LOC118507102|XP_035900997.1|ASTE, LOC118505907|XP_035898258.1|ASTE, LOC118506335|XP_035899208.1|ASTE, LOC118506986|XP_035900751.1|ASTE	LOC108025227|XP_016951062.1|DBIA, LOC108025229|XP_016951064.1|DBIA, LOC108025230|XP_016951066.1|DBIA, LOC108025224|XP_016951060.1|DBIA, LOC108025228|XP_016951063.1|DBIA, LOC108025225|XP_016951061.1|DBIA, LOC108025231|XP_016951067.1|DBIA
OG0000020	LOC118507513|XP_035901949.1|ASTE	LOC108026305|XP_016952678.1|DBIA, LOC108026784|XP_016953432.1|DBIA
OG0000020	LOC118509588|XP_035906253.1|ASTE	LOC108033312|XP_016963077.1|DBIA, LOC108032062|XP_016961369.1|DBIA, LOC108034320|XP_016964679.1|DBIA, LOC108036239|XP_016967737.1|DBIA, LOC108036110|XP_016967573.1|DBIA, LOC108031537|XP_016960562.1|DBIA, LOC108024628|XP_016950157.1|DBIA, LOC108034268|XP_016964616.1|DBIA, LOC108033875|XP_016964007.1|DBIA
OG0000021	LOC118505404|XP_035897036.1|ASTE, LOC118516590|XP_035918445.1|ASTE	LOC108025789|XP_016951907.1|DBIA
OG0000021	LOC118505796|XP_035898023.1|ASTE	LOC108026319|XP_016952697.1|DBIA, LOC108027350|XP_016954258.1|DBIA, LOC108026442|XP_016952872.1|DBIA
OG0000022	LOC118510588|XP_035908481.1|ASTE	LOC108022346|XP_016946698.1|DBIA, LOC108030636|XP_016959139.1|DBIA, LOC108029210|XP_016956886.1|DBIA, LOC108029216|XP_016956899.1|DBIA, LOC108027792|XP_016954853.1|DBIA, LOC108029236|XP_016956922.1|DBIA, LOC108029246|XP_016956933.1|DBIA, LOC108029225|XP_016956911.1|DBIA, LOC108029203|XP_016956872.1|DBIA
OG0000023	LOC118511284|XP_035910083.1|ASTE, LOC118511293|XP_035910094.1|ASTE	LOC108027148|XP_016953858.1|DBIA, LOC108027146|XP_016953855.1|DBIA, LOC108027143|XP_016953853.1|DBIA, LOC108026627|XP_016953132.1|DBIA, LOC108027145|XP_016953854.1|DBIA, LOC108027009|XP_016953696.1|DBIA, LOC108027245|XP_016954086.1|DBIA, LOC108027357|XP_016954268.1|DBIA, LOC108027244|XP_016954083.1|DBIA
OG0000024	LOC118507315|XP_035901591.1|ASTE	LOC108022668|XP_016947226.1|DBIA, LOC108023057|XP_016947794.1|DBIA, LOC108022950|XP_016947655.1|DBIA, LOC108022666|XP_016947224.1|DBIA, LOC108022667|XP_016947225.1|DBIA, LOC108034270|XP_016964618.1|DBIA, LOC108022158|XP_016946489.1|DBIA, LOC108029512|XP_016957298.1|DBIA
OG0000025	LOC118503683|XP_035893118.1|ASTE, LOC118514136|XP_035916629.1|ASTE	LOC108023228|XP_016947991.1|DBIA
OG0000026	LOC118512926|XP_035913977.1|ASTE, LOC118512927|XP_035913978.1|ASTE, LOC118512928|XP_035913979.1|ASTE, LOC118512925|XP_035913975.1|ASTE, LOC118516362|XP_035918091.1|ASTE, LOC118512777|XP_035913579.1|ASTE, LOC118512778|XP_035913580.1|ASTE, LOC118516363|XP_035918092.1|ASTE	LOC108036455|XP_016968112.1|DBIA, LOC108027284|XP_016954161.1|DBIA, LOC108027046|XP_016953736.1|DBIA
OG0000027	LOC118509266|XP_035905509.1|ASTE, LOC118512970|XP_035914090.1|ASTE, LOC118509804|XP_035906835.1|ASTE, LOC118509855|XP_035906957.1|ASTE	LOC108033374|XP_016963181.1|DBIA, LOC108033303|XP_016963062.1|DBIA, LOC108033359|XP_016963159.1|DBIA
OG0000028	LOC118513512|XP_035915261.1|ASTE	LOC108031851|XP_016961097.1|DBIA, LOC108031869|XP_016961120.1|DBIA, LOC108035884|XP_016967128.1|DBIA, LOC108031862|XP_016961109.1|DBIA, LOC108035881|XP_016967123.1|DBIA, LOC108035882|XP_016967124.1|DBIA, LOC108035021|XP_016965853.1|DBIA
OG0000029	LOC118509963|XP_035907235.1|ASTE, LOC118504435|XP_035894769.1|ASTE, LOC118504401|XP_035894721.1|ASTE, LOC118504400|XP_035894720.1|ASTE, LOC118504394|XP_035894693.1|ASTE, LOC118509853|XP_035906948.1|ASTE, LOC118510095|XP_035907413.1|ASTE, LOC118510002|XP_035907280.1|ASTE, LOC118509935|XP_035907159.1|ASTE, LOC118510884|XP_035909157.1|ASTE, LOC118509803|XP_035906834.1|ASTE	LOC108036183|XP_016967662.1|DBIA, LOC108029337|XP_016957019.1|DBIA, LOC108036041|XP_016967472.1|DBIA, LOC108031286|XP_016960018.1|DBIA, LOC108028180|XP_016955330.1|DBIA
OG0000031	LOC118503726|XP_035893229.1|ASTE, LOC118504892|XP_035895844.1|ASTE, LOC118503724|XP_035893221.1|ASTE	LOC108032680|XP_016962144.1|DBIA, LOC108032585|XP_016961981.1|DBIA, LOC108033238|XP_016962991.1|DBIA, LOC108033489|XP_016963320.1|DBIA, LOC108034388|XP_016964759.1|DBIA, LOC108027702|XP_016954741.1|DBIA, LOC108032586|XP_016961983.1|DBIA
OG0000032	LOC118503124|XP_035891971.1|ASTE, LOC118503002|XP_035891706.1|ASTE, LOC118503126|XP_035891972.1|ASTE, LOC118503003|XP_035891707.1|ASTE, LOC118503000|XP_035891703.1|ASTE, LOC118502999|XP_035891702.1|ASTE, LOC118504242|XP_035894357.1|ASTE	LOC108027359|XP_016954271.1|DBIA, LOC108027164|XP_016953916.1|DBIA, LOC108027269|XP_016954133.1|DBIA, LOC108027231|XP_016954053.1|DBIA, LOC108027230|XP_016954052.1|DBIA, LOC108027165|XP_016953917.1|DBIA, LOC108027028|XP_016953713.1|DBIA, LOC108027228|XP_016954051.1|DBIA, LOC108027267|XP_016954131.1|DBIA, LOC108027001|XP_016953689.1|DBIA, LOC108027268|XP_016954132.1|DBIA
OG0000034	LOC118512083|XP_035911935.1|ASTE, LOC118512076|XP_035911906.1|ASTE, LOC118504919|XP_035895883.1|ASTE, LOC118504920|XP_035895885.1|ASTE	LOC108033817|XP_016963934.1|DBIA, LOC108036384|XP_016967978.1|DBIA, LOC108035246|XP_016966273.1|DBIA, LOC108035237|XP_016966261.1|DBIA, LOC108034999|XP_016965831.1|DBIA, LOC108033284|XP_016963038.1|DBIA, LOC108023439|XP_016948422.1|DBIA, LOC108023578|XP_016948665.1|DBIA, LOC108023415|XP_016948374.1|DBIA, LOC108036755|XP_016968570.1|DBIA
OG0000036	LOC118505450|XP_035897142.1|ASTE	LOC108027411|XP_016954339.1|DBIA
OG0000036	LOC118502424|XP_035890544.1|ASTE	LOC108026449|XP_016952877.1|DBIA
OG0000037	LOC118513815|XP_035915938.1|ASTE, LOC118513814|XP_035915937.1|ASTE	LOC108029865|XP_016957843.1|DBIA, LOC108032009|XP_016961298.1|DBIA, LOC108030957|XP_016959646.1|DBIA, LOC108032010|XP_016961299.1|DBIA
OG0000038	LOC118510894|XP_035909171.1|ASTE	LOC108030746|XP_016959281.1|DBIA
OG0000038	LOC118510898|XP_035909176.1|ASTE	LOC108030931|XP_016959614.1|DBIA
OG0000039	LOC118509581|XP_035906243.1|ASTE, LOC118509576|XP_035906238.1|ASTE, LOC118509578|XP_035906240.1|ASTE, LOC118509580|XP_035906242.1|ASTE, LOC118509577|XP_035906239.1|ASTE, LOC118509579|XP_035906241.1|ASTE, LOC118509582|XP_035906245.1|ASTE, LOC118512924|XP_035913974.1|ASTE, LOC118504616|XP_035895189.1|ASTE, LOC118504617|XP_035895190.1|ASTE	LOC108027177|XP_016953954.1|DBIA
OG0000041	LOC118502651|XP_035890993.1|ASTE	LOC108026015|XP_016952195.1|DBIA, LOC108026081|XP_016952269.1|DBIA, LOC108026380|XP_016952789.1|DBIA, LOC108026109|XP_016952297.1|DBIA, LOC108026021|XP_016952202.1|DBIA, LOC108026443|XP_016952869.1|DBIA, LOC108026441|XP_016952867.1|DBIA
OG0000043	LOC118514201|XP_035916783.1|ASTE	LOC108024814|XP_016950428.1|DBIA, LOC108024406|XP_016949807.1|DBIA, LOC108024792|XP_016950400.1|DBIA, LOC108026909|XP_016953607.1|DBIA, LOC108024319|XP_016949710.1|DBIA, LOC108024782|XP_016950387.1|DBIA, LOC108025302|XP_016951186.1|DBIA, LOC108024783|XP_016950388.1|DBIA
OG0000047	LOC118514097|XP_035916530.1|ASTE	LOC108036240|XP_016967738.1|DBIA, LOC108036255|XP_016967753.1|DBIA, LOC108029392|XP_016957110.1|DBIA, LOC108035707|XP_016966919.1|DBIA, LOC108029377|XP_016957093.1|DBIA, LOC108034788|XP_016965261.1|DBIA
OG0000048	LOC118510295|XP_035907813.1|ASTE	LOC108035017|XP_016965850.1|DBIA, LOC108035032|XP_016965866.1|DBIA, LOC108035016|XP_016965849.1|DBIA, LOC108035019|XP_016965851.1|DBIA
OG0000049	LOC118510116|XP_035907473.1|ASTE, LOC118516340|XP_035918044.1|ASTE, LOC118511361|XP_035910216.1|ASTE, LOC118511360|XP_035910215.1|ASTE, LOC118516348|XP_035918056.1|ASTE	LOC108024404|XP_016949805.1|DBIA, LOC108024363|XP_016949755.1|DBIA, LOC108024349|XP_016949740.1|DBIA, LOC108024839|XP_016950464.1|DBIA, LOC108024840|XP_016950465.1|DBIA, LOC108024876|XP_016950510.1|DBIA
OG0000051	LOC118504525|XP_035894960.1|ASTE, LOC118504587|XP_035895135.1|ASTE, LOC118504592|XP_035895145.1|ASTE, LOC118504595|XP_035895149.1|ASTE	LOC108031259|XP_016959986.1|DBIA, LOC108031167|XP_016959876.1|DBIA, LOC108031055|XP_016959745.1|DBIA, LOC108031066|XP_016959760.1|DBIA
OG0000053	LOC118503243|XP_035892157.1|ASTE, LOC118503347|XP_035892412.1|ASTE, LOC118503346|XP_035892410.1|ASTE	LOC108029369|XP_016957086.1|DBIA, LOC108029362|XP_016957079.1|DBIA, LOC108029361|XP_016957078.1|DBIA
OG0000054	LOC118511291|XP_035910092.1|ASTE, LOC118511292|XP_035910093.1|ASTE, LOC118511290|XP_035910090.1|ASTE, LOC118511288|XP_035910086.1|ASTE, LOC118511287|XP_035910085.1|ASTE, LOC118512788|XP_035913599.1|ASTE, LOC118512789|XP_035913600.1|ASTE	LOC108026311|XP_016952687.1|DBIA, LOC108026084|XP_016952272.1|DBIA, LOC108026092|XP_016952281.1|DBIA, LOC108026028|XP_016952208.1|DBIA, LOC108026363|XP_016952768.1|DBIA
OG0000055	LOC118508181|XP_035903635.1|ASTE, LOC118509864|XP_035906979.1|ASTE	LOC108025040|XP_016950785.1|DBIA, LOC108025098|XP_016950849.1|DBIA, LOC108025041|XP_016950786.1|DBIA, LOC108025121|XP_016950876.1|DBIA, LOC108025100|XP_016950852.1|DBIA
OG0000056	LOC118507841|XP_035902865.1|ASTE	LOC108031456|XP_016960380.1|DBIA, LOC108031453|XP_016960377.1|DBIA, LOC108031455|XP_016960379.1|DBIA, LOC108031454|XP_016960378.1|DBIA, LOC108031452|XP_016960376.1|DBIA, LOC108031088|XP_016959782.1|DBIA, LOC108031982|XP_016961266.1|DBIA
OG0000058	LOC118513234|XP_035914678.1|ASTE, LOC118509609|XP_035906312.1|ASTE	LOC108036205|XP_016967686.1|DBIA, LOC108032411|XP_016961720.1|DBIA, LOC108032495|XP_016961804.1|DBIA, LOC108036206|XP_016967687.1|DBIA, LOC108033435|XP_016963248.1|DBIA, LOC108029081|XP_016956700.1|DBIA
OG0000060	LOC118506293|XP_035899121.1|ASTE	LOC108031902|XP_016961196.1|DBIA
OG0000060	LOC118514292|XP_035916947.1|ASTE	LOC108025323|XP_016951236.1|DBIA
