Orthogroup	ASTE.longest_only	AALB.longest_only
OG0000001	LOC118508413|XP_035904112.1|ASTE, LOC118510932|XP_035909246.1|ASTE	LOC118464503|XP_035787831.1|AALB, LOC118468171|XP_035794888.1|AALB, LOC118460574|XP_035780876.1|AALB, LOC118468338|XP_035794990.1|AALB
OG0000002	LOC118514602|XP_035917491.1|ASTE, LOC118514191|XP_035916773.1|ASTE, LOC118506037|XP_035898561.1|ASTE, LOC118503868|XP_035893499.1|ASTE	LOC118468694|XP_035795703.1|AALB, LOC118459237|XP_035778328.1|AALB, LOC118458182|XP_035776303.1|AALB, LOC118459508|XP_035778839.1|AALB, LOC118456268|XP_035772761.1|AALB, LOC118457654|XP_035775290.1|AALB, LOC118459238|XP_035778329.1|AALB, LOC118464692|XP_035788106.1|AALB, LOC118456323|XP_035772865.1|AALB, LOC118458617|XP_035777193.1|AALB, LOC118458644|XP_035777227.1|AALB, LOC118461733|XP_035783317.1|AALB
OG0000002	LOC118508220|XP_035903701.1|ASTE	LOC118465266|XP_035789187.1|AALB
OG0000002	LOC118508185|XP_035903637.1|ASTE	LOC118457044|XP_035774185.1|AALB, LOC118458856|XP_035777671.1|AALB, LOC118456430|XP_035773079.1|AALB, LOC118468507|XP_035795235.1|AALB, LOC118458857|XP_035777672.1|AALB
OG0000002	LOC118516451|XP_035918240.1|ASTE, LOC118511890|XP_035911410.1|ASTE, LOC118511889|XP_035911409.1|ASTE, LOC118516454|XP_035918243.1|ASTE	LOC118464239|XP_035787322.1|AALB
OG0000002	LOC118511888|XP_035911408.1|ASTE, LOC118516449|XP_035918238.1|ASTE, LOC118514626|XP_035917517.1|ASTE	LOC118464498|XP_035787822.1|AALB, LOC118464237|XP_035787319.1|AALB, LOC118464238|XP_035787321.1|AALB
OG0000002	LOC118511460|XP_035910455.1|ASTE	LOC118464651|XP_035788010.1|AALB
OG0000002	LOC118509013|XP_035904926.1|ASTE	LOC118464903|XP_035788558.1|AALB
OG0000002	LOC118509867|XP_035906983.1|ASTE	LOC118462019|XP_035783868.1|AALB
OG0000003	LOC118510054|XP_035907336.1|ASTE, LOC118517143|XP_035918894.1|ASTE	LOC118460889|XP_035781525.1|AALB
OG0000003	LOC118513635|XP_035915594.1|ASTE, LOC118517142|XP_035918893.1|ASTE	LOC118460897|XP_035781532.1|AALB
OG0000003	LOC118513634|XP_035915592.1|ASTE	LOC118460890|XP_035781526.1|AALB
OG0000003	LOC118503800|XP_035893388.1|ASTE	LOC118464960|XP_035788648.1|AALB
OG0000003	LOC118513637|XP_035915596.1|ASTE, LOC118517132|XP_035918884.1|ASTE	LOC118460892|XP_035781528.1|AALB
OG0000003	LOC118513636|XP_035915595.1|ASTE, LOC118517131|XP_035918883.1|ASTE	LOC118460896|XP_035781530.1|AALB
OG0000003	LOC118513639|XP_035915598.1|ASTE, LOC118517134|XP_035918886.1|ASTE	LOC118460894|XP_035781529.1|AALB
OG0000003	LOC118517135|XP_035918887.1|ASTE, LOC118513640|XP_035915599.1|ASTE, LOC118517138|XP_035918888.1|ASTE, LOC118513642|XP_035915602.1|ASTE, LOC118513641|XP_035915600.1|ASTE	LOC118460887|XP_035781523.1|AALB
OG0000003	LOC118517145|XP_035918898.1|ASTE, LOC118513633|XP_035915591.1|ASTE, LOC118513638|XP_035915597.1|ASTE, LOC118517133|XP_035918885.1|ASTE	LOC118468410|XP_035795067.1|AALB
OG0000003	LOC118504406|XP_035894732.1|ASTE, LOC118504410|XP_035894735.1|ASTE, LOC118504409|XP_035894734.1|ASTE	LOC118457008|XP_035774126.1|AALB
OG0000003	LOC118504411|XP_035894737.1|ASTE, LOC118504408|XP_035894733.1|ASTE	LOC118457116|XP_035774311.1|AALB
OG0000003	LOC118504412|XP_035894738.1|ASTE	LOC118457004|XP_035774122.1|AALB, LOC118457009|XP_035774130.1|AALB
OG0000004	LOC118508090|XP_035903462.1|ASTE, LOC118508092|XP_035903464.1|ASTE, LOC118508091|XP_035903463.1|ASTE	LOC118463610|XP_035786183.1|AALB, LOC118465226|XP_035789114.1|AALB, LOC118463579|XP_035786113.1|AALB, LOC118463558|XP_035786086.1|AALB, LOC118463591|XP_035786144.1|AALB, LOC118463589|XP_035786142.1|AALB, LOC118463472|XP_035785954.1|AALB, LOC118463583|XP_035786116.1|AALB, LOC118463474|XP_035785956.1|AALB, LOC118465227|XP_035789115.1|AALB, LOC118462788|XP_035784672.1|AALB, LOC118463093|XP_035785266.1|AALB, LOC118465695|XP_035790016.1|AALB, LOC118467952|XP_035794816.1|AALB, LOC118465367|XP_035789455.1|AALB, LOC118465368|XP_035789456.1|AALB
OG0000004	LOC118508233|XP_035903731.1|ASTE, LOC118508227|XP_035903726.1|ASTE, LOC118508232|XP_035903730.1|ASTE, LOC118508230|XP_035903728.1|ASTE, LOC118508231|XP_035903729.1|ASTE, LOC118508228|XP_035903727.1|ASTE	LOC118463339|XP_035785747.1|AALB, LOC118463355|XP_035785764.1|AALB, LOC118467023|XP_035792868.1|AALB, LOC118463407|XP_035785852.1|AALB, LOC118467022|XP_035792867.1|AALB
OG0000005	LOC118516497|XP_035918320.1|ASTE, LOC118516487|XP_035918309.1|ASTE, LOC118516495|XP_035918318.1|ASTE, LOC118516498|XP_035918321.1|ASTE, LOC118516500|XP_035918322.1|ASTE, LOC118516491|XP_035918313.1|ASTE, LOC118516493|XP_035918316.1|ASTE, LOC118516494|XP_035918317.1|ASTE, LOC118516492|XP_035918315.1|ASTE, LOC118516490|XP_035918312.1|ASTE, LOC118516496|XP_035918319.1|ASTE, LOC118517635|XP_035919840.1|ASTE	LOC118463672|XP_035786322.1|AALB, LOC118465116|XP_035788956.1|AALB, LOC118467850|XP_035794648.1|AALB, LOC118467567|XP_035794087.1|AALB
OG0000006	LOC118517636|XP_035919841.1|ASTE	LOC118465125|XP_035788959.1|AALB
OG0000006	LOC118508036|XP_035903331.1|ASTE	LOC118465084|XP_035788881.1|AALB
OG0000008	LOC118505246|XP_035896690.1|ASTE, LOC118505247|XP_035896691.1|ASTE	LOC118461568|XP_035782948.1|AALB
OG0000008	LOC118506770|XP_035900259.1|ASTE	LOC118460625|XP_035780966.1|AALB
OG0000008	LOC118506769|XP_035900258.1|ASTE, LOC118506766|XP_035900255.1|ASTE	LOC118460624|XP_035780965.1|AALB, LOC118460620|XP_035780962.1|AALB, LOC118460621|XP_035780963.1|AALB, LOC118460619|XP_035780959.1|AALB
OG0000008	LOC118509007|XP_035904915.1|ASTE	LOC118459424|XP_035778662.1|AALB
OG0000008	LOC118506772|XP_035900260.1|ASTE	LOC118460626|XP_035780968.1|AALB
OG0000009	LOC118514549|XP_035917433.1|ASTE	LOC118457984|XP_035775939.1|AALB
OG0000009	LOC118512522|XP_035912957.1|ASTE, LOC118512523|XP_035912958.1|ASTE	LOC118459109|XP_035778066.1|AALB
OG0000009	LOC118513525|XP_035915292.1|ASTE	LOC118464365|XP_035787590.1|AALB
OG0000009	LOC118510358|XP_035907960.1|ASTE	LOC118463211|XP_035785546.1|AALB
OG0000009	LOC118503659|XP_035893081.1|ASTE	LOC118460748|XP_035781232.1|AALB
OG0000010	LOC118503730|XP_035893236.1|ASTE	LOC118465130|XP_035788962.1|AALB, LOC118464061|XP_035787001.1|AALB
OG0000010	LOC118509785|XP_035906820.1|ASTE	LOC118464059|XP_035786999.1|AALB
OG0000011	LOC118513952|XP_035916240.1|ASTE	LOC118468649|XP_035795569.1|AALB
OG0000012	LOC118508901|XP_035904653.1|ASTE	LOC118463566|XP_035786097.1|AALB
OG0000012	LOC118508903|XP_035904655.1|ASTE	LOC118462971|XP_035785031.1|AALB
OG0000013	LOC118507210|XP_035901192.1|ASTE	LOC118467742|XP_035794443.1|AALB
OG0000013	LOC118503015|XP_035891731.1|ASTE	LOC118460642|XP_035780995.1|AALB
OG0000013	LOC118505715|XP_035897785.1|ASTE, LOC118505701|XP_035897742.1|ASTE	LOC118461072|XP_035781858.1|AALB
OG0000013	LOC118502371|XP_035890483.1|ASTE	LOC118460879|XP_035781511.1|AALB
OG0000013	LOC118507499|XP_035901922.1|ASTE, LOC118507498|XP_035901921.1|ASTE, LOC118507500|XP_035901923.1|ASTE, LOC118507496|XP_035901918.1|ASTE, LOC118507497|XP_035901920.1|ASTE	LOC118456300|XP_035772832.1|AALB, LOC118468925|XP_035796129.1|AALB
OG0000014	LOC118503306|XP_035892319.1|ASTE	LOC118456863|XP_035773863.1|AALB
OG0000014	LOC118515162|XP_035917761.1|ASTE	LOC118463648|XP_035786284.1|AALB
