Orthogroup	ASTE.longest_only	DPER.longest_only
OG0000002	LOC118516451|XP_035918240.1|ASTE, LOC118511890|XP_035911410.1|ASTE, LOC118511889|XP_035911409.1|ASTE, LOC118516454|XP_035918243.1|ASTE, LOC118511888|XP_035911408.1|ASTE, LOC118516449|XP_035918238.1|ASTE, LOC118514626|XP_035917517.1|ASTE, LOC118511460|XP_035910455.1|ASTE, LOC118509013|XP_035904926.1|ASTE, LOC118509867|XP_035906983.1|ASTE	LOC6589514|XP_002015188.2|DPER, LOC6593573|XP_002019253.2|DPER
OG0000006	LOC118517636|XP_035919841.1|ASTE	LOC113565364|XP_026842915.1|DPER, LOC113567237|XP_026850207.1|DPER, LOC113567385|XP_026850890.1|DPER, LOC113567411|XP_026850946.1|DPER
OG0000006	LOC118508036|XP_035903331.1|ASTE	LOC113567402|XP_026850930.1|DPER
OG0000008	LOC118505246|XP_035896690.1|ASTE, LOC118505247|XP_035896691.1|ASTE	LOC6594328|XP_026850351.1|DPER
OG0000008	LOC118506768|XP_035900257.1|ASTE, LOC118506767|XP_035900256.1|ASTE, LOC118506770|XP_035900259.1|ASTE, LOC118506769|XP_035900258.1|ASTE, LOC118506766|XP_035900255.1|ASTE	LOC6601897|XP_026849381.1|DPER
OG0000008	LOC118509007|XP_035904915.1|ASTE	LOC6595506|XP_002020611.1|DPER
OG0000008	LOC118506772|XP_035900260.1|ASTE	LOC113566715|XP_026849382.1|DPER
OG0000009	LOC118514549|XP_035917433.1|ASTE, LOC118512522|XP_035912957.1|ASTE, LOC118512523|XP_035912958.1|ASTE, LOC118513525|XP_035915292.1|ASTE, LOC118510358|XP_035907960.1|ASTE, LOC118503659|XP_035893081.1|ASTE	LOC6594636|XP_026850331.1|DPER, LOC6594634|XP_002019930.1|DPER, LOC6594633|XP_002019929.1|DPER, LOC6594635|XP_026850255.1|DPER, LOC6594558|XP_026850291.1|DPER, LOC6591365|XP_002017250.2|DPER, LOC6604573|XP_026840043.1|DPER, LOC6591362|XP_002017247.1|DPER, LOC6591562|XP_002017111.1|DPER, LOC6601280|XP_026841960.1|DPER, LOC6591389|XP_002017359.1|DPER, LOC6590982|XP_002016547.1|DPER, LOC6590981|XP_002016546.2|DPER
OG0000010	LOC118503730|XP_035893236.1|ASTE	LOC113567423|XP_026850962.1|DPER
OG0000010	LOC118509785|XP_035906820.1|ASTE	LOC113567250|XP_026850220.1|DPER
OG0000012	LOC118508901|XP_035904653.1|ASTE, LOC118508903|XP_035904655.1|ASTE	LOC6589910|XP_026840670.1|DPER, LOC6589909|XP_002016518.1|DPER, LOC6589908|XP_026841658.1|DPER, LOC6589911|XP_026840671.1|DPER, LOC113565188|XP_026842345.1|DPER, LOC6589913|XP_026842148.1|DPER, LOC6590584|XP_026841794.1|DPER, LOC6589912|XP_002016521.1|DPER, LOC6590586|XP_002016525.1|DPER, LOC6590587|XP_002016526.1|DPER, LOC6590588|XP_002016527.1|DPER, LOC6590215|XP_002016528.1|DPER, LOC6590216|XP_002016529.1|DPER
OG0000013	LOC118507210|XP_035901192.1|ASTE	LOC6600889|XP_026840828.1|DPER
OG0000013	LOC118503015|XP_035891731.1|ASTE	LOC6598353|XP_002023428.2|DPER
OG0000013	LOC118505715|XP_035897785.1|ASTE, LOC118505701|XP_035897742.1|ASTE	LOC6594205|XP_002019664.1|DPER, LOC6594496|XP_002019695.1|DPER
OG0000013	LOC118502371|XP_035890483.1|ASTE, LOC118507499|XP_035901922.1|ASTE, LOC118507498|XP_035901921.1|ASTE, LOC118507500|XP_035901923.1|ASTE, LOC118507496|XP_035901918.1|ASTE, LOC118507497|XP_035901920.1|ASTE	LOC6587278|XP_002013456.1|DPER, LOC6588391|XP_002013455.2|DPER, LOC6598714|XP_002023893.1|DPER, LOC6598715|XP_026850871.1|DPER
OG0000016	LOC118502962|XP_035891619.1|ASTE	LOC6587871|XP_002013173.2|DPER, LOC6593077|XP_002017890.1|DPER
OG0000016	LOC118503654|XP_035893068.1|ASTE	LOC6587678|XP_002013954.1|DPER
OG0000016	LOC118505170|XP_035896494.1|ASTE	LOC6599243|XP_002024300.1|DPER
OG0000016	LOC118503558|XP_035892859.1|ASTE, LOC118503560|XP_035892862.1|ASTE	LOC6602189|XP_026848039.1|DPER
OG0000018	LOC118513024|XP_035914194.1|ASTE	LOC6601448|XP_002026450.1|DPER
OG0000019	LOC118505910|XP_035898262.1|ASTE, LOC118504464|XP_035894858.1|ASTE, LOC118505911|XP_035898263.1|ASTE, LOC118507102|XP_035900997.1|ASTE, LOC118505907|XP_035898258.1|ASTE, LOC118506335|XP_035899208.1|ASTE, LOC118506986|XP_035900751.1|ASTE	LOC6587177|XP_002013000.1|DPER, LOC6587211|XP_002013001.2|DPER, LOC113564910|XP_026840077.1|DPER, LOC6588514|XP_002012998.2|DPER, LOC6587186|XP_002012999.1|DPER, LOC6587637|XP_002013003.2|DPER, LOC6587295|XP_002013004.1|DPER, LOC6587205|XP_002013002.1|DPER
OG0000020	LOC118507513|XP_035901949.1|ASTE	LOC6594838|XP_002020242.2|DPER, LOC6590666|XP_002015941.1|DPER
OG0000020	LOC118509588|XP_035906253.1|ASTE	LOC6589657|XP_002014518.1|DPER, LOC6594627|XP_026850533.1|DPER, LOC6594128|XP_002019432.1|DPER, LOC6593366|XP_002018585.1|DPER, LOC6589656|XP_026844645.1|DPER
OG0000021	LOC118505404|XP_035897036.1|ASTE, LOC118516590|XP_035918445.1|ASTE	LOC6599244|XP_026848260.1|DPER
OG0000021	LOC118505796|XP_035898023.1|ASTE	LOC113565817|XP_026844838.1|DPER, LOC6598730|XP_026840231.1|DPER, LOC6597578|XP_026848930.1|DPER
OG0000022	LOC118510588|XP_035908481.1|ASTE	LOC6593244|XP_026840814.1|DPER, LOC6601032|XP_002026120.1|DPER, LOC6601031|XP_002026119.1|DPER, LOC6601062|XP_002026117.2|DPER, LOC6601060|XP_002026115.1|DPER, LOC6601030|XP_002026118.2|DPER, LOC6604616|XP_002029500.2|DPER, LOC113566795|XP_026849746.1|DPER, LOC6601061|XP_002026116.1|DPER, LOC113566796|XP_026849747.1|DPER, LOC113566793|XP_026849743.1|DPER, LOC113566797|XP_026849748.1|DPER, LOC113566794|XP_026849744.1|DPER
