Orthogroup	ASTE.longest_only	DSIM.longest_only
OG0000002	LOC118516451|XP_035918240.1|ASTE, LOC118511890|XP_035911410.1|ASTE, LOC118511889|XP_035911409.1|ASTE, LOC118516454|XP_035918243.1|ASTE, LOC118511888|XP_035911408.1|ASTE, LOC118516449|XP_035918238.1|ASTE, LOC118514626|XP_035917517.1|ASTE, LOC118511460|XP_035910455.1|ASTE, LOC118509013|XP_035904926.1|ASTE, LOC118509867|XP_035906983.1|ASTE	LOC6731201|XP_002078360.1|DSIM
OG0000006	LOC118517636|XP_035919841.1|ASTE	LOC120285545|XP_039154135.1|DSIM
OG0000006	LOC118508036|XP_035903331.1|ASTE	LOC27208095|XP_016025859.1|DSIM
OG0000008	LOC118505246|XP_035896690.1|ASTE, LOC118505247|XP_035896691.1|ASTE	LOC6727443|XP_016034017.1|DSIM
OG0000008	LOC118506768|XP_035900257.1|ASTE, LOC118506767|XP_035900256.1|ASTE, LOC118506770|XP_035900259.1|ASTE, LOC118506769|XP_035900258.1|ASTE, LOC118506766|XP_035900255.1|ASTE	LOC6736741|XP_002083597.1|DSIM
OG0000008	LOC118509007|XP_035904915.1|ASTE	LOC6732025|XP_039148682.1|DSIM
OG0000008	LOC118506772|XP_035900260.1|ASTE	LOC6736742|XP_002083598.1|DSIM
OG0000009	LOC118514549|XP_035917433.1|ASTE, LOC118512522|XP_035912957.1|ASTE, LOC118512523|XP_035912958.1|ASTE, LOC118513525|XP_035915292.1|ASTE, LOC118510358|XP_035907960.1|ASTE, LOC118503659|XP_035893081.1|ASTE	LOC6727419|XP_002102801.1|DSIM, LOC6727422|XP_002102804.2|DSIM, LOC6727423|XP_016033975.1|DSIM, LOC6727420|XP_002102802.1|DSIM, LOC6736925|XP_002083772.1|DSIM, LOC6736926|XP_002083773.1|DSIM, LOC6736062|XP_002082963.1|DSIM, LOC6728414|XP_016035007.1|DSIM, LOC6734157|XP_002081186.1|DSIM, LOC6734155|XP_002081184.1|DSIM, LOC6734156|XP_002081185.1|DSIM
OG0000010	LOC118503730|XP_035893236.1|ASTE	LOC120285280|XP_039152696.1|DSIM
OG0000012	LOC118508901|XP_035904653.1|ASTE, LOC118508903|XP_035904655.1|ASTE	LOC6735247|XP_016028572.1|DSIM, LOC6735246|XP_016028570.1|DSIM, LOC6735245|XP_016028569.1|DSIM, LOC6735248|XP_016028574.1|DSIM, LOC6735250|XP_002082223.1|DSIM, LOC6735249|XP_016028575.1|DSIM, LOC6734131|XP_002081160.1|DSIM, LOC6734132|XP_016027145.1|DSIM, LOC6734133|XP_002081162.3|DSIM, LOC6734134|XP_016027146.1|DSIM, LOC6734135|XP_002081164.1|DSIM, LOC6734136|XP_016027147.1|DSIM
OG0000013	LOC118507210|XP_035901192.1|ASTE	LOC6734455|XP_002081474.1|DSIM
OG0000013	LOC118503015|XP_035891731.1|ASTE	LOC6725717|XP_016038992.1|DSIM
OG0000013	LOC118505715|XP_035897785.1|ASTE, LOC118505701|XP_035897742.1|ASTE	LOC6728006|XP_016034604.1|DSIM
OG0000013	LOC118502371|XP_035890483.1|ASTE, LOC118507499|XP_035901922.1|ASTE, LOC118507498|XP_035901921.1|ASTE, LOC118507500|XP_035901923.1|ASTE, LOC118507496|XP_035901918.1|ASTE, LOC118507497|XP_035901920.1|ASTE	LOC6729335|XP_016035977.1|DSIM, LOC120284969|XP_039150774.1|DSIM, LOC6728340|XP_016022730.2|DSIM, LOC6728451|XP_039151887.1|DSIM, LOC27206470|XP_016035065.1|DSIM
OG0000016	LOC118502962|XP_035891619.1|ASTE	LOC6728214|XP_016034853.1|DSIM, LOC6735456|XP_002082396.1|DSIM
OG0000016	LOC118503654|XP_035893068.1|ASTE	LOC6728317|XP_002103666.1|DSIM
OG0000016	LOC118505170|XP_035896494.1|ASTE	LOC6725225|XP_016038239.1|DSIM
OG0000016	LOC118503558|XP_035892859.1|ASTE, LOC118503560|XP_035892862.1|ASTE	LOC6739089|XP_016032930.1|DSIM
OG0000018	LOC118513024|XP_035914194.1|ASTE	LOC6736980|XP_002083827.1|DSIM
OG0000019	LOC118505910|XP_035898262.1|ASTE, LOC118504464|XP_035894858.1|ASTE, LOC118505911|XP_035898263.1|ASTE, LOC118507102|XP_035900997.1|ASTE, LOC118505907|XP_035898258.1|ASTE, LOC118506335|XP_035899208.1|ASTE, LOC118506986|XP_035900751.1|ASTE	LOC6729811|XP_002105114.1|DSIM, LOC6729810|XP_002105113.1|DSIM, LOC27208716|XP_016036498.1|DSIM, LOC6729806|XP_002105109.2|DSIM, LOC6729809|XP_002105112.1|DSIM, LOC6729812|XP_002105115.1|DSIM, LOC6729813|XP_002105116.1|DSIM
OG0000020	LOC118507513|XP_035901949.1|ASTE	LOC6730019|XP_002105313.2|DSIM, LOC6735524|XP_016028869.1|DSIM
OG0000020	LOC118509588|XP_035906253.1|ASTE	LOC27207807|XP_039147183.1|DSIM, LOC6733705|XP_002080752.3|DSIM, LOC6731489|XP_016024167.1|DSIM, LOC6727407|XP_016033953.2|DSIM, LOC6728507|XP_016035147.1|DSIM, LOC6733023|XP_016025710.1|DSIM, LOC6732748|XP_016025473.2|DSIM
OG0000021	LOC118505404|XP_035897036.1|ASTE, LOC118516590|XP_035918445.1|ASTE	LOC6725592|XP_039153232.1|DSIM
OG0000021	LOC118505796|XP_035898023.1|ASTE	LOC6729419|XP_002104734.2|DSIM, LOC6728358|XP_016034980.1|DSIM, LOC6726014|XP_016039394.1|DSIM
OG0000022	LOC118510588|XP_035908481.1|ASTE	LOC27206614|XP_039147853.1|DSIM, LOC6736292|XP_002083176.1|DSIM, LOC6736297|XP_002083181.2|DSIM, LOC27207162|XP_016029777.2|DSIM, LOC120284703|XP_039149016.1|DSIM, LOC6736296|XP_002083180.1|DSIM, LOC27206641|XP_016022646.2|DSIM, LOC6739595|XP_002076490.1|DSIM, LOC27207148|XP_016029776.1|DSIM
OG0000023	LOC118511284|XP_035910083.1|ASTE, LOC118511293|XP_035910094.1|ASTE	LOC6727100|XP_002102493.1|DSIM, LOC6727104|XP_002102497.2|DSIM, LOC6727107|XP_016033584.1|DSIM, LOC6735713|XP_002082629.1|DSIM, LOC6727106|XP_039151383.1|DSIM, LOC6727099|XP_002102492.1|DSIM, LOC6727095|XP_016033580.1|DSIM, LOC6727097|XP_002102490.1|DSIM, LOC6727094|XP_016033578.1|DSIM
OG0000024	LOC118507315|XP_035901591.1|ASTE	LOC6733991|XP_002081035.1|DSIM, LOC120284488|XP_039148839.1|DSIM, LOC6739389|XP_002076289.1|DSIM, LOC27209398|XP_016027021.1|DSIM, LOC6733990|XP_002081034.2|DSIM, LOC6732909|XP_002080014.1|DSIM, LOC6733989|XP_002081033.1|DSIM, LOC6739427|XP_002076329.1|DSIM
OG0000025	LOC118503683|XP_035893118.1|ASTE, LOC118514136|XP_035916629.1|ASTE	LOC27207833|XP_016038650.1|DSIM
OG0000025	LOC118509777|XP_035906810.1|ASTE	LOC120285797|XP_039154346.1|DSIM
OG0000026	LOC118512926|XP_035913977.1|ASTE, LOC118512927|XP_035913978.1|ASTE, LOC118512928|XP_035913979.1|ASTE, LOC118512925|XP_035913975.1|ASTE, LOC118516362|XP_035918091.1|ASTE, LOC118512777|XP_035913579.1|ASTE, LOC118512778|XP_035913580.1|ASTE, LOC118516363|XP_035918092.1|ASTE	LOC6725713|XP_002106716.1|DSIM, LOC6726897|XP_002102299.1|DSIM, LOC6727211|XP_002102603.1|DSIM
OG0000027	LOC118509266|XP_035905509.1|ASTE, LOC118512970|XP_035914090.1|ASTE, LOC118509804|XP_035906835.1|ASTE, LOC118509855|XP_035906957.1|ASTE	LOC6731383|XP_002078536.1|DSIM, LOC6731386|XP_002078539.1|DSIM, LOC6731384|XP_002078537.1|DSIM
OG0000028	LOC118513512|XP_035915261.1|ASTE	LOC120284825|XP_039150147.1|DSIM, LOC120284826|XP_039150148.1|DSIM, LOC6738682|XP_016032507.2|DSIM, LOC120284824|XP_039150146.1|DSIM, LOC27207609|XP_039150149.1|DSIM, LOC6738680|XP_039149230.1|DSIM, LOC6738681|XP_016032508.2|DSIM, LOC120284827|XP_039150150.1|DSIM, LOC120284696|XP_039148939.1|DSIM
