Orthogroup	BTRY.longest_only	BCOP.longest_only
OG0000000	LOC120778574|XP_039966372.1|BTRY, LOC120770615|XP_039954151.1|BTRY, LOC120770616|XP_039954152.1|BTRY, LOC120770614|XP_039954150.1|BTRY, LOC120770613|XP_039954149.1|BTRY, LOC120768872|XP_039951561.1|BTRY, LOC120768871|XP_039951560.1|BTRY, LOC120769979|XP_039952989.1|BTRY, LOC120772730|XP_039957425.1|BTRY, LOC120778381|XP_039966101.1|BTRY, LOC120768794|XP_039951483.1|BTRY, LOC120777014|XP_039964052.1|BTRY, LOC120777646|XP_039965032.1|BTRY, LOC120777544|XP_039964867.1|BTRY, LOC120774573|XP_039960240.1|BTRY, LOC120778869|XP_039966846.1|BTRY, LOC120776483|XP_039963094.1|BTRY, LOC120776612|XP_039963336.1|BTRY, LOC120778368|XP_039966089.1|BTRY, LOC120779297|XP_039967444.1|BTRY, LOC120776451|XP_039963042.1|BTRY, LOC120778377|XP_039966098.1|BTRY, LOC120767587|XP_039949669.1|BTRY, LOC120769210|XP_039952036.1|BTRY, LOC120776945|XP_039963962.1|BTRY, LOC120770621|XP_039954156.1|BTRY, LOC120770804|XP_039954316.1|BTRY, LOC120770805|XP_039954317.1|BTRY, LOC120777103|XP_039964173.1|BTRY, LOC120778046|XP_039965655.1|BTRY	LOC119067394|XP_037026221.1|BCOP
OG0000001	LOC120779349|XP_039967479.1|BTRY, LOC120768684|XP_039951395.1|BTRY, LOC120769217|XP_039952045.1|BTRY, LOC120780712|XP_039968906.1|BTRY	LOC119084781|XP_037050738.1|BCOP, LOC119083939|XP_037049649.1|BCOP
OG0000001	LOC120781507|XP_039969664.1|BTRY, LOC120781523|XP_039969677.1|BTRY, LOC120768683|XP_039951393.1|BTRY, LOC120768702|XP_039951408.1|BTRY, LOC120768701|XP_039951407.1|BTRY, LOC120780857|XP_039969026.1|BTRY, LOC120781828|XP_039969983.1|BTRY, LOC120781123|XP_039969191.1|BTRY, LOC120779390|XP_039967521.1|BTRY, LOC120768688|XP_039951398.1|BTRY, LOC120768687|XP_039951397.1|BTRY, LOC120767769|XP_039949942.1|BTRY	LOC119084767|XP_037050728.1|BCOP, LOC119071419|XP_037032191.1|BCOP, LOC119079853|XP_037043815.1|BCOP, LOC119083951|XP_037049655.1|BCOP, LOC119066006|XP_037024118.1|BCOP, LOC119082920|XP_037048471.1|BCOP, LOC119083910|XP_037049617.1|BCOP, LOC119066058|XP_037024178.1|BCOP, LOC119083512|XP_037049126.1|BCOP, LOC119081102|XP_037045737.1|BCOP, LOC119081228|XP_037045848.1|BCOP, LOC119076010|XP_037038490.1|BCOP
OG0000001	LOC120781801|XP_039969957.1|BTRY, LOC120782119|XP_039970195.1|BTRY	LOC119073001|XP_037034220.1|BCOP
OG0000002	LOC120768529|XP_039951194.1|BTRY, LOC120767759|XP_039949923.1|BTRY, LOC120768957|XP_039951682.1|BTRY, LOC120767675|XP_039949783.1|BTRY, LOC120767676|XP_039949784.1|BTRY, LOC120776516|XP_039963173.1|BTRY, LOC120778711|XP_039966611.1|BTRY, LOC120777430|XP_039964671.1|BTRY, LOC120776532|XP_039963199.1|BTRY	LOC119082547|XP_037047953.1|BCOP, LOC119084136|XP_037049882.1|BCOP, LOC119085280|XP_037051529.1|BCOP, LOC119085276|XP_037051525.1|BCOP, LOC119071002|XP_037031495.1|BCOP, LOC119085524|XP_037051835.1|BCOP, LOC119081710|XP_037046714.1|BCOP, LOC119081805|XP_037046930.1|BCOP, LOC119075137|XP_037037417.1|BCOP, LOC119083558|XP_037049172.1|BCOP
OG0000002	LOC120782778|XP_039971179.1|BTRY, LOC120769717|XP_039952790.1|BTRY, LOC120768237|XP_039950758.1|BTRY, LOC120768236|XP_039950755.1|BTRY, LOC120768238|XP_039950759.1|BTRY, LOC120767285|XP_039949095.1|BTRY, LOC120769451|XP_039952389.1|BTRY, LOC120770146|XP_039953270.1|BTRY, LOC120781360|XP_039969505.1|BTRY, LOC120781361|XP_039969506.1|BTRY, LOC120776016|XP_039962395.1|BTRY, LOC120766551|XP_039948068.1|BTRY	LOC119076785|XP_037039644.1|BCOP
OG0000003	LOC120769392|XP_039952295.1|BTRY, LOC120769651|XP_039952690.1|BTRY, LOC120769497|XP_039952461.1|BTRY, LOC120768765|XP_039951466.1|BTRY	LOC119083675|XP_037049353.1|BCOP, LOC119081620|XP_037046564.1|BCOP, LOC119076002|XP_037038470.1|BCOP, LOC119076068|XP_037038606.1|BCOP
OG0000004	LOC120769473|XP_039952426.1|BTRY, LOC120767484|XP_039949512.1|BTRY, LOC120767487|XP_039949515.1|BTRY, LOC120768718|XP_039951423.1|BTRY, LOC120769475|XP_039952431.1|BTRY, LOC120767491|XP_039949517.1|BTRY, LOC120767493|XP_039949519.1|BTRY, LOC120767483|XP_039949511.1|BTRY, LOC120767488|XP_039949516.1|BTRY, LOC120767471|XP_039949495.1|BTRY, LOC120767485|XP_039949513.1|BTRY, LOC120767563|XP_039949635.1|BTRY, LOC120768722|XP_039951428.1|BTRY	LOC119077551|XP_037040656.1|BCOP, LOC119082422|XP_037047846.1|BCOP, LOC119077556|XP_037040662.1|BCOP, LOC119078390|XP_037041787.1|BCOP, LOC119082494|XP_037047903.1|BCOP, LOC119082432|XP_037047856.1|BCOP, LOC119075114|XP_037037398.1|BCOP, LOC119082987|XP_037048519.1|BCOP, LOC119075509|XP_037037873.1|BCOP, LOC119082986|XP_037048518.1|BCOP, LOC119082985|XP_037048517.1|BCOP, LOC119082988|XP_037048520.1|BCOP, LOC119082984|XP_037048516.1|BCOP, LOC119082502|XP_037047913.1|BCOP, LOC119082438|XP_037047861.1|BCOP, LOC119082497|XP_037047907.1|BCOP, LOC119075397|XP_037037733.1|BCOP, LOC119075096|XP_037037380.1|BCOP, LOC119075107|XP_037037391.1|BCOP, LOC119075106|XP_037037389.1|BCOP, LOC119075385|XP_037037720.1|BCOP, LOC119082420|XP_037047844.1|BCOP, LOC119078395|XP_037041793.1|BCOP, LOC119075102|XP_037037385.1|BCOP, LOC119082426|XP_037047850.1|BCOP, LOC119077554|XP_037040659.1|BCOP, LOC119077569|XP_037040674.1|BCOP, LOC119077555|XP_037040660.1|BCOP, LOC119077550|XP_037040655.1|BCOP, LOC119070770|XP_037031148.1|BCOP, LOC119070783|XP_037031156.1|BCOP, LOC119070771|XP_037031149.1|BCOP
OG0000005	LOC120767523|XP_039949552.1|BTRY	LOC119075113|XP_037037397.1|BCOP, LOC119082434|XP_037047858.1|BCOP, LOC119075516|XP_037037882.1|BCOP, LOC119075101|XP_037037384.1|BCOP, LOC119075515|XP_037037881.1|BCOP, LOC119077571|XP_037040676.1|BCOP, LOC119070769|XP_037031147.1|BCOP, LOC119077548|XP_037040652.1|BCOP, LOC119078391|XP_037041788.1|BCOP, LOC119082421|XP_037047845.1|BCOP, LOC119077561|XP_037040667.1|BCOP, LOC119075104|XP_037037387.1|BCOP, LOC119078397|XP_037041795.1|BCOP, LOC119075116|XP_037037400.1|BCOP, LOC119077552|XP_037040657.1|BCOP, LOC119082429|XP_037047852.1|BCOP, LOC119075405|XP_037037743.1|BCOP, LOC119082423|XP_037047847.1|BCOP, LOC119077560|XP_037040666.1|BCOP, LOC119075403|XP_037037742.1|BCOP, LOC119082441|XP_037047863.1|BCOP, LOC119075506|XP_037037868.1|BCOP, LOC119075097|XP_037037381.1|BCOP, LOC119082499|XP_037047909.1|BCOP, LOC119070781|XP_037031155.1|BCOP
OG0000006	LOC120767509|XP_039949536.1|BTRY	LOC119070768|XP_037031146.1|BCOP, LOC119082428|XP_037047851.1|BCOP
