Orthogroup	BTRY.longest_only	DSUB.longest_only
OG0000000	LOC120778869|XP_039966846.1|BTRY, LOC120776483|XP_039963094.1|BTRY, LOC120776612|XP_039963336.1|BTRY, LOC120778368|XP_039966089.1|BTRY, LOC120779297|XP_039967444.1|BTRY, LOC120776451|XP_039963042.1|BTRY, LOC120778377|XP_039966098.1|BTRY	LOC117892442|XP_034654575.1|DSUB, LOC117892443|XP_034654576.1|DSUB, LOC117899172|XP_034664922.1|DSUB, LOC117897680|XP_034662581.1|DSUB, LOC117898485|XP_034663813.1|DSUB, LOC117890871|XP_034651851.1|DSUB, LOC117889909|XP_034650326.1|DSUB
OG0000000	LOC120767587|XP_039949669.1|BTRY, LOC120769210|XP_039952036.1|BTRY, LOC120776945|XP_039963962.1|BTRY	LOC117893407|XP_034655897.1|DSUB, LOC117893701|XP_034656280.1|DSUB, LOC117893403|XP_034655894.1|DSUB, LOC117892287|XP_034654298.1|DSUB, LOC117898546|XP_034663915.1|DSUB, LOC117898534|XP_034663895.1|DSUB, LOC117892705|XP_034655010.1|DSUB, LOC117897477|XP_034662229.1|DSUB, LOC117899325|XP_034665150.1|DSUB, LOC117899310|XP_034665127.1|DSUB, LOC117899320|XP_034665142.1|DSUB, LOC117899311|XP_034665128.1|DSUB, LOC117890046|XP_034650557.1|DSUB, LOC117892618|XP_034654860.1|DSUB, LOC117892700|XP_034655002.1|DSUB, LOC117899298|XP_034665106.1|DSUB, LOC117898533|XP_034663894.1|DSUB, LOC117892569|XP_034654782.1|DSUB, LOC117899299|XP_034665108.1|DSUB, LOC117899382|XP_034665255.1|DSUB, LOC117899333|XP_034665160.1|DSUB, LOC117899381|XP_034665253.1|DSUB, LOC117899380|XP_034665252.1|DSUB, LOC117896020|XP_034659918.1|DSUB, LOC117901385|XP_034668002.1|DSUB, LOC117892680|XP_034654976.1|DSUB
OG0000000	LOC120777103|XP_039964173.1|BTRY, LOC120778046|XP_039965655.1|BTRY	LOC117889755|XP_034650092.1|DSUB, LOC117891648|XP_034653088.1|DSUB, LOC117892559|XP_034654769.1|DSUB, LOC117897324|XP_034661985.1|DSUB, LOC117898800|XP_034664334.1|DSUB, LOC117898812|XP_034664357.1|DSUB, LOC117896263|XP_034660345.1|DSUB, LOC117897179|XP_034661768.1|DSUB, LOC117898832|XP_034664390.1|DSUB, LOC117898840|XP_034664406.1|DSUB, LOC117889741|XP_034650055.1|DSUB, LOC117889744|XP_034650074.1|DSUB, LOC117889734|XP_034650048.1|DSUB, LOC117889737|XP_034650052.1|DSUB, LOC117890530|XP_034651341.1|DSUB, LOC117890531|XP_034651342.1|DSUB, LOC117892566|XP_034654779.1|DSUB, LOC117898833|XP_034664391.1|DSUB, LOC117898839|XP_034664405.1|DSUB, LOC117898838|XP_034664404.1|DSUB, LOC117899182|XP_034664933.1|DSUB, LOC117898297|XP_034663459.1|DSUB
OG0000001	LOC120779562|XP_039967839.1|BTRY, LOC120777820|XP_039965292.1|BTRY, LOC120774624|XP_039960282.1|BTRY, LOC120779341|XP_039967474.1|BTRY, LOC120781825|XP_039969979.1|BTRY, LOC120780707|XP_039968901.1|BTRY, LOC120781940|XP_039970041.1|BTRY, LOC120781801|XP_039969957.1|BTRY, LOC120782119|XP_039970195.1|BTRY	LOC117902179|XP_034669231.1|DSUB
OG0000002	LOC120782778|XP_039971179.1|BTRY, LOC120769717|XP_039952790.1|BTRY, LOC120768237|XP_039950758.1|BTRY, LOC120768236|XP_039950755.1|BTRY, LOC120768238|XP_039950759.1|BTRY, LOC120767285|XP_039949095.1|BTRY, LOC120769451|XP_039952389.1|BTRY, LOC120770146|XP_039953270.1|BTRY, LOC120781360|XP_039969505.1|BTRY, LOC120781361|XP_039969506.1|BTRY, LOC120776016|XP_039962395.1|BTRY, LOC120766551|XP_039948068.1|BTRY	LOC117900215|XP_034666390.1|DSUB
OG0000003	LOC120773128|XP_039958058.1|BTRY	LOC117890983|XP_034652023.1|DSUB
OG0000003	LOC120773129|XP_039958059.1|BTRY, LOC120773130|XP_039958060.1|BTRY, LOC120770807|XP_039954320.1|BTRY, LOC120771341|XP_039955220.1|BTRY	LOC117890985|XP_034652025.1|DSUB, LOC117890142|XP_034650721.1|DSUB
OG0000003	LOC120770286|XP_039953556.1|BTRY, LOC120770809|XP_039954322.1|BTRY	LOC117890988|XP_034652030.1|DSUB
OG0000003	LOC120770285|XP_039953555.1|BTRY	LOC117890991|XP_034652033.1|DSUB
OG0000003	LOC120782321|XP_039970477.1|BTRY, LOC120770284|XP_039953554.1|BTRY	LOC117890982|XP_034652022.1|DSUB
