Orthogroup	BTRY.longest_only	ASTE.longest_only
OG0000001	LOC120779562|XP_039967839.1|BTRY, LOC120777820|XP_039965292.1|BTRY	LOC118508413|XP_035904112.1|ASTE
OG0000001	LOC120781825|XP_039969979.1|BTRY, LOC120780707|XP_039968901.1|BTRY, LOC120781940|XP_039970041.1|BTRY, LOC120781801|XP_039969957.1|BTRY, LOC120782119|XP_039970195.1|BTRY	LOC118510932|XP_035909246.1|ASTE
OG0000006	LOC120767509|XP_039949536.1|BTRY	LOC118517636|XP_035919841.1|ASTE
OG0000006	LOC120781340|XP_039969478.1|BTRY	LOC118508036|XP_035903331.1|ASTE
OG0000008	LOC120782797|XP_039971208.1|BTRY	LOC118505246|XP_035896690.1|ASTE, LOC118505247|XP_035896691.1|ASTE
OG0000008	LOC120778932|XP_039966913.1|BTRY	LOC118506768|XP_035900257.1|ASTE, LOC118506767|XP_035900256.1|ASTE, LOC118506770|XP_035900259.1|ASTE, LOC118506769|XP_035900258.1|ASTE, LOC118506766|XP_035900255.1|ASTE
OG0000008	LOC120778933|XP_039966914.1|BTRY	LOC118506772|XP_035900260.1|ASTE
OG0000009	LOC120780063|XP_039968275.1|BTRY, LOC120771333|XP_039955212.1|BTRY, LOC120782593|XP_039970879.1|BTRY, LOC120770963|XP_039954628.1|BTRY, LOC120770966|XP_039954631.1|BTRY, LOC120770965|XP_039954630.1|BTRY, LOC120766816|XP_039948459.1|BTRY, LOC120770964|XP_039954629.1|BTRY, LOC120772112|XP_039956457.1|BTRY, LOC120771402|XP_039955308.1|BTRY	LOC118514549|XP_035917433.1|ASTE, LOC118512522|XP_035912957.1|ASTE, LOC118512523|XP_035912958.1|ASTE, LOC118513525|XP_035915292.1|ASTE, LOC118510358|XP_035907960.1|ASTE, LOC118503659|XP_035893081.1|ASTE
OG0000010	LOC120766432|XP_039947870.1|BTRY	LOC118503730|XP_035893236.1|ASTE
OG0000010	LOC120767528|XP_039949554.1|BTRY	LOC118509785|XP_035906820.1|ASTE
OG0000012	LOC120772295|XP_039956737.1|BTRY, LOC120771372|XP_039955267.1|BTRY, LOC120772056|XP_039956371.1|BTRY, LOC120772616|XP_039957265.1|BTRY, LOC120771697|XP_039955768.1|BTRY, LOC120772529|XP_039957131.1|BTRY	LOC118508901|XP_035904653.1|ASTE, LOC118508903|XP_035904655.1|ASTE
OG0000013	LOC120770990|XP_039954671.1|BTRY	LOC118507210|XP_035901192.1|ASTE
OG0000013	LOC120776120|XP_039962578.1|BTRY	LOC118503015|XP_035891731.1|ASTE
OG0000013	LOC120769789|XP_039952912.1|BTRY	LOC118505715|XP_035897785.1|ASTE, LOC118505701|XP_035897742.1|ASTE
OG0000013	LOC120771319|XP_039955198.1|BTRY, LOC120771339|XP_039955221.1|BTRY, LOC120767696|XP_039949821.1|BTRY, LOC120767722|XP_039949862.1|BTRY, LOC120767743|XP_039949888.1|BTRY, LOC120767671|XP_039949778.1|BTRY	LOC118502371|XP_035890483.1|ASTE, LOC118507499|XP_035901922.1|ASTE, LOC118507498|XP_035901921.1|ASTE, LOC118507500|XP_035901923.1|ASTE, LOC118507496|XP_035901918.1|ASTE, LOC118507497|XP_035901920.1|ASTE
