Orthogroup	BTRY.longest_only	DANA.longest_only
OG0000000	LOC120778381|XP_039966101.1|BTRY, LOC120768794|XP_039951483.1|BTRY, LOC120777014|XP_039964052.1|BTRY, LOC120777646|XP_039965032.1|BTRY, LOC120777544|XP_039964867.1|BTRY, LOC120774573|XP_039960240.1|BTRY	LOC26513897|XP_014765549.1|DANA
OG0000000	LOC120778869|XP_039966846.1|BTRY, LOC120776483|XP_039963094.1|BTRY, LOC120776612|XP_039963336.1|BTRY, LOC120778368|XP_039966089.1|BTRY, LOC120779297|XP_039967444.1|BTRY, LOC120776451|XP_039963042.1|BTRY, LOC120778377|XP_039966098.1|BTRY	LOC6504204|XP_001965159.2|DANA, LOC116656019|XP_032311028.1|DANA, LOC6496234|XP_001960509.1|DANA, LOC6494335|XP_001960511.2|DANA
OG0000000	LOC120767587|XP_039949669.1|BTRY, LOC120769210|XP_039952036.1|BTRY, LOC120776945|XP_039963962.1|BTRY	LOC6502792|XP_001957229.2|DANA, LOC6502793|XP_014764613.2|DANA, LOC26515012|XP_032305331.1|DANA, LOC116656224|XP_032311586.1|DANA, LOC6505938|XP_014760853.1|DANA, LOC26515148|XP_014760938.1|DANA, LOC6503296|XP_001967564.2|DANA, LOC26514039|XP_032307416.1|DANA, LOC6502666|XP_032305659.1|DANA, LOC26515259|XP_032311041.1|DANA, LOC6502478|XP_032311040.1|DANA, LOC6502564|XP_001959556.2|DANA, LOC26514259|XP_032305722.1|DANA, LOC6500855|XP_032305607.1|DANA, LOC6497917|XP_001961708.2|DANA, LOC26514098|XP_032306915.1|DANA
OG0000000	LOC120777103|XP_039964173.1|BTRY, LOC120778046|XP_039965655.1|BTRY	LOC6494112|XP_001960945.2|DANA, LOC6502509|XP_001960943.2|DANA, LOC6499064|XP_032305682.1|DANA, LOC6498897|XP_032305704.1|DANA, LOC6501674|XP_001955728.1|DANA, LOC116654961|XP_032307689.1|DANA, LOC26515107|XP_032307436.1|DANA, LOC116656571|XP_032312202.1|DANA, LOC6498894|XP_001955724.2|DANA, LOC116656570|XP_032312196.1|DANA, LOC26514957|XP_032312192.1|DANA, LOC116654524|XP_032305609.1|DANA, LOC6497530|XP_001961898.2|DANA, LOC116654556|XP_032305703.1|DANA, LOC26514196|XP_014767248.1|DANA
OG0000002	LOC120782778|XP_039971179.1|BTRY, LOC120769717|XP_039952790.1|BTRY, LOC120768237|XP_039950758.1|BTRY, LOC120768236|XP_039950755.1|BTRY, LOC120768238|XP_039950759.1|BTRY, LOC120767285|XP_039949095.1|BTRY, LOC120769451|XP_039952389.1|BTRY, LOC120770146|XP_039953270.1|BTRY, LOC120781360|XP_039969505.1|BTRY, LOC120781361|XP_039969506.1|BTRY, LOC120776016|XP_039962395.1|BTRY, LOC120766551|XP_039948068.1|BTRY	LOC116655418|XP_032309202.1|DANA
OG0000003	LOC120773128|XP_039958058.1|BTRY	LOC6495486|XP_001958950.1|DANA, LOC6495485|XP_001958948.1|DANA
OG0000003	LOC120773129|XP_039958059.1|BTRY, LOC120773130|XP_039958060.1|BTRY, LOC120770807|XP_039954320.1|BTRY, LOC120771341|XP_039955220.1|BTRY	LOC6495484|XP_001958947.1|DANA, LOC6496624|XP_001961285.3|DANA
OG0000003	LOC120770806|XP_039954318.1|BTRY, LOC120770808|XP_039954321.1|BTRY	LOC6495153|XP_001958951.2|DANA
OG0000003	LOC120770286|XP_039953556.1|BTRY, LOC120770809|XP_039954322.1|BTRY	LOC6495150|XP_014763173.1|DANA
OG0000003	LOC120770285|XP_039953555.1|BTRY	LOC6495217|XP_001958825.1|DANA
OG0000003	LOC120782321|XP_039970477.1|BTRY, LOC120770284|XP_039953554.1|BTRY	LOC6495430|XP_001958829.1|DANA, LOC6495216|XP_001958826.1|DANA
OG0000004	LOC120769473|XP_039952426.1|BTRY, LOC120767484|XP_039949512.1|BTRY, LOC120767487|XP_039949515.1|BTRY, LOC120768718|XP_039951423.1|BTRY, LOC120769475|XP_039952431.1|BTRY, LOC120767491|XP_039949517.1|BTRY, LOC120767493|XP_039949519.1|BTRY, LOC120767483|XP_039949511.1|BTRY, LOC120767488|XP_039949516.1|BTRY, LOC120767471|XP_039949495.1|BTRY, LOC120767485|XP_039949513.1|BTRY, LOC120767563|XP_039949635.1|BTRY, LOC120768722|XP_039951428.1|BTRY	LOC116655976|XP_032310860.1|DANA, LOC26514479|XP_014758928.2|DANA, LOC116655701|XP_032309456.1|DANA, LOC116655709|XP_032309467.1|DANA, LOC116655975|XP_032310859.1|DANA, LOC6501745|XP_001967751.3|DANA, LOC6502880|XP_001967788.3|DANA, LOC6498691|XP_001967677.3|DANA, LOC116655427|XP_032309213.1|DANA, LOC116655702|XP_032309457.1|DANA, LOC6506068|XP_001967797.3|DANA, LOC6504968|XP_001964805.3|DANA, LOC116655977|XP_032310861.1|DANA, LOC116655978|XP_032310862.1|DANA, LOC116655704|XP_032309459.1|DANA, LOC6504908|XP_001964815.2|DANA, LOC6504940|XP_001964810.3|DANA, LOC116655703|XP_032309458.1|DANA, LOC6504875|XP_001964820.3|DANA, LOC6502394|XP_032309212.1|DANA, LOC6504999|XP_001964802.3|DANA
OG0000005	LOC120767523|XP_039949552.1|BTRY	LOC6506069|XP_001967796.1|DANA
OG0000005	LOC120767518|XP_039949546.1|BTRY	LOC116655987|XP_032310872.1|DANA
OG0000005	LOC120767516|XP_039949544.1|BTRY	LOC116655430|XP_032309219.1|DANA
OG0000006	LOC120767504|XP_039949531.1|BTRY, LOC120767509|XP_039949536.1|BTRY	LOC116656005|XP_032310965.1|DANA
OG0000006	LOC120781340|XP_039969478.1|BTRY	LOC6506066|XP_032309425.1|DANA, LOC6507218|XP_001956446.1|DANA
OG0000007	LOC120778027|XP_039965634.1|BTRY	LOC6506540|XP_001957688.2|DANA
OG0000007	LOC120777830|XP_039965302.1|BTRY, LOC120778913|XP_039966894.1|BTRY, LOC120777887|XP_039965383.1|BTRY, LOC120777888|XP_039965385.1|BTRY, LOC120778697|XP_039966585.1|BTRY	LOC6493534|XP_001957954.1|DANA
OG0000007	LOC120778684|XP_039966554.1|BTRY, LOC120778912|XP_039966893.1|BTRY	LOC6493532|XP_001957952.1|DANA, LOC6493531|XP_001957951.1|DANA, LOC6493535|XP_001957955.2|DANA
OG0000007	LOC120778911|XP_039966892.1|BTRY, LOC120778916|XP_039966896.1|BTRY, LOC120778915|XP_039966895.1|BTRY, LOC120776968|XP_039963994.1|BTRY, LOC120778917|XP_039966897.1|BTRY	LOC6504215|XP_001965139.1|DANA, LOC6495226|XP_001958809.1|DANA, LOC6495225|XP_001958810.1|DANA, LOC6505974|XP_001964709.1|DANA, LOC6505555|XP_001964708.1|DANA, LOC6505976|XP_032305603.1|DANA, LOC6505975|XP_001964710.1|DANA, LOC116654519|XP_032305561.1|DANA, LOC6504214|XP_001965140.1|DANA, LOC6492986|XP_032310804.1|DANA, LOC6507027|XP_001956797.1|DANA, LOC6504218|XP_001965137.3|DANA, LOC6504217|XP_001965138.1|DANA, LOC6493536|XP_001957956.2|DANA, LOC6506391|XP_001957958.1|DANA
OG0000008	LOC120782797|XP_039971208.1|BTRY	LOC6501231|XP_001954812.1|DANA
OG0000008	LOC120778932|XP_039966913.1|BTRY	LOC6506513|XP_001957739.1|DANA
OG0000008	LOC120778930|XP_039966911.1|BTRY	LOC6493433|XP_001957742.1|DANA
OG0000008	LOC120778933|XP_039966914.1|BTRY	LOC6506512|XP_001957740.2|DANA
OG0000008	LOC120775736|XP_039961992.1|BTRY, LOC120778053|XP_039965709.1|BTRY, LOC120775708|XP_039961957.1|BTRY, LOC120775726|XP_039961980.1|BTRY, LOC120775719|XP_039961968.1|BTRY	LOC6499974|XP_001953515.1|DANA
OG0000008	LOC120778217|XP_039965948.1|BTRY	LOC6499973|XP_001953518.1|DANA
OG0000008	LOC120780533|XP_039968729.1|BTRY	LOC6500585|XP_001953520.1|DANA
OG0000008	LOC120780988|XP_039969143.1|BTRY	LOC6500584|XP_001953519.1|DANA
OG0000008	LOC120766359|XP_039947722.1|BTRY, LOC120766360|XP_039947723.1|BTRY, LOC120766358|XP_039947721.1|BTRY, LOC120781723|XP_039969899.1|BTRY	LOC6499972|XP_001953521.2|DANA
OG0000009	LOC120780063|XP_039968275.1|BTRY	LOC6500401|XP_001953140.1|DANA
OG0000009	LOC120782593|XP_039970879.1|BTRY	LOC6500399|XP_001953138.1|DANA, LOC6500144|XP_001953137.1|DANA, LOC6500400|XP_001953139.2|DANA, LOC6506633|XP_001957500.1|DANA
OG0000009	LOC120770963|XP_039954628.1|BTRY, LOC120770966|XP_039954631.1|BTRY, LOC120770965|XP_039954630.1|BTRY, LOC120766816|XP_039948459.1|BTRY, LOC120770964|XP_039954629.1|BTRY, LOC120772112|XP_039956457.1|BTRY, LOC120771402|XP_039955308.1|BTRY	LOC6494113|XP_001960938.1|DANA, LOC6500524|XP_001953390.1|DANA, LOC6494922|XP_001959416.1|DANA, LOC6494925|XP_001959413.1|DANA, LOC6494923|XP_001959415.2|DANA, LOC6494924|XP_001959414.1|DANA
OG0000010	LOC120766432|XP_039947870.1|BTRY	LOC6500231|XP_001952977.1|DANA
OG0000010	LOC120767531|XP_039949557.1|BTRY	LOC116656007|XP_032310968.1|DANA
OG0000012	LOC120772295|XP_039956737.1|BTRY	LOC6495461|XP_014763319.1|DANA
OG0000012	LOC120771372|XP_039955267.1|BTRY	LOC6495183|XP_032306435.1|DANA, LOC6495182|XP_001958899.2|DANA
OG0000012	LOC120772056|XP_039956371.1|BTRY	LOC6495181|XP_001958900.1|DANA
OG0000012	LOC120772616|XP_039957265.1|BTRY, LOC120771697|XP_039955768.1|BTRY	LOC6495184|XP_001958896.1|DANA
OG0000012	LOC120772529|XP_039957131.1|BTRY	LOC6495189|XP_001958891.1|DANA, LOC6495188|XP_001958892.1|DANA, LOC6495186|XP_032306195.1|DANA, LOC6495187|XP_001958893.1|DANA, LOC6495185|XP_001958895.2|DANA, LOC6495691|XP_001959390.1|DANA, LOC6495692|XP_001959391.1|DANA, LOC6495693|XP_001959392.1|DANA, LOC6495694|XP_001959393.2|DANA, LOC26514216|XP_014763990.1|DANA, LOC6495695|XP_001959394.1|DANA, LOC6495696|XP_032306537.1|DANA
OG0000013	LOC120770990|XP_039954671.1|BTRY	LOC6494224|XP_001960708.1|DANA
OG0000013	LOC120776120|XP_039962578.1|BTRY	LOC6502959|XP_001963513.1|DANA
OG0000013	LOC120769789|XP_039952912.1|BTRY	LOC6494241|XP_001965950.1|DANA
OG0000013	LOC120778592|XP_039966397.1|BTRY	LOC6506687|XP_032309811.1|DANA
OG0000013	LOC120782170|XP_039970244.1|BTRY	LOC6500356|XP_001953043.1|DANA
OG0000013	LOC120771319|XP_039955198.1|BTRY, LOC120771339|XP_039955221.1|BTRY	LOC6500746|XP_001953834.1|DANA
OG0000013	LOC120767696|XP_039949821.1|BTRY, LOC120767722|XP_039949862.1|BTRY, LOC120767743|XP_039949888.1|BTRY, LOC120767671|XP_039949778.1|BTRY	LOC116655736|XP_032309488.1|DANA, LOC6499424|XP_001954664.1|DANA, LOC6501160|XP_001954666.1|DANA, LOC6501159|XP_001954665.1|DANA, LOC6502045|XP_032309431.1|DANA
OG0000014	LOC120767802|XP_039950005.1|BTRY, LOC120780812|XP_039968993.1|BTRY	LOC116655195|XP_032308626.1|DANA, LOC116655801|XP_032310036.1|DANA
OG0000014	LOC120779372|XP_039967501.1|BTRY	LOC6505601|XP_032305480.1|DANA, LOC116654535|XP_032305652.1|DANA, LOC116656408|XP_032311858.1|DANA, LOC116655579|XP_032309422.1|DANA, LOC116656444|XP_032311951.1|DANA
OG0000015	LOC120767697|XP_039949823.1|BTRY, LOC120778736|XP_039966635.1|BTRY	LOC26514981|XP_014762390.1|DANA, LOC26514454|XP_032307424.1|DANA, LOC26515278|XP_032307635.1|DANA, LOC6498157|XP_001962200.1|DANA, LOC6498497|XP_001962951.1|DANA, LOC6498498|XP_001962952.1|DANA, LOC26515394|XP_032307327.1|DANA, LOC26515478|XP_014762438.1|DANA, LOC26514504|XP_014762337.1|DANA, LOC6502479|XP_032311112.1|DANA, LOC6498688|XP_014762246.1|DANA, LOC26513911|XP_032309196.1|DANA, LOC6497258|XP_001962453.2|DANA, LOC6497259|XP_014761594.1|DANA, LOC26515435|XP_014762433.2|DANA, LOC6502546|XP_001958772.2|DANA, LOC26514507|XP_014762338.1|DANA
OG0000016	LOC120770179|XP_039953330.1|BTRY, LOC120774621|XP_039960280.1|BTRY	LOC6500386|XP_001953106.1|DANA, LOC6495063|XP_001959144.1|DANA
OG0000016	LOC120774116|XP_039959415.1|BTRY	LOC6499904|XP_001953662.1|DANA
OG0000016	LOC120775405|XP_039961502.1|BTRY	LOC6496662|XP_001961354.1|DANA
OG0000016	LOC120767942|XP_039950259.1|BTRY	LOC6501076|XP_001954513.1|DANA
OG0000016	LOC120773675|XP_039958634.1|BTRY	LOC6493807|XP_014764542.1|DANA
OG0000017	LOC120774348|XP_039959864.1|BTRY, LOC120774347|XP_039959863.1|BTRY	LOC6503036|XP_001963366.1|DANA
OG0000017	LOC120780459|XP_039968667.1|BTRY, LOC120766570|XP_039948096.1|BTRY, LOC120775370|XP_039961466.1|BTRY, LOC120775369|XP_039961465.1|BTRY, LOC120773495|XP_039958373.1|BTRY, LOC120773498|XP_039958374.1|BTRY, LOC120773492|XP_039958371.1|BTRY, LOC120773493|XP_039958372.1|BTRY, LOC120771902|XP_039956113.1|BTRY, LOC120780773|XP_039968962.1|BTRY, LOC120775410|XP_039961512.1|BTRY, LOC120774945|XP_039960759.1|BTRY, LOC120774427|XP_039959995.1|BTRY, LOC120781036|XP_039969147.1|BTRY	LOC6494096|XP_001960985.1|DANA, LOC6493898|XP_001961368.1|DANA
OG0000018	LOC120773811|XP_039958852.1|BTRY, LOC120777652|XP_039965038.1|BTRY	LOC6493787|XP_001958436.1|DANA
OG0000018	LOC120777489|XP_039964764.1|BTRY	LOC6506162|XP_001958433.1|DANA
OG0000018	LOC120777549|XP_039964872.1|BTRY	LOC6506161|XP_001958434.1|DANA
OG0000018	LOC120777833|XP_039965304.1|BTRY, LOC120777929|XP_039965446.1|BTRY, LOC120777894|XP_039965399.1|BTRY	LOC6506167|XP_032310203.1|DANA, LOC6493788|XP_001958437.1|DANA, LOC6493792|XP_001958441.2|DANA, LOC6493785|XP_001958427.1|DANA, LOC6493790|XP_001958439.1|DANA, LOC6506166|XP_001958429.1|DANA
OG0000019	LOC120768215|XP_039950761.1|BTRY, LOC120767062|XP_039948852.1|BTRY, LOC120767061|XP_039948851.1|BTRY, LOC120767055|XP_039948845.1|BTRY, LOC120768123|XP_039950646.1|BTRY, LOC120767057|XP_039948847.1|BTRY, LOC120767056|XP_039948846.1|BTRY, LOC120767060|XP_039948850.1|BTRY, LOC120767059|XP_039948848.1|BTRY	LOC6505609|XP_001964601.1|DANA, LOC6505610|XP_001964600.1|DANA, LOC6505613|XP_032305481.1|DANA, LOC6505612|XP_001964599.1|DANA, LOC6505608|XP_001964602.1|DANA
OG0000020	LOC120772465|XP_039957032.1|BTRY	LOC6499398|XP_032312200.1|DANA
OG0000020	LOC120782274|XP_039970399.1|BTRY	LOC6497509|XP_001961936.3|DANA, LOC26514839|XP_032307435.1|DANA, LOC26514326|XP_014762314.1|DANA, LOC6497508|XP_032307386.1|DANA
OG0000020	LOC120782276|XP_039970405.1|BTRY, LOC120782275|XP_039970404.1|BTRY	LOC6500139|XP_032312147.1|DANA
OG0000021	LOC120780423|XP_039968662.1|BTRY	LOC6503446|XP_001967498.1|DANA
OG0000021	LOC120766828|XP_039948474.1|BTRY	LOC6499833|XP_001953817.3|DANA, LOC6503731|XP_032308490.1|DANA
OG0000022	LOC120770783|XP_039954296.1|BTRY	LOC6495509|XP_001959002.1|DANA
OG0000022	LOC120772493|XP_039957074.1|BTRY, LOC120772984|XP_039957830.1|BTRY, LOC120772492|XP_039957073.1|BTRY, LOC120772490|XP_039957071.1|BTRY, LOC120772489|XP_039957069.1|BTRY, LOC120772491|XP_039957072.1|BTRY	LOC6507068|XP_001956719.1|DANA, LOC116655744|XP_032309533.1|DANA, LOC6492948|XP_001956720.1|DANA, LOC116655906|XP_032310747.1|DANA, LOC116655745|XP_032309535.1|DANA, LOC6492947|XP_032309534.1|DANA, LOC6492949|XP_001956722.1|DANA
OG0000023	LOC120770307|XP_039953615.1|BTRY	LOC6500077|XP_001953265.1|DANA
OG0000023	LOC120782575|XP_039970851.1|BTRY	LOC6500461|XP_001953266.1|DANA, LOC6494760|XP_001959725.1|DANA, LOC6500076|XP_001953267.1|DANA
OG0000023	LOC120782264|XP_039970367.1|BTRY, LOC120770295|XP_039953590.1|BTRY	LOC6500083|XP_001953259.2|DANA
OG0000023	LOC120766880|XP_039948548.1|BTRY	LOC6500087|XP_001953255.2|DANA
OG0000023	LOC120774273|XP_039959699.1|BTRY	LOC6500085|XP_032312233.1|DANA
OG0000023	LOC120766882|XP_039948559.1|BTRY	LOC6500088|XP_014766376.1|DANA
OG0000024	LOC120772647|XP_039957307.1|BTRY, LOC120772769|XP_039957477.1|BTRY, LOC120772232|XP_039956657.1|BTRY	LOC116654715|XP_032306639.1|DANA, LOC6495396|XP_001958754.1|DANA, LOC6495253|XP_001958752.1|DANA
OG0000024	LOC120771072|XP_039954818.1|BTRY	LOC6495252|XP_001958753.1|DANA
OG0000024	LOC120771807|XP_039955947.1|BTRY, LOC120771151|XP_039954956.1|BTRY, LOC120772419|XP_039956964.1|BTRY, LOC120772738|XP_039957433.1|BTRY, LOC120772729|XP_039957424.1|BTRY, LOC120771356|XP_039955244.1|BTRY, LOC120771213|XP_039955049.1|BTRY	LOC6498256|XP_001962412.1|DANA, LOC6495254|XP_001958751.1|DANA
OG0000025	LOC120774110|XP_039959404.1|BTRY	LOC6501933|XP_032308306.1|DANA, LOC6498525|XP_001962995.1|DANA
OG0000025	LOC120767501|XP_039949528.1|BTRY	LOC26513707|XP_032309216.1|DANA
OG0000025	LOC120767497|XP_039949523.1|BTRY	LOC6498690|XP_001967678.1|DANA, LOC6504929|XP_032310964.1|DANA, LOC26515026|XP_014758997.2|DANA, LOC116655979|XP_032310863.1|DANA, LOC116655980|XP_032310864.1|DANA, LOC26513675|XP_032309215.1|DANA, LOC6504897|XP_001964816.3|DANA, LOC116655982|XP_032310866.1|DANA
OG0000026	LOC120773924|XP_039959055.1|BTRY	LOC6498214|XP_001962316.1|DANA
OG0000026	LOC120771108|XP_039954890.1|BTRY, LOC120771150|XP_039954954.1|BTRY, LOC120771291|XP_039955156.1|BTRY, LOC120771214|XP_039955050.1|BTRY, LOC120771107|XP_039954888.1|BTRY, LOC120771357|XP_039955245.1|BTRY	LOC6502964|XP_001963504.1|DANA, LOC6499160|XP_001955195.1|DANA, LOC6499161|XP_001955194.1|DANA, LOC6500045|XP_001953325.1|DANA
OG0000027	LOC120768378|XP_039950978.1|BTRY	LOC6497408|XP_001962144.1|DANA
OG0000027	LOC120768612|XP_039951313.1|BTRY	LOC6497406|XP_001962147.2|DANA
OG0000027	LOC120769660|XP_039952702.1|BTRY, LOC120769659|XP_039952701.1|BTRY	LOC6497407|XP_001962145.1|DANA
OG0000028	LOC120777924|XP_039965441.1|BTRY	LOC116655895|XP_032310688.1|DANA
OG0000028	LOC120778200|XP_039965877.1|BTRY, LOC120779125|XP_039967253.1|BTRY, LOC120777352|XP_039964542.1|BTRY, LOC120777354|XP_039964543.1|BTRY, LOC120776936|XP_039963947.1|BTRY	LOC6506803|XP_001957208.1|DANA
OG0000029	LOC120770346|XP_039953680.1|BTRY, LOC120770345|XP_039953679.1|BTRY, LOC120770344|XP_039953676.1|BTRY, LOC120770343|XP_039953675.1|BTRY, LOC120772671|XP_039957340.1|BTRY	LOC116655417|XP_032309201.1|DANA, LOC6502513|XP_001960684.2|DANA, LOC26514560|XP_014767301.1|DANA, LOC6502609|XP_001955595.2|DANA, LOC6506262|XP_014764698.1|DANA
OG0000030	LOC120767592|XP_039949674.1|BTRY, LOC120767594|XP_039949677.1|BTRY	LOC6504294|XP_001965069.1|DANA, LOC6502755|XP_001965071.1|DANA, LOC6502754|XP_001965074.2|DANA, LOC6504293|XP_001965070.2|DANA, LOC6504292|XP_001965072.2|DANA, LOC6504291|XP_001965073.2|DANA
OG0000030	LOC120773026|XP_039957889.1|BTRY	LOC6496715|XP_001967320.2|DANA, LOC116655435|XP_032309226.1|DANA
OG0000030	LOC120773022|XP_039957885.1|BTRY, LOC120779311|XP_039967454.1|BTRY, LOC120772876|XP_039957652.1|BTRY	LOC6494711|XP_001959810.1|DANA
OG0000030	LOC120773099|XP_039958004.1|BTRY, LOC120773095|XP_039957997.1|BTRY, LOC120773096|XP_039957998.1|BTRY, LOC120773098|XP_039958003.1|BTRY	LOC6504640|XP_001966489.1|DANA
OG0000030	LOC120776112|XP_039962547.1|BTRY	LOC6503160|XP_001963545.1|DANA
OG0000031	LOC120768292|XP_039950853.1|BTRY, LOC120779992|XP_039968213.1|BTRY, LOC120779995|XP_039968216.1|BTRY	LOC6496944|XP_001963083.2|DANA
OG0000032	LOC120782444|XP_039970665.1|BTRY, LOC120772886|XP_039957675.1|BTRY, LOC120772879|XP_039957663.1|BTRY	LOC6499841|XP_001953793.1|DANA
OG0000032	LOC120782780|XP_039971181.1|BTRY	LOC6500728|XP_001953801.1|DANA, LOC6500726|XP_032305502.1|DANA
OG0000034	LOC120768067|XP_039950521.1|BTRY, LOC120774324|XP_039959801.1|BTRY, LOC120774325|XP_039959802.1|BTRY, LOC120775804|XP_039962086.1|BTRY	LOC6498174|XP_001962232.1|DANA, LOC6498176|XP_001962234.2|DANA, LOC6498175|XP_001962233.1|DANA, LOC6498177|XP_001962235.2|DANA, LOC26515374|XP_014762427.1|DANA, LOC6498178|XP_001962236.1|DANA, LOC6498553|XP_001963047.1|DANA, LOC26514669|XP_014762356.1|DANA, LOC6498552|XP_001963046.3|DANA, LOC6498487|XP_032311321.1|DANA, LOC116656026|XP_032311054.1|DANA, LOC6497780|XP_001961435.2|DANA
OG0000035	LOC120780256|XP_039968450.1|BTRY	LOC116656532|XP_032312057.1|DANA
OG0000036	LOC120776996|XP_039964035.1|BTRY	LOC6500465|XP_001953274.1|DANA
OG0000036	LOC120778788|XP_039966724.1|BTRY	LOC6505844|XP_001964473.1|DANA
OG0000036	LOC120782503|XP_039970745.1|BTRY	LOC6500980|XP_001954293.1|DANA
OG0000036	LOC120766491|XP_039947977.1|BTRY, LOC120766392|XP_039947768.1|BTRY	LOC116656032|XP_032311076.1|DANA, LOC6499049|XP_001955412.1|DANA
OG0000037	LOC120770870|XP_039954430.1|BTRY	LOC6493979|XP_001961214.2|DANA
OG0000038	LOC120782799|XP_039971210.1|BTRY, LOC120778801|XP_039966740.1|BTRY, LOC120778809|XP_039966751.1|BTRY, LOC120776437|XP_039963024.1|BTRY	LOC6506319|XP_001958116.1|DANA
OG0000039	LOC120775164|XP_039961145.1|BTRY, LOC120775260|XP_039961275.1|BTRY, LOC120775925|XP_039962264.1|BTRY, LOC120774821|XP_039960561.1|BTRY, LOC120774830|XP_039960575.1|BTRY, LOC120774822|XP_039960562.1|BTRY	LOC6502398|XP_001967387.3|DANA
OG0000040	LOC120782054|XP_039970140.1|BTRY, LOC120780117|XP_039968332.1|BTRY	LOC6500947|XP_014766809.1|DANA, LOC6501033|XP_001954424.1|DANA, LOC6499533|XP_001954425.2|DANA, LOC6500946|XP_001954224.1|DANA, LOC6500944|XP_001954222.1|DANA, LOC6500236|XP_001952967.2|DANA, LOC6505623|XP_001964581.1|DANA
