Orthogroup	BTRY.longest_only	DVIR.longest_only
OG0000000	LOC120769979|XP_039952989.1|BTRY, LOC120772730|XP_039957425.1|BTRY	LOC6636425|XP_032292006.1|DVIR
OG0000000	LOC120778381|XP_039966101.1|BTRY, LOC120768794|XP_039951483.1|BTRY, LOC120777014|XP_039964052.1|BTRY, LOC120777646|XP_039965032.1|BTRY, LOC120777544|XP_039964867.1|BTRY, LOC120774573|XP_039960240.1|BTRY	LOC6623450|XP_002047287.1|DVIR
OG0000000	LOC120778869|XP_039966846.1|BTRY, LOC120776483|XP_039963094.1|BTRY, LOC120776612|XP_039963336.1|BTRY, LOC120778368|XP_039966089.1|BTRY, LOC120779297|XP_039967444.1|BTRY, LOC120776451|XP_039963042.1|BTRY, LOC120778377|XP_039966098.1|BTRY	LOC6627198|XP_032293006.1|DVIR, LOC6625157|XP_032292502.1|DVIR
OG0000000	LOC120767587|XP_039949669.1|BTRY, LOC120769210|XP_039952036.1|BTRY, LOC120776945|XP_039963962.1|BTRY	LOC6626786|XP_002048872.2|DVIR
OG0000000	LOC120770621|XP_039954156.1|BTRY	LOC26530367|XP_015026243.1|DVIR
OG0000000	LOC120777103|XP_039964173.1|BTRY, LOC120778046|XP_039965655.1|BTRY	LOC26531872|XP_032295213.1|DVIR, LOC6625560|XP_032292064.1|DVIR, LOC6625461|XP_032292063.1|DVIR, LOC6625459|XP_002048889.2|DVIR, LOC6625457|XP_032291675.1|DVIR, LOC26530783|XP_032292393.1|DVIR, LOC6630220|XP_002054794.2|DVIR, LOC6636429|XP_032291674.1|DVIR
OG0000001	LOC120780959|XP_039969124.1|BTRY, LOC120781964|XP_039970070.1|BTRY, LOC120779599|XP_039967877.1|BTRY, LOC120767828|XP_039950050.1|BTRY, LOC120780887|XP_039969057.1|BTRY, LOC120781799|XP_039969956.1|BTRY, LOC120781823|XP_039969977.1|BTRY, LOC120780392|XP_039968612.1|BTRY, LOC120781066|XP_039969152.1|BTRY, LOC120779633|XP_039967914.1|BTRY, LOC120770632|XP_039954168.1|BTRY, LOC120781297|XP_039969428.1|BTRY, LOC120770664|XP_039954188.1|BTRY, LOC120780689|XP_039968888.1|BTRY, LOC120780404|XP_039968623.1|BTRY, LOC120780801|XP_039968983.1|BTRY, LOC120780219|XP_039968408.1|BTRY, LOC120766565|XP_039948089.1|BTRY, LOC120781814|XP_039969966.1|BTRY, LOC120780002|XP_039968221.1|BTRY, LOC120773404|XP_039958200.1|BTRY, LOC120769411|XP_039952323.1|BTRY	LOC116650073|XP_032289315.1|DVIR, LOC116649967|XP_032289174.1|DVIR
OG0000001	LOC120781540|XP_039969706.1|BTRY, LOC120780083|XP_039968286.1|BTRY	LOC116650112|XP_032289334.1|DVIR
OG0000001	LOC120779562|XP_039967839.1|BTRY, LOC120777820|XP_039965292.1|BTRY, LOC120774624|XP_039960282.1|BTRY, LOC120779341|XP_039967474.1|BTRY	LOC116649975|XP_032289192.1|DVIR, LOC116650014|XP_032289242.1|DVIR, LOC116650813|XP_032291445.1|DVIR, LOC116650693|XP_032291016.1|DVIR, LOC116650639|XP_032290738.1|DVIR, LOC116650317|XP_032289578.1|DVIR, LOC116650237|XP_032289383.1|DVIR, LOC116650018|XP_032289244.1|DVIR, LOC116651796|XP_032294718.1|DVIR, LOC116651620|XP_032294251.1|DVIR, LOC116652104|XP_032295893.1|DVIR, LOC116652102|XP_032295892.1|DVIR, LOC116651616|XP_032294247.1|DVIR, LOC116650104|XP_032289333.1|DVIR, LOC116649993|XP_032289204.1|DVIR, LOC116650569|XP_032290453.1|DVIR, LOC116652064|XP_032295773.1|DVIR
OG0000001	LOC120781825|XP_039969979.1|BTRY, LOC120780707|XP_039968901.1|BTRY, LOC120781940|XP_039970041.1|BTRY, LOC120781801|XP_039969957.1|BTRY, LOC120782119|XP_039970195.1|BTRY	LOC116650307|XP_032289663.1|DVIR
OG0000002	LOC120782778|XP_039971179.1|BTRY, LOC120769717|XP_039952790.1|BTRY, LOC120768237|XP_039950758.1|BTRY, LOC120768236|XP_039950755.1|BTRY, LOC120768238|XP_039950759.1|BTRY, LOC120767285|XP_039949095.1|BTRY, LOC120769451|XP_039952389.1|BTRY, LOC120770146|XP_039953270.1|BTRY, LOC120781360|XP_039969505.1|BTRY, LOC120781361|XP_039969506.1|BTRY, LOC120776016|XP_039962395.1|BTRY, LOC120766551|XP_039948068.1|BTRY	LOC6626597|XP_002049033.2|DVIR
OG0000003	LOC120773128|XP_039958058.1|BTRY	LOC6625469|XP_002049673.1|DVIR, LOC6625468|XP_002049672.1|DVIR
OG0000003	LOC120770806|XP_039954318.1|BTRY, LOC120770808|XP_039954321.1|BTRY	LOC6625082|XP_002050483.2|DVIR
OG0000003	LOC120770286|XP_039953556.1|BTRY, LOC120770809|XP_039954322.1|BTRY	LOC6625465|XP_032292893.1|DVIR
OG0000003	LOC120770342|XP_039953674.1|BTRY	LOC6624735|XP_002049738.1|DVIR
OG0000003	LOC120770285|XP_039953555.1|BTRY	LOC6625464|XP_002049668.1|DVIR
OG0000003	LOC120782321|XP_039970477.1|BTRY, LOC120770284|XP_039953554.1|BTRY	LOC6625463|XP_002049667.1|DVIR
OG0000003	LOC120769392|XP_039952295.1|BTRY, LOC120769651|XP_039952690.1|BTRY, LOC120769497|XP_039952461.1|BTRY, LOC120768765|XP_039951466.1|BTRY	LOC6627946|XP_002051419.1|DVIR
OG0000004	LOC120769473|XP_039952426.1|BTRY, LOC120767484|XP_039949512.1|BTRY, LOC120767487|XP_039949515.1|BTRY, LOC120768718|XP_039951423.1|BTRY, LOC120769475|XP_039952431.1|BTRY, LOC120767491|XP_039949517.1|BTRY, LOC120767493|XP_039949519.1|BTRY, LOC120767483|XP_039949511.1|BTRY, LOC120767488|XP_039949516.1|BTRY, LOC120767471|XP_039949495.1|BTRY, LOC120767485|XP_039949513.1|BTRY, LOC120767563|XP_039949635.1|BTRY, LOC120768722|XP_039951428.1|BTRY	LOC116649797|XP_032288819.1|DVIR, LOC6636964|XP_002060406.2|DVIR, LOC6630109|XP_002053102.1|DVIR, LOC6637028|XP_032296768.1|DVIR, LOC6630078|XP_032288808.1|DVIR, LOC6630104|XP_002053097.1|DVIR, LOC6630838|XP_002053114.1|DVIR, LOC26531848|XP_015023755.2|DVIR, LOC116651593|XP_032294196.1|DVIR, LOC6627875|XP_002052272.1|DVIR, LOC6627872|XP_002052269.1|DVIR, LOC6627867|XP_002052264.1|DVIR, LOC26530598|XP_015027811.1|DVIR, LOC116649798|XP_032288820.1|DVIR
OG0000005	LOC120767523|XP_039949552.1|BTRY	LOC6636998|XP_002060428.1|DVIR, LOC26530621|XP_015023595.2|DVIR
OG0000005	LOC120767518|XP_039949546.1|BTRY	LOC116649817|XP_032288847.1|DVIR
OG0000005	LOC120767525|XP_039949553.1|BTRY	LOC116649816|XP_032288846.1|DVIR
OG0000006	LOC120767509|XP_039949536.1|BTRY	LOC6637262|XP_032288828.1|DVIR
OG0000006	LOC120767512|XP_039949539.1|BTRY	LOC6636997|XP_032288831.1|DVIR
OG0000006	LOC120781340|XP_039969478.1|BTRY	LOC6630084|XP_002053094.1|DVIR
OG0000007	LOC120778908|XP_039966889.1|BTRY, LOC120778909|XP_039966890.1|BTRY	LOC6623864|XP_002046827.1|DVIR
OG0000007	LOC120777830|XP_039965302.1|BTRY, LOC120778913|XP_039966894.1|BTRY, LOC120777887|XP_039965383.1|BTRY, LOC120777888|XP_039965385.1|BTRY, LOC120778697|XP_039966585.1|BTRY	LOC6623030|XP_002046517.1|DVIR
OG0000007	LOC120778684|XP_039966554.1|BTRY, LOC120778912|XP_039966893.1|BTRY	LOC6622991|XP_032290827.1|DVIR, LOC6623031|XP_002046519.1|DVIR
OG0000007	LOC120778911|XP_039966892.1|BTRY, LOC120778916|XP_039966896.1|BTRY, LOC120778915|XP_039966895.1|BTRY, LOC120776968|XP_039963994.1|BTRY, LOC120778917|XP_039966897.1|BTRY	LOC6625661|XP_002050782.1|DVIR, LOC116650729|XP_032291101.1|DVIR, LOC6624626|XP_002046524.3|DVIR, LOC6637091|XP_002060502.3|DVIR, LOC6637042|XP_032290173.1|DVIR, LOC6624577|XP_032291102.1|DVIR, LOC6624526|XP_032291100.1|DVIR, LOC6623051|XP_032290850.1|DVIR, LOC6623055|XP_002046521.1|DVIR, LOC6637041|XP_002060466.1|DVIR, LOC26531170|XP_032291103.1|DVIR, LOC6623833|XP_002046522.1|DVIR, LOC26531906|XP_032291104.1|DVIR, LOC116650731|XP_032291105.1|DVIR, LOC6624525|XP_002046523.1|DVIR
OG0000008	LOC120782797|XP_039971208.1|BTRY	LOC6629514|XP_002054585.2|DVIR
OG0000008	LOC120778932|XP_039966913.1|BTRY	LOC6623720|XP_002046325.3|DVIR
OG0000008	LOC120778930|XP_039966911.1|BTRY	LOC6622211|XP_002046327.1|DVIR
OG0000008	LOC120778933|XP_039966914.1|BTRY	LOC26531283|XP_015031719.1|DVIR
OG0000008	LOC120775736|XP_039961992.1|BTRY, LOC120778053|XP_039965709.1|BTRY, LOC120775708|XP_039961957.1|BTRY, LOC120775726|XP_039961980.1|BTRY, LOC120775719|XP_039961968.1|BTRY	LOC6631283|XP_002053522.1|DVIR, LOC6631284|XP_002053523.1|DVIR
OG0000008	LOC120778217|XP_039965948.1|BTRY	LOC6631286|XP_002053525.1|DVIR, LOC6631287|XP_002053526.1|DVIR
OG0000008	LOC120780533|XP_039968729.1|BTRY	LOC6631289|XP_002053528.2|DVIR
OG0000008	LOC120778133|XP_039965828.1|BTRY	LOC6631285|XP_002053524.1|DVIR
OG0000008	LOC120780988|XP_039969143.1|BTRY	LOC6631288|XP_002053527.1|DVIR
OG0000008	LOC120766359|XP_039947722.1|BTRY, LOC120766360|XP_039947723.1|BTRY, LOC120766358|XP_039947721.1|BTRY, LOC120781723|XP_039969899.1|BTRY	LOC6631290|XP_002053529.1|DVIR
OG0000009	LOC120780063|XP_039968275.1|BTRY	LOC6632445|XP_002056511.1|DVIR
OG0000009	LOC120782593|XP_039970879.1|BTRY	LOC6632323|XP_002056506.1|DVIR, LOC6632476|XP_002056177.1|DVIR, LOC6632444|XP_002056510.1|DVIR, LOC6632443|XP_002056509.1|DVIR, LOC116649755|XP_032289498.1|DVIR, LOC6632442|XP_002056508.1|DVIR, LOC6635767|XP_032294717.1|DVIR
OG0000009	LOC120770963|XP_039954628.1|BTRY, LOC120770966|XP_039954631.1|BTRY, LOC120770965|XP_039954630.1|BTRY, LOC120766816|XP_039948459.1|BTRY, LOC120770964|XP_039954629.1|BTRY, LOC120772112|XP_039956457.1|BTRY, LOC120771402|XP_039955308.1|BTRY	LOC6626762|XP_032292470.1|DVIR, LOC6626659|XP_002049470.1|DVIR, LOC6626487|XP_002049686.1|DVIR, LOC6626544|XP_002050754.1|DVIR, LOC6626543|XP_032292517.1|DVIR, LOC6626542|XP_002050752.1|DVIR, LOC6628883|XP_002051663.1|DVIR
OG0000010	LOC120766432|XP_039947870.1|BTRY	LOC116649833|XP_032288875.1|DVIR, LOC6630085|XP_002053095.1|DVIR, LOC116649822|XP_032288857.1|DVIR, LOC6637070|XP_002060485.1|DVIR, LOC116649828|XP_032288865.1|DVIR
OG0000010	LOC120767531|XP_039949557.1|BTRY	LOC6637215|XP_002060533.1|DVIR, LOC116649823|XP_032288859.1|DVIR, LOC6636962|XP_002060409.1|DVIR
OG0000010	LOC120767532|XP_039949558.1|BTRY	LOC116649826|XP_032288863.1|DVIR
OG0000010	LOC120767528|XP_039949554.1|BTRY	LOC6637058|XP_002060476.1|DVIR, LOC6630112|XP_002053105.1|DVIR, LOC116649825|XP_032288861.1|DVIR, LOC116649824|XP_032288860.1|DVIR, LOC6637029|XP_002060450.1|DVIR, LOC6630116|XP_032288858.1|DVIR
OG0000012	LOC120772295|XP_039956737.1|BTRY	LOC6624922|XP_002050777.1|DVIR
OG0000012	LOC120771372|XP_039955267.1|BTRY	LOC6625019|XP_002050778.1|DVIR
OG0000012	LOC120772056|XP_039956371.1|BTRY	LOC6625021|XP_002050780.1|DVIR
