Orthogroup	BTRY.longest_only	DSUZ.longest_only
OG0000000	LOC120778381|XP_039966101.1|BTRY, LOC120768794|XP_039951483.1|BTRY, LOC120777014|XP_039964052.1|BTRY, LOC120777646|XP_039965032.1|BTRY, LOC120777544|XP_039964867.1|BTRY, LOC120774573|XP_039960240.1|BTRY	LOC108012249|XP_016933037.1|DSUZ, LOC108012248|XP_016933036.1|DSUZ
OG0000000	LOC120778869|XP_039966846.1|BTRY, LOC120776483|XP_039963094.1|BTRY, LOC120776612|XP_039963336.1|BTRY, LOC120778368|XP_039966089.1|BTRY, LOC120779297|XP_039967444.1|BTRY, LOC120776451|XP_039963042.1|BTRY, LOC120778377|XP_039966098.1|BTRY	LOC108019552|XP_036669814.1|DSUZ, LOC108013696|XP_016935107.1|DSUZ, LOC108013925|XP_016935418.2|DSUZ, LOC108011771|XP_036670496.1|DSUZ, LOC118877506|XP_036672430.1|DSUZ, LOC108019563|XP_016942889.1|DSUZ
OG0000000	LOC120767587|XP_039949669.1|BTRY, LOC120769210|XP_039952036.1|BTRY, LOC120776945|XP_039963962.1|BTRY	LOC118877230|XP_036670644.1|DSUZ, LOC108007474|XP_036670349.1|DSUZ, LOC108018332|XP_016941362.2|DSUZ, LOC108007476|XP_036670350.1|DSUZ, LOC108007475|XP_016926645.1|DSUZ, LOC108008220|XP_016927499.2|DSUZ, LOC108021133|XP_036668720.1|DSUZ, LOC108014040|XP_016935546.2|DSUZ, LOC108014081|XP_036675273.1|DSUZ, LOC118878117|XP_036675454.1|DSUZ, LOC118878125|XP_036675508.1|DSUZ, LOC108012145|XP_036675462.1|DSUZ, LOC108017281|XP_036674029.1|DSUZ, LOC108011502|XP_036674012.1|DSUZ, LOC108016521|XP_036671132.1|DSUZ, LOC108017700|XP_016940298.1|DSUZ, LOC108016425|XP_016938565.2|DSUZ, LOC108020024|XP_036672415.1|DSUZ, LOC108011960|XP_036678587.1|DSUZ, LOC108012138|XP_036675463.1|DSUZ, LOC108012139|XP_036675579.1|DSUZ, LOC108012154|XP_036675464.1|DSUZ, LOC108011715|XP_016932464.1|DSUZ, LOC108011630|XP_016932347.1|DSUZ, LOC108013366|XP_036668607.1|DSUZ, LOC108011579|XP_036673946.1|DSUZ, LOC108013429|XP_016934786.2|DSUZ
OG0000000	LOC120777103|XP_039964173.1|BTRY, LOC120778046|XP_039965655.1|BTRY	LOC118877061|XP_036669823.1|DSUZ, LOC108017737|XP_016940334.1|DSUZ, LOC108008212|XP_016927490.1|DSUZ, LOC108005325|XP_016924081.1|DSUZ, LOC108008213|XP_016927491.1|DSUZ, LOC108020157|XP_036673587.1|DSUZ, LOC118878061|XP_036675143.1|DSUZ, LOC108007479|XP_036670397.1|DSUZ, LOC118877197|XP_036670391.1|DSUZ, LOC108007478|XP_016926649.1|DSUZ, LOC108007497|XP_016926669.2|DSUZ, LOC108007477|XP_016926648.2|DSUZ, LOC108007738|XP_016926982.2|DSUZ, LOC108021799|XP_036676928.1|DSUZ, LOC108012280|XP_036672320.1|DSUZ
OG0000001	LOC120779369|XP_039967498.1|BTRY, LOC120779724|XP_039968032.1|BTRY, LOC120779568|XP_039967843.1|BTRY	LOC118879535|XP_036678284.1|DSUZ, LOC118879596|XP_036678401.1|DSUZ
OG0000001	LOC120780959|XP_039969124.1|BTRY, LOC120781964|XP_039970070.1|BTRY, LOC120779599|XP_039967877.1|BTRY, LOC120767828|XP_039950050.1|BTRY, LOC120780887|XP_039969057.1|BTRY, LOC120781799|XP_039969956.1|BTRY, LOC120781823|XP_039969977.1|BTRY, LOC120780392|XP_039968612.1|BTRY, LOC120781066|XP_039969152.1|BTRY, LOC120779633|XP_039967914.1|BTRY, LOC120770632|XP_039954168.1|BTRY, LOC120781297|XP_039969428.1|BTRY, LOC120770664|XP_039954188.1|BTRY, LOC120780689|XP_039968888.1|BTRY, LOC120780404|XP_039968623.1|BTRY, LOC120780801|XP_039968983.1|BTRY, LOC120780219|XP_039968408.1|BTRY, LOC120766565|XP_039948089.1|BTRY, LOC120781814|XP_039969966.1|BTRY, LOC120780002|XP_039968221.1|BTRY, LOC120773404|XP_039958200.1|BTRY, LOC120769411|XP_039952323.1|BTRY	LOC118876749|XP_016938664.1|DSUZ, LOC108020087|XP_016943677.1|DSUZ, LOC118878276|XP_036676059.1|DSUZ, LOC118878557|XP_036677467.1|DSUZ, LOC118879675|XP_036678469.1|DSUZ, LOC118879224|XP_036678009.1|DSUZ, LOC118879307|XP_036678060.1|DSUZ, LOC118878659|XP_036677594.1|DSUZ, LOC118878942|XP_036677819.1|DSUZ, LOC118879471|XP_036678240.1|DSUZ, LOC118878546|XP_036677455.1|DSUZ, LOC118878858|XP_036677778.1|DSUZ, LOC118877840|XP_036673943.1|DSUZ
OG0000001	LOC120779693|XP_039967987.1|BTRY	LOC118878795|XP_036677709.1|DSUZ, LOC118879348|XP_036678093.1|DSUZ
OG0000001	LOC120779562|XP_039967839.1|BTRY, LOC120777820|XP_039965292.1|BTRY	LOC118879529|XP_036678279.1|DSUZ
OG0000001	LOC120779341|XP_039967474.1|BTRY	LOC118879060|XP_036677938.1|DSUZ
OG0000001	LOC120781940|XP_039970041.1|BTRY	LOC118878459|XP_036677349.1|DSUZ
