Orthogroup	BTRY.longest_only	DSER.longest_only
OG0000000	LOC120778574|XP_039966372.1|BTRY	LOC110190761|XP_020817050.1|DSER
OG0000000	LOC120778869|XP_039966846.1|BTRY, LOC120776483|XP_039963094.1|BTRY, LOC120776612|XP_039963336.1|BTRY, LOC120778368|XP_039966089.1|BTRY, LOC120779297|XP_039967444.1|BTRY, LOC120776451|XP_039963042.1|BTRY, LOC120778377|XP_039966098.1|BTRY	LOC110188492|XP_020813881.1|DSER, LOC110181445|XP_020804849.1|DSER
OG0000000	LOC120767587|XP_039949669.1|BTRY, LOC120769210|XP_039952036.1|BTRY, LOC120776945|XP_039963962.1|BTRY	LOC110190735|XP_020817016.1|DSER, LOC110190738|XP_020817019.1|DSER, LOC110190736|XP_020817017.1|DSER, LOC110184046|XP_020808080.1|DSER, LOC110186264|XP_020811030.1|DSER, LOC110186911|XP_020811890.1|DSER, LOC110186265|XP_020811031.1|DSER, LOC110186269|XP_020811039.1|DSER, LOC110190695|XP_020816967.1|DSER, LOC110190751|XP_020817032.1|DSER, LOC110186293|XP_020811066.1|DSER, LOC110186292|XP_020811065.1|DSER, LOC110184021|XP_020808046.1|DSER, LOC110176723|XP_020798824.1|DSER, LOC110178370|XP_020801166.1|DSER, LOC110186869|XP_020811824.1|DSER, LOC110186289|XP_020811062.1|DSER, LOC110186287|XP_020811060.1|DSER, LOC110186290|XP_020811063.1|DSER, LOC110186288|XP_020811061.1|DSER, LOC110185901|XP_020810577.1|DSER, LOC110180637|XP_020803993.1|DSER, LOC110187976|XP_020813156.1|DSER, LOC110184825|XP_020809128.1|DSER
OG0000000	LOC120777103|XP_039964173.1|BTRY, LOC120778046|XP_039965655.1|BTRY	LOC110181054|XP_020804388.1|DSER, LOC110180850|XP_020804187.1|DSER, LOC110177452|XP_020799845.1|DSER, LOC110187957|XP_020813134.1|DSER, LOC110190734|XP_020817015.1|DSER, LOC110190733|XP_020817014.1|DSER, LOC110190479|XP_020816650.1|DSER, LOC110185197|XP_020809581.1|DSER, LOC110187956|XP_020813133.1|DSER, LOC110182697|XP_020806451.1|DSER, LOC110186018|XP_020810717.1|DSER, LOC110186045|XP_020810747.1|DSER, LOC110186008|XP_020810705.1|DSER, LOC110186038|XP_020810738.1|DSER, LOC110186028|XP_020810726.1|DSER, LOC110186065|XP_020810763.1|DSER, LOC110185933|XP_020810606.1|DSER, LOC110177976|XP_020800628.1|DSER
OG0000001	LOC120781540|XP_039969706.1|BTRY, LOC120780083|XP_039968286.1|BTRY	LOC110187736|XP_020812852.1|DSER
OG0000002	LOC120782778|XP_039971179.1|BTRY, LOC120769717|XP_039952790.1|BTRY, LOC120768237|XP_039950758.1|BTRY, LOC120768236|XP_039950755.1|BTRY, LOC120768238|XP_039950759.1|BTRY, LOC120767285|XP_039949095.1|BTRY, LOC120769451|XP_039952389.1|BTRY, LOC120770146|XP_039953270.1|BTRY, LOC120781360|XP_039969505.1|BTRY, LOC120781361|XP_039969506.1|BTRY, LOC120776016|XP_039962395.1|BTRY, LOC120766551|XP_039948068.1|BTRY	LOC110184909|XP_020809214.1|DSER, LOC110180508|XP_020803846.1|DSER, LOC110187569|XP_020812616.1|DSER, LOC110187570|XP_020812617.1|DSER, LOC110180507|XP_020803842.1|DSER, LOC110179772|XP_020803049.1|DSER, LOC110179791|XP_020803062.1|DSER, LOC110179771|XP_020803048.1|DSER, LOC110184842|XP_020809143.1|DSER, LOC110179770|XP_020803046.1|DSER, LOC110184843|XP_020809144.1|DSER, LOC110184841|XP_020809142.1|DSER, LOC110179768|XP_020803044.1|DSER, LOC110179788|XP_020803061.1|DSER, LOC110184840|XP_020809141.1|DSER, LOC110179792|XP_020803063.1|DSER, LOC110184848|XP_020809147.1|DSER
OG0000003	LOC120773128|XP_039958058.1|BTRY	LOC110177692|XP_020800174.1|DSER, LOC110177680|XP_020800160.1|DSER
OG0000003	LOC120773129|XP_039958059.1|BTRY, LOC120773130|XP_039958060.1|BTRY, LOC120770807|XP_039954320.1|BTRY, LOC120771341|XP_039955220.1|BTRY	LOC110177747|XP_020800264.1|DSER, LOC110177709|XP_020800207.1|DSER, LOC110189782|XP_020815670.1|DSER
OG0000003	LOC120770806|XP_039954318.1|BTRY, LOC120770808|XP_039954321.1|BTRY	LOC110177811|XP_020800360.1|DSER
OG0000003	LOC120770286|XP_039953556.1|BTRY, LOC120770809|XP_039954322.1|BTRY	LOC110177690|XP_020800172.1|DSER
