Orthogroup	BTRY.longest_only	DHYD.longest_only
OG0000000	LOC120778574|XP_039966372.1|BTRY	LOC115483378|XP_030080958.1|DHYD
OG0000000	LOC120769979|XP_039952989.1|BTRY, LOC120772730|XP_039957425.1|BTRY	LOC111593965|XP_023162824.1|DHYD
OG0000000	LOC120778869|XP_039966846.1|BTRY, LOC120776483|XP_039963094.1|BTRY, LOC120776612|XP_039963336.1|BTRY, LOC120778368|XP_039966089.1|BTRY, LOC120779297|XP_039967444.1|BTRY, LOC120776451|XP_039963042.1|BTRY, LOC120778377|XP_039966098.1|BTRY	LOC111599673|XP_023171145.1|DHYD, LOC111605384|XP_023179640.2|DHYD, LOC111605350|XP_023179593.2|DHYD
OG0000000	LOC120767587|XP_039949669.1|BTRY, LOC120769210|XP_039952036.1|BTRY, LOC120776945|XP_039963962.1|BTRY	LOC111600475|XP_023172354.2|DHYD, LOC111593953|XP_030080879.1|DHYD, LOC115483380|XP_030080961.1|DHYD, LOC111593955|XP_023162814.2|DHYD
OG0000000	LOC120777103|XP_039964173.1|BTRY, LOC120778046|XP_039965655.1|BTRY	LOC111593961|XP_030080959.1|DHYD, LOC111593959|XP_023162818.2|DHYD, LOC111593958|XP_023162817.2|DHYD, LOC111593957|XP_023162816.2|DHYD, LOC115483355|XP_030080829.1|DHYD, LOC111603644|XP_023177090.2|DHYD
OG0000002	LOC120782778|XP_039971179.1|BTRY, LOC120769717|XP_039952790.1|BTRY, LOC120768237|XP_039950758.1|BTRY, LOC120768236|XP_039950755.1|BTRY, LOC120768238|XP_039950759.1|BTRY, LOC120767285|XP_039949095.1|BTRY, LOC120769451|XP_039952389.1|BTRY, LOC120770146|XP_039953270.1|BTRY, LOC120781360|XP_039969505.1|BTRY, LOC120781361|XP_039969506.1|BTRY, LOC120776016|XP_039962395.1|BTRY, LOC120766551|XP_039948068.1|BTRY	LOC111594107|XP_023163033.2|DHYD, LOC111596089|XP_023165917.2|DHYD
OG0000003	LOC120773129|XP_039958059.1|BTRY, LOC120773130|XP_039958060.1|BTRY, LOC120770807|XP_039954320.1|BTRY, LOC120771341|XP_039955220.1|BTRY	LOC111601324|XP_030080917.1|DHYD, LOC115483365|XP_030080916.1|DHYD, LOC111603516|XP_023176908.2|DHYD
OG0000003	LOC120770808|XP_039954321.1|BTRY	LOC111602573|XP_030082008.1|DHYD
OG0000003	LOC120770286|XP_039953556.1|BTRY, LOC120770809|XP_039954322.1|BTRY	LOC111602546|XP_030082007.1|DHYD, LOC115483813|XP_030082015.1|DHYD
OG0000003	LOC120770342|XP_039953674.1|BTRY	LOC111601269|XP_023173548.2|DHYD
OG0000003	LOC120769392|XP_039952295.1|BTRY, LOC120769651|XP_039952690.1|BTRY, LOC120769497|XP_039952461.1|BTRY, LOC120768765|XP_039951466.1|BTRY	LOC111602383|XP_023175172.2|DHYD
