Orthogroup	BTRY.longest_only	DNOV.longest_only
OG0000000	LOC120769979|XP_039952989.1|BTRY, LOC120772730|XP_039957425.1|BTRY	LOC115762358|XP_030560387.1|DNOV, LOC115762357|XP_030560386.1|DNOV
OG0000000	LOC120778381|XP_039966101.1|BTRY, LOC120768794|XP_039951483.1|BTRY, LOC120777014|XP_039964052.1|BTRY, LOC120777646|XP_039965032.1|BTRY, LOC120777544|XP_039964867.1|BTRY, LOC120774573|XP_039960240.1|BTRY	LOC115769480|XP_030570157.1|DNOV
OG0000000	LOC120778869|XP_039966846.1|BTRY, LOC120776483|XP_039963094.1|BTRY, LOC120776612|XP_039963336.1|BTRY, LOC120778368|XP_039966089.1|BTRY, LOC120779297|XP_039967444.1|BTRY, LOC120776451|XP_039963042.1|BTRY, LOC120778377|XP_039966098.1|BTRY	LOC115758064|XP_030554438.1|DNOV, LOC115760506|XP_030557727.1|DNOV, LOC115769481|XP_030570158.1|DNOV
OG0000000	LOC120767587|XP_039949669.1|BTRY, LOC120769210|XP_039952036.1|BTRY, LOC120776945|XP_039963962.1|BTRY	LOC115762880|XP_030561115.1|DNOV
OG0000000	LOC120777103|XP_039964173.1|BTRY, LOC120778046|XP_039965655.1|BTRY	LOC115762364|XP_030560398.1|DNOV, LOC115762366|XP_030560401.1|DNOV, LOC115762368|XP_030560403.1|DNOV, LOC115762369|XP_030560404.1|DNOV, LOC115762370|XP_030560405.1|DNOV, LOC115764637|XP_030563666.1|DNOV, LOC115764832|XP_030563940.1|DNOV, LOC115762365|XP_030560399.1|DNOV, LOC115762361|XP_030560396.1|DNOV
OG0000001	LOC120780959|XP_039969124.1|BTRY, LOC120781964|XP_039970070.1|BTRY, LOC120779599|XP_039967877.1|BTRY, LOC120767828|XP_039950050.1|BTRY, LOC120780887|XP_039969057.1|BTRY, LOC120781799|XP_039969956.1|BTRY, LOC120781823|XP_039969977.1|BTRY, LOC120780392|XP_039968612.1|BTRY, LOC120781066|XP_039969152.1|BTRY, LOC120779633|XP_039967914.1|BTRY, LOC120770632|XP_039954168.1|BTRY, LOC120781297|XP_039969428.1|BTRY, LOC120770664|XP_039954188.1|BTRY, LOC120780689|XP_039968888.1|BTRY, LOC120780404|XP_039968623.1|BTRY, LOC120780801|XP_039968983.1|BTRY, LOC120780219|XP_039968408.1|BTRY, LOC120766565|XP_039948089.1|BTRY, LOC120781814|XP_039969966.1|BTRY, LOC120780002|XP_039968221.1|BTRY, LOC120773404|XP_039958200.1|BTRY, LOC120769411|XP_039952323.1|BTRY	LOC115763936|XP_030562591.1|DNOV, LOC115763934|XP_030562589.1|DNOV, LOC115763935|XP_030562590.1|DNOV
OG0000001	LOC120781825|XP_039969979.1|BTRY, LOC120780707|XP_039968901.1|BTRY, LOC120781940|XP_039970041.1|BTRY, LOC120781801|XP_039969957.1|BTRY, LOC120782119|XP_039970195.1|BTRY	LOC115768652|XP_030569188.1|DNOV
OG0000002	LOC120782778|XP_039971179.1|BTRY, LOC120769717|XP_039952790.1|BTRY, LOC120768237|XP_039950758.1|BTRY, LOC120768236|XP_039950755.1|BTRY, LOC120768238|XP_039950759.1|BTRY, LOC120767285|XP_039949095.1|BTRY, LOC120769451|XP_039952389.1|BTRY, LOC120770146|XP_039953270.1|BTRY, LOC120781360|XP_039969505.1|BTRY, LOC120781361|XP_039969506.1|BTRY, LOC120776016|XP_039962395.1|BTRY, LOC120766551|XP_039948068.1|BTRY	LOC115766526|XP_030566353.1|DNOV, LOC115759172|XP_030555905.1|DNOV
OG0000003	LOC120773128|XP_039958058.1|BTRY	LOC115771220|XP_030572684.1|DNOV, LOC115771209|XP_030572672.1|DNOV
OG0000003	LOC120770806|XP_039954318.1|BTRY, LOC120770808|XP_039954321.1|BTRY	LOC115762126|XP_030560095.1|DNOV
OG0000003	LOC120770342|XP_039953674.1|BTRY	LOC115763094|XP_030561396.1|DNOV
OG0000003	LOC120770285|XP_039953555.1|BTRY	LOC115762286|XP_030560313.1|DNOV
