Orthogroup	BTRY.longest_only	CQUI.longest_only
OG0000001	LOC120779349|XP_039967479.1|BTRY, LOC120768684|XP_039951395.1|BTRY, LOC120769217|XP_039952045.1|BTRY, LOC120780712|XP_039968906.1|BTRY	LOC119770310|XP_038120887.1|CQUI
OG0000001	LOC120781540|XP_039969706.1|BTRY, LOC120780083|XP_039968286.1|BTRY	LOC119766512|XP_038107029.1|CQUI, LOC119766149|XP_038106477.1|CQUI, LOC119769328|XP_038117267.1|CQUI, LOC119769161|XP_038116992.1|CQUI, LOC119766216|XP_038106583.1|CQUI, LOC119769525|XP_038118272.1|CQUI, LOC119769104|XP_038116932.1|CQUI, LOC119766097|XP_038106417.1|CQUI, LOC119769107|XP_038116936.1|CQUI, LOC119766391|XP_038106832.1|CQUI, LOC119766147|XP_038106475.1|CQUI, LOC119766225|XP_038106592.1|CQUI, LOC119770193|XP_038120567.1|CQUI, LOC119769976|XP_038119868.1|CQUI, LOC119766184|XP_038106543.1|CQUI, LOC119766189|XP_038106548.1|CQUI, LOC119766143|XP_038106470.1|CQUI, LOC119769526|XP_038118276.1|CQUI, LOC119769527|XP_038118287.1|CQUI, LOC119769364|XP_038117339.1|CQUI, LOC119769063|XP_038116884.1|CQUI, LOC119770945|XP_038122397.1|CQUI, LOC119769219|XP_038117071.1|CQUI, LOC119766213|XP_038106576.1|CQUI, LOC119769340|XP_038117295.1|CQUI, LOC119768904|XP_038116618.1|CQUI, LOC119769307|XP_038117218.1|CQUI, LOC119766495|XP_038107006.1|CQUI, LOC119767919|XP_038113822.1|CQUI, LOC119769139|XP_038116969.1|CQUI, LOC6051048|XP_038117973.1|CQUI, LOC119765926|XP_038106124.1|CQUI, LOC119769896|XP_038119619.1|CQUI
OG0000001	LOC120779693|XP_039967987.1|BTRY	LOC119765978|XP_038106214.1|CQUI
OG0000001	LOC120781507|XP_039969664.1|BTRY, LOC120781523|XP_039969677.1|BTRY, LOC120768683|XP_039951393.1|BTRY, LOC120768702|XP_039951408.1|BTRY, LOC120768701|XP_039951407.1|BTRY, LOC120780857|XP_039969026.1|BTRY, LOC120781828|XP_039969983.1|BTRY, LOC120781123|XP_039969191.1|BTRY, LOC120779390|XP_039967521.1|BTRY, LOC120768688|XP_039951398.1|BTRY, LOC120768687|XP_039951397.1|BTRY, LOC120767769|XP_039949942.1|BTRY	LOC119766274|XP_038106647.1|CQUI, LOC119770072|XP_038120200.1|CQUI, LOC119769081|XP_038116908.1|CQUI, LOC119769227|XP_038117081.1|CQUI, LOC119769183|XP_038117016.1|CQUI, LOC119766452|XP_038106937.1|CQUI, LOC119766021|XP_038106282.1|CQUI, LOC119766137|XP_038106464.1|CQUI, LOC119769333|XP_038117277.1|CQUI, LOC119766281|XP_038106656.1|CQUI, LOC119765939|XP_038106148.1|CQUI, LOC119769072|XP_038116898.1|CQUI
OG0000001	LOC120782119|XP_039970195.1|BTRY	LOC119770249|XP_038120685.1|CQUI
OG0000006	LOC120767503|XP_039949530.1|BTRY, LOC120767504|XP_039949531.1|BTRY, LOC120767509|XP_039949536.1|BTRY, LOC120767507|XP_039949534.1|BTRY	LOC6045306|XP_001862695.1|CQUI
OG0000006	LOC120781340|XP_039969478.1|BTRY	LOC6048605|XP_001865495.2|CQUI, LOC6048600|XP_001865501.1|CQUI, LOC6042916|XP_038112547.1|CQUI, LOC6048214|XP_001865167.1|CQUI, LOC119765356|XP_038105022.1|CQUI, LOC6042911|XP_001853961.1|CQUI, LOC6037824|XP_038114258.1|CQUI, LOC6054617|XP_001870507.2|CQUI, LOC6054467|XP_038113044.1|CQUI
OG0000007	LOC120778908|XP_039966889.1|BTRY, LOC120778909|XP_039966890.1|BTRY, LOC120778027|XP_039965634.1|BTRY, LOC120777830|XP_039965302.1|BTRY, LOC120778913|XP_039966894.1|BTRY, LOC120777887|XP_039965383.1|BTRY, LOC120777888|XP_039965385.1|BTRY, LOC120778697|XP_039966585.1|BTRY, LOC120778684|XP_039966554.1|BTRY, LOC120778912|XP_039966893.1|BTRY, LOC120778911|XP_039966892.1|BTRY, LOC120778916|XP_039966896.1|BTRY, LOC120778915|XP_039966895.1|BTRY, LOC120776968|XP_039963994.1|BTRY, LOC120778917|XP_039966897.1|BTRY	LOC6036595|XP_001846627.2|CQUI, LOC6036598|XP_001846630.2|CQUI, LOC6036593|XP_001846625.2|CQUI, LOC6036599|XP_001846631.2|CQUI
OG0000008	LOC120782797|XP_039971208.1|BTRY	LOC6033003|XP_001843514.1|CQUI, LOC6033002|XP_001843513.2|CQUI, LOC6033001|XP_001843512.2|CQUI, LOC6032998|XP_038104448.1|CQUI, LOC6032996|XP_001843507.1|CQUI, LOC6032993|XP_001843504.2|CQUI, LOC6032999|XP_001843510.2|CQUI
OG0000008	LOC120778932|XP_039966913.1|BTRY	LOC6035810|XP_038119144.1|CQUI, LOC6035812|XP_001845934.1|CQUI, LOC6035811|XP_038119146.1|CQUI, LOC6035813|XP_038119147.1|CQUI
OG0000008	LOC120778930|XP_039966911.1|BTRY	LOC6035807|XP_001845929.1|CQUI
OG0000008	LOC120778933|XP_039966914.1|BTRY	LOC6035809|XP_001845931.2|CQUI
OG0000009	LOC120780063|XP_039968275.1|BTRY, LOC120771333|XP_039955212.1|BTRY, LOC120782593|XP_039970879.1|BTRY, LOC120770963|XP_039954628.1|BTRY, LOC120770966|XP_039954631.1|BTRY, LOC120770965|XP_039954630.1|BTRY, LOC120766816|XP_039948459.1|BTRY, LOC120770964|XP_039954629.1|BTRY, LOC120772112|XP_039956457.1|BTRY, LOC120771402|XP_039955308.1|BTRY	LOC6048808|XP_001865675.2|CQUI, LOC6049524|XP_001866266.2|CQUI, LOC6049522|XP_001866265.2|CQUI, LOC6048791|XP_001865658.2|CQUI, LOC6048792|XP_001865659.2|CQUI, LOC6048789|XP_001865656.2|CQUI, LOC6048790|XP_038113934.1|CQUI, LOC6045661|XP_001862982.2|CQUI, LOC6045662|XP_038113440.1|CQUI, LOC6052277|XP_001868564.2|CQUI, LOC6041283|XP_038104984.1|CQUI, LOC6041282|XP_001850569.2|CQUI, LOC6053772|XP_001869801.2|CQUI, LOC6050120|XP_001866773.2|CQUI, LOC6051133|XP_001867617.2|CQUI, LOC6051132|XP_001867616.2|CQUI, LOC6051131|XP_038105415.1|CQUI
OG0000010	LOC120766432|XP_039947870.1|BTRY, LOC120767529|XP_039949555.1|BTRY, LOC120767531|XP_039949557.1|BTRY, LOC120767532|XP_039949558.1|BTRY	LOC6054618|XP_038112552.1|CQUI
OG0000010	LOC120767528|XP_039949554.1|BTRY	LOC6037823|XP_001847698.1|CQUI, LOC6048215|XP_038112551.1|CQUI, LOC6048602|XP_038111058.1|CQUI, LOC119765466|XP_038105274.1|CQUI
OG0000011	LOC120773419|XP_039958227.1|BTRY	LOC6034029|XP_038120227.1|CQUI
OG0000012	LOC120772295|XP_039956737.1|BTRY, LOC120771372|XP_039955267.1|BTRY, LOC120772056|XP_039956371.1|BTRY, LOC120772616|XP_039957265.1|BTRY, LOC120771697|XP_039955768.1|BTRY, LOC120772529|XP_039957131.1|BTRY	LOC6046845|XP_001863980.2|CQUI, LOC6046844|XP_001863979.2|CQUI, LOC6046843|XP_001863978.2|CQUI
OG0000013	LOC120770990|XP_039954671.1|BTRY	LOC6035930|XP_001846040.1|CQUI
OG0000013	LOC120776120|XP_039962578.1|BTRY	LOC6034961|XP_038118728.1|CQUI
OG0000013	LOC120769789|XP_039952912.1|BTRY	LOC6041235|XP_001850527.1|CQUI
OG0000013	LOC120778592|XP_039966397.1|BTRY	LOC6038413|XP_001848218.2|CQUI
OG0000013	LOC120782170|XP_039970244.1|BTRY	LOC6047700|XP_038117441.1|CQUI
