Orthogroup	BTRY.longest_only	DSAN.longest_only
OG0000000	LOC120778381|XP_039966101.1|BTRY, LOC120768794|XP_039951483.1|BTRY, LOC120777014|XP_039964052.1|BTRY, LOC120777646|XP_039965032.1|BTRY, LOC120777544|XP_039964867.1|BTRY, LOC120774573|XP_039960240.1|BTRY	LOC120450014|XP_039488671.1|DSAN
OG0000000	LOC120778869|XP_039966846.1|BTRY, LOC120776483|XP_039963094.1|BTRY, LOC120776612|XP_039963336.1|BTRY, LOC120778368|XP_039966089.1|BTRY, LOC120779297|XP_039967444.1|BTRY, LOC120776451|XP_039963042.1|BTRY, LOC120778377|XP_039966098.1|BTRY	LOC120454272|XP_039495370.1|DSAN, LOC120444734|XP_039480595.1|DSAN, LOC120458328|XP_039501883.1|DSAN, LOC120454013|XP_039494937.1|DSAN, LOC120444836|XP_039480727.1|DSAN
OG0000000	LOC120767587|XP_039949669.1|BTRY, LOC120769210|XP_039952036.1|BTRY, LOC120776945|XP_039963962.1|BTRY	LOC120447883|XP_039485428.1|DSAN, LOC120447886|XP_039485431.1|DSAN, LOC120447820|XP_039485331.1|DSAN, LOC120447882|XP_039485427.1|DSAN, LOC120444952|XP_039480891.1|DSAN, LOC120453403|XP_039494026.1|DSAN, LOC120453829|XP_039494657.1|DSAN, LOC120453329|XP_039493924.1|DSAN, LOC120443793|XP_039479056.1|DSAN, LOC120454315|XP_039495452.1|DSAN, LOC120446300|XP_039483141.1|DSAN, LOC120444898|XP_039480821.1|DSAN, LOC120449508|XP_039487942.1|DSAN, LOC120449509|XP_039487944.1|DSAN, LOC120458417|XP_039501988.1|DSAN, LOC120455242|XP_039497157.1|DSAN, LOC120443964|XP_039479362.1|DSAN, LOC120458841|XP_039502600.1|DSAN, LOC120447669|XP_039485129.1|DSAN, LOC120454324|XP_039495461.1|DSAN, LOC120453354|XP_039493961.1|DSAN, LOC120453013|XP_039493463.1|DSAN, LOC120444807|XP_039480688.1|DSAN
OG0000000	LOC120777103|XP_039964173.1|BTRY, LOC120778046|XP_039965655.1|BTRY	LOC120446643|XP_039483646.1|DSAN, LOC120444947|XP_039480886.1|DSAN, LOC120444948|XP_039480887.1|DSAN, LOC120444942|XP_039480879.1|DSAN, LOC120444949|XP_039480888.1|DSAN, LOC120454169|XP_039495171.1|DSAN, LOC120453562|XP_039494248.1|DSAN, LOC120447885|XP_039485430.1|DSAN, LOC120447884|XP_039485429.1|DSAN, LOC120448603|XP_039486639.1|DSAN
OG0000001	LOC120779369|XP_039967498.1|BTRY, LOC120779724|XP_039968032.1|BTRY, LOC120779568|XP_039967843.1|BTRY	LOC120457515|XP_039500997.1|DSAN, LOC120444320|XP_039479805.1|DSAN
OG0000001	LOC120780959|XP_039969124.1|BTRY, LOC120781964|XP_039970070.1|BTRY, LOC120779599|XP_039967877.1|BTRY, LOC120767828|XP_039950050.1|BTRY, LOC120780887|XP_039969057.1|BTRY, LOC120781799|XP_039969956.1|BTRY, LOC120781823|XP_039969977.1|BTRY, LOC120780392|XP_039968612.1|BTRY, LOC120781066|XP_039969152.1|BTRY, LOC120779633|XP_039967914.1|BTRY, LOC120770632|XP_039954168.1|BTRY, LOC120781297|XP_039969428.1|BTRY, LOC120770664|XP_039954188.1|BTRY, LOC120780689|XP_039968888.1|BTRY, LOC120780404|XP_039968623.1|BTRY, LOC120780801|XP_039968983.1|BTRY, LOC120780219|XP_039968408.1|BTRY, LOC120766565|XP_039948089.1|BTRY, LOC120781814|XP_039969966.1|BTRY, LOC120780002|XP_039968221.1|BTRY, LOC120773404|XP_039958200.1|BTRY, LOC120769411|XP_039952323.1|BTRY	LOC120445604|XP_039482044.1|DSAN
OG0000002	LOC120782778|XP_039971179.1|BTRY, LOC120769717|XP_039952790.1|BTRY, LOC120768237|XP_039950758.1|BTRY, LOC120768236|XP_039950755.1|BTRY, LOC120768238|XP_039950759.1|BTRY, LOC120767285|XP_039949095.1|BTRY, LOC120769451|XP_039952389.1|BTRY, LOC120770146|XP_039953270.1|BTRY, LOC120781360|XP_039969505.1|BTRY, LOC120781361|XP_039969506.1|BTRY, LOC120776016|XP_039962395.1|BTRY, LOC120766551|XP_039948068.1|BTRY	LOC120448038|XP_039485719.1|DSAN
OG0000003	LOC120773128|XP_039958058.1|BTRY	LOC120446974|XP_039484179.1|DSAN, LOC120446687|XP_039483714.1|DSAN
OG0000003	LOC120773129|XP_039958059.1|BTRY, LOC120773130|XP_039958060.1|BTRY, LOC120770807|XP_039954320.1|BTRY, LOC120771341|XP_039955220.1|BTRY	LOC120452715|XP_039493011.1|DSAN, LOC120446686|XP_039483713.1|DSAN, LOC120451297|XP_039490798.1|DSAN, LOC120458649|XP_039502315.1|DSAN
OG0000003	LOC120770286|XP_039953556.1|BTRY, LOC120770809|XP_039954322.1|BTRY	LOC120446977|XP_039484182.1|DSAN
OG0000003	LOC120770285|XP_039953555.1|BTRY	LOC120458379|XP_039501933.1|DSAN
OG0000003	LOC120782321|XP_039970477.1|BTRY, LOC120770284|XP_039953554.1|BTRY	LOC120458377|XP_039501931.1|DSAN, LOC120458378|XP_039501932.1|DSAN
OG0000003	LOC120769392|XP_039952295.1|BTRY, LOC120769651|XP_039952690.1|BTRY, LOC120769497|XP_039952461.1|BTRY, LOC120768765|XP_039951466.1|BTRY	LOC120458775|XP_039502488.1|DSAN
OG0000004	LOC120769473|XP_039952426.1|BTRY, LOC120767484|XP_039949512.1|BTRY, LOC120767487|XP_039949515.1|BTRY, LOC120768718|XP_039951423.1|BTRY, LOC120769475|XP_039952431.1|BTRY, LOC120767491|XP_039949517.1|BTRY, LOC120767493|XP_039949519.1|BTRY, LOC120767483|XP_039949511.1|BTRY, LOC120767488|XP_039949516.1|BTRY, LOC120767471|XP_039949495.1|BTRY, LOC120767485|XP_039949513.1|BTRY, LOC120767563|XP_039949635.1|BTRY, LOC120768722|XP_039951428.1|BTRY	LOC120457677|XP_039501102.1|DSAN, LOC120457917|XP_039501356.1|DSAN, LOC120457922|XP_039501362.1|DSAN, LOC120457921|XP_039501361.1|DSAN, LOC120457915|XP_039501354.1|DSAN, LOC120457914|XP_039501353.1|DSAN, LOC120457919|XP_039501359.1|DSAN, LOC120446198|XP_039482981.1|DSAN, LOC120457920|XP_039501360.1|DSAN, LOC120457916|XP_039501355.1|DSAN, LOC120457918|XP_039501357.1|DSAN, LOC120457924|XP_039501363.1|DSAN, LOC120457925|XP_039501364.1|DSAN
OG0000005	LOC120767523|XP_039949552.1|BTRY	LOC120457954|XP_039501393.1|DSAN, LOC120445992|XP_039482658.1|DSAN, LOC120446202|XP_039482985.1|DSAN, LOC120457948|XP_039501388.1|DSAN, LOC120457682|XP_039501106.1|DSAN, LOC120457956|XP_039501395.1|DSAN, LOC120457950|XP_039501390.1|DSAN, LOC120457673|XP_039501099.1|DSAN, LOC120457947|XP_039501387.1|DSAN, LOC120457955|XP_039501394.1|DSAN, LOC120457951|XP_039501391.1|DSAN, LOC120457946|XP_039501386.1|DSAN, LOC120457671|XP_039501098.1|DSAN, LOC120457952|XP_039501392.1|DSAN, LOC120457949|XP_039501389.1|DSAN, LOC120457958|XP_039501397.1|DSAN, LOC120457959|XP_039501398.1|DSAN
OG0000006	LOC120767509|XP_039949536.1|BTRY	LOC120457930|XP_039501368.1|DSAN, LOC120457681|XP_039501104.1|DSAN, LOC120457931|XP_039501371.1|DSAN
OG0000006	LOC120767475|XP_039949498.1|BTRY	LOC120457935|XP_039501376.1|DSAN
OG0000006	LOC120767511|XP_039949538.1|BTRY	LOC120457680|XP_039501103.1|DSAN
OG0000006	LOC120781340|XP_039969478.1|BTRY	LOC120457670|XP_039501096.1|DSAN
OG0000007	LOC120778027|XP_039965634.1|BTRY	LOC120450299|XP_039489171.1|DSAN
OG0000007	LOC120777830|XP_039965302.1|BTRY, LOC120778913|XP_039966894.1|BTRY, LOC120777887|XP_039965383.1|BTRY, LOC120777888|XP_039965385.1|BTRY, LOC120778697|XP_039966585.1|BTRY	LOC120449593|XP_039488092.1|DSAN
OG0000007	LOC120778684|XP_039966554.1|BTRY, LOC120778912|XP_039966893.1|BTRY	LOC120449309|XP_039487635.1|DSAN, LOC120449521|XP_039487968.1|DSAN, LOC120448495|XP_039486458.1|DSAN, LOC120448563|XP_039486553.1|DSAN
OG0000007	LOC120778911|XP_039966892.1|BTRY, LOC120778916|XP_039966896.1|BTRY, LOC120778915|XP_039966895.1|BTRY, LOC120776968|XP_039963994.1|BTRY, LOC120778917|XP_039966897.1|BTRY	LOC120458533|XP_039502144.1|DSAN, LOC120455948|XP_039498425.1|DSAN, LOC120453571|XP_039494262.1|DSAN, LOC120453413|XP_039494045.1|DSAN, LOC120453614|XP_039494328.1|DSAN, LOC120453672|XP_039494416.1|DSAN, LOC120458508|XP_039502112.1|DSAN, LOC120448335|XP_039486223.1|DSAN, LOC120448331|XP_039486219.1|DSAN, LOC120450012|XP_039488670.1|DSAN, LOC120449828|XP_039488411.1|DSAN, LOC120449911|XP_039488536.1|DSAN
OG0000008	LOC120782797|XP_039971208.1|BTRY	LOC120451092|XP_039490416.1|DSAN
OG0000008	LOC120778932|XP_039966913.1|BTRY	LOC120449655|XP_039488186.1|DSAN
OG0000008	LOC120778930|XP_039966911.1|BTRY	LOC120449654|XP_039488185.1|DSAN
OG0000008	LOC120778933|XP_039966914.1|BTRY	LOC120449658|XP_039488188.1|DSAN
OG0000008	LOC120775736|XP_039961992.1|BTRY, LOC120778053|XP_039965709.1|BTRY, LOC120775708|XP_039961957.1|BTRY, LOC120775726|XP_039961980.1|BTRY, LOC120775719|XP_039961968.1|BTRY	LOC120453054|XP_039493509.1|DSAN, LOC120453055|XP_039493511.1|DSAN
OG0000008	LOC120778217|XP_039965948.1|BTRY	LOC120453056|XP_039493512.1|DSAN
OG0000008	LOC120780533|XP_039968729.1|BTRY	LOC120453871|XP_039494710.1|DSAN
OG0000008	LOC120778133|XP_039965828.1|BTRY	LOC120453053|XP_039493508.1|DSAN
OG0000008	LOC120780988|XP_039969143.1|BTRY	LOC120452274|XP_039492339.1|DSAN
OG0000008	LOC120766359|XP_039947722.1|BTRY, LOC120766360|XP_039947723.1|BTRY, LOC120766358|XP_039947721.1|BTRY, LOC120781723|XP_039969899.1|BTRY	LOC120453887|XP_039494738.1|DSAN
OG0000009	LOC120780063|XP_039968275.1|BTRY	LOC120452846|XP_039493217.1|DSAN
OG0000009	LOC120782593|XP_039970879.1|BTRY	LOC120453968|XP_039494853.1|DSAN, LOC120454581|XP_039495924.1|DSAN, LOC120452847|XP_039493218.1|DSAN, LOC120447920|XP_039485510.1|DSAN, LOC120447921|XP_039485511.1|DSAN
OG0000009	LOC120770963|XP_039954628.1|BTRY, LOC120770966|XP_039954631.1|BTRY, LOC120770965|XP_039954630.1|BTRY, LOC120766816|XP_039948459.1|BTRY, LOC120770964|XP_039954629.1|BTRY, LOC120772112|XP_039956457.1|BTRY, LOC120771402|XP_039955308.1|BTRY	LOC120446532|XP_039483479.1|DSAN, LOC120453301|XP_039493868.1|DSAN, LOC120445192|XP_039481349.1|DSAN, LOC120445195|XP_039481352.1|DSAN, LOC120445193|XP_039481350.1|DSAN
OG0000010	LOC120766432|XP_039947870.1|BTRY	LOC120446204|XP_039482989.1|DSAN
OG0000010	LOC120767531|XP_039949557.1|BTRY	LOC120457684|XP_039501107.1|DSAN, LOC120457972|XP_039501407.1|DSAN
OG0000010	LOC120767528|XP_039949554.1|BTRY	LOC120446203|XP_039482988.1|DSAN, LOC120457971|XP_039501406.1|DSAN, LOC120457968|XP_039501404.1|DSAN, LOC120457970|XP_039501405.1|DSAN, LOC120457962|XP_039501399.1|DSAN
OG0000012	LOC120772295|XP_039956737.1|BTRY	LOC120445821|XP_039482372.1|DSAN
OG0000012	LOC120771372|XP_039955267.1|BTRY	LOC120445820|XP_039482371.1|DSAN
OG0000012	LOC120772056|XP_039956371.1|BTRY	LOC120446192|XP_039482973.1|DSAN
OG0000012	LOC120772616|XP_039957265.1|BTRY, LOC120771697|XP_039955768.1|BTRY	LOC120446256|XP_039483062.1|DSAN
OG0000012	LOC120772529|XP_039957131.1|BTRY	LOC120444865|XP_039480765.1|DSAN, LOC120445730|XP_039482234.1|DSAN, LOC120446629|XP_039483624.1|DSAN, LOC120446410|XP_039483290.1|DSAN, LOC120445226|XP_039481417.1|DSAN, LOC120446006|XP_039482689.1|DSAN, LOC120446007|XP_039482691.1|DSAN
OG0000013	LOC120770990|XP_039954671.1|BTRY	LOC120444466|XP_039480072.1|DSAN
OG0000013	LOC120776120|XP_039962578.1|BTRY	LOC120456796|XP_039499752.1|DSAN
OG0000013	LOC120769789|XP_039952912.1|BTRY	LOC120450753|XP_039489810.1|DSAN
OG0000013	LOC120778592|XP_039966397.1|BTRY	LOC120447659|XP_039485107.1|DSAN
OG0000013	LOC120782170|XP_039970244.1|BTRY	LOC120450808|XP_039489911.1|DSAN
OG0000013	LOC120771319|XP_039955198.1|BTRY, LOC120771339|XP_039955221.1|BTRY	LOC120452623|XP_039492863.1|DSAN
OG0000013	LOC120767696|XP_039949821.1|BTRY, LOC120767722|XP_039949862.1|BTRY, LOC120767743|XP_039949888.1|BTRY, LOC120767671|XP_039949778.1|BTRY	LOC120450792|XP_039489887.1|DSAN, LOC120451564|XP_039491301.1|DSAN, LOC120454351|XP_039495505.1|DSAN, LOC120451683|XP_039491500.1|DSAN
OG0000014	LOC120774632|XP_039960290.1|BTRY, LOC120778358|XP_039966079.1|BTRY	LOC120450089|XP_039488815.1|DSAN
OG0000015	LOC120767697|XP_039949823.1|BTRY, LOC120778736|XP_039966635.1|BTRY	LOC120446987|XP_039484221.1|DSAN, LOC120456360|XP_039499095.1|DSAN, LOC120458799|XP_039502526.1|DSAN, LOC120458791|XP_039502509.1|DSAN, LOC120458608|XP_039502248.1|DSAN, LOC120445789|XP_039482329.1|DSAN, LOC120454309|XP_039495442.1|DSAN
OG0000016	LOC120770179|XP_039953330.1|BTRY, LOC120774621|XP_039960280.1|BTRY	LOC120451140|XP_039490495.1|DSAN, LOC120444605|XP_039480314.1|DSAN
OG0000016	LOC120774116|XP_039959415.1|BTRY	LOC120454635|XP_039496058.1|DSAN
OG0000016	LOC120775405|XP_039961502.1|BTRY	LOC120444059|XP_039479503.1|DSAN
OG0000016	LOC120767942|XP_039950259.1|BTRY	LOC120450954|XP_039490174.1|DSAN
OG0000016	LOC120773675|XP_039958634.1|BTRY	LOC120450393|XP_039489322.1|DSAN
OG0000017	LOC120774348|XP_039959864.1|BTRY, LOC120774347|XP_039959863.1|BTRY	LOC120456210|XP_039498824.1|DSAN
OG0000017	LOC120780459|XP_039968667.1|BTRY, LOC120766570|XP_039948096.1|BTRY, LOC120775370|XP_039961466.1|BTRY, LOC120775369|XP_039961465.1|BTRY, LOC120773495|XP_039958373.1|BTRY, LOC120773498|XP_039958374.1|BTRY, LOC120773492|XP_039958371.1|BTRY, LOC120773493|XP_039958372.1|BTRY, LOC120771902|XP_039956113.1|BTRY, LOC120780773|XP_039968962.1|BTRY, LOC120775410|XP_039961512.1|BTRY, LOC120774945|XP_039960759.1|BTRY, LOC120774427|XP_039959995.1|BTRY, LOC120781036|XP_039969147.1|BTRY	LOC120458133|XP_039501613.1|DSAN, LOC120453270|XP_039493835.1|DSAN
OG0000018	LOC120773811|XP_039958852.1|BTRY, LOC120777652|XP_039965038.1|BTRY	LOC120448958|XP_039487148.1|DSAN
OG0000018	LOC120777489|XP_039964764.1|BTRY	LOC120447671|XP_039485130.1|DSAN
OG0000019	LOC120768215|XP_039950761.1|BTRY, LOC120767062|XP_039948852.1|BTRY, LOC120767061|XP_039948851.1|BTRY, LOC120767055|XP_039948845.1|BTRY, LOC120768123|XP_039950646.1|BTRY, LOC120767057|XP_039948847.1|BTRY, LOC120767056|XP_039948846.1|BTRY, LOC120767060|XP_039948850.1|BTRY, LOC120767059|XP_039948848.1|BTRY	LOC120453199|XP_039493718.1|DSAN, LOC120453201|XP_039493721.1|DSAN, LOC120453202|XP_039493723.1|DSAN, LOC120453194|XP_039493696.1|DSAN, LOC120453200|XP_039493720.1|DSAN, LOC120453203|XP_039493724.1|DSAN, LOC120453198|XP_039493717.1|DSAN
OG0000020	LOC120772465|XP_039957032.1|BTRY	LOC120451285|XP_039490765.1|DSAN
OG0000020	LOC120782274|XP_039970399.1|BTRY	LOC120444384|XP_039479923.1|DSAN, LOC120445506|XP_039481897.1|DSAN, LOC120445000|XP_039480984.1|DSAN
OG0000020	LOC120782276|XP_039970405.1|BTRY, LOC120782275|XP_039970404.1|BTRY	LOC120450860|XP_039490007.1|DSAN
