Orthogroup	DGUA.longest_only	DALB.longest_only
OG0000000	LOC117588815|XP_034136215.1|DGUA	LOC117570380|XP_034107866.1|DALB, LOC117566600|XP_034102032.1|DALB, LOC117566557|XP_034101990.1|DALB
OG0000000	LOC117588940|XP_034136409.1|DGUA	LOC117566739|XP_034102173.1|DALB, LOC117566740|XP_034102174.1|DALB
OG0000000	LOC117592532|XP_034142283.1|DGUA	LOC117566676|XP_034102114.1|DALB
OG0000000	LOC117583198|XP_034127292.1|DGUA, LOC117583197|XP_034127291.1|DGUA, LOC117583196|XP_034127290.1|DGUA, LOC117578480|XP_034119907.1|DGUA, LOC117583194|XP_034127289.1|DGUA, LOC117583318|XP_034127468.1|DGUA, LOC117582218|XP_034125717.1|DGUA, LOC117592522|XP_034142264.1|DGUA	LOC117567230|XP_034102951.1|DALB
OG0000000	LOC117592662|XP_034142498.1|DGUA, LOC117592359|XP_034141946.1|DGUA	LOC117576780|XP_034117723.1|DALB
OG0000000	LOC117585432|XP_034130797.1|DGUA, LOC117585250|XP_034130554.1|DGUA, LOC117585205|XP_034130473.1|DGUA, LOC117585431|XP_034130796.1|DGUA, LOC117592344|XP_034141927.1|DGUA, LOC117583154|XP_034127239.1|DGUA, LOC117585429|XP_034130795.1|DGUA, LOC117586464|XP_034132421.1|DGUA	LOC117570317|XP_034107750.1|DALB
OG0000002	LOC117579099|XP_034120716.1|DGUA	LOC117571538|XP_034109620.1|DALB
OG0000002	LOC117579108|XP_034120728.1|DGUA	LOC117571537|XP_034109617.1|DALB
OG0000002	LOC117587542|XP_034134239.1|DGUA	LOC117565641|XP_034100743.1|DALB
OG0000002	LOC117584002|XP_034128622.1|DGUA	LOC117571106|XP_034108978.1|DALB, LOC117571107|XP_034108980.1|DALB, LOC117564360|XP_034098965.1|DALB, LOC117565222|XP_034100121.1|DALB, LOC117565220|XP_034100119.1|DALB, LOC117564889|XP_034099728.1|DALB, LOC117564559|XP_034099283.1|DALB
OG0000002	LOC117581706|XP_034124975.1|DGUA, LOC117582230|XP_034125732.1|DGUA, LOC117584049|XP_034128680.1|DGUA, LOC117587987|XP_034134884.1|DGUA	LOC117563399|XP_034097624.1|DALB, LOC117563790|XP_034098211.1|DALB
OG0000003	LOC117592331|XP_034141917.1|DGUA	LOC117570013|XP_034107320.1|DALB, LOC117566349|XP_034101726.1|DALB
OG0000003	LOC117578447|XP_034119862.1|DGUA	LOC117572199|XP_034110745.1|DALB, LOC117572196|XP_034110742.1|DALB, LOC117572200|XP_034110747.1|DALB, LOC117572197|XP_034110743.1|DALB, LOC117572198|XP_034110744.1|DALB
OG0000003	LOC117583299|XP_034127435.1|DGUA	LOC117566350|XP_034101727.1|DALB, LOC117566352|XP_034101730.1|DALB, LOC117566353|XP_034101731.1|DALB
OG0000003	LOC117583309|XP_034127448.1|DGUA	LOC117566351|XP_034101728.1|DALB
OG0000003	LOC117583990|XP_034128606.1|DGUA	LOC117570242|XP_034107635.1|DALB
OG0000003	LOC117583987|XP_034128590.1|DGUA	LOC117569608|XP_034106735.1|DALB, LOC117569606|XP_034106733.1|DALB, LOC117569607|XP_034106734.1|DALB, LOC117569605|XP_034106730.1|DALB
OG0000003	LOC117587981|XP_034134880.1|DGUA	LOC117564506|XP_034099214.1|DALB, LOC117563737|XP_034098107.1|DALB, LOC117564505|XP_034099213.1|DALB
