Orthogroup	DGUA.longest_only	DMEL.longest_only
OG0000000	LOC117583189|XP_034127284.1|DGUA	CG33784|NP_001027169.1|DMEL, CG33783|NP_001027168.1|DMEL
OG0000000	LOC117588815|XP_034136215.1|DGUA	CG33775|NP_001027410.1|DMEL
OG0000000	LOC117589025|XP_034136545.1|DGUA	CG33687|NP_001027130.2|DMEL
OG0000000	LOC117588940|XP_034136409.1|DGUA	CG33688|NP_001027131.1|DMEL, CG33689|NP_001027132.2|DMEL
OG0000000	LOC117592532|XP_034142283.1|DGUA	CG12849|NP_611969.2|DMEL
OG0000000	LOC117583197|XP_034127291.1|DGUA, LOC117583196|XP_034127290.1|DGUA	CG33773|NP_001027213.1|DMEL
OG0000000	LOC117583194|XP_034127289.1|DGUA	CG33463|NP_995846.2|DMEL
OG0000000	LOC117583318|XP_034127468.1|DGUA	CG33721|NP_001036743.1|DMEL
OG0000000	LOC117582218|XP_034125717.1|DGUA	CG33928|NP_001027276.1|DMEL
OG0000000	LOC117592359|XP_034141946.1|DGUA	CG33453|NP_995888.1|DMEL, CG13590|NP_611919.1|DMEL, CG13589|NP_611918.2|DMEL
OG0000000	LOC117589701|XP_034137755.1|DGUA	CG14518|NP_651653.2|DMEL
OG0000000	LOC117592344|XP_034141927.1|DGUA	CG33725|NP_001027125.1|DMEL
OG0000002	LOC117579099|XP_034120716.1|DGUA	CG30281|NP_726164.1|DMEL
OG0000002	LOC117579108|XP_034120728.1|DGUA	CG30280|NP_611641.6|DMEL
OG0000002	LOC117581706|XP_034124975.1|DGUA, LOC117582230|XP_034125732.1|DGUA, LOC117584049|XP_034128680.1|DGUA, LOC117587987|XP_034134884.1|DGUA	CG9500|NP_609018.3|DMEL
OG0000003	LOC117592331|XP_034141917.1|DGUA	Cyp6a9|NP_523748.2|DMEL, Cyp6a21|NP_611003.2|DMEL
OG0000003	LOC117592350|XP_034141940.1|DGUA	Cyp6a18|NP_651563.1|DMEL, Cyp6a8|NP_523749.2|DMEL
OG0000003	LOC117578447|XP_034119862.1|DGUA	Cyp6a2|NP_523628.1|DMEL
OG0000003	LOC117583299|XP_034127435.1|DGUA	Cyp6a23|NP_611000.2|DMEL, Cyp6a17|NP_652018.1|DMEL
OG0000003	LOC117592340|XP_034141928.1|DGUA	Cyp6a19|NP_611001.2|DMEL
OG0000003	LOC117583309|XP_034127448.1|DGUA	Cyp6a22|NP_652075.1|DMEL
OG0000003	LOC117583990|XP_034128606.1|DGUA	Cyp6a13|NP_610390.1|DMEL
OG0000003	LOC117587981|XP_034134880.1|DGUA	Cyp6a16|NP_001285631.1|DMEL
OG0000006	LOC117591658|XP_034140872.1|DGUA	His2A_CG33850|NP_001027361.1|DMEL
OG0000006	LOC117591645|XP_034140861.1|DGUA	His2A_CG33841|NP_001027346.1|DMEL, His2A_CG33862|NP_001027381.1|DMEL, His2A_CG33838|NP_001027341.1|DMEL, His2A_CG33823|NP_001027316.1|DMEL, His2A_CG33865|NP_001027386.1|DMEL, His2A_CG33829|NP_001027326.1|DMEL, His2A_CG33853|NP_001027366.1|DMEL, His2A_CG33856|NP_001027371.1|DMEL, His2A_CG33859|NP_001027376.1|DMEL, His2A_CG33844|NP_001027351.1|DMEL
OG0000007	LOC117587429|XP_034133994.1|DGUA	Jon65Aiv|NP_648012.1|DMEL
OG0000007	LOC117587428|XP_034133991.1|DGUA	Jon65Aiii|NP_648013.1|DMEL
OG0000007	LOC117584024|XP_034128652.1|DGUA	Jon25Bii|NP_608882.1|DMEL
OG0000007	LOC117592308|XP_034141873.1|DGUA	Jon44E|NP_724699.1|DMEL
