Orthogroup	DGUA.longest_only	DBIA.longest_only
OG0000000	LOC117592188|XP_034141680.1|DGUA	LOC108024306|XP_016949697.1|DBIA, LOC108029324|XP_016957007.1|DBIA
OG0000000	LOC117583189|XP_034127284.1|DGUA	LOC108031338|XP_016960091.1|DBIA
OG0000000	LOC117588815|XP_034136215.1|DGUA	LOC108029341|XP_016957023.1|DBIA
OG0000000	LOC117589025|XP_034136545.1|DGUA	LOC108034429|XP_016964803.1|DBIA
OG0000000	LOC117588940|XP_034136409.1|DGUA	LOC108034427|XP_016964800.1|DBIA, LOC108034428|XP_016964801.1|DBIA, LOC108034426|XP_016964799.1|DBIA
OG0000000	LOC117592532|XP_034142283.1|DGUA	LOC108022107|XP_016946439.1|DBIA
OG0000000	LOC117583198|XP_034127292.1|DGUA	LOC108025002|XP_016950746.1|DBIA, LOC108025001|XP_016950745.1|DBIA
OG0000000	LOC117583197|XP_034127291.1|DGUA, LOC117583196|XP_034127290.1|DGUA	LOC108024999|XP_016950744.1|DBIA
OG0000000	LOC117583194|XP_034127289.1|DGUA	LOC108030080|XP_016958186.1|DBIA
OG0000000	LOC117582218|XP_034125717.1|DGUA	LOC108033274|XP_016963030.1|DBIA
OG0000000	LOC117592522|XP_034142264.1|DGUA	LOC108033239|XP_016962994.1|DBIA
OG0000000	LOC117592359|XP_034141946.1|DGUA	LOC108022409|XP_016946783.1|DBIA, LOC108022121|XP_016946451.1|DBIA, LOC108022119|XP_016946449.1|DBIA, LOC108022117|XP_016946447.1|DBIA, LOC108022118|XP_016946448.1|DBIA, LOC108022116|XP_016946446.1|DBIA, LOC108028921|XP_016956428.1|DBIA, LOC108022120|XP_016946450.1|DBIA
OG0000000	LOC117589701|XP_034137755.1|DGUA	LOC108024473|XP_016949882.1|DBIA
OG0000000	LOC117585205|XP_034130473.1|DGUA	LOC108035120|XP_016966040.1|DBIA
OG0000000	LOC117592344|XP_034141927.1|DGUA	LOC108027980|XP_016955095.1|DBIA, LOC108032244|XP_016961600.1|DBIA
OG0000002	LOC117579099|XP_034120716.1|DGUA	LOC108022558|XP_016947041.1|DBIA
OG0000002	LOC117579108|XP_034120728.1|DGUA	LOC108022153|XP_016946484.1|DBIA
OG0000002	LOC117584002|XP_034128622.1|DGUA	LOC108027710|XP_016954748.1|DBIA
OG0000003	LOC117592331|XP_034141917.1|DGUA	LOC108030370|XP_016958727.1|DBIA, LOC108030025|XP_016958054.1|DBIA
OG0000003	LOC117592350|XP_034141940.1|DGUA	LOC108024348|XP_016949739.1|DBIA, LOC108030024|XP_016958053.1|DBIA
OG0000003	LOC117578447|XP_034119862.1|DGUA	LOC108030125|XP_016958318.1|DBIA
OG0000003	LOC117583299|XP_034127435.1|DGUA	LOC108030172|XP_016958401.1|DBIA, LOC108029856|XP_016957835.1|DBIA
OG0000003	LOC117592340|XP_034141928.1|DGUA	LOC108029931|XP_016957914.1|DBIA, LOC108030395|XP_016958768.1|DBIA, LOC108034850|XP_016965477.1|DBIA, LOC108030023|XP_016958052.1|DBIA, LOC108029857|XP_016957836.1|DBIA, LOC108029859|XP_016957838.1|DBIA
OG0000003	LOC117583309|XP_034127448.1|DGUA	LOC108030173|XP_016958402.1|DBIA
OG0000003	LOC117583990|XP_034128606.1|DGUA	LOC108029368|XP_016957084.1|DBIA
OG0000003	LOC117583987|XP_034128590.1|DGUA	LOC108031495|XP_016960477.1|DBIA, LOC108029347|XP_016957028.1|DBIA, LOC108029367|XP_016957083.1|DBIA
OG0000003	LOC117587981|XP_034134880.1|DGUA	LOC108034204|XP_016964524.1|DBIA
OG0000006	LOC117591658|XP_034140872.1|DGUA	LOC108021907|XP_016946218.1|DBIA
OG0000007	LOC117587429|XP_034133994.1|DGUA	LOC108028761|XP_016956223.1|DBIA
OG0000007	LOC117587428|XP_034133991.1|DGUA	LOC108028706|XP_016956144.1|DBIA
OG0000007	LOC117584024|XP_034128652.1|DGUA	LOC108027672|XP_016954706.1|DBIA
OG0000007	LOC117592308|XP_034141873.1|DGUA	LOC108029358|XP_016957069.1|DBIA
OG0000007	LOC117583201|XP_034127296.1|DGUA	LOC108025402|XP_016951367.1|DBIA
OG0000007	LOC117584026|XP_034128654.1|DGUA	LOC108027695|XP_016954733.1|DBIA, LOC108027675|XP_016954708.1|DBIA
OG0000007	LOC117587067|XP_034133401.1|DGUA	LOC108034518|XP_016964930.1|DBIA
OG0000007	LOC117584025|XP_034128653.1|DGUA	LOC108027854|XP_016954941.1|DBIA
OG0000007	LOC117587430|XP_034133997.1|DGUA	LOC108028309|XP_016955521.1|DBIA
OG0000007	LOC117587431|XP_034133998.1|DGUA	LOC108028310|XP_016955522.1|DBIA
OG0000008	LOC117586140|XP_034131924.1|DGUA	LOC108032174|XP_016961516.1|DBIA
OG0000008	LOC117579398|XP_034121168.1|DGUA	LOC108034858|XP_016965498.1|DBIA
OG0000008	LOC117579397|XP_034121167.1|DGUA	LOC108034855|XP_016965493.1|DBIA
OG0000008	LOC117581836|XP_034125174.1|DGUA	LOC108033465|XP_016963291.1|DBIA
OG0000008	LOC117579400|XP_034121171.1|DGUA	LOC108034860|XP_016965500.1|DBIA
