Orthogroup	DGUA.longest_only	DYAK.longest_only
OG0000000	LOC117592188|XP_034141680.1|DGUA	LOC120321802|XP_039231662.1|DYAK
OG0000000	LOC117583189|XP_034127284.1|DGUA	LOC6536475|XP_002097056.2|DYAK
OG0000000	LOC117588815|XP_034136215.1|DGUA	LOC6530087|XP_002091033.1|DYAK
OG0000000	LOC117589025|XP_034136545.1|DGUA	LOC6535099|XP_039229818.1|DYAK
OG0000000	LOC117588940|XP_034136409.1|DGUA	LOC6535098|XP_002095761.2|DYAK
OG0000000	LOC117592532|XP_034142283.1|DGUA	LOC6532122|XP_002092898.3|DYAK
OG0000000	LOC117583197|XP_034127291.1|DGUA, LOC117583196|XP_034127290.1|DGUA	LOC6538958|XP_002099461.2|DYAK, LOC26534675|XP_015049130.2|DYAK
OG0000000	LOC117583194|XP_034127289.1|DGUA	LOC6531513|XP_002092312.3|DYAK
OG0000000	LOC117583318|XP_034127468.1|DGUA	LOC6537714|XP_002098259.2|DYAK
OG0000000	LOC117582218|XP_034125717.1|DGUA	LOC6529465|XP_002090467.1|DYAK
OG0000000	LOC117592662|XP_034142498.1|DGUA	LOC6532052|XP_039228287.1|DYAK, LOC6532051|XP_039228285.1|DYAK, LOC6532054|XP_039228543.1|DYAK
OG0000000	LOC117592359|XP_034141946.1|DGUA	LOC6530976|XP_002091814.2|DYAK, LOC6532053|XP_002092830.1|DYAK, LOC6532050|XP_002092827.2|DYAK, LOC6532049|XP_002092826.1|DYAK
OG0000000	LOC117589701|XP_034137755.1|DGUA	LOC6538114|XP_002098649.1|DYAK
OG0000000	LOC117592344|XP_034141927.1|DGUA	LOC6533890|XP_002094590.1|DYAK
OG0000002	LOC117579099|XP_034120716.1|DGUA	LOC6530517|XP_002091432.3|DYAK
OG0000002	LOC117579108|XP_034120728.1|DGUA	LOC6530518|XP_002091433.1|DYAK
OG0000002	LOC117581706|XP_034124975.1|DGUA, LOC117582230|XP_034125732.1|DGUA, LOC117584049|XP_034128680.1|DGUA, LOC117587987|XP_034134884.1|DGUA	LOC6527104|XP_002088197.3|DYAK
OG0000003	LOC117592331|XP_034141917.1|DGUA	LOC6530460|XP_002091376.2|DYAK, LOC6530462|XP_002091378.1|DYAK
OG0000003	LOC117592350|XP_034141940.1|DGUA	LOC6538264|XP_002098791.1|DYAK, LOC6530463|XP_002091379.1|DYAK
OG0000003	LOC117578447|XP_034119862.1|DGUA	LOC6527640|XP_039226547.1|DYAK, LOC6528325|XP_002089378.1|DYAK
OG0000003	LOC117583299|XP_034127435.1|DGUA	LOC6530458|XP_002091374.1|DYAK, LOC6530457|XP_002091373.1|DYAK
OG0000003	LOC117592340|XP_034141928.1|DGUA	LOC6530459|XP_002091375.1|DYAK, LOC6530461|XP_002091377.1|DYAK
OG0000003	LOC117583309|XP_034127448.1|DGUA	LOC6530456|XP_002091372.1|DYAK
OG0000003	LOC117583990|XP_034128606.1|DGUA	LOC6528608|XP_002089651.1|DYAK
OG0000003	LOC117583987|XP_034128590.1|DGUA	LOC6528606|XP_002089649.1|DYAK, LOC120320435|XP_002089650.1|DYAK
OG0000003	LOC117587981|XP_034134880.1|DGUA	LOC6528128|XP_002089195.3|DYAK
OG0000006	LOC117591658|XP_034140872.1|DGUA	LOC120322197|XP_039233188.1|DYAK, LOC120322195|XP_039233186.1|DYAK
OG0000006	LOC117591645|XP_034140861.1|DGUA	LOC120322194|XP_039233185.1|DYAK, LOC120322188|XP_039233178.1|DYAK, LOC120321197|XP_039229115.1|DYAK, LOC120321239|XP_039229335.1|DYAK, LOC120322189|XP_039233180.1|DYAK, LOC26535831|XP_015045247.2|DYAK
