Orthogroup	DGUA.longest_only	DSEC.longest_only
OG0000000	LOC117592188|XP_034141680.1|DGUA	LOC6612593|XP_002037098.2|DSEC
OG0000000	LOC117583189|XP_034127284.1|DGUA	LOC6606995|XP_002031784.1|DSEC
OG0000000	LOC117588815|XP_034136215.1|DGUA	LOC6608865|XP_002033579.1|DSEC
OG0000000	LOC117589025|XP_034136545.1|DGUA	LOC6605884|XP_032575999.1|DSEC
OG0000000	LOC117588940|XP_034136409.1|DGUA	LOC116800964|XP_032573791.1|DSEC, LOC116801306|XP_032575998.1|DSEC
OG0000000	LOC117592532|XP_034142283.1|DGUA	LOC6618886|XP_002043134.2|DSEC
OG0000000	LOC117583197|XP_034127291.1|DGUA, LOC117583196|XP_034127290.1|DGUA	LOC6612936|XP_002037428.1|DSEC
OG0000000	LOC117583194|XP_034127289.1|DGUA	LOC6609340|XP_032572102.1|DSEC
OG0000000	LOC117583318|XP_034127468.1|DGUA	LOC116801718|XP_032578762.1|DSEC
OG0000000	LOC117582218|XP_034125717.1|DGUA	LOC6614481|XP_002038914.1|DSEC
OG0000000	LOC117592359|XP_034141946.1|DGUA	LOC6609905|XP_032572518.1|DSEC, LOC6618816|XP_002043065.1|DSEC, LOC6618815|XP_002043064.1|DSEC
OG0000000	LOC117589701|XP_034137755.1|DGUA	LOC6612634|XP_002037138.2|DSEC
OG0000000	LOC117592344|XP_034141927.1|DGUA	LOC6605446|XP_002030279.1|DSEC
OG0000002	LOC117579099|XP_034120716.1|DGUA	LOC6615482|XP_002039862.2|DSEC
OG0000002	LOC117579108|XP_034120728.1|DGUA	LOC6615481|XP_002039861.2|DSEC
OG0000002	LOC117581706|XP_034124975.1|DGUA, LOC117582230|XP_034125732.1|DGUA, LOC117584049|XP_034128680.1|DGUA, LOC117587987|XP_034134884.1|DGUA	LOC6613615|XP_032570344.1|DSEC
OG0000003	LOC117592331|XP_034141917.1|DGUA	LOC6609226|XP_032570279.1|DSEC, LOC6609227|XP_002033918.2|DSEC
OG0000003	LOC117592350|XP_034141940.1|DGUA	LOC6617182|XP_002041509.2|DSEC, LOC6609229|XP_032570278.1|DSEC
