Orthogroup	DGUA.longest_only	DVIR.longest_only
OG0000000	LOC117592188|XP_034141680.1|DGUA	LOC6627198|XP_032293006.1|DVIR
OG0000000	LOC117588815|XP_034136215.1|DGUA	LOC6625157|XP_032292502.1|DVIR
OG0000000	LOC117592532|XP_034142283.1|DGUA	LOC6626786|XP_002048872.2|DVIR
OG0000000	LOC117592662|XP_034142498.1|DGUA, LOC117592359|XP_034141946.1|DGUA, LOC117589701|XP_034137755.1|DGUA	LOC6625459|XP_002048889.2|DVIR, LOC6625457|XP_032291675.1|DVIR, LOC26530783|XP_032292393.1|DVIR
OG0000001	LOC117591299|XP_034140394.1|DGUA	LOC116650073|XP_032289315.1|DVIR, LOC116649967|XP_032289174.1|DVIR
OG0000002	LOC117579099|XP_034120716.1|DGUA	LOC6627081|XP_002049906.2|DVIR
OG0000002	LOC117579108|XP_034120728.1|DGUA	LOC6627080|XP_002049905.2|DVIR
OG0000002	LOC117584002|XP_034128622.1|DGUA	LOC6626597|XP_002049033.2|DVIR
OG0000002	LOC117581706|XP_034124975.1|DGUA, LOC117582230|XP_034125732.1|DGUA, LOC117584049|XP_034128680.1|DGUA, LOC117587987|XP_034134884.1|DGUA	LOC6628707|XP_002051325.3|DVIR
OG0000003	LOC117592331|XP_034141917.1|DGUA	LOC6625469|XP_002049673.1|DVIR, LOC6625468|XP_002049672.1|DVIR
OG0000003	LOC117583990|XP_034128606.1|DGUA	LOC6625464|XP_002049668.1|DVIR
OG0000003	LOC117583987|XP_034128590.1|DGUA	LOC6625463|XP_002049667.1|DVIR
OG0000003	LOC117587981|XP_034134880.1|DGUA	LOC6627946|XP_002051419.1|DVIR
OG0000004	LOC117591772|XP_034140973.1|DGUA, LOC117591686|XP_034140901.1|DGUA, LOC117591643|XP_034140858.1|DGUA, LOC117591660|XP_034140874.1|DGUA	LOC116649797|XP_032288819.1|DVIR, LOC6636964|XP_002060406.2|DVIR, LOC6630109|XP_002053102.1|DVIR, LOC6637028|XP_032296768.1|DVIR, LOC6630078|XP_032288808.1|DVIR, LOC6630104|XP_002053097.1|DVIR, LOC6630838|XP_002053114.1|DVIR, LOC26531848|XP_015023755.2|DVIR, LOC116651593|XP_032294196.1|DVIR, LOC6627875|XP_002052272.1|DVIR, LOC6627872|XP_002052269.1|DVIR, LOC6627867|XP_002052264.1|DVIR, LOC26530598|XP_015027811.1|DVIR, LOC116649798|XP_032288820.1|DVIR
OG0000006	LOC117591658|XP_034140872.1|DGUA	LOC6637262|XP_032288828.1|DVIR
OG0000006	LOC117591645|XP_034140861.1|DGUA	LOC6637128|XP_015023601.1|DVIR, LOC116649806|XP_032288830.1|DVIR, LOC6630844|XP_032294583.1|DVIR, LOC116649802|XP_032288824.1|DVIR, LOC6636961|XP_015023643.1|DVIR, LOC6636997|XP_032288831.1|DVIR, LOC6630084|XP_002053094.1|DVIR
OG0000007	LOC117587429|XP_034133994.1|DGUA	LOC6623030|XP_002046517.1|DVIR
OG0000007	LOC117592308|XP_034141873.1|DGUA	LOC116650729|XP_032291101.1|DVIR
OG0000007	LOC117584026|XP_034128654.1|DGUA	LOC6624626|XP_002046524.3|DVIR, LOC6637091|XP_002060502.3|DVIR, LOC6637042|XP_032290173.1|DVIR
OG0000007	LOC117587067|XP_034133401.1|DGUA, LOC117584025|XP_034128653.1|DGUA	LOC6623051|XP_032290850.1|DVIR, LOC6623055|XP_002046521.1|DVIR, LOC6637041|XP_002060466.1|DVIR, LOC26531170|XP_032291103.1|DVIR, LOC6623833|XP_002046522.1|DVIR, LOC26531906|XP_032291104.1|DVIR, LOC116650731|XP_032291105.1|DVIR, LOC6624525|XP_002046523.1|DVIR
OG0000008	LOC117586140|XP_034131924.1|DGUA	LOC6629514|XP_002054585.2|DVIR
OG0000008	LOC117579398|XP_034121168.1|DGUA	LOC6623720|XP_002046325.3|DVIR
OG0000008	LOC117579397|XP_034121167.1|DGUA	LOC6622211|XP_002046327.1|DVIR
OG0000008	LOC117581836|XP_034125174.1|DGUA	LOC6627554|XP_002052288.1|DVIR
OG0000008	LOC117579400|XP_034121171.1|DGUA	LOC26531283|XP_015031719.1|DVIR
OG0000008	LOC117586224|XP_034132052.1|DGUA, LOC117586223|XP_034132051.1|DGUA	LOC6631283|XP_002053522.1|DVIR, LOC6631284|XP_002053523.1|DVIR
OG0000008	LOC117586165|XP_034131957.1|DGUA	LOC6631289|XP_002053528.2|DVIR
OG0000008	LOC117586221|XP_034132048.1|DGUA	LOC6631285|XP_002053524.1|DVIR
OG0000008	LOC117586120|XP_034131875.1|DGUA	LOC6631288|XP_002053527.1|DVIR
OG0000008	LOC117586582|XP_034132641.1|DGUA	LOC6631290|XP_002053529.1|DVIR
OG0000009	LOC117586341|XP_034132234.1|DGUA	LOC6632445|XP_002056511.1|DVIR
OG0000009	LOC117586454|XP_034132388.1|DGUA	LOC6632323|XP_002056506.1|DVIR
OG0000009	LOC117586340|XP_034132233.1|DGUA, LOC117585972|XP_034131672.1|DGUA	LOC6632476|XP_002056177.1|DVIR, LOC6632444|XP_002056510.1|DVIR, LOC6632443|XP_002056509.1|DVIR, LOC116649755|XP_032289498.1|DVIR, LOC6632442|XP_002056508.1|DVIR
OG0000009	LOC117585026|XP_034130159.1|DGUA, LOC117585051|XP_034130200.1|DGUA	LOC6635767|XP_032294717.1|DVIR
OG0000009	LOC117587230|XP_034133688.1|DGUA	LOC6626762|XP_032292470.1|DVIR, LOC6626659|XP_002049470.1|DVIR, LOC6626487|XP_002049686.1|DVIR
OG0000009	LOC117588654|XP_034135988.1|DGUA	LOC6626542|XP_002050752.1|DVIR
OG0000009	LOC117588663|XP_034136000.1|DGUA	LOC6628883|XP_002051663.1|DVIR
OG0000010	LOC117583778|XP_034128224.1|DGUA	LOC116649822|XP_032288857.1|DVIR, LOC6637070|XP_002060485.1|DVIR, LOC116649828|XP_032288865.1|DVIR
OG0000010	LOC117591688|XP_034140902.1|DGUA	LOC6637215|XP_002060533.1|DVIR, LOC116649823|XP_032288859.1|DVIR, LOC6636962|XP_002060409.1|DVIR
OG0000010	LOC117591679|XP_034140894.1|DGUA	LOC6637058|XP_002060476.1|DVIR, LOC6630112|XP_002053105.1|DVIR, LOC116649825|XP_032288861.1|DVIR, LOC116649824|XP_032288860.1|DVIR, LOC6637029|XP_002060450.1|DVIR, LOC6630116|XP_032288858.1|DVIR
OG0000011	LOC117579216|XP_034120874.1|DGUA	LOC6623065|XP_002048503.2|DVIR
OG0000011	LOC117585951|XP_034131639.1|DGUA	LOC6635697|XP_002059270.2|DVIR
OG0000012	LOC117578829|XP_034120480.1|DGUA	LOC6624922|XP_002050777.1|DVIR
OG0000012	LOC117578830|XP_034120484.1|DGUA	LOC6625019|XP_002050778.1|DVIR
OG0000012	LOC117578828|XP_034120477.1|DGUA	LOC6625021|XP_002050780.1|DVIR
OG0000012	LOC117578831|XP_034120485.1|DGUA	LOC6624921|XP_015029085.1|DVIR
OG0000012	LOC117585419|XP_034130787.1|DGUA, LOC117585430|XP_034130799.1|DGUA, LOC117585406|XP_034130769.1|DGUA	LOC6625066|XP_002049213.2|DVIR, LOC6625067|XP_032293151.1|DVIR, LOC6624920|XP_002050775.2|DVIR, LOC6624919|XP_002050774.2|DVIR, LOC26531760|XP_015030363.1|DVIR, LOC6627007|XP_032292288.1|DVIR, LOC6627006|XP_002050772.1|DVIR
OG0000012	LOC117592596|XP_034142370.1|DGUA, LOC117592593|XP_034142368.1|DGUA, LOC117592595|XP_034142369.1|DGUA	LOC6627005|XP_002050771.1|DVIR
OG0000012	LOC117592597|XP_034142371.1|DGUA, LOC117592598|XP_034142372.1|DGUA	LOC6627004|XP_002050770.1|DVIR
OG0000013	LOC117592555|XP_034142321.1|DGUA	LOC6626677|XP_002050872.1|DVIR
OG0000013	LOC117590521|XP_034139126.1|DGUA	LOC6633411|XP_015025597.1|DVIR
OG0000013	LOC117585977|XP_034131683.1|DGUA	LOC6630204|XP_002053707.1|DVIR
OG0000013	LOC117580093|XP_034122238.1|DGUA	LOC6622085|XP_002048525.1|DVIR
OG0000013	LOC117589807|XP_034137915.1|DGUA	LOC6632892|XP_002056192.1|DVIR
OG0000013	LOC117585592|XP_034131028.1|DGUA, LOC117585591|XP_034131024.1|DGUA	LOC6634859|XP_002058649.1|DVIR, LOC6635006|XP_002058650.1|DVIR
OG0000013	LOC117583601|XP_034127885.1|DGUA	LOC116650285|XP_032289502.1|DVIR, LOC6632687|XP_032289629.1|DVIR, LOC6632688|XP_032289631.1|DVIR, LOC6637283|XP_002060548.2|DVIR, LOC6632685|XP_032289630.1|DVIR, LOC6632689|XP_002056660.1|DVIR, LOC6637075|XP_002060490.3|DVIR, LOC6632683|XP_002056654.2|DVIR, LOC6632691|XP_032289775.1|DVIR
OG0000015	LOC117588212|XP_034135242.1|DGUA	LOC26531562|XP_032293636.1|DVIR
OG0000016	LOC117589945|XP_034138127.1|DGUA	LOC6633127|XP_002056070.1|DVIR
OG0000016	LOC117587659|XP_034134479.1|DGUA	LOC116650918|XP_032291957.1|DVIR
OG0000016	LOC117583582|XP_034127854.1|DGUA	LOC6630423|XP_002053735.1|DVIR
OG0000016	LOC117592229|XP_034141753.1|DGUA	LOC6625554|XP_002049004.2|DVIR
OG0000016	LOC117581434|XP_034124497.1|DGUA	LOC6636049|XP_002059576.1|DVIR
OG0000016	LOC117588507|XP_034135722.1|DGUA	LOC6635861|XP_002059335.1|DVIR
OG0000016	LOC117585750|XP_034131294.1|DGUA	LOC6631018|XP_002054294.1|DVIR
OG0000016	LOC117579173|XP_034120827.1|DGUA	LOC6623693|XP_002048319.1|DVIR
OG0000017	LOC117592695|XP_034142550.1|DGUA, LOC117584523|XP_034129364.1|DGUA	LOC6635873|XP_002059346.1|DVIR, LOC6636383|XP_032292047.1|DVIR, LOC6636382|XP_032292048.1|DVIR
OG0000017	LOC117583173|XP_034127261.1|DGUA	LOC6628970|XP_032293497.1|DVIR, LOC6623565|XP_032291328.1|DVIR, LOC116651590|XP_032294188.1|DVIR
OG0000017	LOC117580469|XP_034122942.1|DGUA	LOC6627049|XP_002050830.3|DVIR
OG0000017	LOC117583419|XP_034127607.1|DGUA	LOC6635871|XP_002059345.1|DVIR
OG0000017	LOC117582253|XP_034125754.1|DGUA, LOC117582249|XP_034125751.1|DGUA	LOC6627836|XP_032294331.1|DVIR
OG0000018	LOC117587357|XP_034133889.1|DGUA	LOC6623414|XP_002046136.1|DVIR
OG0000018	LOC117587358|XP_034133890.1|DGUA	LOC6623369|XP_002046140.1|DVIR
OG0000018	LOC117587351|XP_034133882.1|DGUA	LOC6623326|XP_002046138.1|DVIR
OG0000018	LOC117587362|XP_034133895.1|DGUA	LOC6623104|XP_002046157.1|DVIR
OG0000018	LOC117587361|XP_034133894.1|DGUA	LOC6623391|XP_002046158.1|DVIR
OG0000018	LOC117587365|XP_034133899.1|DGUA	LOC6623443|XP_002046145.1|DVIR
OG0000019	LOC117583725|XP_034128132.1|DGUA, LOC117583724|XP_034128131.1|DGUA	LOC6630453|XP_002053914.1|DVIR, LOC6630456|XP_002053917.1|DVIR
OG0000019	LOC117583705|XP_034128081.1|DGUA	LOC6630458|XP_002053919.1|DVIR
OG0000019	LOC117583723|XP_034128130.1|DGUA	LOC6630457|XP_002053918.1|DVIR
OG0000019	LOC117583722|XP_034128122.1|DGUA	LOC6630452|XP_002053913.1|DVIR
OG0000020	LOC117583658|XP_034128012.1|DGUA	LOC6634957|XP_002058591.1|DVIR
OG0000020	LOC117578526|XP_034119977.1|DGUA	LOC6635984|XP_002059302.2|DVIR
OG0000020	LOC117587736|XP_034134545.1|DGUA	LOC6628903|XP_002051547.2|DVIR
OG0000020	LOC117586337|XP_034132223.1|DGUA	LOC6632501|XP_032289762.1|DVIR
OG0000020	LOC117590165|XP_034138451.1|DGUA	LOC6632573|XP_015026213.1|DVIR
OG0000020	LOC117584402|XP_034129156.1|DGUA	LOC6628471|XP_002051546.1|DVIR
OG0000021	LOC117579999|XP_034122087.1|DGUA	LOC6624373|XP_002047473.1|DVIR
OG0000021	LOC117578554|XP_034120017.1|DGUA	LOC6627017|XP_002049727.2|DVIR
OG0000021	LOC117578555|XP_034120019.1|DGUA	LOC6627018|XP_002049728.2|DVIR
OG0000021	LOC117578556|XP_034120020.1|DGUA	LOC6627016|XP_002049726.1|DVIR
OG0000021	LOC117580314|XP_034122704.1|DGUA	LOC6627164|XP_002049737.1|DVIR
OG0000021	LOC117580733|XP_034123298.1|DGUA	LOC6625700|XP_015029837.1|DVIR
OG0000021	LOC117578557|XP_034120021.1|DGUA	LOC6627019|XP_002049729.1|DVIR
OG0000021	LOC117590869|XP_034139782.1|DGUA	LOC6636003|XP_002059503.1|DVIR
OG0000021	LOC117585696|XP_034131203.1|DGUA	LOC6629522|XP_002053324.1|DVIR
OG0000021	LOC117582802|XP_034126721.1|DGUA	LOC6629847|XP_002054468.1|DVIR
OG0000022	LOC117585826|XP_034131453.1|DGUA	LOC116651090|XP_032292738.1|DVIR, LOC6625962|XP_002049593.1|DVIR
OG0000022	LOC117587285|XP_034133763.1|DGUA, LOC117587287|XP_034133765.1|DGUA, LOC117587288|XP_034133766.1|DGUA, LOC117587289|XP_034133767.1|DGUA, LOC117587281|XP_034133758.1|DGUA	LOC6622522|XP_002046428.1|DVIR, LOC116650757|XP_032291322.1|DVIR, LOC6622078|XP_002046433.1|DVIR, LOC116650071|XP_032289312.1|DVIR, LOC6622546|XP_002046431.1|DVIR
OG0000022	LOC117587284|XP_034133762.1|DGUA, LOC117587282|XP_034133759.1|DGUA	LOC116650066|XP_032289307.1|DVIR, LOC6622553|XP_002046434.2|DVIR
OG0000023	LOC117586396|XP_034132318.1|DGUA	LOC6632666|XP_032289605.1|DVIR
OG0000023	LOC117586009|XP_034131729.1|DGUA	LOC6632668|XP_002056437.2|DVIR
OG0000023	LOC117586008|XP_034131728.1|DGUA	LOC6632669|XP_002056438.1|DVIR
OG0000023	LOC117591288|XP_034140381.1|DGUA	LOC6626291|XP_002050067.1|DVIR
OG0000023	LOC117586007|XP_034131727.1|DGUA	LOC6632665|XP_002056434.1|DVIR, LOC6632664|XP_002056433.1|DVIR
OG0000023	LOC117586005|XP_034131725.1|DGUA	LOC6632533|XP_002056431.1|DVIR
OG0000023	LOC117586006|XP_034131726.1|DGUA	LOC6632529|XP_002056427.2|DVIR
OG0000023	LOC117586004|XP_034131723.1|DGUA	LOC6632531|XP_002056429.1|DVIR
OG0000023	LOC117586277|XP_034132120.1|DGUA	LOC6632528|XP_032289545.1|DVIR
OG0000024	LOC117580035|XP_034122157.1|DGUA, LOC117590346|XP_034138754.1|DGUA, LOC117580026|XP_034122146.1|DGUA	LOC6625432|XP_002049269.3|DVIR, LOC6625433|XP_015029714.1|DVIR, LOC6625430|XP_002049267.1|DVIR, LOC6625436|XP_002049273.1|DVIR, LOC6625435|XP_002049272.1|DVIR, LOC6625434|XP_002049271.1|DVIR
OG0000024	LOC117580040|XP_034122171.1|DGUA	LOC6625431|XP_002049268.3|DVIR
OG0000024	LOC117591149|XP_034140151.1|DGUA	LOC6634081|XP_002057902.1|DVIR
OG0000024	LOC117578502|XP_034119928.1|DGUA	LOC6625429|XP_002049266.1|DVIR
OG0000024	LOC117592048|XP_034141425.1|DGUA	LOC6625162|XP_002048929.1|DVIR
OG0000025	LOC117590412|XP_034138901.1|DGUA	LOC6635606|XP_002058949.1|DVIR
OG0000025	LOC117591718|XP_034140929.1|DGUA, LOC117591670|XP_034140884.1|DGUA	LOC6637233|XP_002060537.1|DVIR
OG0000026	LOC117588644|XP_034135968.1|DGUA	LOC6631803|XP_002055737.1|DVIR
OG0000026	LOC117588100|XP_034135061.1|DGUA	LOC6628165|XP_002051461.1|DVIR
OG0000026	LOC117589578|XP_034137528.1|DGUA	LOC6635194|XP_002058469.1|DVIR
OG0000027	LOC117581694|XP_034124962.1|DGUA	LOC6629148|XP_002052895.1|DVIR
OG0000027	LOC117581693|XP_034124961.1|DGUA	LOC6627465|XP_002052896.1|DVIR
OG0000028	LOC117579894|XP_034121922.1|DGUA, LOC117579895|XP_034121923.1|DGUA, LOC117579891|XP_034121917.1|DGUA, LOC117579890|XP_034121916.1|DGUA	LOC6622578|XP_032291308.1|DVIR, LOC116650753|XP_032291253.1|DVIR, LOC6622591|XP_032290503.1|DVIR
OG0000028	LOC117579887|XP_034121914.1|DGUA	LOC6622560|XP_032290501.1|DVIR, LOC6622574|XP_002047517.1|DVIR
OG0000029	LOC117589682|XP_034137727.1|DGUA	LOC6625353|XP_002050320.1|DVIR, LOC6625686|XP_002050319.2|DVIR
OG0000029	LOC117579424|XP_034121195.1|DGUA	LOC6624236|XP_002048359.1|DVIR
OG0000030	LOC117584551|XP_034129394.1|DGUA	LOC6628998|XP_002052101.1|DVIR
OG0000030	LOC117580408|XP_034122850.1|DGUA	LOC6627051|XP_002050832.1|DVIR, LOC6626964|XP_002050828.1|DVIR, LOC6626963|XP_002050827.1|DVIR
OG0000030	LOC117580802|XP_034123393.1|DGUA	LOC6633403|XP_002057213.1|DVIR
OG0000030	LOC117581439|XP_034124532.1|DGUA	LOC6632190|XP_002055645.1|DVIR
OG0000031	LOC117584126|XP_034128769.1|DGUA	LOC6634268|XP_002057550.2|DVIR
OG0000031	LOC117584798|XP_034129808.1|DGUA	LOC6629125|XP_002052391.1|DVIR
