Orthogroup	DGUA.longest_only	DEUG.longest_only
OG0000000	LOC117583189|XP_034127284.1|DGUA	LOC108108372|XP_017071909.1|DEUG, LOC108108373|XP_017071910.1|DEUG
OG0000000	LOC117583148|XP_034127229.1|DGUA	LOC108108401|XP_017071943.1|DEUG, LOC108108403|XP_017071945.1|DEUG
OG0000000	LOC117588815|XP_034136215.1|DGUA	LOC108112762|XP_017078510.1|DEUG
OG0000000	LOC117589025|XP_034136545.1|DGUA	LOC108113889|XP_017080083.1|DEUG
OG0000000	LOC117588940|XP_034136409.1|DGUA	LOC108114140|XP_017080412.1|DEUG, LOC108113888|XP_017080082.1|DEUG, LOC108114141|XP_017080413.1|DEUG, LOC108113886|XP_017080081.1|DEUG
OG0000000	LOC117592532|XP_034142283.1|DGUA	LOC108107246|XP_017070153.1|DEUG
OG0000000	LOC117583198|XP_034127292.1|DGUA	LOC108104212|XP_017065644.1|DEUG
OG0000000	LOC117583197|XP_034127291.1|DGUA, LOC117583196|XP_034127290.1|DGUA	LOC108104211|XP_017065643.1|DEUG, LOC108104210|XP_017065642.1|DEUG
OG0000000	LOC117583318|XP_034127468.1|DGUA	LOC108115565|XP_017082560.1|DEUG
OG0000000	LOC117582218|XP_034125717.1|DGUA	LOC108103054|XP_017063857.1|DEUG
OG0000000	LOC117592359|XP_034141946.1|DGUA	LOC108111926|XP_017077057.1|DEUG, LOC108111923|XP_017077054.1|DEUG, LOC108107194|XP_017070099.1|DEUG, LOC108107195|XP_017070100.1|DEUG, LOC108105763|XP_017067972.1|DEUG
OG0000000	LOC117589701|XP_034137755.1|DGUA	LOC108115960|XP_017083085.1|DEUG
OG0000000	LOC117592344|XP_034141927.1|DGUA	LOC108108505|XP_017072063.1|DEUG, LOC108104271|XP_017065711.1|DEUG, LOC108104244|XP_017065683.1|DEUG, LOC108104247|XP_017065685.1|DEUG, LOC108104242|XP_017065681.1|DEUG, LOC108104250|XP_017065688.1|DEUG, LOC108116803|XP_017084340.1|DEUG, LOC108104248|XP_017065686.1|DEUG, LOC108104270|XP_017065710.1|DEUG, LOC108104269|XP_017065708.1|DEUG, LOC108104243|XP_017065682.1|DEUG, LOC108104241|XP_017065680.1|DEUG, LOC108104245|XP_017065684.1|DEUG
OG0000002	LOC117579099|XP_034120716.1|DGUA	LOC108112852|XP_017078659.1|DEUG
OG0000002	LOC117579108|XP_034120728.1|DGUA	LOC108112853|XP_017078660.1|DEUG
OG0000002	LOC117584002|XP_034128622.1|DGUA	LOC108113287|XP_017079326.1|DEUG
OG0000003	LOC117592331|XP_034141917.1|DGUA	LOC108106604|XP_017069284.1|DEUG, LOC108106709|XP_017069429.1|DEUG
OG0000003	LOC117592350|XP_034141940.1|DGUA	LOC108115764|XP_017082821.1|DEUG, LOC108106222|XP_017068637.1|DEUG, LOC108106223|XP_017068638.1|DEUG
OG0000003	LOC117578447|XP_034119862.1|DGUA	LOC108106562|XP_017069219.1|DEUG
OG0000003	LOC117583299|XP_034127435.1|DGUA	LOC108106678|XP_017069398.1|DEUG
OG0000003	LOC117592340|XP_034141928.1|DGUA	LOC108106603|XP_017069283.1|DEUG, LOC108106677|XP_017069397.1|DEUG, LOC108108144|XP_017071563.1|DEUG, LOC108106710|XP_017069431.1|DEUG, LOC108106602|XP_017069282.1|DEUG
OG0000003	LOC117583309|XP_034127448.1|DGUA	LOC108106224|XP_017068639.1|DEUG
