Orthogroup	DGUA.longest_only	DPER.longest_only
OG0000000	LOC117592188|XP_034141680.1|DGUA	LOC6592191|XP_002017761.2|DPER, LOC6603460|XP_002028440.1|DPER, LOC6603459|XP_026842774.1|DPER
OG0000000	LOC117583189|XP_034127284.1|DGUA	LOC113564914|XP_026840098.1|DPER, LOC6598749|XP_026840097.1|DPER, LOC6598747|XP_026840096.1|DPER, LOC113567337|XP_026850608.1|DPER, LOC6598748|XP_002023814.2|DPER
OG0000000	LOC117583148|XP_034127229.1|DGUA	LOC6598745|XP_026840088.1|DPER
OG0000000	LOC117588815|XP_034136215.1|DGUA	LOC6603462|XP_002028442.1|DPER
OG0000000	LOC117589025|XP_034136545.1|DGUA	LOC6599796|XP_002024966.2|DPER
OG0000000	LOC117592532|XP_034142283.1|DGUA	LOC6592293|XP_002018412.1|DPER
OG0000000	LOC117583198|XP_034127292.1|DGUA	LOC6594749|XP_026851250.1|DPER
OG0000000	LOC117578480|XP_034119907.1|DGUA	LOC6589576|XP_026844127.1|DPER
OG0000000	LOC117583318|XP_034127468.1|DGUA	LOC6588283|XP_026842223.1|DPER
OG0000000	LOC117582218|XP_034125717.1|DGUA	LOC113565649|XP_026844091.1|DPER
OG0000000	LOC117592522|XP_034142264.1|DGUA	LOC6592855|XP_026840797.1|DPER
OG0000000	LOC117592359|XP_034141946.1|DGUA	LOC113565213|XP_026842527.1|DPER, LOC6601308|XP_026842517.1|DPER, LOC6601309|XP_002026347.2|DPER, LOC6595014|XP_026839995.1|DPER
OG0000000	LOC117589701|XP_034137755.1|DGUA	LOC6587480|XP_002013644.2|DPER
OG0000000	LOC117585205|XP_034130473.1|DGUA	LOC113564894|XP_026839940.1|DPER, LOC113564893|XP_026839937.1|DPER, LOC113564896|XP_026839945.1|DPER, LOC113564892|XP_026839936.1|DPER, LOC113564891|XP_026839935.1|DPER, LOC6595239|XP_026839947.1|DPER
OG0000000	LOC117585431|XP_034130796.1|DGUA	LOC6591953|XP_026851182.1|DPER, LOC6592013|XP_002017508.2|DPER
OG0000000	LOC117592344|XP_034141927.1|DGUA	LOC6591788|XP_002017388.2|DPER, LOC6588090|XP_026840194.1|DPER, LOC113564923|XP_026840189.1|DPER, LOC113567447|XP_026851145.1|DPER, LOC113564924|XP_026840190.1|DPER, LOC6587947|XP_026840188.1|DPER, LOC6588042|XP_002012846.2|DPER, LOC6592618|XP_002018494.2|DPER, LOC113564925|XP_026840193.1|DPER, LOC6587712|XP_002012839.2|DPER, LOC6588022|XP_026840192.1|DPER, LOC113566937|XP_026849986.1|DPER, LOC113567058|XP_026850069.1|DPER, LOC6591954|XP_002017498.2|DPER, LOC6591955|XP_026851194.1|DPER
OG0000000	LOC117583154|XP_034127239.1|DGUA	LOC6598646|XP_026840107.1|DPER
OG0000002	LOC117579099|XP_034120716.1|DGUA	LOC6601614|XP_002026650.2|DPER
OG0000002	LOC117579108|XP_034120728.1|DGUA	LOC6601615|XP_026841465.1|DPER
OG0000002	LOC117584002|XP_034128622.1|DGUA	LOC6596381|XP_002021534.2|DPER
OG0000002	LOC117581706|XP_034124975.1|DGUA, LOC117582230|XP_034125732.1|DGUA, LOC117584049|XP_034128680.1|DGUA	LOC6589514|XP_002015188.2|DPER
OG0000002	LOC117587987|XP_034134884.1|DGUA	LOC6593573|XP_002019253.2|DPER
OG0000003	LOC117592331|XP_034141917.1|DGUA	LOC6591231|XP_002016677.1|DPER
OG0000003	LOC117592350|XP_034141940.1|DGUA	LOC6590819|XP_026841177.1|DPER
OG0000003	LOC117578447|XP_034119862.1|DGUA	LOC6590049|XP_002015522.1|DPER
