Orthogroup	DGUA.longest_only	DSUP.longest_only
OG0000000	LOC117592188|XP_034141680.1|DGUA	LOC119551980|XP_037717623.1|DSUP
OG0000000	LOC117583189|XP_034127284.1|DGUA	LOC119560985|XP_037730690.1|DSUP
OG0000000	LOC117588815|XP_034136215.1|DGUA	LOC119551998|XP_037717650.1|DSUP
OG0000000	LOC117589025|XP_034136545.1|DGUA	LOC119555358|XP_037722624.1|DSUP
OG0000000	LOC117588940|XP_034136409.1|DGUA	LOC119555355|XP_037722621.1|DSUP, LOC119555357|XP_037722623.1|DSUP, LOC119552809|XP_037718575.1|DSUP
OG0000000	LOC117592532|XP_034142283.1|DGUA	LOC119549854|XP_037714077.1|DSUP
OG0000000	LOC117583198|XP_034127292.1|DGUA	LOC119562944|XP_037732029.1|DSUP
OG0000000	LOC117583197|XP_034127291.1|DGUA, LOC117583196|XP_034127290.1|DGUA	LOC119554391|XP_037721205.1|DSUP, LOC119554400|XP_037721217.1|DSUP
OG0000000	LOC117583194|XP_034127289.1|DGUA	LOC119549570|XP_037713651.1|DSUP
OG0000000	LOC117582218|XP_034125717.1|DGUA	LOC119546339|XP_037708468.1|DSUP
OG0000000	LOC117592522|XP_034142264.1|DGUA	LOC119548570|XP_037711816.1|DSUP
OG0000000	LOC117592662|XP_034142498.1|DGUA	LOC119549506|XP_037713545.1|DSUP
OG0000000	LOC117592359|XP_034141946.1|DGUA	LOC119549505|XP_037713544.1|DSUP, LOC119551387|XP_037716639.1|DSUP, LOC119549837|XP_037714044.1|DSUP, LOC119549843|XP_037714063.1|DSUP, LOC119547549|XP_037710377.1|DSUP, LOC119549844|XP_037714064.1|DSUP
OG0000000	LOC117589701|XP_034137755.1|DGUA	LOC119563146|XP_037732330.1|DSUP
OG0000000	LOC117592344|XP_034141927.1|DGUA	LOC119555440|XP_037722739.1|DSUP, LOC119555832|XP_037723387.1|DSUP
OG0000002	LOC117579099|XP_034120716.1|DGUA	LOC119551092|XP_037716195.1|DSUP
OG0000002	LOC117579108|XP_034120728.1|DGUA	LOC119551091|XP_037716194.1|DSUP
OG0000002	LOC117578777|XP_034120374.1|DGUA	LOC119550446|XP_037715049.1|DSUP
OG0000002	LOC117584002|XP_034128622.1|DGUA	LOC119546867|XP_037709399.1|DSUP
OG0000003	LOC117592331|XP_034141917.1|DGUA	LOC119549193|XP_037712950.1|DSUP, LOC119549691|XP_037713842.1|DSUP
OG0000003	LOC117592350|XP_034141940.1|DGUA	LOC119553060|XP_037719113.1|DSUP, LOC119549692|XP_037713843.1|DSUP
OG0000003	LOC117578447|XP_034119862.1|DGUA	LOC119548975|XP_037712493.1|DSUP
OG0000003	LOC117583299|XP_034127435.1|DGUA	LOC119549751|XP_037713922.1|DSUP, LOC119549192|XP_037712949.1|DSUP, LOC119549585|XP_037713671.1|DSUP
OG0000003	LOC117592340|XP_034141928.1|DGUA	LOC119549194|XP_037712951.1|DSUP, LOC119550953|XP_037715907.1|DSUP
OG0000003	LOC117583309|XP_034127448.1|DGUA	LOC119549586|XP_037713672.1|DSUP
OG0000003	LOC117583990|XP_034128606.1|DGUA	LOC119551761|XP_037717216.1|DSUP
OG0000003	LOC117583987|XP_034128590.1|DGUA	LOC119551759|XP_037717214.1|DSUP, LOC119551760|XP_037717215.1|DSUP
OG0000003	LOC117587981|XP_034134880.1|DGUA	LOC119546510|XP_037708761.1|DSUP
OG0000004	LOC117591774|XP_034140974.1|DGUA	LOC119561504|XP_037731082.1|DSUP, LOC119546078|XP_037708083.1|DSUP
OG0000004	LOC117581358|XP_034124381.1|DGUA	LOC119559238|XP_037728236.1|DSUP, LOC119561506|XP_037731085.1|DSUP
OG0000005	LOC117591790|XP_034140985.1|DGUA	LOC119559217|XP_037728216.1|DSUP, LOC119559243|XP_037728242.1|DSUP, LOC119559230|XP_037728229.1|DSUP, LOC119559236|XP_037728234.1|DSUP, LOC119559223|XP_037728222.1|DSUP, LOC119559229|XP_037728228.1|DSUP, LOC119559222|XP_037728221.1|DSUP
OG0000006	LOC117591658|XP_034140872.1|DGUA	LOC119559189|XP_037728178.1|DSUP, LOC119559257|XP_037728256.1|DSUP
OG0000006	LOC117591672|XP_034140886.1|DGUA	LOC119559184|XP_037728173.1|DSUP
OG0000006	LOC117591645|XP_034140861.1|DGUA	LOC119559185|XP_037728174.1|DSUP, LOC119559256|XP_037728254.1|DSUP, LOC119548247|XP_037711316.1|DSUP, LOC119559259|XP_037728258.1|DSUP, LOC119547943|XP_037710919.1|DSUP
OG0000007	LOC117587429|XP_034133994.1|DGUA	LOC119554492|XP_037721353.1|DSUP
OG0000007	LOC117587428|XP_034133991.1|DGUA	LOC119554489|XP_037721348.1|DSUP
OG0000007	LOC117584024|XP_034128652.1|DGUA	LOC119546692|XP_037709098.1|DSUP
OG0000007	LOC117592308|XP_034141873.1|DGUA	LOC119550735|XP_037715578.1|DSUP
OG0000007	LOC117584026|XP_034128654.1|DGUA	LOC119546891|XP_037709439.1|DSUP
OG0000007	LOC117587067|XP_034133401.1|DGUA	LOC119553445|XP_037719763.1|DSUP
OG0000007	LOC117584025|XP_034128653.1|DGUA	LOC119546800|XP_037709305.1|DSUP, LOC119547162|XP_037709816.1|DSUP, LOC119546829|XP_037709347.1|DSUP
OG0000007	LOC117587431|XP_034133998.1|DGUA	LOC119554496|XP_037721356.1|DSUP
OG0000008	LOC117586140|XP_034131924.1|DGUA	LOC119559922|XP_037729053.1|DSUP
OG0000008	LOC117579398|XP_034121168.1|DGUA	LOC119554295|XP_037721083.1|DSUP
OG0000008	LOC117579397|XP_034121167.1|DGUA	LOC119554293|XP_037721080.1|DSUP
OG0000008	LOC117581836|XP_034125174.1|DGUA	LOC119546547|XP_037708827.1|DSUP
OG0000008	LOC117579400|XP_034121171.1|DGUA	LOC119554296|XP_037721084.1|DSUP
OG0000008	LOC117586224|XP_034132052.1|DGUA, LOC117586223|XP_034132051.1|DGUA	LOC119560392|XP_037729748.1|DSUP, LOC119560143|XP_037729425.1|DSUP
