Orthogroup	DGUA.longest_only	DERE.longest_only
OG0000000	LOC117592188|XP_034141680.1|DGUA	LOC6555364|XP_026831619.1|DERE
OG0000000	LOC117583189|XP_034127284.1|DGUA	LOC6552159|XP_001980711.1|DERE
OG0000000	LOC117589025|XP_034136545.1|DGUA	LOC6544810|XP_026832924.1|DERE
OG0000000	LOC117588940|XP_034136409.1|DGUA	LOC6544812|XP_001973191.2|DERE
OG0000000	LOC117592532|XP_034142283.1|DGUA	LOC6548572|XP_026836220.1|DERE
OG0000000	LOC117583197|XP_034127291.1|DGUA, LOC117583196|XP_034127290.1|DGUA	LOC6554924|XP_001981129.1|DERE, LOC26526170|XP_015009367.1|DERE, LOC26526272|XP_015009372.1|DERE
OG0000000	LOC117583194|XP_034127289.1|DGUA	LOC6548870|XP_001975456.3|DERE
OG0000000	LOC117583318|XP_034127468.1|DGUA	LOC26526690|XP_015009401.1|DERE
OG0000000	LOC117582218|XP_034125717.1|DGUA	LOC6549399|XP_001974447.1|DERE
OG0000000	LOC117592359|XP_034141946.1|DGUA	LOC6548101|XP_026836632.1|DERE, LOC6548067|XP_026836488.1|DERE, LOC6548068|XP_026836489.1|DERE, LOC6548100|XP_026836607.1|DERE, LOC26526996|XP_026836515.1|DERE, LOC6548099|XP_001976605.1|DERE
OG0000000	LOC117589701|XP_034137755.1|DGUA	LOC26526070|XP_026831673.1|DERE
OG0000002	LOC117579099|XP_034120716.1|DGUA	LOC6548172|XP_001975155.3|DERE
OG0000002	LOC117579108|XP_034120728.1|DGUA	LOC6548171|XP_001975154.2|DERE
OG0000002	LOC117581706|XP_034124975.1|DGUA, LOC117582230|XP_034125732.1|DGUA, LOC117584049|XP_034128680.1|DGUA, LOC117587987|XP_034134884.1|DGUA	LOC6543212|XP_026834323.1|DERE
OG0000003	LOC117592331|XP_034141917.1|DGUA	LOC6549103|XP_001975568.1|DERE, LOC6548983|XP_001975566.1|DERE
OG0000003	LOC117592350|XP_034141940.1|DGUA	LOC6554587|XP_001981543.2|DERE, LOC6548982|XP_001975565.1|DERE
OG0000003	LOC117578447|XP_034119862.1|DGUA	LOC6541170|XP_001970725.1|DERE
OG0000003	LOC117583299|XP_034127435.1|DGUA	LOC26526619|XP_015012824.1|DERE, LOC6549104|XP_001975569.3|DERE
OG0000003	LOC117592340|XP_034141928.1|DGUA	LOC6549102|XP_001975567.1|DERE
OG0000003	LOC117583309|XP_034127448.1|DGUA	LOC6549105|XP_001975570.1|DERE
OG0000003	LOC117583990|XP_034128606.1|DGUA	LOC6541262|XP_001970448.1|DERE
OG0000003	LOC117583987|XP_034128590.1|DGUA	LOC6543237|XP_001970449.1|DERE
OG0000003	LOC117587981|XP_034134880.1|DGUA	LOC6543184|XP_001968830.1|DERE
OG0000006	LOC117591658|XP_034140872.1|DGUA	LOC6548706|XP_026839400.1|DERE, LOC113564766|XP_026839401.1|DERE, LOC6548669|XP_001974020.1|DERE
OG0000006	LOC117591645|XP_034140861.1|DGUA	LOC6548691|XP_001974010.1|DERE
OG0000007	LOC117587429|XP_034133994.1|DGUA	LOC6545298|XP_001972056.1|DERE
OG0000007	LOC117587428|XP_034133991.1|DGUA	LOC6545299|XP_001972057.1|DERE
OG0000007	LOC117584024|XP_034128652.1|DGUA	LOC6540938|XP_001968734.1|DERE
OG0000007	LOC117583201|XP_034127296.1|DGUA	LOC6555344|XP_001981194.1|DERE, LOC6555345|XP_001981195.1|DERE
OG0000007	LOC117584026|XP_034128654.1|DGUA	LOC6540876|XP_001968735.1|DERE
OG0000007	LOC117587067|XP_034133401.1|DGUA	LOC6545660|XP_001971664.1|DERE
OG0000007	LOC117584025|XP_034128653.1|DGUA	LOC6540935|XP_001968733.1|DERE
OG0000007	LOC117587430|XP_034133997.1|DGUA	LOC6545300|XP_001972058.2|DERE
OG0000007	LOC117587431|XP_034133998.1|DGUA	LOC6545301|XP_001972059.1|DERE
OG0000008	LOC117586140|XP_034131924.1|DGUA	LOC6553905|XP_001979522.1|DERE
OG0000008	LOC117579398|XP_034121168.1|DGUA	LOC6543716|XP_001971859.1|DERE
OG0000008	LOC117579397|XP_034121167.1|DGUA	LOC6543719|XP_001971862.1|DERE
OG0000008	LOC117581836|XP_034125174.1|DGUA	LOC6541660|XP_001969797.3|DERE
OG0000008	LOC117579400|XP_034121171.1|DGUA	LOC6543717|XP_001971860.3|DERE
OG0000008	LOC117586224|XP_034132052.1|DGUA, LOC117586223|XP_034132051.1|DGUA	LOC6553020|XP_001979111.1|DERE, LOC6553021|XP_001979112.1|DERE
OG0000008	LOC117586165|XP_034131957.1|DGUA	LOC6553016|XP_001979107.1|DERE
OG0000008	LOC117586221|XP_034132048.1|DGUA	LOC6553019|XP_001979110.3|DERE
OG0000008	LOC117586120|XP_034131875.1|DGUA	LOC6553017|XP_001979108.1|DERE
OG0000008	LOC117586582|XP_034132641.1|DGUA	LOC6553015|XP_001979106.1|DERE
OG0000009	LOC117586341|XP_034132234.1|DGUA	LOC6554105|XP_001979501.1|DERE
OG0000009	LOC117586454|XP_034132388.1|DGUA	LOC6554107|XP_001979503.1|DERE
OG0000009	LOC117586340|XP_034132233.1|DGUA, LOC117585972|XP_034131672.1|DGUA	LOC6554108|XP_001979504.1|DERE, LOC6554106|XP_001979502.1|DERE
OG0000009	LOC117587230|XP_034133688.1|DGUA	LOC6548094|XP_001976600.1|DERE
OG0000009	LOC117586357|XP_034132268.1|DGUA	LOC6553884|XP_001980458.1|DERE
