Orthogroup	DGUA.longest_only	DSIM.longest_only
OG0000000	LOC117592188|XP_034141680.1|DGUA	LOC27208741|XP_016036703.2|DSIM
OG0000000	LOC117583189|XP_034127284.1|DGUA	LOC6728685|XP_002104021.1|DSIM, LOC6728686|XP_016035358.1|DSIM
OG0000000	LOC117588815|XP_034136215.1|DGUA	LOC6734183|XP_002081212.2|DSIM
OG0000000	LOC117589025|XP_034136545.1|DGUA	LOC6738254|XP_039150029.1|DSIM
OG0000000	LOC117588940|XP_034136409.1|DGUA	LOC6738255|XP_016032135.1|DSIM, LOC6738256|XP_002085068.1|DSIM
OG0000000	LOC117592532|XP_034142283.1|DGUA	LOC6736137|XP_002083037.1|DSIM
OG0000000	LOC117583197|XP_034127291.1|DGUA, LOC117583196|XP_034127290.1|DGUA	LOC6730293|XP_039151545.1|DSIM
OG0000000	LOC117583194|XP_034127289.1|DGUA	LOC6734670|XP_039148016.1|DSIM
OG0000000	LOC117583318|XP_034127468.1|DGUA	LOC6729069|XP_016035716.1|DSIM
OG0000000	LOC117582218|XP_034125717.1|DGUA	LOC6732608|XP_002079727.1|DSIM
OG0000000	LOC117592359|XP_034141946.1|DGUA	LOC6735228|XP_002082201.1|DSIM, LOC6736069|XP_002082970.1|DSIM, LOC6736068|XP_002082969.1|DSIM, LOC6736070|XP_039148852.1|DSIM
OG0000000	LOC117589701|XP_034137755.1|DGUA	LOC6729989|XP_002105283.1|DSIM
OG0000000	LOC117592344|XP_034141927.1|DGUA	LOC6737828|XP_002084656.1|DSIM
OG0000002	LOC117579099|XP_034120716.1|DGUA	LOC6735666|XP_002082584.2|DSIM
OG0000002	LOC117579108|XP_034120728.1|DGUA	LOC6735665|XP_002082583.2|DSIM
OG0000002	LOC117581706|XP_034124975.1|DGUA, LOC117582230|XP_034125732.1|DGUA, LOC117584049|XP_034128680.1|DGUA, LOC117587987|XP_034134884.1|DGUA	LOC6731201|XP_002078360.1|DSIM
OG0000003	LOC117592331|XP_034141917.1|DGUA	LOC6734558|XP_002081567.1|DSIM, LOC6734560|XP_016027665.1|DSIM
OG0000003	LOC117592350|XP_034141940.1|DGUA	LOC6729847|XP_016036585.1|DSIM, LOC6734561|XP_002081570.1|DSIM
