Orthogroup	DGUA.longest_only	DNOV.longest_only
OG0000000	LOC117592188|XP_034141680.1|DGUA	LOC115758064|XP_030554438.1|DNOV
OG0000000	LOC117588815|XP_034136215.1|DGUA	LOC115760506|XP_030557727.1|DNOV
OG0000000	LOC117588940|XP_034136409.1|DGUA	LOC115762880|XP_030561115.1|DNOV
OG0000000	LOC117592662|XP_034142498.1|DGUA, LOC117592359|XP_034141946.1|DGUA, LOC117589701|XP_034137755.1|DGUA	LOC115762369|XP_030560404.1|DNOV, LOC115762370|XP_030560405.1|DNOV
OG0000002	LOC117579099|XP_034120716.1|DGUA	LOC115759079|XP_030555811.1|DNOV
OG0000002	LOC117579108|XP_034120728.1|DGUA	LOC115762794|XP_030561011.1|DNOV
OG0000002	LOC117584002|XP_034128622.1|DGUA	LOC115766526|XP_030566353.1|DNOV, LOC115759172|XP_030555905.1|DNOV
OG0000002	LOC117581706|XP_034124975.1|DGUA, LOC117582230|XP_034125732.1|DGUA, LOC117584049|XP_034128680.1|DGUA, LOC117587987|XP_034134884.1|DGUA	LOC115759342|XP_030556121.1|DNOV
OG0000003	LOC117592331|XP_034141917.1|DGUA	LOC115771220|XP_030572684.1|DNOV, LOC115771209|XP_030572672.1|DNOV
OG0000003	LOC117583299|XP_034127435.1|DGUA	LOC115771231|XP_030572696.1|DNOV
OG0000003	LOC117583990|XP_034128606.1|DGUA	LOC115762286|XP_030560313.1|DNOV
OG0000003	LOC117583987|XP_034128590.1|DGUA	LOC115771912|XP_030573666.1|DNOV
OG0000003	LOC117587981|XP_034134880.1|DGUA	LOC115758743|XP_030555359.1|DNOV
OG0000004	LOC117591772|XP_034140973.1|DGUA, LOC117591686|XP_034140901.1|DGUA, LOC117591643|XP_034140858.1|DGUA, LOC117591660|XP_034140874.1|DGUA	LOC115761954|XP_030559853.1|DNOV, LOC115761946|XP_030559842.1|DNOV, LOC115762001|XP_030559929.1|DNOV, LOC115762002|XP_030559930.1|DNOV, LOC115761845|XP_030559687.1|DNOV, LOC115770610|XP_030571806.1|DNOV, LOC115770902|XP_030572197.1|DNOV, LOC115761947|XP_030559843.1|DNOV, LOC115770614|XP_030571810.1|DNOV, LOC115770578|XP_030571761.1|DNOV, LOC115761878|XP_030559739.1|DNOV, LOC115760068|XP_030557108.1|DNOV, LOC115759838|XP_030556792.1|DNOV
OG0000005	LOC117591507|XP_034140693.1|DGUA	LOC115770818|XP_030572100.1|DNOV
OG0000005	LOC117581361|XP_034124384.1|DGUA	LOC115761952|XP_030559851.1|DNOV
OG0000005	LOC117591690|XP_034140904.1|DGUA	LOC115770817|XP_030572099.1|DNOV
