Orthogroup	DGUA.longest_only	AALB.longest_only
OG0000002	LOC117581706|XP_034124975.1|DGUA, LOC117582230|XP_034125732.1|DGUA, LOC117584049|XP_034128680.1|DGUA, LOC117587987|XP_034134884.1|DGUA	LOC118464239|XP_035787322.1|AALB, LOC118464498|XP_035787822.1|AALB, LOC118464237|XP_035787319.1|AALB, LOC118464238|XP_035787321.1|AALB, LOC118464651|XP_035788010.1|AALB, LOC118464903|XP_035788558.1|AALB, LOC118462019|XP_035783868.1|AALB
OG0000006	LOC117591658|XP_034140872.1|DGUA	LOC118465125|XP_035788959.1|AALB
OG0000006	LOC117591645|XP_034140861.1|DGUA	LOC118464039|XP_035786989.1|AALB, LOC118467848|XP_035794647.1|AALB, LOC118464042|XP_035786991.1|AALB, LOC118465084|XP_035788881.1|AALB
OG0000008	LOC117586140|XP_034131924.1|DGUA	LOC118461568|XP_035782948.1|AALB
OG0000008	LOC117579398|XP_034121168.1|DGUA	LOC118460625|XP_035780966.1|AALB, LOC118460624|XP_035780965.1|AALB, LOC118460620|XP_035780962.1|AALB, LOC118460621|XP_035780963.1|AALB, LOC118460619|XP_035780959.1|AALB
OG0000008	LOC117579397|XP_034121167.1|DGUA	LOC118460618|XP_035780957.1|AALB
OG0000008	LOC117581836|XP_034125174.1|DGUA	LOC118459424|XP_035778662.1|AALB
OG0000008	LOC117579400|XP_034121171.1|DGUA	LOC118460626|XP_035780968.1|AALB
OG0000009	LOC117586341|XP_034132234.1|DGUA, LOC117586454|XP_034132388.1|DGUA, LOC117585408|XP_034130767.1|DGUA, LOC117586340|XP_034132233.1|DGUA, LOC117585972|XP_034131672.1|DGUA, LOC117585026|XP_034130159.1|DGUA, LOC117585051|XP_034130200.1|DGUA, LOC117587230|XP_034133688.1|DGUA, LOC117586357|XP_034132268.1|DGUA, LOC117588654|XP_034135988.1|DGUA, LOC117588663|XP_034136000.1|DGUA	LOC118457984|XP_035775939.1|AALB, LOC118459109|XP_035778066.1|AALB, LOC118464365|XP_035787590.1|AALB, LOC118463211|XP_035785546.1|AALB, LOC118460748|XP_035781232.1|AALB
OG0000010	LOC117583778|XP_034128224.1|DGUA	LOC118465130|XP_035788962.1|AALB, LOC118464061|XP_035787001.1|AALB
OG0000010	LOC117591688|XP_034140902.1|DGUA	LOC118465135|XP_035788966.1|AALB
OG0000010	LOC117591679|XP_034140894.1|DGUA	LOC118464056|XP_035786995.1|AALB, LOC118464060|XP_035787000.1|AALB, LOC118464059|XP_035786999.1|AALB, LOC118465133|XP_035788965.1|AALB, LOC118465137|XP_035788967.1|AALB
OG0000012	LOC117578829|XP_034120480.1|DGUA, LOC117578830|XP_034120484.1|DGUA, LOC117578828|XP_034120477.1|DGUA, LOC117578831|XP_034120485.1|DGUA, LOC117585419|XP_034130787.1|DGUA, LOC117585430|XP_034130799.1|DGUA, LOC117585406|XP_034130769.1|DGUA, LOC117592596|XP_034142370.1|DGUA, LOC117592593|XP_034142368.1|DGUA, LOC117592595|XP_034142369.1|DGUA, LOC117592597|XP_034142371.1|DGUA, LOC117592598|XP_034142372.1|DGUA	LOC118463566|XP_035786097.1|AALB, LOC118462971|XP_035785031.1|AALB
OG0000013	LOC117592555|XP_034142321.1|DGUA	LOC118467742|XP_035794443.1|AALB
OG0000013	LOC117590521|XP_034139126.1|DGUA	LOC118460642|XP_035780995.1|AALB
OG0000013	LOC117585977|XP_034131683.1|DGUA	LOC118461072|XP_035781858.1|AALB
OG0000013	LOC117580093|XP_034122238.1|DGUA	LOC118467364|XP_035793659.1|AALB
OG0000013	LOC117585592|XP_034131028.1|DGUA, LOC117585591|XP_034131024.1|DGUA, LOC117583601|XP_034127885.1|DGUA	LOC118460879|XP_035781511.1|AALB, LOC118456300|XP_035772832.1|AALB, LOC118468925|XP_035796129.1|AALB
OG0000016	LOC117589945|XP_034138127.1|DGUA, LOC117587659|XP_034134479.1|DGUA	LOC118468980|XP_035796264.1|AALB
OG0000016	LOC117583582|XP_034127854.1|DGUA	LOC118460590|XP_035780903.1|AALB
OG0000016	LOC117581434|XP_034124497.1|DGUA	LOC118460360|XP_035780540.1|AALB
OG0000016	LOC117579173|XP_034120827.1|DGUA	LOC118464140|XP_035787136.1|AALB, LOC118463980|XP_035786885.1|AALB
OG0000018	LOC117587357|XP_034133889.1|DGUA	LOC118463128|XP_035785378.1|AALB
