Orthogroup	DGUA.longest_only	BCOP.longest_only
OG0000000	LOC117592188|XP_034141680.1|DGUA, LOC117583189|XP_034127284.1|DGUA, LOC117583148|XP_034127229.1|DGUA, LOC117588815|XP_034136215.1|DGUA, LOC117589025|XP_034136545.1|DGUA, LOC117588940|XP_034136409.1|DGUA, LOC117592532|XP_034142283.1|DGUA, LOC117583198|XP_034127292.1|DGUA, LOC117583197|XP_034127291.1|DGUA, LOC117583196|XP_034127290.1|DGUA, LOC117578480|XP_034119907.1|DGUA, LOC117583194|XP_034127289.1|DGUA, LOC117583318|XP_034127468.1|DGUA, LOC117582218|XP_034125717.1|DGUA, LOC117592522|XP_034142264.1|DGUA, LOC117592662|XP_034142498.1|DGUA, LOC117592359|XP_034141946.1|DGUA, LOC117589701|XP_034137755.1|DGUA, LOC117585206|XP_034130474.1|DGUA, LOC117585204|XP_034130472.1|DGUA, LOC117585432|XP_034130797.1|DGUA, LOC117585250|XP_034130554.1|DGUA, LOC117585205|XP_034130473.1|DGUA, LOC117585431|XP_034130796.1|DGUA, LOC117592344|XP_034141927.1|DGUA, LOC117583154|XP_034127239.1|DGUA, LOC117585429|XP_034130795.1|DGUA, LOC117586464|XP_034132421.1|DGUA	LOC119067394|XP_037026221.1|BCOP
OG0000002	LOC117587542|XP_034134239.1|DGUA	LOC119082547|XP_037047953.1|BCOP, LOC119084136|XP_037049882.1|BCOP, LOC119085280|XP_037051529.1|BCOP, LOC119085276|XP_037051525.1|BCOP, LOC119071002|XP_037031495.1|BCOP, LOC119085524|XP_037051835.1|BCOP, LOC119081710|XP_037046714.1|BCOP, LOC119081805|XP_037046930.1|BCOP, LOC119075137|XP_037037417.1|BCOP, LOC119083558|XP_037049172.1|BCOP
OG0000002	LOC117584002|XP_034128622.1|DGUA, LOC117581706|XP_034124975.1|DGUA, LOC117582230|XP_034125732.1|DGUA, LOC117584049|XP_034128680.1|DGUA, LOC117587987|XP_034134884.1|DGUA	LOC119076785|XP_037039644.1|BCOP
OG0000003	LOC117587981|XP_034134880.1|DGUA	LOC119083675|XP_037049353.1|BCOP, LOC119081620|XP_037046564.1|BCOP, LOC119076002|XP_037038470.1|BCOP, LOC119076068|XP_037038606.1|BCOP
OG0000004	LOC117591772|XP_034140973.1|DGUA, LOC117591686|XP_034140901.1|DGUA, LOC117591643|XP_034140858.1|DGUA, LOC117591660|XP_034140874.1|DGUA	LOC119077551|XP_037040656.1|BCOP, LOC119082422|XP_037047846.1|BCOP, LOC119077556|XP_037040662.1|BCOP
OG0000005	LOC117581361|XP_034124384.1|DGUA	LOC119075516|XP_037037882.1|BCOP, LOC119075101|XP_037037384.1|BCOP, LOC119075515|XP_037037881.1|BCOP, LOC119077571|XP_037040676.1|BCOP, LOC119070769|XP_037031147.1|BCOP, LOC119077548|XP_037040652.1|BCOP, LOC119078391|XP_037041788.1|BCOP, LOC119082421|XP_037047845.1|BCOP, LOC119077561|XP_037040667.1|BCOP, LOC119075104|XP_037037387.1|BCOP, LOC119078397|XP_037041795.1|BCOP, LOC119075116|XP_037037400.1|BCOP, LOC119077552|XP_037040657.1|BCOP, LOC119082429|XP_037047852.1|BCOP, LOC119075405|XP_037037743.1|BCOP
OG0000006	LOC117591658|XP_034140872.1|DGUA	LOC119070768|XP_037031146.1|BCOP, LOC119082428|XP_037047851.1|BCOP
OG0000006	LOC117591645|XP_034140861.1|DGUA	LOC119082433|XP_037047857.1|BCOP, LOC119077570|XP_037040675.1|BCOP, LOC119082424|XP_037047848.1|BCOP, LOC119077558|XP_037040664.1|BCOP, LOC119075098|XP_037037382.1|BCOP, LOC119075115|XP_037037399.1|BCOP, LOC119075400|XP_037037739.1|BCOP, LOC119075402|XP_037037741.1|BCOP, LOC119075103|XP_037037386.1|BCOP, LOC119078394|XP_037041792.1|BCOP
OG0000007	LOC117587429|XP_034133994.1|DGUA, LOC117587428|XP_034133991.1|DGUA, LOC117584024|XP_034128652.1|DGUA, LOC117592308|XP_034141873.1|DGUA, LOC117583354|XP_034127515.1|DGUA, LOC117583632|XP_034127972.1|DGUA, LOC117583285|XP_034127411.1|DGUA, LOC117583201|XP_034127296.1|DGUA, LOC117584026|XP_034128654.1|DGUA, LOC117587067|XP_034133401.1|DGUA, LOC117584025|XP_034128653.1|DGUA, LOC117587430|XP_034133997.1|DGUA, LOC117587431|XP_034133998.1|DGUA	LOC119080766|XP_037045225.1|BCOP
OG0000008	LOC117586140|XP_034131924.1|DGUA	LOC119076148|XP_037038725.1|BCOP
