Orthogroup	DGUA.longest_only	DELE.longest_only
OG0000000	LOC117592188|XP_034141680.1|DGUA	LOC108148460|XP_017130981.1|DELE
OG0000000	LOC117583189|XP_034127284.1|DGUA	LOC108135022|XP_017111043.1|DELE
OG0000000	LOC117589025|XP_034136545.1|DGUA	LOC108145339|XP_017126217.1|DELE, LOC108145638|XP_017126662.1|DELE
OG0000000	LOC117588940|XP_034136409.1|DGUA	LOC108145787|XP_017126846.1|DELE, LOC108145637|XP_017126661.1|DELE
OG0000000	LOC117592532|XP_034142283.1|DGUA	LOC108144294|XP_017124470.1|DELE
OG0000000	LOC117583197|XP_034127291.1|DGUA, LOC117583196|XP_034127290.1|DGUA	LOC108143736|XP_017123759.1|DELE
OG0000000	LOC117583194|XP_034127289.1|DGUA	LOC108141344|XP_017120143.1|DELE
OG0000000	LOC117583318|XP_034127468.1|DGUA	LOC108148604|XP_017131171.1|DELE
OG0000000	LOC117592359|XP_034141946.1|DGUA	LOC108144150|XP_017124283.1|DELE, LOC108144147|XP_017124279.1|DELE, LOC108144148|XP_017124281.1|DELE, LOC108144149|XP_017124282.1|DELE, LOC108144287|XP_017124462.1|DELE
OG0000000	LOC117589701|XP_034137755.1|DGUA	LOC108147230|XP_017129111.1|DELE
OG0000000	LOC117585432|XP_034130797.1|DGUA	LOC108135485|XP_017111717.1|DELE
OG0000000	LOC117592344|XP_034141927.1|DGUA	LOC108141030|XP_017119608.1|DELE
OG0000002	LOC117579099|XP_034120716.1|DGUA	LOC108143685|XP_017123691.1|DELE
OG0000002	LOC117579108|XP_034120728.1|DGUA	LOC108143683|XP_017123690.1|DELE
OG0000002	LOC117587542|XP_034134239.1|DGUA	LOC108138226|XP_017115837.1|DELE
OG0000002	LOC117584002|XP_034128622.1|DGUA	LOC108147831|XP_017130074.1|DELE
OG0000003	LOC117592331|XP_034141917.1|DGUA	LOC108144467|XP_017124860.1|DELE, LOC108144671|XP_017125217.1|DELE
OG0000003	LOC117592350|XP_034141940.1|DGUA	LOC108144670|XP_017125215.1|DELE
OG0000003	LOC117578447|XP_034119862.1|DGUA	LOC108145092|XP_017125773.1|DELE
OG0000003	LOC117583299|XP_034127435.1|DGUA	LOC108144466|XP_017124858.1|DELE
OG0000003	LOC117592340|XP_034141928.1|DGUA	LOC108144468|XP_017124861.1|DELE, LOC108144801|XP_017125415.1|DELE
OG0000003	LOC117583309|XP_034127448.1|DGUA	LOC108144820|XP_017125440.1|DELE
OG0000003	LOC117583990|XP_034128606.1|DGUA	LOC108145352|XP_017126230.1|DELE
OG0000003	LOC117583987|XP_034128590.1|DGUA	LOC108145367|XP_017126250.1|DELE
OG0000004	LOC117591772|XP_034140973.1|DGUA, LOC117591686|XP_034140901.1|DGUA, LOC117591643|XP_034140858.1|DGUA, LOC117591660|XP_034140874.1|DGUA	LOC108135195|XP_017111306.1|DELE, LOC108134559|XP_017110400.1|DELE
OG0000007	LOC117587429|XP_034133994.1|DGUA	LOC108142600|XP_017122060.1|DELE
OG0000007	LOC117587428|XP_034133991.1|DGUA	LOC108142393|XP_017121722.1|DELE
OG0000007	LOC117584024|XP_034128652.1|DGUA	LOC108138840|XP_017116840.1|DELE, LOC108138841|XP_017116841.1|DELE
OG0000007	LOC117583201|XP_034127296.1|DGUA	LOC108148444|XP_017130968.1|DELE
OG0000007	LOC117584026|XP_034128654.1|DGUA	LOC108138842|XP_017116842.1|DELE
OG0000007	LOC117584025|XP_034128653.1|DGUA	LOC108138843|XP_017116844.1|DELE, LOC108138844|XP_017116845.1|DELE
OG0000007	LOC117587430|XP_034133997.1|DGUA	LOC108142395|XP_017121724.1|DELE
OG0000007	LOC117587431|XP_034133998.1|DGUA	LOC108142396|XP_017121725.1|DELE
OG0000008	LOC117586140|XP_034131924.1|DGUA	LOC108149642|XP_017132905.1|DELE
OG0000008	LOC117579398|XP_034121168.1|DGUA	LOC108145869|XP_017126996.1|DELE
OG0000008	LOC117579397|XP_034121167.1|DGUA	LOC108145867|XP_017126995.1|DELE
OG0000008	LOC117581836|XP_034125174.1|DGUA	LOC108138029|XP_017115491.1|DELE
OG0000008	LOC117579400|XP_034121171.1|DGUA	LOC108145871|XP_017126998.1|DELE
OG0000008	LOC117586224|XP_034132052.1|DGUA, LOC117586223|XP_034132051.1|DGUA	LOC108148320|XP_017130800.1|DELE, LOC108148319|XP_017130799.1|DELE
