Orthogroup	DGUA.longest_only	DSAN.longest_only
OG0000000	LOC117592188|XP_034141680.1|DGUA	LOC120454272|XP_039495370.1|DSAN
OG0000000	LOC117583189|XP_034127284.1|DGUA	LOC120454013|XP_039494937.1|DSAN
OG0000000	LOC117588815|XP_034136215.1|DGUA	LOC120444836|XP_039480727.1|DSAN
OG0000000	LOC117589025|XP_034136545.1|DGUA	LOC120447883|XP_039485428.1|DSAN
OG0000000	LOC117588940|XP_034136409.1|DGUA	LOC120447820|XP_039485331.1|DSAN, LOC120447882|XP_039485427.1|DSAN
OG0000000	LOC117592532|XP_034142283.1|DGUA	LOC120444952|XP_039480891.1|DSAN
OG0000000	LOC117583197|XP_034127291.1|DGUA, LOC117583196|XP_034127290.1|DGUA	LOC120453329|XP_039493924.1|DSAN
OG0000000	LOC117583194|XP_034127289.1|DGUA	LOC120444898|XP_039480821.1|DSAN
OG0000000	LOC117583318|XP_034127468.1|DGUA	LOC120453013|XP_039493463.1|DSAN
OG0000000	LOC117582218|XP_034125717.1|DGUA	LOC120444807|XP_039480688.1|DSAN
OG0000000	LOC117592359|XP_034141946.1|DGUA	LOC120446643|XP_039483646.1|DSAN, LOC120444947|XP_039480886.1|DSAN, LOC120444948|XP_039480887.1|DSAN, LOC120444942|XP_039480879.1|DSAN, LOC120444949|XP_039480888.1|DSAN
OG0000000	LOC117589701|XP_034137755.1|DGUA	LOC120454169|XP_039495171.1|DSAN
OG0000000	LOC117592344|XP_034141927.1|DGUA	LOC120448603|XP_039486639.1|DSAN
OG0000002	LOC117579099|XP_034120716.1|DGUA	LOC120444309|XP_039479784.1|DSAN
OG0000002	LOC117579108|XP_034120728.1|DGUA	LOC120444310|XP_039479789.1|DSAN
OG0000002	LOC117581706|XP_034124975.1|DGUA, LOC117582230|XP_034125732.1|DGUA, LOC117584049|XP_034128680.1|DGUA, LOC117587987|XP_034134884.1|DGUA	LOC120443706|XP_039478879.1|DSAN
OG0000003	LOC117592331|XP_034141917.1|DGUA	LOC120446974|XP_039484179.1|DSAN, LOC120446687|XP_039483714.1|DSAN
OG0000003	LOC117592350|XP_034141940.1|DGUA	LOC120452715|XP_039493011.1|DSAN, LOC120446686|XP_039483713.1|DSAN
OG0000003	LOC117578447|XP_034119862.1|DGUA	LOC120451297|XP_039490798.1|DSAN, LOC120458649|XP_039502315.1|DSAN
OG0000003	LOC117583299|XP_034127435.1|DGUA	LOC120446973|XP_039484178.1|DSAN, LOC120446976|XP_039484181.1|DSAN
OG0000003	LOC117592340|XP_034141928.1|DGUA	LOC120446975|XP_039484180.1|DSAN, LOC120446688|XP_039483715.1|DSAN
OG0000003	LOC117583309|XP_034127448.1|DGUA	LOC120446977|XP_039484182.1|DSAN
OG0000003	LOC117583990|XP_034128606.1|DGUA	LOC120458379|XP_039501933.1|DSAN
OG0000003	LOC117583987|XP_034128590.1|DGUA	LOC120458377|XP_039501931.1|DSAN, LOC120458378|XP_039501932.1|DSAN
OG0000003	LOC117587981|XP_034134880.1|DGUA	LOC120458775|XP_039502488.1|DSAN
OG0000005	LOC117581361|XP_034124384.1|DGUA	LOC120457958|XP_039501397.1|DSAN, LOC120457959|XP_039501398.1|DSAN
OG0000006	LOC117591658|XP_034140872.1|DGUA	LOC120457930|XP_039501368.1|DSAN, LOC120457681|XP_039501104.1|DSAN, LOC120457931|XP_039501371.1|DSAN
OG0000006	LOC117591672|XP_034140886.1|DGUA	LOC120457935|XP_039501376.1|DSAN
OG0000006	LOC117591645|XP_034140861.1|DGUA	LOC120457940|XP_039501381.1|DSAN, LOC120446201|XP_039482984.1|DSAN, LOC120457933|XP_039501373.1|DSAN, LOC120457937|XP_039501378.1|DSAN, LOC120457936|XP_039501377.1|DSAN, LOC120457670|XP_039501096.1|DSAN
OG0000007	LOC117587429|XP_034133994.1|DGUA	LOC120449593|XP_039488092.1|DSAN
OG0000007	LOC117587428|XP_034133991.1|DGUA	LOC120449309|XP_039487635.1|DSAN
OG0000007	LOC117584024|XP_034128652.1|DGUA	LOC120458533|XP_039502144.1|DSAN
OG0000007	LOC117592308|XP_034141873.1|DGUA	LOC120455948|XP_039498425.1|DSAN
OG0000007	LOC117584026|XP_034128654.1|DGUA	LOC120458508|XP_039502112.1|DSAN
OG0000007	LOC117587067|XP_034133401.1|DGUA	LOC120448331|XP_039486219.1|DSAN
OG0000007	LOC117584025|XP_034128653.1|DGUA	LOC120450012|XP_039488670.1|DSAN
OG0000007	LOC117587430|XP_034133997.1|DGUA	LOC120449828|XP_039488411.1|DSAN
OG0000007	LOC117587431|XP_034133998.1|DGUA	LOC120449911|XP_039488536.1|DSAN
OG0000008	LOC117586140|XP_034131924.1|DGUA	LOC120451092|XP_039490416.1|DSAN
OG0000008	LOC117579398|XP_034121168.1|DGUA	LOC120449655|XP_039488186.1|DSAN
OG0000008	LOC117579397|XP_034121167.1|DGUA	LOC120449654|XP_039488185.1|DSAN
OG0000008	LOC117581836|XP_034125174.1|DGUA	LOC120458586|XP_039502222.1|DSAN
