Orthogroup	CPIP.longest_only	DSUZ.longest_only
OG0000002	LOC120432609|XP_039453790.1|CPIP, LOC120426099|XP_039446736.1|CPIP, LOC120422400|XP_039441752.1|CPIP, LOC120426484|XP_039447184.1|CPIP, LOC120414036|XP_039430992.1|CPIP, LOC120421041|XP_039440119.1|CPIP, LOC120421040|XP_039440118.1|CPIP, LOC120420327|XP_039439256.1|CPIP, LOC120428552|XP_039449518.1|CPIP, LOC120419373|XP_039437975.1|CPIP, LOC120419367|XP_039437970.1|CPIP, LOC120419375|XP_039437981.1|CPIP, LOC120419374|XP_039437979.1|CPIP	LOC108005613|XP_016924412.2|DSUZ, LOC108007472|XP_016926646.1|DSUZ, LOC108006207|XP_036671750.1|DSUZ, LOC108005528|XP_016924310.2|DSUZ, LOC108006739|XP_016925771.1|DSUZ, LOC108005537|XP_016924320.2|DSUZ
OG0000005	LOC120415438|XP_039432920.1|CPIP, LOC120430243|XP_039451256.1|CPIP, LOC120425531|XP_039446020.1|CPIP, LOC120425546|XP_039446041.1|CPIP, LOC120425522|XP_039446010.1|CPIP, LOC120415356|XP_039432779.1|CPIP	LOC108016330|XP_016938455.2|DSUZ
OG0000006	LOC120422946|XP_039442462.1|CPIP, LOC120422948|XP_039442464.1|CPIP, LOC120425523|XP_039446011.1|CPIP, LOC120425547|XP_039446042.1|CPIP, LOC120415403|XP_039432863.1|CPIP, LOC120419524|XP_039438169.1|CPIP, LOC120421025|XP_039440092.1|CPIP, LOC120425532|XP_039446021.1|CPIP, LOC120415440|XP_039432922.1|CPIP, LOC120430245|XP_039451257.1|CPIP, LOC120420432|XP_039439389.1|CPIP	LOC118879645|XP_036678432.1|DSUZ
OG0000007	LOC120412432|XP_039428825.1|CPIP, LOC120412413|XP_039428810.1|CPIP, LOC120412387|XP_039428758.1|CPIP, LOC120412425|XP_039428820.1|CPIP	LOC108004804|XP_016923359.1|DSUZ, LOC118877416|XP_036672028.1|DSUZ, LOC108013025|XP_016934104.1|DSUZ, LOC108013029|XP_016934109.1|DSUZ, LOC108012496|XP_016933394.1|DSUZ, LOC108012427|XP_016933279.1|DSUZ, LOC108012288|XP_016933078.2|DSUZ, LOC108013028|XP_016934108.1|DSUZ, LOC108013026|XP_016934106.1|DSUZ, LOC118879795|XP_036678702.1|DSUZ, LOC108019834|XP_016943342.1|DSUZ, LOC108017241|XP_036675632.1|DSUZ, LOC108015466|XP_016937387.2|DSUZ, LOC118876800|XP_036668611.1|DSUZ, LOC108012353|XP_016933194.1|DSUZ, LOC108012354|XP_016933195.2|DSUZ, LOC108009076|XP_016928638.2|DSUZ, LOC108021082|XP_016945089.1|DSUZ, LOC108006463|XP_036673918.1|DSUZ, LOC108013030|XP_016934110.1|DSUZ
OG0000008	LOC120426154|XP_039446807.1|CPIP, LOC120426153|XP_039446806.1|CPIP, LOC120426147|XP_039446799.1|CPIP	LOC108014183|XP_016935707.1|DSUZ
OG0000008	LOC120421629|XP_039440794.1|CPIP, LOC120421652|XP_039440822.1|CPIP, LOC120421673|XP_039440840.1|CPIP	LOC108020044|XP_016943629.1|DSUZ
OG0000008	LOC120421619|XP_039440783.1|CPIP	LOC118877368|XP_036671791.1|DSUZ
OG0000008	LOC120421726|XP_039440908.1|CPIP	LOC108007042|XP_016926141.1|DSUZ
OG0000008	LOC120421683|XP_039440852.1|CPIP	LOC108020009|XP_016943583.1|DSUZ
OG0000009	LOC120426658|XP_039447384.1|CPIP, LOC120429628|XP_039450593.1|CPIP, LOC120421295|XP_039440420.1|CPIP, LOC120421293|XP_039440418.1|CPIP, LOC120430193|XP_039451208.1|CPIP, LOC120430194|XP_039451209.1|CPIP, LOC120430179|XP_039451193.1|CPIP, LOC120414768|XP_039432015.1|CPIP, LOC120414769|XP_039432016.1|CPIP, LOC120422527|XP_039441920.1|CPIP, LOC120413328|XP_039430036.1|CPIP, LOC120413359|XP_039430078.1|CPIP, LOC120413353|XP_039430071.1|CPIP, LOC120422471|XP_039441860.1|CPIP, LOC120422470|XP_039441859.1|CPIP, LOC120422469|XP_039441857.1|CPIP, LOC120422468|XP_039441855.1|CPIP	LOC108014185|XP_016935709.1|DSUZ, LOC108014181|XP_016935705.2|DSUZ, LOC108011538|XP_036673111.1|DSUZ, LOC108015574|XP_036672879.1|DSUZ, LOC108014176|XP_016935699.1|DSUZ, LOC108011415|XP_036670407.1|DSUZ, LOC108008708|XP_016928093.1|DSUZ, LOC108019245|XP_036673765.1|DSUZ, LOC108008467|XP_016927811.1|DSUZ, LOC108008503|XP_016927857.1|DSUZ
OG0000010	LOC120430236|XP_039451249.1|CPIP	LOC118879264|XP_036678040.1|DSUZ
OG0000010	LOC120422947|XP_039442463.1|CPIP	LOC118879265|XP_036678041.1|DSUZ, LOC118879650|XP_036678438.1|DSUZ, LOC118879272|XP_036678049.1|DSUZ, LOC108014626|XP_016936278.1|DSUZ, LOC118879273|XP_036678050.1|DSUZ, LOC118878854|XP_036677774.1|DSUZ, LOC118877836|XP_036673914.1|DSUZ
OG0000010	LOC120415441|XP_039432923.1|CPIP	LOC118877316|XP_036671422.1|DSUZ, LOC118877315|XP_036671409.1|DSUZ, LOC118877317|XP_036671430.1|DSUZ, LOC118879513|XP_036678270.1|DSUZ, LOC108006791|XP_016925829.1|DSUZ, LOC108016333|XP_036678042.1|DSUZ
