Orthogroup	CPIP.longest_only	DMIR.longest_only
OG0000001	LOC120429878|XP_039450892.1|CPIP	LOC117186040|XP_033241993.1|DMIR
OG0000001	LOC120412441|XP_039428835.1|CPIP, LOC120418326|XP_039436592.1|CPIP, LOC120431370|XP_039452434.1|CPIP, LOC120419884|XP_039438683.1|CPIP, LOC120424001|XP_039443943.1|CPIP, LOC120418075|XP_039436266.1|CPIP, LOC120429246|XP_039450391.1|CPIP, LOC120423045|XP_039442655.1|CPIP, LOC120421351|XP_039440470.1|CPIP, LOC120418234|XP_039436470.1|CPIP, LOC120416204|XP_039433826.1|CPIP, LOC120426640|XP_039447365.1|CPIP, LOC120415987|XP_039433576.1|CPIP, LOC120413847|XP_039430737.1|CPIP, LOC120417943|XP_039436110.1|CPIP, LOC120423320|XP_039443015.1|CPIP, LOC120430489|XP_039451516.1|CPIP, LOC120421555|XP_039440716.1|CPIP	LOC117192523|XP_033253108.1|DMIR, LOC117189926|XP_033250889.1|DMIR
OG0000002	LOC120432609|XP_039453790.1|CPIP, LOC120426099|XP_039446736.1|CPIP, LOC120422400|XP_039441752.1|CPIP, LOC120426484|XP_039447184.1|CPIP, LOC120414036|XP_039430992.1|CPIP, LOC120421041|XP_039440119.1|CPIP, LOC120421040|XP_039440118.1|CPIP, LOC120420327|XP_039439256.1|CPIP, LOC120428552|XP_039449518.1|CPIP, LOC120419373|XP_039437975.1|CPIP, LOC120419367|XP_039437970.1|CPIP, LOC120419375|XP_039437981.1|CPIP, LOC120419374|XP_039437979.1|CPIP	LOC108152350|XP_017137109.1|DMIR
OG0000002	LOC120419546|XP_039438193.1|CPIP, LOC120419521|XP_039438165.1|CPIP, LOC120418402|XP_039436711.1|CPIP, LOC120414094|XP_039431052.1|CPIP, LOC120418401|XP_039436709.1|CPIP, LOC120421142|XP_039440266.1|CPIP, LOC120424995|XP_039445299.1|CPIP, LOC120422665|XP_039442103.1|CPIP, LOC120422680|XP_039442124.1|CPIP, LOC120420901|XP_039439958.1|CPIP, LOC120422657|XP_039442096.1|CPIP, LOC120422666|XP_039442104.1|CPIP, LOC120422654|XP_039442094.1|CPIP, LOC120422658|XP_039442097.1|CPIP, LOC120420898|XP_039439952.1|CPIP, LOC120419545|XP_039438192.1|CPIP, LOC120419977|XP_039438786.1|CPIP, LOC120424991|XP_039445294.1|CPIP	LOC108161232|XP_017150945.1|DMIR
OG0000006	LOC120422946|XP_039442462.1|CPIP, LOC120422948|XP_039442464.1|CPIP, LOC120425523|XP_039446011.1|CPIP, LOC120425547|XP_039446042.1|CPIP, LOC120415403|XP_039432863.1|CPIP, LOC120419524|XP_039438169.1|CPIP, LOC120421025|XP_039440092.1|CPIP, LOC120425532|XP_039446021.1|CPIP, LOC120415440|XP_039432922.1|CPIP, LOC120430245|XP_039451257.1|CPIP, LOC120420432|XP_039439389.1|CPIP	LOC108156704|XP_017143842.2|DMIR
OG0000007	LOC120412432|XP_039428825.1|CPIP, LOC120412413|XP_039428810.1|CPIP, LOC120412387|XP_039428758.1|CPIP, LOC120412425|XP_039428820.1|CPIP	LOC108153040|XP_017138288.1|DMIR, LOC108153675|XP_017139280.1|DMIR, LOC108165331|XP_017156854.2|DMIR, LOC108152481|XP_017137344.1|DMIR, LOC108152482|XP_017137345.1|DMIR, LOC108163948|XP_017154978.1|DMIR, LOC117188471|XP_033248275.1|DMIR, LOC108158175|XP_017145882.2|DMIR, LOC117187389|XP_033245847.1|DMIR, LOC117187383|XP_033245816.1|DMIR, LOC108157498|XP_033245840.1|DMIR, LOC108157499|XP_017145088.2|DMIR, LOC108164248|XP_017155372.1|DMIR, LOC108165521|XP_017157067.1|DMIR, LOC108164169|XP_017155268.2|DMIR, LOC108152483|XP_017137346.1|DMIR, LOC108152484|XP_017137347.1|DMIR
OG0000008	LOC120426154|XP_039446807.1|CPIP, LOC120426153|XP_039446806.1|CPIP, LOC120426147|XP_039446799.1|CPIP	LOC108154982|XP_017141010.1|DMIR
OG0000008	LOC120421629|XP_039440794.1|CPIP, LOC120421652|XP_039440822.1|CPIP, LOC120421673|XP_039440840.1|CPIP	LOC108151537|XP_017135681.1|DMIR
OG0000008	LOC120421619|XP_039440783.1|CPIP	LOC108151536|XP_017135679.1|DMIR
OG0000008	LOC120421726|XP_039440908.1|CPIP	LOC108161577|XP_017151355.1|DMIR
