Orthogroup	CPIP.longest_only	DVIR.longest_only
OG0000001	LOC120413315|XP_039430017.1|CPIP, LOC120423043|XP_039442644.1|CPIP, LOC120430559|XP_039451607.1|CPIP, LOC120426566|XP_039447276.1|CPIP, LOC120426978|XP_039447730.1|CPIP, LOC120431423|XP_039452479.1|CPIP, LOC120425893|XP_039446445.1|CPIP, LOC120426987|XP_039447736.1|CPIP, LOC120431421|XP_039452476.1|CPIP, LOC120432073|XP_039453137.1|CPIP, LOC120431130|XP_039452216.1|CPIP, LOC120412455|XP_039428860.1|CPIP, LOC120425674|XP_039446191.1|CPIP, LOC120430157|XP_039451174.1|CPIP, LOC120416259|XP_039433896.1|CPIP, LOC120427814|XP_039448672.1|CPIP, LOC120416260|XP_039433897.1|CPIP, LOC120416979|XP_039434837.1|CPIP, LOC120413730|XP_039430628.1|CPIP, LOC120421521|XP_039440676.1|CPIP, LOC120412957|XP_039429565.1|CPIP, LOC120417306|XP_039435191.1|CPIP, LOC120416040|XP_039433630.1|CPIP, LOC120431232|XP_039452302.1|CPIP, LOC120421940|XP_039441182.1|CPIP, LOC120427651|XP_039448464.1|CPIP, LOC120431985|XP_039453056.1|CPIP	LOC116650112|XP_032289334.1|DVIR
OG0000001	LOC120431875|XP_039452940.1|CPIP	LOC116650083|XP_032289319.1|DVIR
OG0000002	LOC120419546|XP_039438193.1|CPIP, LOC120419521|XP_039438165.1|CPIP, LOC120418402|XP_039436711.1|CPIP, LOC120414094|XP_039431052.1|CPIP, LOC120418401|XP_039436709.1|CPIP, LOC120421142|XP_039440266.1|CPIP, LOC120424995|XP_039445299.1|CPIP, LOC120422665|XP_039442103.1|CPIP, LOC120422680|XP_039442124.1|CPIP, LOC120420901|XP_039439958.1|CPIP, LOC120422657|XP_039442096.1|CPIP, LOC120422666|XP_039442104.1|CPIP, LOC120422654|XP_039442094.1|CPIP, LOC120422658|XP_039442097.1|CPIP, LOC120420898|XP_039439952.1|CPIP, LOC120419545|XP_039438192.1|CPIP, LOC120419977|XP_039438786.1|CPIP, LOC120424991|XP_039445294.1|CPIP	LOC6628707|XP_002051325.3|DVIR
OG0000005	LOC120422944|XP_039442461.1|CPIP	LOC6630079|XP_002053089.1|DVIR
OG0000006	LOC120422946|XP_039442462.1|CPIP, LOC120422948|XP_039442464.1|CPIP, LOC120425523|XP_039446011.1|CPIP, LOC120425547|XP_039446042.1|CPIP, LOC120415403|XP_039432863.1|CPIP, LOC120419524|XP_039438169.1|CPIP, LOC120421025|XP_039440092.1|CPIP, LOC120425532|XP_039446021.1|CPIP, LOC120415440|XP_039432922.1|CPIP, LOC120430245|XP_039451257.1|CPIP, LOC120420432|XP_039439389.1|CPIP	LOC6630084|XP_002053094.1|DVIR
OG0000007	LOC120412432|XP_039428825.1|CPIP, LOC120412413|XP_039428810.1|CPIP, LOC120412387|XP_039428758.1|CPIP, LOC120412425|XP_039428820.1|CPIP	LOC6623864|XP_002046827.1|DVIR, LOC6623030|XP_002046517.1|DVIR, LOC6622991|XP_032290827.1|DVIR, LOC6623031|XP_002046519.1|DVIR, LOC6625661|XP_002050782.1|DVIR, LOC116650729|XP_032291101.1|DVIR, LOC6624626|XP_002046524.3|DVIR, LOC6637091|XP_002060502.3|DVIR, LOC6637042|XP_032290173.1|DVIR, LOC6624577|XP_032291102.1|DVIR, LOC6624526|XP_032291100.1|DVIR, LOC6623051|XP_032290850.1|DVIR, LOC6623055|XP_002046521.1|DVIR, LOC6637041|XP_002060466.1|DVIR, LOC26531170|XP_032291103.1|DVIR, LOC6623833|XP_002046522.1|DVIR, LOC26531906|XP_032291104.1|DVIR, LOC116650731|XP_032291105.1|DVIR, LOC6624525|XP_002046523.1|DVIR
OG0000008	LOC120426154|XP_039446807.1|CPIP, LOC120426153|XP_039446806.1|CPIP, LOC120426147|XP_039446799.1|CPIP	LOC6629514|XP_002054585.2|DVIR
OG0000008	LOC120421629|XP_039440794.1|CPIP, LOC120421652|XP_039440822.1|CPIP, LOC120421673|XP_039440840.1|CPIP	LOC6623720|XP_002046325.3|DVIR
OG0000008	LOC120421619|XP_039440783.1|CPIP	LOC6622211|XP_002046327.1|DVIR
OG0000008	LOC120421726|XP_039440908.1|CPIP	LOC6627554|XP_002052288.1|DVIR
OG0000008	LOC120421683|XP_039440852.1|CPIP	LOC26531283|XP_015031719.1|DVIR
