Orthogroup	CPIP.longest_only	DSER.longest_only
OG0000001	LOC120413315|XP_039430017.1|CPIP, LOC120423043|XP_039442644.1|CPIP, LOC120430559|XP_039451607.1|CPIP, LOC120426566|XP_039447276.1|CPIP, LOC120426978|XP_039447730.1|CPIP, LOC120431423|XP_039452479.1|CPIP, LOC120425893|XP_039446445.1|CPIP, LOC120426987|XP_039447736.1|CPIP, LOC120431421|XP_039452476.1|CPIP, LOC120432073|XP_039453137.1|CPIP, LOC120431130|XP_039452216.1|CPIP, LOC120412455|XP_039428860.1|CPIP, LOC120425674|XP_039446191.1|CPIP, LOC120430157|XP_039451174.1|CPIP, LOC120416259|XP_039433896.1|CPIP, LOC120427814|XP_039448672.1|CPIP, LOC120416260|XP_039433897.1|CPIP, LOC120416979|XP_039434837.1|CPIP, LOC120413730|XP_039430628.1|CPIP, LOC120421521|XP_039440676.1|CPIP, LOC120412957|XP_039429565.1|CPIP, LOC120417306|XP_039435191.1|CPIP, LOC120416040|XP_039433630.1|CPIP, LOC120431232|XP_039452302.1|CPIP, LOC120421940|XP_039441182.1|CPIP, LOC120427651|XP_039448464.1|CPIP, LOC120431985|XP_039453056.1|CPIP	LOC110187736|XP_020812852.1|DSER
OG0000002	LOC120432609|XP_039453790.1|CPIP, LOC120426099|XP_039446736.1|CPIP, LOC120422400|XP_039441752.1|CPIP, LOC120426484|XP_039447184.1|CPIP, LOC120414036|XP_039430992.1|CPIP, LOC120421041|XP_039440119.1|CPIP, LOC120421040|XP_039440118.1|CPIP, LOC120420327|XP_039439256.1|CPIP, LOC120428552|XP_039449518.1|CPIP, LOC120419373|XP_039437975.1|CPIP, LOC120419367|XP_039437970.1|CPIP, LOC120419375|XP_039437981.1|CPIP, LOC120419374|XP_039437979.1|CPIP	LOC110189091|XP_020814726.1|DSER
OG0000002	LOC120419546|XP_039438193.1|CPIP, LOC120419521|XP_039438165.1|CPIP, LOC120418402|XP_039436711.1|CPIP, LOC120414094|XP_039431052.1|CPIP, LOC120418401|XP_039436709.1|CPIP, LOC120421142|XP_039440266.1|CPIP, LOC120424995|XP_039445299.1|CPIP, LOC120422665|XP_039442103.1|CPIP, LOC120422680|XP_039442124.1|CPIP, LOC120420901|XP_039439958.1|CPIP, LOC120422657|XP_039442096.1|CPIP, LOC120422666|XP_039442104.1|CPIP, LOC120422654|XP_039442094.1|CPIP, LOC120422658|XP_039442097.1|CPIP, LOC120420898|XP_039439952.1|CPIP, LOC120419545|XP_039438192.1|CPIP, LOC120419977|XP_039438786.1|CPIP, LOC120424991|XP_039445294.1|CPIP	LOC110183312|XP_020807219.1|DSER, LOC110185879|XP_020810550.1|DSER
OG0000005	LOC120415438|XP_039432920.1|CPIP, LOC120430243|XP_039451256.1|CPIP, LOC120425531|XP_039446020.1|CPIP, LOC120425546|XP_039446041.1|CPIP, LOC120425522|XP_039446010.1|CPIP, LOC120415356|XP_039432779.1|CPIP	LOC110182167|XP_020805828.1|DSER
OG0000006	LOC120422946|XP_039442462.1|CPIP, LOC120422948|XP_039442464.1|CPIP, LOC120425523|XP_039446011.1|CPIP, LOC120425547|XP_039446042.1|CPIP, LOC120415403|XP_039432863.1|CPIP, LOC120419524|XP_039438169.1|CPIP, LOC120421025|XP_039440092.1|CPIP, LOC120425532|XP_039446021.1|CPIP, LOC120415440|XP_039432922.1|CPIP, LOC120430245|XP_039451257.1|CPIP, LOC120420432|XP_039439389.1|CPIP	LOC110181334|XP_020804711.1|DSER
OG0000007	LOC120412432|XP_039428825.1|CPIP, LOC120412413|XP_039428810.1|CPIP, LOC120412387|XP_039428758.1|CPIP, LOC120412425|XP_039428820.1|CPIP	LOC110184727|XP_020809014.1|DSER, LOC110184726|XP_020809013.1|DSER, LOC110184728|XP_020809015.1|DSER, LOC110184729|XP_020809016.1|DSER, LOC110184693|XP_020808964.1|DSER, LOC110184736|XP_020809022.1|DSER, LOC110184730|XP_020809017.1|DSER, LOC110182363|XP_020806064.1|DSER, LOC110189366|XP_020815075.1|DSER, LOC110186676|XP_020811602.1|DSER, LOC110186433|XP_020811275.1|DSER, LOC110182364|XP_020806065.1|DSER, LOC110190669|XP_020816933.1|DSER, LOC110182358|XP_020806056.1|DSER, LOC110182357|XP_020806055.1|DSER, LOC110182316|XP_020806004.1|DSER, LOC110184731|XP_020809018.1|DSER, LOC110184732|XP_020809019.1|DSER
OG0000008	LOC120426154|XP_039446807.1|CPIP, LOC120426153|XP_039446806.1|CPIP, LOC120426147|XP_039446799.1|CPIP	LOC110188534|XP_020813940.1|DSER
OG0000008	LOC120421629|XP_039440794.1|CPIP, LOC120421652|XP_039440822.1|CPIP, LOC120421673|XP_039440840.1|CPIP	LOC110183610|XP_020807586.1|DSER
OG0000008	LOC120421619|XP_039440783.1|CPIP	LOC110183609|XP_020807585.1|DSER
OG0000008	LOC120421726|XP_039440908.1|CPIP	LOC110183997|XP_020808013.1|DSER
OG0000008	LOC120421683|XP_039440852.1|CPIP	LOC110183613|XP_020807591.1|DSER
