Orthogroup	CPIP.longest_only	AALB.longest_only
OG0000001	LOC120431875|XP_039452940.1|CPIP, LOC120428660|XP_039449641.1|CPIP, LOC120427923|XP_039448796.1|CPIP, LOC120413598|XP_039430439.1|CPIP, LOC120416220|XP_039433853.1|CPIP, LOC120427231|XP_039448028.1|CPIP, LOC120415698|XP_039433224.1|CPIP, LOC120426893|XP_039447632.1|CPIP, LOC120414714|XP_039431954.1|CPIP, LOC120413348|XP_039430064.1|CPIP, LOC120417098|XP_039435011.1|CPIP, LOC120431144|XP_039452219.1|CPIP, LOC120423997|XP_039443940.1|CPIP, LOC120426643|XP_039447364.1|CPIP, LOC120412573|XP_039429021.1|CPIP, LOC120432360|XP_039453488.1|CPIP, LOC120432034|XP_039453102.1|CPIP, LOC120423032|XP_039442606.1|CPIP, LOC120431782|XP_039452837.1|CPIP, LOC120417948|XP_039436116.1|CPIP	LOC118468339|XP_035794991.1|AALB
OG0000002	LOC120432609|XP_039453790.1|CPIP, LOC120426099|XP_039446736.1|CPIP, LOC120422400|XP_039441752.1|CPIP, LOC120426484|XP_039447184.1|CPIP, LOC120414036|XP_039430992.1|CPIP, LOC120421041|XP_039440119.1|CPIP, LOC120421040|XP_039440118.1|CPIP, LOC120420327|XP_039439256.1|CPIP, LOC120428552|XP_039449518.1|CPIP, LOC120419373|XP_039437975.1|CPIP, LOC120419367|XP_039437970.1|CPIP, LOC120419375|XP_039437981.1|CPIP, LOC120419374|XP_039437979.1|CPIP	LOC118458183|XP_035776304.1|AALB
OG0000002	LOC120424644|XP_039444747.1|CPIP	LOC118465266|XP_035789187.1|AALB
OG0000002	LOC120419546|XP_039438193.1|CPIP	LOC118464239|XP_035787322.1|AALB, LOC118464498|XP_035787822.1|AALB, LOC118464237|XP_035787319.1|AALB, LOC118464238|XP_035787321.1|AALB
OG0000002	LOC120419521|XP_039438165.1|CPIP, LOC120418402|XP_039436711.1|CPIP, LOC120414094|XP_039431052.1|CPIP, LOC120418401|XP_039436709.1|CPIP, LOC120421142|XP_039440266.1|CPIP, LOC120424995|XP_039445299.1|CPIP, LOC120422665|XP_039442103.1|CPIP, LOC120422680|XP_039442124.1|CPIP, LOC120420901|XP_039439958.1|CPIP, LOC120422657|XP_039442096.1|CPIP, LOC120422666|XP_039442104.1|CPIP, LOC120422654|XP_039442094.1|CPIP, LOC120422658|XP_039442097.1|CPIP, LOC120420898|XP_039439952.1|CPIP, LOC120419545|XP_039438192.1|CPIP, LOC120419977|XP_039438786.1|CPIP	LOC118464651|XP_035788010.1|AALB
OG0000002	LOC120424991|XP_039445294.1|CPIP	LOC118462019|XP_035783868.1|AALB
OG0000003	LOC120417737|XP_039435829.1|CPIP	LOC118460891|XP_035781527.1|AALB, LOC118460889|XP_035781525.1|AALB
OG0000003	LOC120419471|XP_039438091.1|CPIP, LOC120417750|XP_039435842.1|CPIP, LOC120426116|XP_039446753.1|CPIP, LOC120417719|XP_039435803.1|CPIP	LOC118460897|XP_035781532.1|AALB
OG0000003	LOC120417745|XP_039435837.1|CPIP	LOC118460890|XP_035781526.1|AALB
OG0000003	LOC120417746|XP_039435838.1|CPIP	LOC118460888|XP_035781524.1|AALB
OG0000003	LOC120416693|XP_039434443.1|CPIP, LOC120416692|XP_039434441.1|CPIP, LOC120431322|XP_039452390.1|CPIP, LOC120428937|XP_039450018.1|CPIP, LOC120431319|XP_039452387.1|CPIP, LOC120431320|XP_039452388.1|CPIP, LOC120431318|XP_039452385.1|CPIP	LOC118464960|XP_035788648.1|AALB
OG0000003	LOC120417738|XP_039435830.1|CPIP, LOC120417747|XP_039435839.1|CPIP	LOC118460892|XP_035781528.1|AALB, LOC118460896|XP_035781530.1|AALB
OG0000003	LOC120417748|XP_039435840.1|CPIP	LOC118460894|XP_035781529.1|AALB
OG0000003	LOC120417751|XP_039435843.1|CPIP	LOC118468410|XP_035795067.1|AALB
OG0000003	LOC120430921|XP_039451975.1|CPIP	LOC118457008|XP_035774126.1|AALB
OG0000003	LOC120431835|XP_039452896.1|CPIP	LOC118457004|XP_035774122.1|AALB, LOC118457009|XP_035774130.1|AALB
OG0000004	LOC120431997|XP_039453064.1|CPIP	LOC118463610|XP_035786183.1|AALB, LOC118465226|XP_035789114.1|AALB, LOC118463579|XP_035786113.1|AALB, LOC118463558|XP_035786086.1|AALB, LOC118463591|XP_035786144.1|AALB, LOC118463589|XP_035786142.1|AALB, LOC118463472|XP_035785954.1|AALB, LOC118463583|XP_035786116.1|AALB, LOC118463474|XP_035785956.1|AALB, LOC118465227|XP_035789115.1|AALB, LOC118462788|XP_035784672.1|AALB, LOC118463093|XP_035785266.1|AALB, LOC118465695|XP_035790016.1|AALB, LOC118467952|XP_035794816.1|AALB, LOC118465367|XP_035789455.1|AALB, LOC118465368|XP_035789456.1|AALB
OG0000004	LOC120425541|XP_039446037.1|CPIP, LOC120425520|XP_039446008.1|CPIP	LOC118463339|XP_035785747.1|AALB, LOC118463355|XP_035785764.1|AALB, LOC118467023|XP_035792868.1|AALB, LOC118463407|XP_035785852.1|AALB, LOC118467022|XP_035792867.1|AALB
OG0000005	LOC120422944|XP_039442461.1|CPIP	LOC118463672|XP_035786322.1|AALB, LOC118465116|XP_035788956.1|AALB, LOC118467850|XP_035794648.1|AALB, LOC118467567|XP_035794087.1|AALB
OG0000006	LOC120420432|XP_039439389.1|CPIP	LOC118465084|XP_035788881.1|AALB
OG0000008	LOC120426154|XP_039446807.1|CPIP, LOC120426153|XP_039446806.1|CPIP, LOC120426147|XP_039446799.1|CPIP	LOC118461568|XP_035782948.1|AALB
OG0000008	LOC120421652|XP_039440822.1|CPIP	LOC118460625|XP_035780966.1|AALB
OG0000008	LOC120421673|XP_039440840.1|CPIP	LOC118460624|XP_035780965.1|AALB, LOC118460620|XP_035780962.1|AALB, LOC118460621|XP_035780963.1|AALB, LOC118460619|XP_035780959.1|AALB
OG0000008	LOC120421619|XP_039440783.1|CPIP	LOC118460618|XP_035780957.1|AALB
OG0000008	LOC120421726|XP_039440908.1|CPIP	LOC118459424|XP_035778662.1|AALB
OG0000008	LOC120421683|XP_039440852.1|CPIP	LOC118460626|XP_035780968.1|AALB
OG0000009	LOC120426658|XP_039447384.1|CPIP, LOC120429628|XP_039450593.1|CPIP	LOC118457984|XP_035775939.1|AALB
OG0000009	LOC120421295|XP_039440420.1|CPIP, LOC120421293|XP_039440418.1|CPIP, LOC120430193|XP_039451208.1|CPIP, LOC120430194|XP_039451209.1|CPIP, LOC120430179|XP_039451193.1|CPIP, LOC120414768|XP_039432015.1|CPIP, LOC120414769|XP_039432016.1|CPIP, LOC120422527|XP_039441920.1|CPIP	LOC118459109|XP_035778066.1|AALB
OG0000009	LOC120413328|XP_039430036.1|CPIP, LOC120413359|XP_039430078.1|CPIP	LOC118464365|XP_035787590.1|AALB
OG0000009	LOC120413353|XP_039430071.1|CPIP	LOC118463211|XP_035785546.1|AALB
OG0000009	LOC120422471|XP_039441860.1|CPIP, LOC120422470|XP_039441859.1|CPIP, LOC120422469|XP_039441857.1|CPIP, LOC120422468|XP_039441855.1|CPIP	LOC118460748|XP_035781232.1|AALB
OG0000010	LOC120430236|XP_039451249.1|CPIP	LOC118465130|XP_035788962.1|AALB, LOC118464061|XP_035787001.1|AALB
OG0000010	LOC120422947|XP_039442463.1|CPIP	LOC118464062|XP_035787002.1|AALB, LOC118467568|XP_035794088.1|AALB, LOC118465135|XP_035788966.1|AALB
OG0000010	LOC120415441|XP_039432923.1|CPIP	LOC118464056|XP_035786995.1|AALB, LOC118464060|XP_035787000.1|AALB, LOC118464059|XP_035786999.1|AALB, LOC118465133|XP_035788965.1|AALB, LOC118465137|XP_035788967.1|AALB
OG0000011	LOC120423446|XP_039443198.1|CPIP	LOC118468649|XP_035795569.1|AALB
OG0000011	LOC120418269|XP_039436521.1|CPIP	LOC118459877|XP_035779560.1|AALB
OG0000012	LOC120419492|XP_039438114.1|CPIP	LOC118463566|XP_035786097.1|AALB
OG0000012	LOC120419485|XP_039438104.1|CPIP, LOC120419486|XP_039438105.1|CPIP	LOC118462971|XP_035785031.1|AALB
OG0000013	LOC120421446|XP_039440586.1|CPIP	LOC118467742|XP_035794443.1|AALB
OG0000013	LOC120414719|XP_039431959.1|CPIP	LOC118460642|XP_035780995.1|AALB
OG0000013	LOC120419254|XP_039437842.1|CPIP	LOC118461072|XP_035781858.1|AALB
OG0000013	LOC120425238|XP_039445606.1|CPIP, LOC120426202|XP_039446840.1|CPIP	LOC118467364|XP_035793659.1|AALB
OG0000013	LOC120422142|XP_039441447.1|CPIP, LOC120432512|XP_039453664.1|CPIP, LOC120432517|XP_039453668.1|CPIP, LOC120432516|XP_039453667.1|CPIP	LOC118460879|XP_035781511.1|AALB, LOC118456300|XP_035772832.1|AALB, LOC118468925|XP_035796129.1|AALB
OG0000014	LOC120430530|XP_039451578.1|CPIP, LOC120428350|XP_039449285.1|CPIP, LOC120429009|XP_039450081.1|CPIP, LOC120413920|XP_039430833.1|CPIP	LOC118456469|XP_035773157.1|AALB
OG0000014	LOC120412868|XP_039429433.1|CPIP	LOC118456248|XP_035772743.1|AALB, LOC118458874|XP_035777754.1|AALB
OG0000014	LOC120417025|XP_039434897.1|CPIP, LOC120428852|XP_039449909.1|CPIP, LOC120425900|XP_039446450.1|CPIP, LOC120430029|XP_039451057.1|CPIP, LOC120431483|XP_039452531.1|CPIP, LOC120420555|XP_039439556.1|CPIP, LOC120415798|XP_039433357.1|CPIP, LOC120412913|XP_039429482.1|CPIP, LOC120415736|XP_039433265.1|CPIP	LOC118458427|XP_035776775.1|AALB, LOC118468815|XP_035795925.1|AALB
OG0000016	LOC120432083|XP_039453151.1|CPIP, LOC120425437|XP_039445902.1|CPIP	LOC118468980|XP_035796264.1|AALB
OG0000016	LOC120429254|XP_039450404.1|CPIP	LOC118463956|XP_035786832.1|AALB
OG0000016	LOC120432396|XP_039453527.1|CPIP	LOC118460590|XP_035780903.1|AALB
OG0000016	LOC120421049|XP_039440125.1|CPIP	LOC118460360|XP_035780540.1|AALB
OG0000016	LOC120432082|XP_039453150.1|CPIP	LOC118468981|XP_035796265.1|AALB
OG0000016	LOC120415835|XP_039433406.1|CPIP	LOC118458000|XP_035775969.1|AALB
OG0000016	LOC120412557|XP_039428995.1|CPIP	LOC118464033|XP_035786987.1|AALB
OG0000016	LOC120412554|XP_039428993.1|CPIP	LOC118464459|XP_035787743.1|AALB
OG0000016	LOC120412537|XP_039428967.1|CPIP	LOC118464140|XP_035787136.1|AALB
OG0000016	LOC120412538|XP_039428968.1|CPIP	LOC118463980|XP_035786885.1|AALB
OG0000018	LOC120418854|XP_039437316.1|CPIP	LOC118463128|XP_035785378.1|AALB
OG0000018	LOC120418893|XP_039437358.1|CPIP	LOC118463106|XP_035785316.1|AALB
OG0000018	LOC120418900|XP_039437364.1|CPIP	LOC118465487|XP_035789683.1|AALB
OG0000018	LOC120418884|XP_039437351.1|CPIP, LOC120420819|XP_039439873.1|CPIP, LOC120420796|XP_039439842.1|CPIP, LOC120418899|XP_039437363.1|CPIP	LOC118465489|XP_035789685.1|AALB
OG0000019	LOC120417104|XP_039435015.1|CPIP, LOC120426863|XP_039447601.1|CPIP, LOC120417105|XP_039435016.1|CPIP	LOC118467547|XP_035794039.1|AALB, LOC118456435|XP_035773086.1|AALB
OG0000019	LOC120428181|XP_039449096.1|CPIP, LOC120428060|XP_039448954.1|CPIP	LOC118467701|XP_035794377.1|AALB
OG0000019	LOC120415075|XP_039432414.1|CPIP	LOC118457590|XP_035775173.1|AALB
OG0000019	LOC120414371|XP_039431471.1|CPIP, LOC120428640|XP_039449615.1|CPIP	LOC118460669|XP_035781036.1|AALB
OG0000020	LOC120424275|XP_039444272.1|CPIP, LOC120424246|XP_039444244.1|CPIP	LOC118461366|XP_035782501.1|AALB
OG0000020	LOC120421785|XP_039440991.1|CPIP	LOC118461362|XP_035782490.1|AALB
OG0000020	LOC120420106|XP_039438987.1|CPIP	LOC118467629|XP_035794243.1|AALB
OG0000020	LOC120413926|XP_039430844.1|CPIP	LOC118457118|XP_035774313.1|AALB
OG0000020	LOC120413930|XP_039430855.1|CPIP	LOC118468857|XP_035796008.1|AALB
OG0000021	LOC120418811|XP_039437259.1|CPIP	LOC118468558|XP_035795352.1|AALB
OG0000021	LOC120424111|XP_039444066.1|CPIP	LOC118467519|XP_035793970.1|AALB
OG0000022	LOC120418999|XP_039437504.1|CPIP	LOC118466446|XP_035791660.1|AALB
OG0000023	LOC120424653|XP_039444760.1|CPIP	LOC118465606|XP_035789874.1|AALB
OG0000023	LOC120424643|XP_039444746.1|CPIP	LOC118465607|XP_035789875.1|AALB
OG0000024	LOC120414088|XP_039431044.1|CPIP	LOC118462632|XP_035784369.1|AALB
OG0000025	LOC120425545|XP_039446040.1|CPIP, LOC120422939|XP_039442451.1|CPIP	LOC118461108|XP_035781919.1|AALB
OG0000025	LOC120422949|XP_039442466.1|CPIP	LOC118463807|XP_035786575.1|AALB, LOC118463808|XP_035786577.1|AALB
OG0000026	LOC120424841|XP_039445018.1|CPIP	LOC118464862|XP_035788469.1|AALB, LOC118464861|XP_035788468.1|AALB, LOC118464860|XP_035788466.1|AALB
OG0000026	LOC120424843|XP_039445020.1|CPIP, LOC120424842|XP_039445019.1|CPIP	LOC118467874|XP_035794679.1|AALB, LOC118467875|XP_035794680.1|AALB
OG0000027	LOC120429926|XP_039450953.1|CPIP, LOC120429919|XP_039450947.1|CPIP	LOC118458886|XP_035777730.1|AALB
OG0000027	LOC120429931|XP_039450959.1|CPIP, LOC120429934|XP_039450962.1|CPIP, LOC120429936|XP_039450963.1|CPIP, LOC120429932|XP_039450960.1|CPIP	LOC118457179|XP_035774403.1|AALB
