Orthogroup	CPIP.longest_only	BCOP.longest_only
OG0000001	LOC120417099|XP_039435012.1|CPIP	LOC119084781|XP_037050738.1|BCOP, LOC119083939|XP_037049649.1|BCOP
OG0000001	LOC120423264|XP_039442932.1|CPIP, LOC120426540|XP_039447241.1|CPIP, LOC120417042|XP_039434925.1|CPIP, LOC120421883|XP_039441113.1|CPIP, LOC120429302|XP_039450463.1|CPIP, LOC120416037|XP_039433627.1|CPIP, LOC120431449|XP_039452501.1|CPIP, LOC120426986|XP_039447735.1|CPIP, LOC120428426|XP_039449370.1|CPIP, LOC120416036|XP_039433626.1|CPIP, LOC120429296|XP_039450458.1|CPIP, LOC120415069|XP_039432397.1|CPIP, LOC120412724|XP_039429244.1|CPIP, LOC120414879|XP_039432135.1|CPIP, LOC120425723|XP_039446262.1|CPIP, LOC120417659|XP_039435715.1|CPIP, LOC120427386|XP_039448170.1|CPIP, LOC120415834|XP_039433407.1|CPIP, LOC120416694|XP_039434444.1|CPIP	LOC119068942|XP_037028702.1|BCOP
OG0000001	LOC120412441|XP_039428835.1|CPIP, LOC120418326|XP_039436592.1|CPIP, LOC120431370|XP_039452434.1|CPIP, LOC120419884|XP_039438683.1|CPIP, LOC120424001|XP_039443943.1|CPIP, LOC120418075|XP_039436266.1|CPIP, LOC120429246|XP_039450391.1|CPIP, LOC120423045|XP_039442655.1|CPIP, LOC120421351|XP_039440470.1|CPIP, LOC120418234|XP_039436470.1|CPIP, LOC120416204|XP_039433826.1|CPIP, LOC120426640|XP_039447365.1|CPIP, LOC120415987|XP_039433576.1|CPIP, LOC120413847|XP_039430737.1|CPIP, LOC120417943|XP_039436110.1|CPIP, LOC120423320|XP_039443015.1|CPIP, LOC120430489|XP_039451516.1|CPIP, LOC120421555|XP_039440716.1|CPIP	LOC119084767|XP_037050728.1|BCOP, LOC119071419|XP_037032191.1|BCOP, LOC119079853|XP_037043815.1|BCOP, LOC119083951|XP_037049655.1|BCOP, LOC119066006|XP_037024118.1|BCOP, LOC119082920|XP_037048471.1|BCOP, LOC119083910|XP_037049617.1|BCOP, LOC119066058|XP_037024178.1|BCOP, LOC119083512|XP_037049126.1|BCOP, LOC119081102|XP_037045737.1|BCOP, LOC119081228|XP_037045848.1|BCOP, LOC119076010|XP_037038490.1|BCOP
OG0000002	LOC120432609|XP_039453790.1|CPIP, LOC120426099|XP_039446736.1|CPIP, LOC120422400|XP_039441752.1|CPIP, LOC120426484|XP_039447184.1|CPIP, LOC120414036|XP_039430992.1|CPIP, LOC120421041|XP_039440119.1|CPIP, LOC120421040|XP_039440118.1|CPIP, LOC120420327|XP_039439256.1|CPIP, LOC120428552|XP_039449518.1|CPIP, LOC120419373|XP_039437975.1|CPIP, LOC120419367|XP_039437970.1|CPIP, LOC120419375|XP_039437981.1|CPIP, LOC120419374|XP_039437979.1|CPIP, LOC120424381|XP_039444413.1|CPIP, LOC120424377|XP_039444408.1|CPIP, LOC120424379|XP_039444412.1|CPIP, LOC120424644|XP_039444747.1|CPIP, LOC120419372|XP_039437974.1|CPIP, LOC120413314|XP_039430016.1|CPIP	LOC119082547|XP_037047953.1|BCOP, LOC119084136|XP_037049882.1|BCOP, LOC119085280|XP_037051529.1|BCOP, LOC119085276|XP_037051525.1|BCOP, LOC119071002|XP_037031495.1|BCOP, LOC119085524|XP_037051835.1|BCOP, LOC119081710|XP_037046714.1|BCOP, LOC119081805|XP_037046930.1|BCOP, LOC119075137|XP_037037417.1|BCOP, LOC119083558|XP_037049172.1|BCOP
OG0000002	LOC120419546|XP_039438193.1|CPIP, LOC120419521|XP_039438165.1|CPIP, LOC120418402|XP_039436711.1|CPIP, LOC120414094|XP_039431052.1|CPIP, LOC120418401|XP_039436709.1|CPIP, LOC120421142|XP_039440266.1|CPIP, LOC120424995|XP_039445299.1|CPIP, LOC120422665|XP_039442103.1|CPIP, LOC120422680|XP_039442124.1|CPIP, LOC120420901|XP_039439958.1|CPIP, LOC120422657|XP_039442096.1|CPIP, LOC120422666|XP_039442104.1|CPIP, LOC120422654|XP_039442094.1|CPIP, LOC120422658|XP_039442097.1|CPIP, LOC120420898|XP_039439952.1|CPIP, LOC120419545|XP_039438192.1|CPIP, LOC120419977|XP_039438786.1|CPIP, LOC120424991|XP_039445294.1|CPIP	LOC119076785|XP_037039644.1|BCOP
OG0000003	LOC120417737|XP_039435829.1|CPIP, LOC120419471|XP_039438091.1|CPIP, LOC120417750|XP_039435842.1|CPIP, LOC120426116|XP_039446753.1|CPIP, LOC120417719|XP_039435803.1|CPIP	LOC119068573|XP_037028113.1|BCOP
OG0000003	LOC120417745|XP_039435837.1|CPIP, LOC120417746|XP_039435838.1|CPIP, LOC120416693|XP_039434443.1|CPIP, LOC120416692|XP_039434441.1|CPIP, LOC120431322|XP_039452390.1|CPIP, LOC120428937|XP_039450018.1|CPIP, LOC120431319|XP_039452387.1|CPIP, LOC120431320|XP_039452388.1|CPIP, LOC120431318|XP_039452385.1|CPIP	LOC119075880|XP_037038340.1|BCOP, LOC119071708|XP_037032596.1|BCOP
OG0000003	LOC120417751|XP_039435843.1|CPIP	LOC119078496|XP_037041942.1|BCOP
OG0000003	LOC120430921|XP_039451975.1|CPIP, LOC120430922|XP_039451976.1|CPIP, LOC120430925|XP_039451980.1|CPIP	LOC119081763|XP_037046852.1|BCOP, LOC119068720|XP_037028307.1|BCOP, LOC119067922|XP_037027121.1|BCOP, LOC119076082|XP_037038628.1|BCOP, LOC119077463|XP_037040564.1|BCOP, LOC119085325|XP_037051602.1|BCOP
OG0000003	LOC120431835|XP_039452896.1|CPIP	LOC119080884|XP_037045357.1|BCOP, LOC119074508|XP_037036560.1|BCOP, LOC119084862|XP_037050890.1|BCOP
