Orthogroup	CPIP.longest_only	DANA.longest_only
OG0000005	LOC120415438|XP_039432920.1|CPIP, LOC120430243|XP_039451256.1|CPIP, LOC120425531|XP_039446020.1|CPIP, LOC120425546|XP_039446041.1|CPIP, LOC120425522|XP_039446010.1|CPIP, LOC120415356|XP_039432779.1|CPIP	LOC6501749|XP_001967750.2|DANA
OG0000006	LOC120422946|XP_039442462.1|CPIP, LOC120422948|XP_039442464.1|CPIP, LOC120425523|XP_039446011.1|CPIP, LOC120425547|XP_039446042.1|CPIP, LOC120415403|XP_039432863.1|CPIP, LOC120419524|XP_039438169.1|CPIP, LOC120421025|XP_039440092.1|CPIP, LOC120425532|XP_039446021.1|CPIP, LOC120415440|XP_039432922.1|CPIP, LOC120430245|XP_039451257.1|CPIP, LOC120420432|XP_039439389.1|CPIP	LOC6506066|XP_032309425.1|DANA
OG0000007	LOC120412432|XP_039428825.1|CPIP, LOC120412413|XP_039428810.1|CPIP, LOC120412387|XP_039428758.1|CPIP, LOC120412425|XP_039428820.1|CPIP	LOC6506540|XP_001957688.2|DANA, LOC6493534|XP_001957954.1|DANA, LOC6493532|XP_001957952.1|DANA, LOC6493531|XP_001957951.1|DANA, LOC6493535|XP_001957955.2|DANA, LOC6504215|XP_001965139.1|DANA, LOC6495226|XP_001958809.1|DANA, LOC6495225|XP_001958810.1|DANA, LOC6505974|XP_001964709.1|DANA, LOC6505555|XP_001964708.1|DANA, LOC6505976|XP_032305603.1|DANA, LOC6505975|XP_001964710.1|DANA, LOC116654519|XP_032305561.1|DANA, LOC6504214|XP_001965140.1|DANA, LOC6492986|XP_032310804.1|DANA, LOC6507027|XP_001956797.1|DANA, LOC6504218|XP_001965137.3|DANA, LOC6504217|XP_001965138.1|DANA, LOC6493536|XP_001957956.2|DANA, LOC6506391|XP_001957958.1|DANA
OG0000008	LOC120426154|XP_039446807.1|CPIP, LOC120426153|XP_039446806.1|CPIP, LOC120426147|XP_039446799.1|CPIP	LOC6501231|XP_001954812.1|DANA
OG0000008	LOC120421629|XP_039440794.1|CPIP, LOC120421652|XP_039440822.1|CPIP, LOC120421673|XP_039440840.1|CPIP	LOC6506513|XP_001957739.1|DANA
OG0000008	LOC120421619|XP_039440783.1|CPIP	LOC6493433|XP_001957742.1|DANA
OG0000008	LOC120421726|XP_039440908.1|CPIP	LOC6504295|XP_001965067.1|DANA
OG0000008	LOC120421683|XP_039440852.1|CPIP	LOC6506512|XP_001957740.2|DANA
OG0000009	LOC120426658|XP_039447384.1|CPIP, LOC120429628|XP_039450593.1|CPIP, LOC120421295|XP_039440420.1|CPIP, LOC120421293|XP_039440418.1|CPIP, LOC120430193|XP_039451208.1|CPIP, LOC120430194|XP_039451209.1|CPIP, LOC120430179|XP_039451193.1|CPIP, LOC120414768|XP_039432015.1|CPIP, LOC120414769|XP_039432016.1|CPIP, LOC120422527|XP_039441920.1|CPIP, LOC120413328|XP_039430036.1|CPIP, LOC120413359|XP_039430078.1|CPIP, LOC120413353|XP_039430071.1|CPIP, LOC120422471|XP_039441860.1|CPIP, LOC120422470|XP_039441859.1|CPIP, LOC120422469|XP_039441857.1|CPIP, LOC120422468|XP_039441855.1|CPIP	LOC6500401|XP_001953140.1|DANA, LOC6500399|XP_001953138.1|DANA, LOC6500144|XP_001953137.1|DANA, LOC6500400|XP_001953139.2|DANA, LOC6506633|XP_001957500.1|DANA, LOC6494113|XP_001960938.1|DANA, LOC6500524|XP_001953390.1|DANA, LOC6494922|XP_001959416.1|DANA, LOC6494925|XP_001959413.1|DANA, LOC6494923|XP_001959415.2|DANA, LOC6494924|XP_001959414.1|DANA
OG0000010	LOC120430236|XP_039451249.1|CPIP	LOC6500231|XP_001952977.1|DANA
