Orthogroup	CPIP.longest_only	AEAL.longest_only
OG0000001	LOC120417099|XP_039435012.1|CPIP	LOC115258813|XP_029715105.1|AEAL
OG0000001	LOC120417801|XP_039435934.1|CPIP, LOC120413964|XP_039430904.1|CPIP, LOC120419883|XP_039438681.1|CPIP, LOC120424000|XP_039443942.1|CPIP, LOC120415385|XP_039432843.1|CPIP	LOC115255933|XP_029710011.1|AEAL
OG0000001	LOC120413315|XP_039430017.1|CPIP, LOC120423043|XP_039442644.1|CPIP, LOC120430559|XP_039451607.1|CPIP, LOC120426566|XP_039447276.1|CPIP, LOC120426978|XP_039447730.1|CPIP, LOC120431423|XP_039452479.1|CPIP, LOC120425893|XP_039446445.1|CPIP, LOC120426987|XP_039447736.1|CPIP, LOC120431421|XP_039452476.1|CPIP, LOC120432073|XP_039453137.1|CPIP, LOC120431130|XP_039452216.1|CPIP, LOC120412455|XP_039428860.1|CPIP, LOC120425674|XP_039446191.1|CPIP, LOC120430157|XP_039451174.1|CPIP, LOC120416259|XP_039433896.1|CPIP, LOC120427814|XP_039448672.1|CPIP, LOC120416260|XP_039433897.1|CPIP, LOC120416979|XP_039434837.1|CPIP, LOC120413730|XP_039430628.1|CPIP, LOC120421521|XP_039440676.1|CPIP, LOC120412957|XP_039429565.1|CPIP, LOC120417306|XP_039435191.1|CPIP, LOC120416040|XP_039433630.1|CPIP, LOC120431232|XP_039452302.1|CPIP, LOC120421940|XP_039441182.1|CPIP, LOC120427651|XP_039448464.1|CPIP, LOC120431985|XP_039453056.1|CPIP	LOC115268193|XP_029732105.1|AEAL
OG0000001	LOC120416220|XP_039433853.1|CPIP, LOC120427231|XP_039448028.1|CPIP, LOC120415698|XP_039433224.1|CPIP	LOC115256684|XP_029711456.1|AEAL
OG0000001	LOC120426893|XP_039447632.1|CPIP, LOC120414714|XP_039431954.1|CPIP, LOC120413348|XP_039430064.1|CPIP	LOC109623019|XP_029710293.1|AEAL, LOC115269400|XP_029733938.1|AEAL
OG0000001	LOC120417098|XP_039435011.1|CPIP, LOC120431144|XP_039452219.1|CPIP	LOC109422104|XP_029710301.1|AEAL
OG0000001	LOC120423032|XP_039442606.1|CPIP, LOC120431782|XP_039452837.1|CPIP	LOC115269388|XP_029733924.1|AEAL, LOC109622039|XP_029729050.1|AEAL, LOC115261584|XP_029719346.1|AEAL, LOC109405551|XP_019534182.2|AEAL, LOC115256176|XP_029710296.1|AEAL, LOC109426131|XP_029734345.1|AEAL
OG0000001	LOC120417948|XP_039436116.1|CPIP	LOC115262999|XP_029721807.1|AEAL, LOC115256498|XP_029711026.1|AEAL
OG0000001	LOC120429878|XP_039450892.1|CPIP	LOC115255489|XP_029709475.1|AEAL, LOC115261988|XP_029719780.1|AEAL
OG0000001	LOC120423264|XP_039442932.1|CPIP	LOC109398938|XP_029729633.1|AEAL
OG0000001	LOC120415069|XP_039432397.1|CPIP, LOC120412724|XP_039429244.1|CPIP	LOC115265076|XP_029725147.1|AEAL
OG0000001	LOC120414879|XP_039432135.1|CPIP, LOC120425723|XP_039446262.1|CPIP	LOC115270984|XP_029736215.1|AEAL
OG0000001	LOC120416694|XP_039434444.1|CPIP	LOC115265135|XP_029725238.1|AEAL, LOC115257038|XP_029712150.1|AEAL, LOC115260532|XP_029717306.1|AEAL, LOC115260537|XP_029717310.1|AEAL, LOC115259910|XP_029716566.1|AEAL
OG0000001	LOC120412441|XP_039428835.1|CPIP, LOC120418326|XP_039436592.1|CPIP	LOC115256725|XP_029711525.1|AEAL
OG0000001	LOC120431370|XP_039452434.1|CPIP, LOC120419884|XP_039438683.1|CPIP, LOC120424001|XP_039443943.1|CPIP	LOC115263370|XP_029722527.1|AEAL
OG0000001	LOC120423320|XP_039443015.1|CPIP	LOC115261516|XP_029719137.1|AEAL
OG0000001	LOC120430489|XP_039451516.1|CPIP, LOC120421555|XP_039440716.1|CPIP	LOC115271064|XP_029736362.1|AEAL
OG0000002	LOC120424644|XP_039444747.1|CPIP	LOC109408162|XP_019536944.2|AEAL, LOC109411104|XP_019540095.2|AEAL
OG0000002	LOC120419372|XP_039437974.1|CPIP, LOC120413314|XP_039430016.1|CPIP	LOC109415861|XP_029719818.1|AEAL, LOC109402720|XP_029717961.1|AEAL
OG0000002	LOC120419546|XP_039438193.1|CPIP	LOC115263125|XP_029721902.1|AEAL, LOC109430246|XP_019561842.2|AEAL, LOC109416944|XP_019546605.2|AEAL
OG0000002	LOC120418402|XP_039436711.1|CPIP, LOC120414094|XP_039431052.1|CPIP, LOC120418401|XP_039436709.1|CPIP	LOC115265443|XP_029726462.1|AEAL, LOC109426996|XP_019558100.2|AEAL, LOC109411377|XP_019540446.2|AEAL, LOC115266493|XP_029728592.1|AEAL
OG0000002	LOC120419545|XP_039438192.1|CPIP	LOC109403760|XP_019532176.2|AEAL, LOC109416948|XP_019546608.2|AEAL
OG0000002	LOC120419977|XP_039438786.1|CPIP	LOC109400072|XP_019528089.2|AEAL, LOC109621611|XP_019931245.2|AEAL
OG0000003	LOC120417737|XP_039435829.1|CPIP	LOC109409211|XP_019538182.2|AEAL, LOC109421551|XP_019551616.2|AEAL, LOC109409210|XP_019538181.2|AEAL, LOC115255001|XP_029708566.1|AEAL, LOC109398259|XP_019526126.2|AEAL
OG0000003	LOC120417750|XP_039435842.1|CPIP	LOC109421477|XP_019551518.2|AEAL, LOC109421555|XP_019551619.2|AEAL
OG0000003	LOC120426116|XP_039446753.1|CPIP	LOC109409164|XP_019538127.2|AEAL, LOC109421553|XP_019551618.2|AEAL
OG0000003	LOC120417719|XP_039435803.1|CPIP	LOC109421549|XP_019551614.2|AEAL, LOC109409160|XP_019538123.2|AEAL
OG0000003	LOC120417745|XP_039435837.1|CPIP	LOC109421556|XP_019551620.2|AEAL
OG0000003	LOC120416693|XP_039434443.1|CPIP, LOC120416692|XP_039434441.1|CPIP, LOC120431322|XP_039452390.1|CPIP, LOC120428937|XP_039450018.1|CPIP, LOC120431319|XP_039452387.1|CPIP, LOC120431320|XP_039452388.1|CPIP, LOC120431318|XP_039452385.1|CPIP	LOC109425972|XP_029731864.1|AEAL
OG0000003	LOC120417738|XP_039435830.1|CPIP, LOC120417747|XP_039435839.1|CPIP	LOC109421559|XP_019551624.2|AEAL
OG0000003	LOC120417748|XP_039435840.1|CPIP	LOC109409168|XP_029727109.1|AEAL
OG0000003	LOC120417751|XP_039435843.1|CPIP	LOC109421550|XP_019551615.2|AEAL
OG0000003	LOC120430922|XP_039451976.1|CPIP	LOC115269310|XP_029733775.1|AEAL
OG0000003	LOC120431835|XP_039452896.1|CPIP	LOC109623204|XP_019933243.2|AEAL, LOC109415289|XP_019544713.2|AEAL, LOC109623205|XP_019933244.2|AEAL
OG0000004	LOC120431997|XP_039453064.1|CPIP	LOC109413299|XP_019542561.2|AEAL, LOC115270066|XP_029734897.1|AEAL, LOC109407180|XP_019535709.1|AEAL, LOC109397477|XP_029709004.1|AEAL, LOC115255221|XP_029709025.1|AEAL, LOC115270070|XP_029734902.1|AEAL, LOC109397473|XP_029708972.1|AEAL, LOC115255201|XP_029709003.1|AEAL, LOC109397491|XP_029709023.1|AEAL, LOC109397475|XP_019525313.1|AEAL, LOC115255206|XP_029709009.1|AEAL, LOC115266976|XP_029729559.1|AEAL, LOC115270056|XP_029734885.1|AEAL, LOC115270082|XP_029734908.1|AEAL, LOC109407175|XP_019535705.2|AEAL, LOC109413175|XP_029734887.1|AEAL, LOC115270083|XP_029734909.1|AEAL, LOC109404569|XP_019533012.1|AEAL, LOC109404523|XP_019532967.1|AEAL, LOC115270053|XP_029734878.1|AEAL, LOC115270063|XP_029734895.1|AEAL, LOC109404546|XP_019931555.2|AEAL, LOC115266975|XP_029729558.1|AEAL, LOC109413197|XP_019542447.1|AEAL, LOC115270059|XP_029734890.1|AEAL
OG0000005	LOC120422944|XP_039442461.1|CPIP	LOC109404521|XP_029734911.1|AEAL, LOC115255208|XP_029709011.1|AEAL, LOC109621664|XP_019931314.1|AEAL, LOC115255183|XP_029708974.1|AEAL, LOC109397487|XP_019525326.1|AEAL, LOC109407186|XP_019535715.1|AEAL, LOC115255205|XP_029709008.1|AEAL, LOC109397494|XP_019525333.2|AEAL, LOC115255200|XP_029709002.1|AEAL, LOC109400639|XP_019528670.1|AEAL, LOC109397482|XP_029708971.1|AEAL, LOC109404593|XP_019533042.1|AEAL, LOC109397504|XP_019525350.1|AEAL, LOC109397485|XP_019525324.1|AEAL, LOC115270068|XP_029734900.1|AEAL, LOC115270062|XP_029734894.1|AEAL, LOC115270061|XP_029734893.1|AEAL, LOC109621825|XP_019931550.1|AEAL, LOC109413196|XP_019542446.1|AEAL, LOC109404529|XP_019532971.1|AEAL, LOC109413199|XP_019542449.1|AEAL, LOC115267256|XP_029730017.1|AEAL, LOC109621654|XP_019931304.1|AEAL, LOC115266977|XP_029729560.1|AEAL, LOC109431217|XP_019562975.1|AEAL, LOC115264621|XP_029724359.1|AEAL, LOC109420134|XP_019549992.2|AEAL, LOC109431208|XP_019562967.2|AEAL, LOC109431202|XP_019562960.1|AEAL, LOC115264624|XP_029724364.1|AEAL, LOC109420130|XP_019549988.1|AEAL, LOC115264618|XP_029724355.1|AEAL, LOC109420103|XP_019549953.2|AEAL, LOC115264627|XP_029724367.1|AEAL, LOC115264619|XP_029724357.1|AEAL, LOC115264613|XP_029724347.1|AEAL, LOC109420106|XP_029724322.1|AEAL, LOC115264606|XP_029724330.1|AEAL, LOC115264602|XP_029724325.1|AEAL
OG0000006	LOC120422946|XP_039442462.1|CPIP, LOC120422948|XP_039442464.1|CPIP, LOC120425523|XP_039446011.1|CPIP, LOC120425547|XP_039446042.1|CPIP, LOC120415403|XP_039432863.1|CPIP, LOC120419524|XP_039438169.1|CPIP, LOC120421025|XP_039440092.1|CPIP, LOC120425532|XP_039446021.1|CPIP, LOC120415440|XP_039432922.1|CPIP, LOC120430245|XP_039451257.1|CPIP, LOC120420432|XP_039439389.1|CPIP	LOC115261264|XP_029718499.1|AEAL, LOC115261271|XP_029718506.1|AEAL, LOC115261261|XP_029718496.1|AEAL, LOC115261224|XP_029718458.1|AEAL, LOC115261225|XP_029718459.1|AEAL, LOC115261263|XP_029718498.1|AEAL, LOC115261262|XP_029718497.1|AEAL, LOC115261290|XP_029718531.1|AEAL, LOC115263330|XP_029722488.1|AEAL, LOC109418596|XP_019548347.2|AEAL, LOC115261265|XP_029718500.1|AEAL, LOC115261270|XP_029718504.1|AEAL
OG0000007	LOC120412432|XP_039428825.1|CPIP, LOC120412413|XP_039428810.1|CPIP	LOC109417624|XP_019547214.2|AEAL
OG0000007	LOC120412387|XP_039428758.1|CPIP	LOC109417822|XP_019547546.2|AEAL, LOC109417827|XP_019547550.2|AEAL
OG0000008	LOC120426154|XP_039446807.1|CPIP	LOC109400278|XP_019528306.2|AEAL, LOC115264163|XP_029723411.1|AEAL, LOC109411044|XP_019540029.2|AEAL, LOC109400276|XP_029732649.1|AEAL, LOC109411042|XP_029723844.1|AEAL
OG0000008	LOC120426153|XP_039446806.1|CPIP, LOC120426147|XP_039446799.1|CPIP	LOC115269452|XP_029734079.1|AEAL, LOC109398594|XP_019526527.2|AEAL, LOC109411038|XP_019540020.2|AEAL, LOC115268685|XP_029732650.1|AEAL, LOC109398586|XP_029723414.1|AEAL, LOC109398584|XP_029723843.1|AEAL, LOC109411041|XP_019540026.2|AEAL, LOC109411040|XP_029732651.1|AEAL, LOC109411057|XP_019540042.2|AEAL, LOC109411039|XP_019540021.2|AEAL, LOC109398568|XP_019526496.2|AEAL, LOC115264164|XP_029723413.1|AEAL
OG0000008	LOC120421629|XP_039440794.1|CPIP	LOC109409017|XP_019537970.1|AEAL, LOC115261399|XP_029718872.1|AEAL, LOC109429131|XP_029730081.1|AEAL, LOC109429134|XP_019560529.1|AEAL, LOC115261395|XP_029718863.1|AEAL
OG0000008	LOC120421652|XP_039440822.1|CPIP	LOC115261400|XP_029718873.1|AEAL, LOC109409015|XP_029718862.1|AEAL
OG0000008	LOC120421619|XP_039440783.1|CPIP	LOC109409014|XP_019537968.1|AEAL
OG0000008	LOC120421726|XP_039440908.1|CPIP	LOC115258666|XP_029714842.1|AEAL, LOC109418542|XP_029714903.1|AEAL, LOC115258618|XP_029714768.1|AEAL
OG0000009	LOC120426658|XP_039447384.1|CPIP, LOC120429628|XP_039450593.1|CPIP	LOC109421248|XP_029710358.1|AEAL, LOC109410814|XP_019539891.2|AEAL, LOC109421247|XP_019551278.2|AEAL, LOC109421196|XP_019551233.2|AEAL, LOC115256237|XP_029710360.1|AEAL, LOC109421246|XP_029710374.1|AEAL, LOC109410815|XP_029710361.1|AEAL
OG0000009	LOC120421295|XP_039440420.1|CPIP	LOC109410828|XP_029725091.1|AEAL, LOC115268621|XP_029732616.1|AEAL, LOC109621352|XP_019930946.2|AEAL
OG0000009	LOC120421293|XP_039440418.1|CPIP	LOC109410832|XP_019539911.2|AEAL, LOC115265026|XP_029725093.1|AEAL, LOC115266859|XP_029729327.1|AEAL, LOC109621393|XP_029732578.1|AEAL
OG0000009	LOC120430193|XP_039451208.1|CPIP, LOC120430194|XP_039451209.1|CPIP, LOC120430179|XP_039451193.1|CPIP, LOC120414768|XP_039432015.1|CPIP, LOC120414769|XP_039432016.1|CPIP, LOC120422527|XP_039441920.1|CPIP	LOC109427506|XP_019558604.2|AEAL
OG0000009	LOC120413328|XP_039430036.1|CPIP, LOC120413359|XP_039430078.1|CPIP	LOC109432620|XP_019564525.2|AEAL
