Orthogroup	CPIP.longest_only	DALB.longest_only
OG0000002	LOC120432609|XP_039453790.1|CPIP, LOC120426099|XP_039446736.1|CPIP, LOC120422400|XP_039441752.1|CPIP, LOC120426484|XP_039447184.1|CPIP, LOC120414036|XP_039430992.1|CPIP, LOC120421041|XP_039440119.1|CPIP, LOC120421040|XP_039440118.1|CPIP, LOC120420327|XP_039439256.1|CPIP, LOC120428552|XP_039449518.1|CPIP, LOC120419373|XP_039437975.1|CPIP, LOC120419367|XP_039437970.1|CPIP, LOC120419375|XP_039437981.1|CPIP, LOC120419374|XP_039437979.1|CPIP, LOC120424381|XP_039444413.1|CPIP, LOC120424377|XP_039444408.1|CPIP, LOC120424379|XP_039444412.1|CPIP, LOC120424644|XP_039444747.1|CPIP, LOC120419372|XP_039437974.1|CPIP, LOC120413314|XP_039430016.1|CPIP	LOC117565641|XP_034100743.1|DALB
OG0000002	LOC120419546|XP_039438193.1|CPIP, LOC120419521|XP_039438165.1|CPIP, LOC120418402|XP_039436711.1|CPIP, LOC120414094|XP_039431052.1|CPIP, LOC120418401|XP_039436709.1|CPIP, LOC120421142|XP_039440266.1|CPIP, LOC120424995|XP_039445299.1|CPIP, LOC120422665|XP_039442103.1|CPIP, LOC120422680|XP_039442124.1|CPIP, LOC120420901|XP_039439958.1|CPIP, LOC120422657|XP_039442096.1|CPIP, LOC120422666|XP_039442104.1|CPIP, LOC120422654|XP_039442094.1|CPIP, LOC120422658|XP_039442097.1|CPIP, LOC120420898|XP_039439952.1|CPIP, LOC120419545|XP_039438192.1|CPIP, LOC120419977|XP_039438786.1|CPIP, LOC120424991|XP_039445294.1|CPIP	LOC117563399|XP_034097624.1|DALB, LOC117563790|XP_034098211.1|DALB
OG0000006	LOC120422946|XP_039442462.1|CPIP, LOC120422948|XP_039442464.1|CPIP, LOC120425523|XP_039446011.1|CPIP, LOC120425547|XP_039446042.1|CPIP, LOC120415403|XP_039432863.1|CPIP, LOC120419524|XP_039438169.1|CPIP, LOC120421025|XP_039440092.1|CPIP, LOC120425532|XP_039446021.1|CPIP, LOC120415440|XP_039432922.1|CPIP, LOC120430245|XP_039451257.1|CPIP, LOC120420432|XP_039439389.1|CPIP	LOC117564279|XP_034098869.1|DALB, LOC117566016|XP_034101337.1|DALB, LOC117564281|XP_034098870.1|DALB
OG0000007	LOC120412432|XP_039428825.1|CPIP, LOC120412413|XP_039428810.1|CPIP, LOC120412387|XP_039428758.1|CPIP, LOC120412425|XP_039428820.1|CPIP	LOC117570587|XP_034108222.1|DALB, LOC117572105|XP_034110613.1|DALB, LOC117571630|XP_034109745.1|DALB, LOC117571629|XP_034109744.1|DALB, LOC117571628|XP_034109743.1|DALB, LOC117569226|XP_034106192.1|DALB, LOC117569228|XP_034106194.1|DALB, LOC117569237|XP_034106201.1|DALB, LOC117569236|XP_034106200.1|DALB, LOC117571197|XP_034109131.1|DALB, LOC117569240|XP_034106204.1|DALB, LOC117569239|XP_034106203.1|DALB, LOC117569233|XP_034106198.1|DALB, LOC117568549|XP_034105159.1|DALB, LOC117569229|XP_034106195.1|DALB, LOC117569230|XP_034106196.1|DALB, LOC117569232|XP_034106197.1|DALB, LOC117569244|XP_034106208.1|DALB, LOC117569245|XP_034106210.1|DALB, LOC117569246|XP_034106211.1|DALB, LOC117569242|XP_034106206.1|DALB, LOC117569241|XP_034106205.1|DALB, LOC117569247|XP_034106212.1|DALB, LOC117569243|XP_034106207.1|DALB
OG0000008	LOC120426154|XP_039446807.1|CPIP, LOC120426153|XP_039446806.1|CPIP, LOC120426147|XP_039446799.1|CPIP	LOC117574613|XP_034114391.1|DALB
OG0000008	LOC120421629|XP_039440794.1|CPIP, LOC120421652|XP_039440822.1|CPIP, LOC120421673|XP_039440840.1|CPIP	LOC117570995|XP_034108835.1|DALB
OG0000008	LOC120421726|XP_039440908.1|CPIP	LOC117565304|XP_034100233.1|DALB
OG0000008	LOC120421683|XP_039440852.1|CPIP	LOC117571003|XP_034108844.1|DALB
OG0000009	LOC120426658|XP_039447384.1|CPIP, LOC120429628|XP_039450593.1|CPIP, LOC120421295|XP_039440420.1|CPIP, LOC120421293|XP_039440418.1|CPIP, LOC120430193|XP_039451208.1|CPIP, LOC120430194|XP_039451209.1|CPIP, LOC120430179|XP_039451193.1|CPIP, LOC120414768|XP_039432015.1|CPIP, LOC120414769|XP_039432016.1|CPIP, LOC120422527|XP_039441920.1|CPIP, LOC120413328|XP_039430036.1|CPIP, LOC120413359|XP_039430078.1|CPIP, LOC120413353|XP_039430071.1|CPIP, LOC120422471|XP_039441860.1|CPIP, LOC120422470|XP_039441859.1|CPIP, LOC120422469|XP_039441857.1|CPIP, LOC120422468|XP_039441855.1|CPIP	LOC117574725|XP_034114546.1|DALB, LOC117576401|XP_034117006.1|DALB, LOC117573612|XP_034112801.1|DALB, LOC117574363|XP_034114087.1|DALB, LOC117576404|XP_034117010.1|DALB, LOC117576402|XP_034117007.1|DALB, LOC117576403|XP_034117008.1|DALB, LOC117573339|XP_034112340.1|DALB, LOC117563434|XP_034097659.1|DALB, LOC117563435|XP_034097660.1|DALB, LOC117565287|XP_034100206.1|DALB, LOC117568811|XP_034105563.1|DALB, LOC117569480|XP_034106540.1|DALB, LOC117568587|XP_034105214.1|DALB, LOC117566724|XP_034102158.1|DALB, LOC117566719|XP_034102155.1|DALB, LOC117568670|XP_034105365.1|DALB, LOC117570560|XP_034108181.1|DALB, LOC117571597|XP_034109704.1|DALB, LOC117571595|XP_034109702.1|DALB, LOC117572671|XP_034111579.1|DALB, LOC117565994|XP_034101304.1|DALB
OG0000010	LOC120422947|XP_039442463.1|CPIP	LOC117566151|XP_034101529.1|DALB, LOC117565598|XP_034100689.1|DALB, LOC117564301|XP_034098889.1|DALB, LOC117564305|XP_034098892.1|DALB
OG0000010	LOC120415441|XP_039432923.1|CPIP	LOC117564304|XP_034098891.1|DALB, LOC117566095|XP_034101458.1|DALB, LOC117564298|XP_034098887.1|DALB, LOC117564299|XP_034098888.1|DALB
OG0000012	LOC120419492|XP_039438114.1|CPIP, LOC120419485|XP_039438104.1|CPIP, LOC120419486|XP_039438105.1|CPIP	LOC117568055|XP_034104297.1|DALB, LOC117571286|XP_034109243.1|DALB, LOC117571761|XP_034110009.1|DALB, LOC117569585|XP_034106704.1|DALB, LOC117568054|XP_034104292.1|DALB, LOC117566746|XP_034102180.1|DALB, LOC117569531|XP_034106625.1|DALB, LOC117571233|XP_034109174.1|DALB, LOC117571638|XP_034109755.1|DALB, LOC117571567|XP_034109667.1|DALB, LOC117566482|XP_034101905.1|DALB, LOC117572244|XP_034110821.1|DALB, LOC117572245|XP_034110822.1|DALB, LOC117568980|XP_034105834.1|DALB, LOC117569102|XP_034106011.1|DALB, LOC117566483|XP_034101906.1|DALB, LOC117572246|XP_034110823.1|DALB, LOC117572247|XP_034110824.1|DALB, LOC117571464|XP_034109506.1|DALB, LOC117571184|XP_034109105.1|DALB, LOC117568519|XP_034105112.1|DALB
OG0000013	LOC120421446|XP_039440586.1|CPIP	LOC117571859|XP_034110145.1|DALB
OG0000013	LOC120414719|XP_039431959.1|CPIP	LOC117563213|XP_034097295.1|DALB
OG0000013	LOC120419254|XP_039437842.1|CPIP	LOC117576138|XP_034116595.1|DALB
OG0000013	LOC120425238|XP_039445606.1|CPIP, LOC120426202|XP_039446840.1|CPIP	LOC117568434|XP_034104988.1|DALB
OG0000013	LOC120420165|XP_039439065.1|CPIP	LOC117573950|XP_034113367.1|DALB
