Orthogroup	DSEC.longest_only	DELE.longest_only
OG0000000	LOC6605054|XP_032575159.1|DSEC	LOC108150093|XP_017133546.1|DELE
OG0000000	LOC6612593|XP_002037098.2|DSEC	LOC108148460|XP_017130981.1|DELE
OG0000000	LOC116800509|XP_032571804.1|DSEC	LOC108143366|XP_017123177.1|DELE
OG0000000	LOC6611330|XP_002035877.1|DSEC	LOC108139044|XP_017117150.1|DELE
OG0000000	LOC6606995|XP_002031784.1|DSEC	LOC108135022|XP_017111043.1|DELE
OG0000000	LOC6605884|XP_032575999.1|DSEC	LOC108145339|XP_017126217.1|DELE, LOC108145638|XP_017126662.1|DELE
OG0000000	LOC116800964|XP_032573791.1|DSEC	LOC108145787|XP_017126846.1|DELE
OG0000000	LOC116801306|XP_032575998.1|DSEC	LOC108145637|XP_017126661.1|DELE
OG0000000	LOC6618886|XP_002043134.2|DSEC	LOC108144294|XP_017124470.1|DELE
OG0000000	LOC6607083|XP_032579519.1|DSEC	LOC108134556|XP_017110398.1|DELE
OG0000000	LOC6612938|XP_032579196.1|DSEC	LOC108136678|XP_017113490.1|DELE
OG0000000	LOC6613111|XP_032569894.1|DSEC	LOC108150089|XP_017133542.1|DELE
OG0000000	LOC6612936|XP_002037428.1|DSEC	LOC108143736|XP_017123759.1|DELE
OG0000000	LOC6611813|XP_002036335.1|DSEC	LOC108141650|XP_017120608.1|DELE
OG0000000	LOC6607813|XP_032578052.1|DSEC	LOC108142885|XP_017122450.1|DELE
OG0000000	LOC6608931|XP_002033645.2|DSEC	LOC108145618|XP_017126643.1|DELE
OG0000000	LOC6609340|XP_032572102.1|DSEC	LOC108141344|XP_017120143.1|DELE
OG0000000	LOC116801718|XP_032578762.1|DSEC	LOC108148604|XP_017131171.1|DELE
OG0000000	LOC6609904|XP_032570140.1|DSEC	LOC108143648|XP_017123649.1|DELE
OG0000000	LOC6618816|XP_002043065.1|DSEC, LOC6618815|XP_002043064.1|DSEC	LOC108144147|XP_017124279.1|DELE
OG0000000	LOC6612634|XP_002037138.2|DSEC	LOC108147230|XP_017129111.1|DELE
OG0000000	LOC6605446|XP_002030279.1|DSEC	LOC108141030|XP_017119608.1|DELE
OG0000002	LOC6609498|XP_002034183.1|DSEC	LOC108144341|XP_017124554.1|DELE
OG0000002	LOC6615482|XP_002039862.2|DSEC	LOC108143685|XP_017123691.1|DELE
OG0000002	LOC6615481|XP_002039861.2|DSEC	LOC108143683|XP_017123690.1|DELE
OG0000002	LOC6619439|XP_032575015.1|DSEC	LOC108147339|XP_017129256.1|DELE, LOC108142258|XP_017121466.1|DELE
OG0000003	LOC6609226|XP_032570279.1|DSEC	LOC108144467|XP_017124860.1|DELE
OG0000003	LOC6609227|XP_002033918.2|DSEC	LOC108144671|XP_017125217.1|DELE
OG0000003	LOC6609229|XP_032570278.1|DSEC	LOC108144670|XP_017125215.1|DELE
OG0000003	LOC6607893|XP_002032647.1|DSEC	LOC108145092|XP_017125773.1|DELE
OG0000003	LOC6609222|XP_002033913.1|DSEC	LOC108144466|XP_017124858.1|DELE
OG0000003	LOC116800691|XP_032572969.1|DSEC	LOC108144801|XP_017125415.1|DELE
OG0000003	LOC6609221|XP_002033912.1|DSEC	LOC108144820|XP_017125440.1|DELE
OG0000003	LOC6608196|XP_002032941.1|DSEC	LOC108145352|XP_017126230.1|DELE
OG0000003	LOC6608194|XP_002032939.1|DSEC	LOC108145367|XP_017126250.1|DELE
OG0000007	LOC116800972|XP_032573823.1|DSEC	LOC108142600|XP_017122060.1|DELE
OG0000007	LOC6610954|XP_002035511.1|DSEC	LOC108142393|XP_017121722.1|DELE
OG0000007	LOC6610952|XP_032575303.1|DSEC	LOC108142601|XP_017122061.1|DELE
OG0000007	LOC6610951|XP_002035508.1|DSEC	LOC108142394|XP_017121723.1|DELE
OG0000007	LOC6613406|XP_032583270.1|DSEC	LOC108138840|XP_017116840.1|DELE, LOC108138841|XP_017116841.1|DELE
