Orthogroup	DSEC.longest_only	BTRY.longest_only
OG0000000	LOC116801307|XP_032576000.1|DSEC	LOC120778574|XP_039966372.1|BTRY
OG0000000	LOC6605054|XP_032575159.1|DSEC	LOC120778381|XP_039966101.1|BTRY, LOC120768794|XP_039951483.1|BTRY, LOC120777014|XP_039964052.1|BTRY, LOC120777646|XP_039965032.1|BTRY, LOC120777544|XP_039964867.1|BTRY, LOC120774573|XP_039960240.1|BTRY
OG0000000	LOC6612593|XP_002037098.2|DSEC, LOC116800509|XP_032571804.1|DSEC, LOC6611330|XP_002035877.1|DSEC, LOC6606995|XP_002031784.1|DSEC, LOC6608865|XP_002033579.1|DSEC	LOC120778869|XP_039966846.1|BTRY, LOC120776483|XP_039963094.1|BTRY, LOC120776612|XP_039963336.1|BTRY, LOC120778368|XP_039966089.1|BTRY, LOC120779297|XP_039967444.1|BTRY, LOC120776451|XP_039963042.1|BTRY, LOC120778377|XP_039966098.1|BTRY
OG0000000	LOC6605884|XP_032575999.1|DSEC, LOC6605885|XP_032575997.1|DSEC, LOC116800964|XP_032573791.1|DSEC, LOC116801306|XP_032575998.1|DSEC, LOC6618886|XP_002043134.2|DSEC, LOC6607083|XP_032579519.1|DSEC, LOC6612938|XP_032579196.1|DSEC, LOC6613111|XP_032569894.1|DSEC, LOC6612936|XP_002037428.1|DSEC, LOC6611813|XP_002036335.1|DSEC, LOC6607813|XP_032578052.1|DSEC, LOC6608931|XP_002033645.2|DSEC, LOC6609340|XP_032572102.1|DSEC, LOC116801138|XP_032574830.1|DSEC, LOC116801137|XP_032574827.1|DSEC, LOC6610755|XP_032574828.1|DSEC, LOC6616347|XP_002040707.1|DSEC, LOC116800542|XP_032571951.1|DSEC, LOC116803586|XP_032583371.1|DSEC, LOC116801073|XP_032574487.1|DSEC, LOC6612926|XP_032578042.1|DSEC, LOC6612925|XP_002037417.1|DSEC, LOC6611281|XP_032582965.1|DSEC, LOC116801718|XP_032578762.1|DSEC, LOC6614481|XP_002038914.1|DSEC	LOC120767587|XP_039949669.1|BTRY, LOC120769210|XP_039952036.1|BTRY, LOC120776945|XP_039963962.1|BTRY
OG0000000	LOC6609904|XP_032570140.1|DSEC, LOC6609905|XP_032572518.1|DSEC, LOC6618816|XP_002043065.1|DSEC, LOC6618815|XP_002043064.1|DSEC, LOC6612634|XP_002037138.2|DSEC, LOC6613854|XP_002038323.1|DSEC, LOC6605446|XP_002030279.1|DSEC	LOC120777103|XP_039964173.1|BTRY, LOC120778046|XP_039965655.1|BTRY
OG0000001	LOC116803222|XP_032582995.1|DSEC, LOC116802332|XP_032582502.1|DSEC, LOC116801480|XP_032577252.1|DSEC, LOC116800206|XP_032569851.1|DSEC, LOC116801781|XP_032579152.1|DSEC, LOC116803470|XP_032583064.1|DSEC, LOC116803216|XP_032582991.1|DSEC, LOC116801401|XP_032576522.1|DSEC, LOC116800949|XP_032573700.1|DSEC, LOC116801680|XP_032578612.1|DSEC, LOC116801683|XP_032578632.1|DSEC, LOC116801481|XP_032577253.1|DSEC, LOC116801614|XP_032578126.1|DSEC, LOC116800466|XP_032571508.1|DSEC, LOC116801977|XP_032580408.1|DSEC, LOC116801731|XP_032578825.1|DSEC, LOC116801557|XP_032577826.1|DSEC, LOC116803489|XP_032583077.1|DSEC, LOC116800538|XP_032571928.1|DSEC, LOC116802215|XP_032581860.1|DSEC, LOC116801159|XP_032575009.1|DSEC	LOC120781957|XP_039970051.1|BTRY
OG0000003	LOC6609226|XP_032570279.1|DSEC, LOC6609227|XP_002033918.2|DSEC	LOC120773128|XP_039958058.1|BTRY
OG0000003	LOC6617182|XP_002041509.2|DSEC, LOC6609229|XP_032570278.1|DSEC, LOC6607893|XP_002032647.1|DSEC	LOC120773129|XP_039958059.1|BTRY, LOC120773130|XP_039958060.1|BTRY, LOC120770807|XP_039954320.1|BTRY, LOC120771341|XP_039955220.1|BTRY
OG0000003	LOC6609223|XP_002033914.2|DSEC	LOC120770806|XP_039954318.1|BTRY, LOC120770808|XP_039954321.1|BTRY
OG0000003	LOC6609221|XP_002033912.1|DSEC	LOC120770286|XP_039953556.1|BTRY, LOC120770809|XP_039954322.1|BTRY
OG0000003	LOC6608196|XP_002032941.1|DSEC	LOC120770285|XP_039953555.1|BTRY
OG0000003	LOC6608194|XP_002032939.1|DSEC	LOC120782321|XP_039970477.1|BTRY, LOC120770284|XP_039953554.1|BTRY
