Orthogroup	DSEC.longest_only	AEAL.longest_only
OG0000002	LOC6613615|XP_032570344.1|DSEC	LOC115263125|XP_029721902.1|AEAL, LOC109430246|XP_019561842.2|AEAL, LOC109416944|XP_019546605.2|AEAL, LOC115265443|XP_029726462.1|AEAL, LOC109426996|XP_019558100.2|AEAL, LOC109411377|XP_019540446.2|AEAL, LOC115266493|XP_029728592.1|AEAL, LOC109403760|XP_019532176.2|AEAL, LOC109416948|XP_019546608.2|AEAL, LOC109400072|XP_019528089.2|AEAL, LOC109621611|XP_019931245.2|AEAL
OG0000007	LOC116800972|XP_032573823.1|DSEC, LOC6610954|XP_002035511.1|DSEC, LOC6610952|XP_032575303.1|DSEC, LOC6610951|XP_002035508.1|DSEC, LOC6613406|XP_032583270.1|DSEC, LOC6608215|XP_032572281.1|DSEC, LOC6612871|XP_002037363.1|DSEC, LOC6612775|XP_032579057.1|DSEC, LOC6613407|XP_032570241.1|DSEC, LOC6604871|XP_002029716.1|DSEC, LOC6604870|XP_002029715.1|DSEC, LOC6613405|XP_032574637.1|DSEC, LOC6610955|XP_032575304.1|DSEC, LOC6610956|XP_002035513.1|DSEC	LOC109417624|XP_019547214.2|AEAL, LOC109417822|XP_019547546.2|AEAL, LOC109417827|XP_019547550.2|AEAL
OG0000008	LOC6619063|XP_002043304.1|DSEC	LOC109400278|XP_019528306.2|AEAL, LOC115264163|XP_029723411.1|AEAL, LOC109411044|XP_019540029.2|AEAL, LOC109400276|XP_029732649.1|AEAL, LOC109411042|XP_029723844.1|AEAL, LOC115269452|XP_029734079.1|AEAL, LOC109398594|XP_019526527.2|AEAL, LOC109411038|XP_019540020.2|AEAL, LOC115268685|XP_029732650.1|AEAL, LOC109398586|XP_029723414.1|AEAL, LOC109398584|XP_029723843.1|AEAL, LOC109411041|XP_019540026.2|AEAL, LOC109411040|XP_029732651.1|AEAL, LOC109411057|XP_019540042.2|AEAL, LOC109411039|XP_019540021.2|AEAL, LOC109398568|XP_019526496.2|AEAL, LOC115264164|XP_029723413.1|AEAL
OG0000008	LOC6610740|XP_002035306.1|DSEC	LOC109409017|XP_019537970.1|AEAL, LOC115261399|XP_029718872.1|AEAL, LOC109429131|XP_029730081.1|AEAL, LOC109429134|XP_019560529.1|AEAL, LOC115261395|XP_029718863.1|AEAL, LOC115261400|XP_029718873.1|AEAL, LOC109409015|XP_029718862.1|AEAL
OG0000008	LOC6610743|XP_002035309.1|DSEC	LOC109409014|XP_019537968.1|AEAL
OG0000008	LOC6617678|XP_002041991.1|DSEC	LOC115258666|XP_029714842.1|AEAL, LOC109418542|XP_029714903.1|AEAL, LOC115258618|XP_029714768.1|AEAL
OG0000009	LOC6621079|XP_032578529.1|DSEC, LOC6607851|XP_002032601.2|DSEC, LOC6619043|XP_032582932.1|DSEC, LOC6619041|XP_032576486.1|DSEC, LOC116802673|XP_032582931.1|DSEC, LOC6607846|XP_032576484.1|DSEC, LOC116802676|XP_032582933.1|DSEC, LOC6619044|XP_002043286.1|DSEC, LOC6619042|XP_032576485.1|DSEC, LOC6610926|XP_032574591.1|DSEC, LOC116801150|XP_032574906.1|DSEC, LOC6618810|XP_002043059.1|DSEC, LOC6606719|XP_002031518.1|DSEC, LOC6608841|XP_002033555.1|DSEC, LOC6608840|XP_002033554.1|DSEC	LOC109421248|XP_029710358.1|AEAL, LOC109410814|XP_019539891.2|AEAL, LOC109421247|XP_019551278.2|AEAL, LOC109421196|XP_019551233.2|AEAL, LOC115256237|XP_029710360.1|AEAL, LOC109421246|XP_029710374.1|AEAL, LOC109410815|XP_029710361.1|AEAL, LOC109410828|XP_029725091.1|AEAL, LOC115268621|XP_029732616.1|AEAL, LOC109621352|XP_019930946.2|AEAL, LOC109410832|XP_019539911.2|AEAL, LOC115265026|XP_029725093.1|AEAL, LOC115266859|XP_029729327.1|AEAL, LOC109621393|XP_029732578.1|AEAL, LOC109427506|XP_019558604.2|AEAL, LOC109432620|XP_019564525.2|AEAL, LOC109405071|XP_019533608.2|AEAL, LOC109405076|XP_019533612.2|AEAL, LOC109397914|XP_019525799.2|AEAL, LOC109406992|XP_019535559.2|AEAL, LOC109406984|XP_029711464.1|AEAL, LOC109406989|XP_019535556.2|AEAL, LOC109397917|XP_019525802.2|AEAL
OG0000010	LOC6606375|XP_032579311.1|DSEC	LOC115264614|XP_029724349.1|AEAL, LOC109420100|XP_019549952.1|AEAL, LOC115261269|XP_029718503.1|AEAL, LOC115264607|XP_029724331.1|AEAL
OG0000012	LOC6609925|XP_002034575.2|DSEC, LOC6609924|XP_002034574.2|DSEC, LOC6609923|XP_032571611.1|DSEC, LOC6609926|XP_002034576.1|DSEC, LOC6609929|XP_032571342.1|DSEC, LOC6609927|XP_002034577.1|DSEC, LOC6608817|XP_032571423.1|DSEC, LOC6608818|XP_032571424.1|DSEC, LOC6608819|XP_002033533.2|DSEC, LOC6608820|XP_032571616.1|DSEC, LOC6608821|XP_032571618.1|DSEC, LOC6608822|XP_032571615.1|DSEC	LOC109423253|XP_029726458.1|AEAL, LOC109423301|XP_019553773.2|AEAL
OG0000013	LOC6609116|XP_002033818.1|DSEC	LOC109401240|XP_019529248.2|AEAL
