Orthogroup	DSEC.longest_only	DYAK.longest_only
OG0000000	LOC6605054|XP_032575159.1|DSEC	LOC6532541|XP_002093287.2|DYAK
OG0000000	LOC6612593|XP_002037098.2|DSEC	LOC120321802|XP_039231662.1|DYAK
OG0000000	LOC116800509|XP_032571804.1|DSEC	LOC26536205|XP_015052957.2|DYAK
OG0000000	LOC6611330|XP_002035877.1|DSEC	LOC6529038|XP_002090069.2|DYAK
OG0000000	LOC6608865|XP_002033579.1|DSEC	LOC6530087|XP_002091033.1|DYAK
OG0000000	LOC6605884|XP_032575999.1|DSEC	LOC6535099|XP_039229818.1|DYAK
OG0000000	LOC6605885|XP_032575997.1|DSEC	LOC6535097|XP_039229817.1|DYAK
OG0000000	LOC116801306|XP_032575998.1|DSEC	LOC6535098|XP_002095761.2|DYAK
OG0000000	LOC6618886|XP_002043134.2|DSEC	LOC6532122|XP_002092898.3|DYAK
OG0000000	LOC6612938|XP_032579196.1|DSEC	LOC6538960|XP_002099463.2|DYAK
OG0000000	LOC6612936|XP_002037428.1|DSEC	LOC6538958|XP_002099461.2|DYAK, LOC26534675|XP_015049130.2|DYAK
OG0000000	LOC6611813|XP_002036335.1|DSEC	LOC6527857|XP_002088929.1|DYAK
OG0000000	LOC6607813|XP_032578052.1|DSEC	LOC26536234|XP_015048941.1|DYAK
OG0000000	LOC6608931|XP_002033645.2|DSEC	LOC6530022|XP_002090968.2|DYAK, LOC26534723|XP_015052834.1|DYAK
OG0000000	LOC6609340|XP_032572102.1|DSEC	LOC6531513|XP_002092312.3|DYAK
OG0000000	LOC116801138|XP_032574830.1|DSEC, LOC116801137|XP_032574827.1|DSEC, LOC6610755|XP_032574828.1|DSEC	LOC26536007|XP_015049712.1|DYAK, LOC26534479|XP_015049716.1|DYAK, LOC26536420|XP_015049717.1|DYAK, LOC26536161|XP_015049713.1|DYAK
OG0000000	LOC116803586|XP_032583371.1|DSEC	LOC6526414|XP_002087533.2|DYAK
OG0000000	LOC116801073|XP_032574487.1|DSEC	LOC6532990|XP_039229806.1|DYAK
OG0000000	LOC6612926|XP_032578042.1|DSEC	LOC26535595|XP_015049129.2|DYAK
OG0000000	LOC6612925|XP_002037417.1|DSEC	LOC6538949|XP_002099452.1|DYAK
OG0000000	LOC116801718|XP_032578762.1|DSEC	LOC6537714|XP_002098259.2|DYAK
OG0000000	LOC6614481|XP_002038914.1|DSEC	LOC6529465|XP_002090467.1|DYAK
OG0000000	LOC6609905|XP_032572518.1|DSEC	LOC6530976|XP_002091814.2|DYAK
OG0000000	LOC6618816|XP_002043065.1|DSEC	LOC6532053|XP_002092830.1|DYAK, LOC6532050|XP_002092827.2|DYAK
OG0000000	LOC6618815|XP_002043064.1|DSEC	LOC6532049|XP_002092826.1|DYAK
OG0000000	LOC6612634|XP_002037138.2|DSEC	LOC6538114|XP_002098649.1|DYAK
OG0000000	LOC6613854|XP_002038323.1|DSEC	LOC6535316|XP_002095972.1|DYAK
OG0000000	LOC6605446|XP_002030279.1|DSEC	LOC6533890|XP_002094590.1|DYAK
OG0000002	LOC6609498|XP_002034183.1|DSEC	LOC6531354|XP_002092157.1|DYAK
OG0000002	LOC6615482|XP_002039862.2|DSEC	LOC6530517|XP_002091432.3|DYAK
OG0000002	LOC6615481|XP_002039861.2|DSEC	LOC6530518|XP_002091433.1|DYAK
OG0000002	LOC6611325|XP_002035872.2|DSEC	LOC6528284|XP_002089337.3|DYAK
OG0000002	LOC6619439|XP_032575015.1|DSEC	LOC26535670|XP_015050876.2|DYAK
OG0000002	LOC6613615|XP_032570344.1|DSEC	LOC6527104|XP_002088197.3|DYAK
OG0000003	LOC6609226|XP_032570279.1|DSEC	LOC6530460|XP_002091376.2|DYAK
OG0000003	LOC6609227|XP_002033918.2|DSEC	LOC6530462|XP_002091378.1|DYAK
OG0000003	LOC6617182|XP_002041509.2|DSEC	LOC6538264|XP_002098791.1|DYAK
OG0000003	LOC6609229|XP_032570278.1|DSEC	LOC6530463|XP_002091379.1|DYAK
OG0000003	LOC6607893|XP_002032647.1|DSEC	LOC6527640|XP_039226547.1|DYAK, LOC6528325|XP_002089378.1|DYAK
OG0000003	LOC6609222|XP_002033913.1|DSEC	LOC6530457|XP_002091373.1|DYAK
OG0000003	LOC116800691|XP_032572969.1|DSEC	LOC6530461|XP_002091377.1|DYAK
OG0000003	LOC6609221|XP_002033912.1|DSEC	LOC6530456|XP_002091372.1|DYAK
OG0000003	LOC6608196|XP_002032941.1|DSEC	LOC6528608|XP_002089651.1|DYAK
OG0000003	LOC6608194|XP_002032939.1|DSEC	LOC6528606|XP_002089649.1|DYAK
OG0000003	LOC6613508|XP_002037976.1|DSEC	LOC6528128|XP_002089195.3|DYAK
OG0000007	LOC116800972|XP_032573823.1|DSEC	LOC6533142|XP_002093868.1|DYAK
OG0000007	LOC6610954|XP_002035511.1|DSEC	LOC6533143|XP_002093869.1|DYAK
OG0000007	LOC6610952|XP_032575303.1|DSEC	LOC6533140|XP_002093866.1|DYAK
OG0000007	LOC6613406|XP_032583270.1|DSEC	LOC6527619|XP_002088707.1|DYAK
OG0000007	LOC6608215|XP_032572281.1|DSEC	LOC6528628|XP_002089670.1|DYAK
OG0000007	LOC6612775|XP_032579057.1|DSEC	LOC26535513|XP_015044938.2|DYAK, LOC26535290|XP_015044714.2|DYAK
OG0000007	LOC6613407|XP_032570241.1|DSEC	LOC6527618|XP_002088706.1|DYAK
OG0000007	LOC6604871|XP_002029716.1|DSEC	LOC6532723|XP_002093465.1|DYAK
OG0000007	LOC6604870|XP_002029715.1|DSEC	LOC6532724|XP_002093466.1|DYAK
OG0000007	LOC6613405|XP_032574637.1|DSEC	LOC6527620|XP_002088708.1|DYAK
OG0000007	LOC6610955|XP_032575304.1|DSEC	LOC6533144|XP_002093870.1|DYAK
OG0000007	LOC6610956|XP_002035513.1|DSEC	LOC6533145|XP_002093871.1|DYAK
OG0000008	LOC6619063|XP_002043304.1|DSEC	LOC26536044|XP_039231154.1|DYAK
OG0000008	LOC6610740|XP_002035306.1|DSEC	LOC6532927|XP_002093663.1|DYAK
OG0000008	LOC6610743|XP_002035309.1|DSEC	LOC6532930|XP_002093666.1|DYAK
OG0000008	LOC6617678|XP_002041991.1|DSEC	LOC6527319|XP_002088412.1|DYAK
OG0000008	LOC6610741|XP_002035307.2|DSEC	LOC6532928|XP_002093664.1|DYAK
OG0000008	LOC6612353|XP_002036862.1|DSEC	LOC6524096|XP_002099960.1|DYAK
OG0000008	LOC6614151|XP_002038604.1|DSEC, LOC116802445|XP_032582815.1|DSEC	LOC6536138|XP_039231652.1|DYAK
OG0000008	LOC6614148|XP_002038601.1|DSEC, LOC116801716|XP_032578753.1|DSEC	LOC6536141|XP_039231654.1|DYAK
OG0000008	LOC116801478|XP_032577234.1|DSEC	LOC6536143|XP_002096744.1|DYAK
OG0000008	LOC6614149|XP_002038602.2|DSEC	LOC6536140|XP_002096741.1|DYAK
OG0000008	LOC116801482|XP_032577264.1|DSEC	LOC6536142|XP_002096743.1|DYAK
OG0000008	LOC116801721|XP_032578777.1|DSEC	LOC6536144|XP_002096745.1|DYAK
OG0000009	LOC6621079|XP_032578529.1|DSEC, LOC6607851|XP_002032601.2|DSEC	LOC6535723|XP_002096349.3|DYAK
OG0000009	LOC116802673|XP_032582931.1|DSEC, LOC6607846|XP_032576484.1|DSEC	LOC6535721|XP_002096347.1|DYAK
OG0000009	LOC116802676|XP_032582933.1|DSEC, LOC6619044|XP_002043286.1|DSEC	LOC6535720|XP_002096346.1|DYAK
OG0000009	LOC6619042|XP_032576485.1|DSEC	LOC6535722|XP_002096348.1|DYAK
OG0000009	LOC6610926|XP_032574591.1|DSEC	LOC6533117|XP_002093843.1|DYAK
OG0000009	LOC116801150|XP_032574906.1|DSEC	LOC6533118|XP_002093844.1|DYAK
OG0000009	LOC6618810|XP_002043059.1|DSEC	LOC6532044|XP_002092821.1|DYAK
OG0000009	LOC6606719|XP_002031518.1|DSEC	LOC6536768|XP_002097339.1|DYAK
OG0000009	LOC6608841|XP_002033555.1|DSEC	LOC6530109|XP_002091055.1|DYAK
OG0000009	LOC6608840|XP_002033554.1|DSEC	LOC6530111|XP_002091057.1|DYAK
OG0000010	LOC6606375|XP_032579311.1|DSEC	LOC120322222|XP_039233212.1|DYAK, LOC26535638|XP_039229341.1|DYAK, LOC120322220|XP_039233210.1|DYAK, LOC26535724|XP_039233215.1|DYAK, LOC120322221|XP_039233211.1|DYAK
OG0000011	LOC6613215|XP_002037694.2|DSEC	LOC120320450|XP_039227155.1|DYAK
OG0000011	LOC6613214|XP_002037693.2|DSEC	LOC6526687|XP_002087792.2|DYAK
OG0000011	LOC6613356|XP_002037830.1|DSEC	LOC6526837|XP_002087937.1|DYAK
OG0000011	LOC6616450|XP_032574488.1|DSEC	LOC26535503|XP_015045173.2|DYAK
OG0000011	LOC6614408|XP_032583172.1|DSEC	LOC6529533|XP_039228709.1|DYAK
OG0000011	LOC6614413|XP_032577346.1|DSEC	LOC6529527|XP_039228713.1|DYAK
OG0000011	LOC6618632|XP_032581615.1|DSEC, LOC6618634|XP_002042893.2|DSEC	LOC120320662|XP_039226899.1|DYAK
OG0000011	LOC6605626|XP_002030444.2|DSEC	LOC6534062|XP_002094748.1|DYAK
OG0000011	LOC6605627|XP_002030445.2|DSEC	LOC6534063|XP_002094749.1|DYAK
OG0000011	LOC6607077|XP_002031865.1|DSEC	LOC6536394|XP_002096976.1|DYAK
OG0000012	LOC6609925|XP_002034575.2|DSEC	LOC6530957|XP_002091795.1|DYAK
OG0000012	LOC6609924|XP_002034574.2|DSEC	LOC6530958|XP_002091796.1|DYAK
OG0000012	LOC6609923|XP_032571611.1|DSEC	LOC6530959|XP_015051811.1|DYAK
OG0000012	LOC6609926|XP_002034576.1|DSEC	LOC6530956|XP_002091794.1|DYAK
OG0000012	LOC6609929|XP_032571342.1|DSEC	LOC6530954|XP_002091792.1|DYAK
OG0000012	LOC6609927|XP_002034577.1|DSEC	LOC6530955|XP_002091793.1|DYAK
OG0000012	LOC6608817|XP_032571423.1|DSEC	LOC6530135|XP_002091081.1|DYAK
OG0000012	LOC6608818|XP_032571424.1|DSEC	LOC6530133|XP_002091079.2|DYAK
OG0000012	LOC6608819|XP_002033533.2|DSEC	LOC6530132|XP_002091078.1|DYAK
OG0000012	LOC6608820|XP_032571616.1|DSEC	LOC6530131|XP_002091077.2|DYAK
OG0000012	LOC6608821|XP_032571618.1|DSEC	LOC6530130|XP_002091076.1|DYAK
OG0000012	LOC6608822|XP_032571615.1|DSEC	LOC6530129|XP_002091075.1|DYAK
OG0000013	LOC6609116|XP_002033818.1|DSEC	LOC6530359|XP_002091285.1|DYAK
OG0000013	LOC6619913|XP_032582274.1|DSEC	LOC6525539|XP_002101374.1|DYAK
OG0000013	LOC6606301|XP_002031106.1|DSEC	LOC6537221|XP_002097779.1|DYAK
OG0000013	LOC6605619|XP_032575697.1|DSEC	LOC6534055|XP_002094741.1|DYAK
