Orthogroup	DSEC.longest_only	DEUG.longest_only
OG0000000	LOC6605054|XP_032575159.1|DSEC	LOC108114097|XP_017080345.1|DEUG
OG0000000	LOC6611330|XP_002035877.1|DSEC	LOC108105829|XP_017068062.1|DEUG
OG0000000	LOC6608865|XP_002033579.1|DSEC	LOC108112762|XP_017078510.1|DEUG
OG0000000	LOC6605884|XP_032575999.1|DSEC	LOC108113889|XP_017080083.1|DEUG
OG0000000	LOC6605885|XP_032575997.1|DSEC	LOC108114143|XP_017080414.1|DEUG
OG0000000	LOC116800964|XP_032573791.1|DSEC	LOC108114140|XP_017080412.1|DEUG, LOC108113888|XP_017080082.1|DEUG, LOC108114141|XP_017080413.1|DEUG, LOC108113886|XP_017080081.1|DEUG
OG0000000	LOC6618886|XP_002043134.2|DSEC	LOC108107246|XP_017070153.1|DEUG
OG0000000	LOC6612938|XP_032579196.1|DSEC	LOC108104229|XP_017065668.1|DEUG, LOC108104203|XP_017065636.1|DEUG
OG0000000	LOC6613111|XP_032569894.1|DSEC	LOC108113894|XP_017080088.1|DEUG
OG0000000	LOC6612936|XP_002037428.1|DSEC	LOC108104211|XP_017065643.1|DEUG, LOC108104210|XP_017065642.1|DEUG
OG0000000	LOC6611813|XP_002036335.1|DSEC	LOC108107968|XP_017071301.1|DEUG, LOC108107978|XP_017071313.1|DEUG
OG0000000	LOC6607813|XP_032578052.1|DSEC	LOC108117463|XP_017085374.1|DEUG
OG0000000	LOC6608931|XP_002033645.2|DSEC	LOC108102547|XP_017063097.1|DEUG, LOC108112104|XP_017077343.1|DEUG, LOC108112115|XP_017077355.1|DEUG, LOC108112105|XP_017077344.1|DEUG, LOC108112113|XP_017077353.1|DEUG, LOC108112112|XP_017077352.1|DEUG, LOC108112109|XP_017077349.1|DEUG, LOC108112114|XP_017077354.1|DEUG, LOC108112107|XP_017077346.1|DEUG, LOC108112117|XP_017077356.1|DEUG, LOC108112111|XP_017077351.1|DEUG, LOC108112108|XP_017077347.1|DEUG, LOC108112110|XP_017077350.1|DEUG, LOC108112103|XP_017077342.1|DEUG, LOC108112106|XP_017077345.1|DEUG
OG0000000	LOC6609340|XP_032572102.1|DSEC	LOC108112677|XP_017078310.1|DEUG
OG0000000	LOC116801138|XP_032574830.1|DSEC, LOC116801137|XP_032574827.1|DSEC, LOC6610755|XP_032574828.1|DSEC, LOC6616347|XP_002040707.1|DSEC, LOC116800542|XP_032571951.1|DSEC	LOC108108192|XP_017071633.1|DEUG
OG0000000	LOC6612926|XP_032578042.1|DSEC	LOC108113484|XP_017079558.1|DEUG
OG0000000	LOC6612925|XP_002037417.1|DSEC	LOC108113483|XP_017079557.1|DEUG
OG0000000	LOC6611281|XP_032582965.1|DSEC	LOC108113485|XP_017079560.1|DEUG
OG0000000	LOC116801718|XP_032578762.1|DSEC	LOC108115565|XP_017082560.1|DEUG
OG0000000	LOC6614481|XP_002038914.1|DSEC	LOC108103054|XP_017063857.1|DEUG
OG0000000	LOC6609905|XP_032572518.1|DSEC	LOC108111926|XP_017077057.1|DEUG, LOC108111923|XP_017077054.1|DEUG
OG0000000	LOC6618816|XP_002043065.1|DSEC, LOC6618815|XP_002043064.1|DSEC	LOC108105763|XP_017067972.1|DEUG
OG0000000	LOC6612634|XP_002037138.2|DSEC	LOC108115960|XP_017083085.1|DEUG
OG0000000	LOC6613854|XP_002038323.1|DSEC	LOC108114927|XP_017081602.1|DEUG
OG0000001	LOC116803222|XP_032582995.1|DSEC, LOC116802332|XP_032582502.1|DSEC, LOC116801480|XP_032577252.1|DSEC, LOC116800206|XP_032569851.1|DSEC, LOC116801781|XP_032579152.1|DSEC, LOC116803470|XP_032583064.1|DSEC, LOC116803216|XP_032582991.1|DSEC, LOC116801401|XP_032576522.1|DSEC, LOC116800949|XP_032573700.1|DSEC, LOC116801680|XP_032578612.1|DSEC, LOC116801683|XP_032578632.1|DSEC, LOC116801481|XP_032577253.1|DSEC, LOC116801614|XP_032578126.1|DSEC, LOC116800466|XP_032571508.1|DSEC, LOC116801977|XP_032580408.1|DSEC, LOC116801731|XP_032578825.1|DSEC, LOC116801557|XP_032577826.1|DSEC, LOC116803489|XP_032583077.1|DSEC, LOC116800538|XP_032571928.1|DSEC, LOC116802215|XP_032581860.1|DSEC, LOC116801159|XP_032575009.1|DSEC	LOC108111781|XP_017076888.1|DEUG
OG0000002	LOC6609498|XP_002034183.1|DSEC	LOC108113026|XP_017078944.1|DEUG, LOC108113025|XP_017078942.1|DEUG
OG0000002	LOC6615482|XP_002039862.2|DSEC	LOC108112852|XP_017078659.1|DEUG
OG0000002	LOC6615481|XP_002039861.2|DSEC	LOC108112853|XP_017078660.1|DEUG
OG0000002	LOC6610018|XP_032572286.1|DSEC	LOC108108874|XP_017072580.1|DEUG
OG0000002	LOC6611325|XP_002035872.2|DSEC	LOC108105850|XP_017068103.1|DEUG
OG0000002	LOC6619439|XP_032575015.1|DSEC	LOC108111019|XP_017075821.1|DEUG, LOC108114011|XP_017080247.1|DEUG
OG0000003	LOC6609226|XP_032570279.1|DSEC	LOC108106604|XP_017069284.1|DEUG
OG0000003	LOC6609227|XP_002033918.2|DSEC	LOC108106709|XP_017069429.1|DEUG
OG0000003	LOC6617182|XP_002041509.2|DSEC	LOC108115764|XP_017082821.1|DEUG
OG0000003	LOC6609229|XP_032570278.1|DSEC	LOC108106222|XP_017068637.1|DEUG, LOC108106223|XP_017068638.1|DEUG
OG0000003	LOC6607893|XP_002032647.1|DSEC	LOC108106562|XP_017069219.1|DEUG
OG0000003	LOC116800691|XP_032572969.1|DSEC	LOC108106710|XP_017069431.1|DEUG, LOC108106602|XP_017069282.1|DEUG
OG0000003	LOC6609221|XP_002033912.1|DSEC	LOC108106224|XP_017068639.1|DEUG
OG0000003	LOC6608196|XP_002032941.1|DSEC	LOC108104525|XP_017066146.1|DEUG
OG0000003	LOC6608194|XP_002032939.1|DSEC	LOC108104523|XP_017066143.1|DEUG
OG0000007	LOC116800972|XP_032573823.1|DSEC	LOC108107881|XP_017071156.1|DEUG
OG0000007	LOC6610951|XP_002035508.1|DSEC	LOC108107883|XP_017071158.1|DEUG
OG0000007	LOC6613406|XP_032583270.1|DSEC	LOC108102687|XP_017063316.1|DEUG
OG0000007	LOC6608215|XP_032572281.1|DSEC	LOC108104447|XP_017065997.1|DEUG
OG0000007	LOC6613407|XP_032570241.1|DSEC	LOC108102695|XP_017063328.1|DEUG
OG0000007	LOC6604870|XP_002029715.1|DSEC	LOC108109874|XP_017074157.1|DEUG, LOC108109766|XP_017073928.1|DEUG
OG0000007	LOC6613405|XP_032574637.1|DSEC	LOC108102518|XP_017063043.1|DEUG, LOC108102519|XP_017063044.1|DEUG
OG0000007	LOC6610955|XP_032575304.1|DSEC	LOC108107529|XP_017070559.1|DEUG
OG0000007	LOC6610956|XP_002035513.1|DSEC	LOC108107925|XP_017071238.1|DEUG
OG0000008	LOC6619063|XP_002043304.1|DSEC	LOC108117090|XP_017084777.1|DEUG
OG0000008	LOC6610740|XP_002035306.1|DSEC	LOC108107847|XP_017071090.1|DEUG
